group,period,opportunities,completed,independent_dates,mean,median,p10,p25,p75,p90,positive_fraction,profit_factor,MAE_median,MAE_p10,MFE_median,MFE_p75,MFE_p90,holding_days,capital_days,giveback,top5_event_concentration,top5_symbol_concentration
MCB_CONFIRMED_BULL,POST_HOC,647,647,50,0.07607198742833424,0.1454091816367142,-0.056151467193140105,0.006002954214782868,0.14540918163672656,0.1454091816367307,0.7635239567233385,6.741496333925774,-0.0083527213089764,-0.08609473489490002,0.13610744212344095,0.16574891257809288,0.27673077567733034,16.229166666666668,16.530523124852216,0.0419998407512209,0.015464814762553227,0.0254562487459932
NON_MCB_BULL,DISCOVERY,256,256,89,0.011734340011764856,0.00019248234087712634,-0.10262229454573438,-0.04499816435413406,0.0755439777905765,0.14540918163672642,0.5,1.386838441811568,-0.055019703742314685,-0.13829046117165605,0.0411917574147407,0.09930875145309793,0.1282738838194616,22.0,21.66063052789066,0.03450675554836647,0.06997463101342435,0.07086015951870046
NON_MCB_BULL,VALIDATION,109,109,52,-0.003921037179381223,0.0015107905735491332,-0.09059899622641536,-0.047899560507754846,0.027845820238572728,0.09285702485233567,0.5137614678899083,0.8621832972174435,-0.03987835846631345,-0.11354157202373608,0.037361895926457084,0.0738756405318018,0.10260211506337139,22.0,22.053562659850087,0.0457811392773169,0.2719171667907294,0.2719171667907294
NON_MCB_BULL,POST_HOC,272,258,70,0.023559877709828033,0.014675665202792447,-0.12506156239308056,-0.05100604885357855,0.14540918163672634,0.1454091816367266,0.562015503875969,1.691290628802564,-0.04178262129604057,-0.13239833768908255,0.059582989854815485,0.11660884731165064,0.14806971423008114,22.0,21.259482439455148,0.032471245235107624,0.048889041622220394,0.060047567057723135
IFCGR_PASS,DISCOVERY,248,248,53,0.06576125925108306,0.06833741441980493,0.006824552633271548,0.04545892397785263,0.09476330899746382,0.1207714062719341,0.907258064516129,10.819790458785203,-0.013689339498046956,-0.07066859284740601,0.04331208454017381,0.06659770902593631,0.09162840648971757,10.176388888888889,10.420767332417714,-0.024501090679107208,0.05912598769318981,0.062092962301240104
IFCGR_PASS,VALIDATION,44,44,25,0.058269456631592866,0.05794047527184008,-0.018223593126492754,0.021310322063581244,0.08625535538134645,0.15339200482959872,0.8409090909090909,8.945585131328876,-0.008959424189446426,-0.0680722259288995,0.04297991921745244,0.06057684576120545,0.11947059865432345,15.14236111111111,15.34542799281425,-0.009168972509417804,0.32839138030249454,0.32839138030249454
IFCGR_PASS,POST_HOC,105,105,37,0.06473585567256304,0.06147329753638273,-0.047594121298538114,0.039030837564606055,0.10090674192068194,0.1664327228207987,0.8571428571428571,5.677114372875775,-0.01011811575221885,-0.11331734794494895,0.04113294586281204,0.0766701890336975,0.13526643860572438,11.008333333333333,11.125119670161936,-0.020709374900991506,0.16931048860294107,0.16931048860294107
IFCGR_REJECT,DISCOVERY,7,7,7,0.1025285819778984,0.08031859195714458,0.04002692417054908,0.04824188175053891,0.13510827919389345,0.1996544698431334,1.0,,-0.008762152765802441,-0.02702840055173357,0.03594822088753448,0.0631124238098501,0.10577834014442597,8.005555555555556,8.177340759883418,-0.0443703710696101,0.8885168173142581,0.8885168173142581
IFCGR_REJECT,VALIDATION,0,0,0,,,,,,,,,,,,,,,,,,
IFCGR_REJECT,POST_HOC,8,8,7,-0.08117367350480446,0.05283667964568283,-0.46660047997521065,-0.15002235316224347,0.08763343646247101,0.11450156580394309,0.625,0.39473203402960927,-0.020464391602483246,-0.46508906811243855,0.05826153999833513,0.08288196107572074,0.09999121195488492,13.000347222222222,13.249968906512153,-0.014883427767131127,1.0,1.0
