case,ETF_requests,max_funded_window_participation,original_admission_sha256,corrected_admission_sha256,physical_fills_and_NAV_unchanged,status
discovery/R0_RP100_S10_F1,104,0.5,e199255fbbabc14956bbc791e90ac95387fbd163057c3fd0c2589e2b57d212d5,c84f3f78685e0320c6808f58659d48b9b9a517a935c45d601437c946b75153c7,PASS,PASS
discovery/R0_RP100_S15_F0,104,0.5,d5134cc1b3e9ae2bb7104b42a4a963f0629dda39c82c4ee3feb9112cb603496b,946589ef0cc1c9c9b3035e22234ccb02fde993f453c7117bca8680e746f8e37b,PASS,PASS
discovery/R0_RP100_S15_F1,104,0.5,e199255fbbabc14956bbc791e90ac95387fbd163057c3fd0c2589e2b57d212d5,c84f3f78685e0320c6808f58659d48b9b9a517a935c45d601437c946b75153c7,PASS,PASS
discovery/R0_RP100_S20_F0,104,0.5,d5134cc1b3e9ae2bb7104b42a4a963f0629dda39c82c4ee3feb9112cb603496b,946589ef0cc1c9c9b3035e22234ccb02fde993f453c7117bca8680e746f8e37b,PASS,PASS
discovery/R0_RP100_S20_F1,104,0.5,e199255fbbabc14956bbc791e90ac95387fbd163057c3fd0c2589e2b57d212d5,c84f3f78685e0320c6808f58659d48b9b9a517a935c45d601437c946b75153c7,PASS,PASS
discovery/R0_RP125_S10_F0,104,0.5,7802cfa6b811e7154922902f5cc008438fbc539cb129b14c7e46684c344fa740,914f1962da5976063ba1fd889e8a574f900fd767727ec7c2b4a16ca420103b7f,PASS,PASS
discovery/R0_RP125_S10_F1,104,0.5,a60781723ccf42d6c465020b5bee6e29ffa32a265b8298fbc840f651acc76da5,602ad002821a3c2ffb99bf68ebe8971f24765099ca1a998ffbe48db68b1779a8,PASS,PASS
discovery/R0_RP125_S15_F0,104,0.5,7802cfa6b811e7154922902f5cc008438fbc539cb129b14c7e46684c344fa740,914f1962da5976063ba1fd889e8a574f900fd767727ec7c2b4a16ca420103b7f,PASS,PASS
discovery/R0_RP125_S15_F1,104,0.5,a60781723ccf42d6c465020b5bee6e29ffa32a265b8298fbc840f651acc76da5,602ad002821a3c2ffb99bf68ebe8971f24765099ca1a998ffbe48db68b1779a8,PASS,PASS
discovery/R0_RP125_S20_F0,104,0.5,7802cfa6b811e7154922902f5cc008438fbc539cb129b14c7e46684c344fa740,914f1962da5976063ba1fd889e8a574f900fd767727ec7c2b4a16ca420103b7f,PASS,PASS
discovery/R0_RP125_S20_F1,104,0.5,a60781723ccf42d6c465020b5bee6e29ffa32a265b8298fbc840f651acc76da5,602ad002821a3c2ffb99bf68ebe8971f24765099ca1a998ffbe48db68b1779a8,PASS,PASS
discovery/R0_RP150_S10_F0,104,0.5,b6344a7caad53a25030f8ecbb09399eb466bff0649f5413d1eae64b4fec26ab5,12dd1f12218746a952ec636d6ac5b49d47d06e08ab2b5adbfe94b595f64948a0,PASS,PASS
discovery/R0_RP150_S10_F1,104,0.5,f0ff9f820f3481a86740e08dd0e9bf438a3a2330427c679550c4cda662cfed12,57f6d43d6598d5b0d8256c63cfd3b838e726db260a993ef814966ef8be35e35c,PASS,PASS
discovery/R0_RP150_S15_F0,104,0.5,b6344a7caad53a25030f8ecbb09399eb466bff0649f5413d1eae64b4fec26ab5,12dd1f12218746a952ec636d6ac5b49d47d06e08ab2b5adbfe94b595f64948a0,PASS,PASS
discovery/R0_RP150_S15_F1,104,0.5,f0ff9f820f3481a86740e08dd0e9bf438a3a2330427c679550c4cda662cfed12,57f6d43d6598d5b0d8256c63cfd3b838e726db260a993ef814966ef8be35e35c,PASS,PASS
discovery/R0_RP150_S20_F0,104,0.5,b6344a7caad53a25030f8ecbb09399eb466bff0649f5413d1eae64b4fec26ab5,12dd1f12218746a952ec636d6ac5b49d47d06e08ab2b5adbfe94b595f64948a0,PASS,PASS
discovery/R0_RP150_S20_F1,104,0.5,f0ff9f820f3481a86740e08dd0e9bf438a3a2330427c679550c4cda662cfed12,57f6d43d6598d5b0d8256c63cfd3b838e726db260a993ef814966ef8be35e35c,PASS,PASS
discovery/R0_RP75_S10_F0,104,0.5,6ff653380c2adf70458c7450ee9bca936b82dcfb80bdf407804dd5c0ca2d78ec,178aa7a444e4576dcf637c3691ac6acf6624b723b6e8ef3d234b50d329c14cd2,PASS,PASS
discovery/R0_RP75_S10_F1,104,0.5,732f22298b19e4ea7a54e1fdc6b07e1abeeca2e77273fe35cd402b8665ff5280,b670509b631e8c11d5983d895db6d1233996cf15394d0060309b2b29f11d4c2e,PASS,PASS
discovery/R0_RP75_S15_F0,104,0.5,6ff653380c2adf70458c7450ee9bca936b82dcfb80bdf407804dd5c0ca2d78ec,178aa7a444e4576dcf637c3691ac6acf6624b723b6e8ef3d234b50d329c14cd2,PASS,PASS
discovery/R0_RP75_S15_F1,104,0.5,732f22298b19e4ea7a54e1fdc6b07e1abeeca2e77273fe35cd402b8665ff5280,b670509b631e8c11d5983d895db6d1233996cf15394d0060309b2b29f11d4c2e,PASS,PASS
discovery/R0_RP75_S20_F0,104,0.5,6ff653380c2adf70458c7450ee9bca936b82dcfb80bdf407804dd5c0ca2d78ec,178aa7a444e4576dcf637c3691ac6acf6624b723b6e8ef3d234b50d329c14cd2,PASS,PASS
discovery/R0_RP75_S20_F1,104,0.5,732f22298b19e4ea7a54e1fdc6b07e1abeeca2e77273fe35cd402b8665ff5280,b670509b631e8c11d5983d895db6d1233996cf15394d0060309b2b29f11d4c2e,PASS,PASS
discovery/R1_RP100_S10_F0,104,0.5,9d193a09a0db8101601381daddf34fdb4144b5fbc74cb02c64930e232118b7ee,96483b7644903504a804cf0c46bf00d360c80f2ce2cc4e0d7eb21f78bf831803,PASS,PASS
discovery/R1_RP100_S10_F1,104,0.5,bc0c8d488e4e7c1d7268a2ae29d593c0159e20d201d13030a7c2532a8d9fff76,28353bc4c3e5e8e4fff1428cf074faf6e786d54cfeb1a1870f2ed16163bd7211,PASS,PASS
discovery/R1_RP100_S15_F0,104,0.5,9d193a09a0db8101601381daddf34fdb4144b5fbc74cb02c64930e232118b7ee,96483b7644903504a804cf0c46bf00d360c80f2ce2cc4e0d7eb21f78bf831803,PASS,PASS
discovery/R1_RP100_S15_F1,104,0.5,bc0c8d488e4e7c1d7268a2ae29d593c0159e20d201d13030a7c2532a8d9fff76,28353bc4c3e5e8e4fff1428cf074faf6e786d54cfeb1a1870f2ed16163bd7211,PASS,PASS
discovery/R1_RP100_S20_F0,104,0.5,9d193a09a0db8101601381daddf34fdb4144b5fbc74cb02c64930e232118b7ee,96483b7644903504a804cf0c46bf00d360c80f2ce2cc4e0d7eb21f78bf831803,PASS,PASS
discovery/R1_RP100_S20_F1,104,0.5,bc0c8d488e4e7c1d7268a2ae29d593c0159e20d201d13030a7c2532a8d9fff76,28353bc4c3e5e8e4fff1428cf074faf6e786d54cfeb1a1870f2ed16163bd7211,PASS,PASS
discovery/R1_RP125_S10_F0,104,0.5,060c6ec113e32eaa1ae9adcd6fc546033f30002d1625ca108ac1ac94599fdd40,52f0e46a14179581472369c9e5d8d70dbf2751ad7c37999e698f3e2efb9100e5,PASS,PASS
discovery/R1_RP125_S10_F1,104,0.5,9da4bde4e53d3fa9ef9cc8b1f7fd60d74faf59055bbb387baa436dc9bebbd432,2d711ae4fb5719fbc787a72c6e6cb7b8d47e65130f50b0c6f0a5010a65835d73,PASS,PASS
discovery/R1_RP125_S15_F0,104,0.5,060c6ec113e32eaa1ae9adcd6fc546033f30002d1625ca108ac1ac94599fdd40,52f0e46a14179581472369c9e5d8d70dbf2751ad7c37999e698f3e2efb9100e5,PASS,PASS
discovery/R1_RP125_S15_F1,104,0.5,9da4bde4e53d3fa9ef9cc8b1f7fd60d74faf59055bbb387baa436dc9bebbd432,2d711ae4fb5719fbc787a72c6e6cb7b8d47e65130f50b0c6f0a5010a65835d73,PASS,PASS
discovery/R1_RP125_S20_F0,104,0.5,060c6ec113e32eaa1ae9adcd6fc546033f30002d1625ca108ac1ac94599fdd40,52f0e46a14179581472369c9e5d8d70dbf2751ad7c37999e698f3e2efb9100e5,PASS,PASS
discovery/R1_RP125_S20_F1,104,0.5,9da4bde4e53d3fa9ef9cc8b1f7fd60d74faf59055bbb387baa436dc9bebbd432,2d711ae4fb5719fbc787a72c6e6cb7b8d47e65130f50b0c6f0a5010a65835d73,PASS,PASS
discovery/R1_RP150_S10_F0,104,0.5,11ef5a9807eeb779909e6d4092bc58e42e692083dfbac684494dcd7ef210f269,924adaca4236de7c4dbcdb2a8c289bbd44076bd63dddfd736bf7508c3ee95766,PASS,PASS
discovery/R1_RP150_S10_F1,104,0.5,134aab9790162e75df1e610b1bd8a2d53ab7b279e1ae3a1fead7ffbf97a0ecc1,6ed9e0367ddae858c74e6431c2cff5edd356c71c204f782c69356a831bc60d17,PASS,PASS
discovery/R1_RP150_S15_F0,104,0.5,11ef5a9807eeb779909e6d4092bc58e42e692083dfbac684494dcd7ef210f269,924adaca4236de7c4dbcdb2a8c289bbd44076bd63dddfd736bf7508c3ee95766,PASS,PASS
discovery/R1_RP150_S15_F1,104,0.5,134aab9790162e75df1e610b1bd8a2d53ab7b279e1ae3a1fead7ffbf97a0ecc1,6ed9e0367ddae858c74e6431c2cff5edd356c71c204f782c69356a831bc60d17,PASS,PASS
discovery/R1_RP150_S20_F0,104,0.5,11ef5a9807eeb779909e6d4092bc58e42e692083dfbac684494dcd7ef210f269,924adaca4236de7c4dbcdb2a8c289bbd44076bd63dddfd736bf7508c3ee95766,PASS,PASS
discovery/R1_RP150_S20_F1,104,0.5,134aab9790162e75df1e610b1bd8a2d53ab7b279e1ae3a1fead7ffbf97a0ecc1,6ed9e0367ddae858c74e6431c2cff5edd356c71c204f782c69356a831bc60d17,PASS,PASS
discovery/R1_RP75_S10_F0,104,0.5,a8472829e92e79c4c2c1da5ea0bce685dce1380b7128192cf12b849a422d1caa,5b727facde70230ebc18a3e748c7c39eac6cd8b89b277aaacd1211f89d42e854,PASS,PASS
discovery/R1_RP75_S10_F1,104,0.5,f684613c518c5059cea5625fb531a6df2dd30adb65b96a4ec9d88336b784c297,62369e13d95409adf9e456ef29d4d6695bc90f46096610a59aa3562aca0337ea,PASS,PASS
discovery/R1_RP75_S15_F0,104,0.5,a8472829e92e79c4c2c1da5ea0bce685dce1380b7128192cf12b849a422d1caa,5b727facde70230ebc18a3e748c7c39eac6cd8b89b277aaacd1211f89d42e854,PASS,PASS
discovery/R1_RP75_S15_F1,104,0.5,f684613c518c5059cea5625fb531a6df2dd30adb65b96a4ec9d88336b784c297,62369e13d95409adf9e456ef29d4d6695bc90f46096610a59aa3562aca0337ea,PASS,PASS
discovery/R1_RP75_S20_F0,104,0.5,a8472829e92e79c4c2c1da5ea0bce685dce1380b7128192cf12b849a422d1caa,5b727facde70230ebc18a3e748c7c39eac6cd8b89b277aaacd1211f89d42e854,PASS,PASS
discovery/R1_RP75_S20_F1,104,0.5,f684613c518c5059cea5625fb531a6df2dd30adb65b96a4ec9d88336b784c297,62369e13d95409adf9e456ef29d4d6695bc90f46096610a59aa3562aca0337ea,PASS,PASS
discovery/R2_RP100_S10_F0,104,0.5,9b881e1e6e18686949dafa46d5efc0ef5594eedafbcf950b647004c823dc9210,590bdec97c6f49a8263d8f0c970d81b429dc3ece369ca31c0b73d682d3e17d5f,PASS,PASS
discovery/R2_RP100_S10_F1,104,0.5,d1a176b851952473b7206e04c472f373d9632daf0960757fbcb13c0430a2e704,1eb196d5dbb48220785a95aa981efb3a9a20ca0bcaeac9f6fb0253e4dd817c18,PASS,PASS
discovery/R2_RP100_S15_F0,104,0.5,9b881e1e6e18686949dafa46d5efc0ef5594eedafbcf950b647004c823dc9210,590bdec97c6f49a8263d8f0c970d81b429dc3ece369ca31c0b73d682d3e17d5f,PASS,PASS
discovery/R2_RP100_S15_F1,104,0.5,d1a176b851952473b7206e04c472f373d9632daf0960757fbcb13c0430a2e704,1eb196d5dbb48220785a95aa981efb3a9a20ca0bcaeac9f6fb0253e4dd817c18,PASS,PASS
discovery/R2_RP100_S20_F0,104,0.5,9b881e1e6e18686949dafa46d5efc0ef5594eedafbcf950b647004c823dc9210,590bdec97c6f49a8263d8f0c970d81b429dc3ece369ca31c0b73d682d3e17d5f,PASS,PASS
discovery/R2_RP100_S20_F1,104,0.5,d1a176b851952473b7206e04c472f373d9632daf0960757fbcb13c0430a2e704,1eb196d5dbb48220785a95aa981efb3a9a20ca0bcaeac9f6fb0253e4dd817c18,PASS,PASS
discovery/R2_RP125_S10_F0,104,0.5,2e6a6fcd0ddaaf3c99ae2722771588e4e147d4beff54d97771adece631dff7c7,06ae38941ca11bbb78918580741d89c39c2d0cf9b70021b9c1ebb59ab1a540d0,PASS,PASS
discovery/R2_RP125_S10_F1,104,0.5,6debc9d159d71bc28625874b6751558311df4669b29c7bb6d4377a5a36831008,ebf9fc90cd9ce42d5d008661e173692c2bbd1e59b454ddb15206d7fec7e87dcd,PASS,PASS
discovery/R2_RP125_S15_F0,104,0.5,2e6a6fcd0ddaaf3c99ae2722771588e4e147d4beff54d97771adece631dff7c7,06ae38941ca11bbb78918580741d89c39c2d0cf9b70021b9c1ebb59ab1a540d0,PASS,PASS
discovery/R2_RP125_S15_F1,104,0.5,6debc9d159d71bc28625874b6751558311df4669b29c7bb6d4377a5a36831008,ebf9fc90cd9ce42d5d008661e173692c2bbd1e59b454ddb15206d7fec7e87dcd,PASS,PASS
discovery/R2_RP125_S20_F0,104,0.5,2e6a6fcd0ddaaf3c99ae2722771588e4e147d4beff54d97771adece631dff7c7,06ae38941ca11bbb78918580741d89c39c2d0cf9b70021b9c1ebb59ab1a540d0,PASS,PASS
discovery/R2_RP125_S20_F1,104,0.5,6debc9d159d71bc28625874b6751558311df4669b29c7bb6d4377a5a36831008,ebf9fc90cd9ce42d5d008661e173692c2bbd1e59b454ddb15206d7fec7e87dcd,PASS,PASS
discovery/R2_RP150_S10_F0,104,0.5,1bd88b2134ed932bec6ec7a71f7dff46b2690340bfc4b6225e00af2be51c5b30,c9343234349a4f97516fb14f095bf38dfa8492bc05e52cc12fc9b73f0e0a0f81,PASS,PASS
discovery/R2_RP150_S10_F1,104,0.5,3355243ce70973d95e478701796c52052b27a4a1da5ab2340249740797793112,c89b38536c426f2be0b3021ab47c2e8a946277bc396d379430a8f5fd731b00e0,PASS,PASS
discovery/R2_RP150_S15_F0,104,0.5,1bd88b2134ed932bec6ec7a71f7dff46b2690340bfc4b6225e00af2be51c5b30,c9343234349a4f97516fb14f095bf38dfa8492bc05e52cc12fc9b73f0e0a0f81,PASS,PASS
discovery/R2_RP150_S15_F1,104,0.5,3355243ce70973d95e478701796c52052b27a4a1da5ab2340249740797793112,c89b38536c426f2be0b3021ab47c2e8a946277bc396d379430a8f5fd731b00e0,PASS,PASS
discovery/R2_RP150_S20_F0,104,0.5,1bd88b2134ed932bec6ec7a71f7dff46b2690340bfc4b6225e00af2be51c5b30,c9343234349a4f97516fb14f095bf38dfa8492bc05e52cc12fc9b73f0e0a0f81,PASS,PASS
discovery/R2_RP150_S20_F1,104,0.5,3355243ce70973d95e478701796c52052b27a4a1da5ab2340249740797793112,c89b38536c426f2be0b3021ab47c2e8a946277bc396d379430a8f5fd731b00e0,PASS,PASS
discovery/R2_RP75_S10_F0,104,0.5,b65db346b035065647eb37522f4af3f66116c72df23baec4e22dec168c0cd51e,e539a79d83579d3bbbb9368c3bb39c457ab94e73c3497ef6c867edc8c0f1bc95,PASS,PASS
discovery/R2_RP75_S10_F1,104,0.5,fd318257a427d2a1d8cd4e87866dd11b49c70f68f832d80710397ee41b819432,d07e875deb52fe87206345a33d602a894c9cdab3ecc0723599443eced5c61658,PASS,PASS
discovery/R2_RP75_S15_F0,104,0.5,b65db346b035065647eb37522f4af3f66116c72df23baec4e22dec168c0cd51e,e539a79d83579d3bbbb9368c3bb39c457ab94e73c3497ef6c867edc8c0f1bc95,PASS,PASS
discovery/R2_RP75_S15_F1,104,0.5,fd318257a427d2a1d8cd4e87866dd11b49c70f68f832d80710397ee41b819432,d07e875deb52fe87206345a33d602a894c9cdab3ecc0723599443eced5c61658,PASS,PASS
discovery/R2_RP75_S20_F0,104,0.5,b65db346b035065647eb37522f4af3f66116c72df23baec4e22dec168c0cd51e,e539a79d83579d3bbbb9368c3bb39c457ab94e73c3497ef6c867edc8c0f1bc95,PASS,PASS
discovery/R2_RP75_S20_F1,104,0.5,fd318257a427d2a1d8cd4e87866dd11b49c70f68f832d80710397ee41b819432,d07e875deb52fe87206345a33d602a894c9cdab3ecc0723599443eced5c61658,PASS,PASS
finalist_evidence/R0_RP75_S10_F1,272,0.5,a711363052dfbf270da7ae9edb94592264d3af6dac10ba324ab92907176e9121,0d078af3039869df067941063632dc488fde3adcd6b8ab683ee612a6aaa4a9fd,PASS,PASS
finalist_evidence/R1_RP100_S10_F1,272,0.5,df519f85a73d6d3467c88d1b56f232844ac6a2cd814631c92b5cbd05c891bfc3,593daa54e69d12584e6e90424f4ce6b0316a8b3f2a1d8abc824a76a944765c3c,PASS,PASS
finalist_evidence/R1_RP75_S10_F0,272,0.5,467b294b184af647b8db2a70d30516a19684859365b5e30d765eb885370e3aed,dd1ca6b2463fe4f1894f0511106c37bf9ca16201fd0d56377ec73334d3821fe3,PASS,PASS
smoke/R0_RP75_S10_F0,1,0.010033118129579268,be7935bf94ac5a3ba4ff321b2b5c0276e0d96bc1c57631936566b6c0f94d89d3,23c8b1a0868976225dadec4804021847e05db24f29c5109eb2a23f4b9da3b3eb,PASS,PASS
validation/R0_RP100_S10_F0,142,0.5,956d3bd584cace3ab6010722b7a8503a0f06cc36f667d79f1e9e9df3b65b0a8f,8ae00c1a82ad63778d5f9954cb62bae8e815508f0d3cad45ef98a294b8896f88,PASS,PASS
validation/R0_RP100_S10_F1,142,0.5,27fb3b5165c65e0e5fa8d3797ee52157576de6cb9568240f7a3fa69c478fe104,f2cc1215f792dc3f0403b3ea037e07b7d7caa319ba3ec6c70002bb3588329d67,PASS,PASS
validation/R0_RP75_S10_F0,142,0.5,11386dbafad74cbd7ed46116371a26a22aeeefee2a3d6f3441c7dd8e21ab60f6,10a259c299b39065364d5b08df3743e846738e632e6c739d60ea077c030f4609,PASS,PASS
validation/R0_RP75_S10_F1,142,0.5,c7559ec2bac56c11b89319ba7a934dc58c4fce67488152d76dae7e72a8ed1a55,500f009894bb4218d08128b9e2165d1bb1aa788c7fbdb7d35233e4de354366b5,PASS,PASS
validation/R1_RP100_S10_F0,142,0.5,6656fc6e072fa601f5d2c827cc556acd8851b5f437c022ba625f5c8d8552df5a,a4dcede2d1ec9645c39afebc395858d59c843b93a63f2d87d6bd97e5362d2ace,PASS,PASS
validation/R1_RP100_S10_F1,142,0.5,929e60e30d123b29e8f888ecd65b04989ffa1e207472450ac9182552380a4578,25b92f4f87c3aaa520e83c27124702f7583794fcb9bc523e4dae78095e6f0c50,PASS,PASS
validation/R1_RP75_S10_F0,142,0.5,ac25138922860204f652b09d81e029dcaaae84b5f94700e0a0eeb2e731f52ef5,00bcabb70ecacb9dcfa02953310b7a1b4f9213f7ccb2f86fb9345b3676640b74,PASS,PASS
validation/R1_RP75_S10_F1,142,0.5,4b29066bfe914058815d0e85d8e29439a7b06f961e68b2ee7bd61160e887cf7c,93d5cf2cdee72815281a36baf284e3d0b29c5b3f3f5dcaa64f85265ded66d84d,PASS,PASS
