case_id,period,group,requests,known_lifecycle,median_native_return,median_capital_days
R2_RP75_S15_F0,DISCOVERY,FUNDED,1217,1030,0.04673257445926075,21.33629040140378
R2_RP75_S15_F0,DISCOVERY,REJECTED,2354,970,0.06026507799134765,21.452681176865724
R2_RP75_S15_F1,DISCOVERY,FUNDED,1224,1034,0.04673257445926075,21.31749485788714
R2_RP75_S15_F1,DISCOVERY,REJECTED,2338,957,0.0591511316988643,21.486634972808
R2_RP75_S20_F0,DISCOVERY,FUNDED,1217,1030,0.04673257445926075,21.33629040140378
R2_RP75_S20_F0,DISCOVERY,REJECTED,2354,970,0.06026507799134765,21.452681176865724
R2_RP75_S20_F1,DISCOVERY,FUNDED,1224,1034,0.04673257445926075,21.31749485788714
R2_RP75_S20_F1,DISCOVERY,REJECTED,2338,957,0.0591511316988643,21.486634972808
R2_RP100_S10_F0,DISCOVERY,FUNDED,1229,1032,0.04673257445926075,21.33629040140378
R2_RP100_S10_F0,DISCOVERY,REJECTED,2342,968,0.06026507799134765,21.452681176865724
R2_RP100_S10_F1,DISCOVERY,FUNDED,1228,1033,0.0467395318968768,21.33402872428462
R2_RP100_S10_F1,DISCOVERY,REJECTED,2343,967,0.0595289013809116,21.46175353961365
R2_RP100_S15_F0,DISCOVERY,FUNDED,1229,1032,0.04673257445926075,21.33629040140378
R2_RP100_S15_F0,DISCOVERY,REJECTED,2342,968,0.06026507799134765,21.452681176865724
R2_RP100_S15_F1,DISCOVERY,FUNDED,1228,1033,0.0467395318968768,21.33402872428462
R2_RP100_S15_F1,DISCOVERY,REJECTED,2343,967,0.0595289013809116,21.46175353961365
R2_RP100_S20_F0,DISCOVERY,FUNDED,1229,1032,0.04673257445926075,21.33629040140378
R2_RP100_S20_F0,DISCOVERY,REJECTED,2342,968,0.06026507799134765,21.452681176865724
R2_RP100_S20_F1,DISCOVERY,FUNDED,1228,1033,0.0467395318968768,21.33402872428462
R2_RP100_S20_F1,DISCOVERY,REJECTED,2343,967,0.0595289013809116,21.46175353961365
R2_RP125_S10_F0,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S10_F0,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
R2_RP125_S10_F1,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S10_F1,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
R2_RP125_S15_F0,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S15_F0,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
R2_RP125_S15_F1,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S15_F1,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
R2_RP125_S20_F0,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S20_F0,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
R2_RP125_S20_F1,DISCOVERY,FUNDED,1250,1059,0.0512487629782451,21.237872024978916
R2_RP125_S20_F1,DISCOVERY,REJECTED,2300,937,0.0563295943324579,21.586160782200515
