case_id,strategy,account_multiplier,ratio_type,p50,p75,p90,p95,p99,max,missing_denominator,grade
R0_RP75_S10_F1,OGR,2,order_to_ADV20,0.0014227617254162221,0.00278291732371098,0.0040232795603032745,0.005782825995483426,0.01087686931567856,0.016249606269847616,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,5,order_to_daily_amount,0.004603680538581222,0.008679383369005868,0.01375422698008731,0.017803807165313355,0.02834258291323215,0.04114288413095687,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,5,order_to_ADV20,0.003556904313540555,0.006957293309277451,0.010058198900758186,0.014457064988708563,0.0271921732891964,0.04062401567461904,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,10,order_to_daily_amount,0.009207361077162444,0.017358766738011736,0.02750845396017462,0.03560761433062671,0.0566851658264643,0.08228576826191374,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,10,order_to_ADV20,0.00711380862708111,0.013914586618554901,0.020116397801516372,0.028914129977417127,0.0543843465783928,0.08124803134923808,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,SMV6,1,order_to_execution_window_volume,0.13114616546400404,0.4976021660815493,0.5,0.5,0.5,0.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,SMV6,2,order_to_execution_window_volume,0.2622923309280081,0.9952043321630986,1.0,1.0,1.0,1.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,SMV6,5,order_to_execution_window_volume,0.6557308273200202,2.488010830407746,2.5,2.5,2.5,2.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,SMV6,10,order_to_execution_window_volume,1.3114616546400404,4.976021660815492,5.0,5.0,5.0,5.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,1,order_to_daily_amount,0.00047394282186098095,0.00102531143323256,0.0019446684734152418,0.0028497543145009608,0.0048700905285501165,0.010764373575422294,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,1,order_to_ADV20,0.0008035587479826608,0.0016675186434067376,0.0027723841029257163,0.003758152066435492,0.006018428189500398,0.01,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,2,order_to_daily_amount,0.0009478856437219619,0.00205062286646512,0.0038893369468304836,0.0056995086290019216,0.009740181057100233,0.021528747150844588,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,2,order_to_ADV20,0.0016071174959653217,0.003335037286813475,0.0055447682058514325,0.007516304132870984,0.012036856379000796,0.02,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,5,order_to_daily_amount,0.0023697141093049047,0.0051265571661628,0.009723342367076209,0.014248771572504804,0.02435045264275058,0.05382186787711147,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,5,order_to_ADV20,0.004017793739913305,0.008337593217033687,0.013861920514628583,0.01879076033217746,0.030092140947501986,0.05,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,10,order_to_daily_amount,0.0047394282186098095,0.0102531143323256,0.019446684734152418,0.02849754314500961,0.04870090528550116,0.10764373575422294,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,ATRDR,10,order_to_ADV20,0.00803558747982661,0.016675186434067374,0.027723841029257165,0.03758152066435492,0.06018428189500397,0.1,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,1,order_to_daily_amount,0.00031864348853678326,0.0005231312160221204,0.0009337509290278523,0.0013897901399532251,0.001873736101661502,0.0019030400700818947,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,1,order_to_ADV20,0.000770843142315863,0.001561772898454989,0.0026997416099799484,0.002951355174941389,0.0034839873077710925,0.0036999323623305913,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,2,order_to_daily_amount,0.0006372869770735665,0.0010462624320442407,0.0018675018580557045,0.0027795802799064503,0.003747472203323004,0.0038060801401637893,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,2,order_to_ADV20,0.001541686284631726,0.003123545796909978,0.005399483219959897,0.005902710349882778,0.006967974615542185,0.0073998647246611825,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,5,order_to_daily_amount,0.0015932174426839163,0.002615656080110602,0.004668754645139261,0.006948950699766126,0.00936868050830751,0.009515200350409474,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,5,order_to_ADV20,0.003854215711579315,0.007808864492274944,0.01349870804989974,0.014756775874706947,0.01741993653885546,0.018499661811652957,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,10,order_to_daily_amount,0.0031864348853678326,0.005231312160221204,0.009337509290278522,0.013897901399532252,0.01873736101661502,0.019030400700818947,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,MCB,10,order_to_ADV20,0.00770843142315863,0.015617728984549889,0.02699741609979948,0.029513551749413895,0.03483987307771092,0.036999323623305914,3,DESCRIPTIVE_NO_IMPACT_MODEL
