case_id,matched_family_OFF,period,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_Sharpe,delta_net_pnl,incremental
R1_RP125_S15_F1,R1_RP125_S15_F0,DISCOVERY,0.0001264590291867873,-2.9277208615022254e-06,-1.3401405565400398e-05,0.003406080213940843,3595.9057534402236,True
R1_RP125_S20_F1,R1_RP125_S20_F0,DISCOVERY,0.0001264590291867873,-2.9277208615022254e-06,-1.3401405565400398e-05,0.003406080213940843,3595.9057534402236,True
R1_RP150_S10_F1,R1_RP150_S10_F0,DISCOVERY,0.00016458649913658752,-2.1686460731015766e-06,-1.692464488150039e-05,0.0036944016644229194,4939.016935609281,True
R1_RP150_S15_F1,R1_RP150_S15_F0,DISCOVERY,0.00016458649913658752,-2.1686460731015766e-06,-1.692464488150039e-05,0.0036944016644229194,4939.016935609281,True
R1_RP150_S20_F1,R1_RP150_S20_F0,DISCOVERY,0.00016458649913658752,-2.1686460731015766e-06,-1.692464488150039e-05,0.0036944016644229194,4939.016935609281,True
R2_RP75_S10_F1,R2_RP75_S10_F0,DISCOVERY,-0.0007367634570165094,-1.0061396160665481e-16,-2.1270557045900175e-05,-0.004232507573396216,-18304.738385568373,True
R2_RP75_S15_F1,R2_RP75_S15_F0,DISCOVERY,-0.0007367634570165094,-1.0061396160665481e-16,-2.1270557045900175e-05,-0.004232507573396216,-18304.738385568373,True
R2_RP75_S20_F1,R2_RP75_S20_F0,DISCOVERY,-0.0007367634570165094,-1.0061396160665481e-16,-2.1270557045900175e-05,-0.004232507573396216,-18304.738385568373,True
R2_RP100_S10_F1,R2_RP100_S10_F0,DISCOVERY,9.285085743489241e-05,-1.942890293094024e-16,-9.761552062799612e-06,0.0029815686782308504,2480.852828846313,True
R2_RP100_S15_F1,R2_RP100_S15_F0,DISCOVERY,9.285085743489241e-05,-1.942890293094024e-16,-9.761552062799612e-06,0.0029815686782308504,2480.852828846313,True
R2_RP100_S20_F1,R2_RP100_S20_F0,DISCOVERY,9.285085743489241e-05,-1.942890293094024e-16,-9.761552062799612e-06,0.0029815686782308504,2480.852828846313,True
R2_RP125_S10_F1,R2_RP125_S10_F0,DISCOVERY,0.00012712681085239042,-1.9292936514966885e-06,-1.3471515908801066e-05,0.0034223313888079865,3611.0964921712875,True
R2_RP125_S15_F1,R2_RP125_S15_F0,DISCOVERY,0.00012712681085239042,-1.9292936514966885e-06,-1.3471515908801066e-05,0.0034223313888079865,3611.0964921712875,True
R2_RP125_S20_F1,R2_RP125_S20_F0,DISCOVERY,0.00012712681085239042,-1.9292936514966885e-06,-1.3471515908801066e-05,0.0034223313888079865,3611.0964921712875,True
R2_RP150_S10_F1,R2_RP150_S10_F0,DISCOVERY,0.0001634955511099212,-1.1037981616016102e-06,-1.686833606300009e-05,0.003678853941850413,4900.376464501023,True
R2_RP150_S15_F1,R2_RP150_S15_F0,DISCOVERY,0.0001634955511099212,-1.1037981616016102e-06,-1.686833606300009e-05,0.003678853941850413,4900.376464501023,True
R2_RP150_S20_F1,R2_RP150_S20_F0,DISCOVERY,0.0001634955511099212,-1.1037981616016102e-06,-1.686833606300009e-05,0.003678853941850413,4900.376464501023,True
R0_RP100_S10_F1,R0_RP100_S10_F0,VALIDATION,-7.006102698219052e-05,0.00022298400439049737,-1.0001030673399518e-05,-0.0011708262930028024,1994.06907811563,False
R0_RP75_S10_F1,R0_RP75_S10_F0,VALIDATION,-4.4756221345199076e-05,0.00017516937555829906,-6.4323581288995915e-06,-0.0013267939744243673,873.1325087286532,False
R1_RP100_S10_F1,R1_RP100_S10_F0,VALIDATION,-0.0002841395975548,-9.198102805170125e-05,-2.4889616685199595e-05,0.0013092683667284,-4567.191078595817,True
R1_RP75_S10_F1,R1_RP75_S10_F0,VALIDATION,-0.00020583794344589817,-6.91484081204001e-05,-1.792793229990052e-05,0.0012394339163592782,-4878.935034965165,True
