route,segment,policy,test,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days,remaining_advantage_amount,independent_trigger_dates
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,REMOVE_BEST_1_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.026161287938194926,12.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,REMOVE_BEST_5_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.0328075075299195,12.0
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,EXTRA_EXIT_10BP,157,157.0,0.0,157.0,48.0,13.0,13.0,0.0,13.0,-0.002833956390835125,0.0,-0.016234477318899532,115.0,3.0,3.0,3.0,-0.018159078451611674,8.0,7.0,0.009694212943436357,-0.14472711479765182,-0.13041030061442174,224.0,,
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,DELAY_ONE_SESSION,157,157.0,0.0,157.0,48.0,13.0,13.0,0.0,13.0,-0.0027053018194007484,0.0,-0.0151220790118222,115.0,3.0,3.0,3.0,-0.019572879413127832,8.0,7.0,0.011774678671199265,-0.14472711479765182,-0.13612463393227603,209.0,,
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2021,53,53.0,0.0,53.0,17.0,4.0,4.0,0.0,4.0,-0.0037684937484753437,0.0,-0.006580012778287558,43.0,2.0,2.0,2.0,-0.010759593509272667,2.0,2.0,0.004179580730985108,-0.1408107457091922,-0.11365158782624922,77.0,,
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2022,69,69.0,0.0,69.0,19.0,7.0,7.0,0.0,7.0,-0.0029937782918441815,0.0,-0.007492377328208382,44.0,1.0,1.0,1.0,-0.007307070228825491,5.0,4.0,0.004061815605196013,-0.14043250412877664,-0.13591711483570737,123.0,,
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2023,35,35.0,0.0,35.0,12.0,2.0,2.0,0.0,2.0,-0.0007764757387388411,0.0,-0.0016883523470807473,28.0,0.0,0.0,0.0,,1.0,1.0,0.0017072387435120185,-0.11414994896104502,-0.12773827438897478,24.0,,
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,157,,,,,,,,,,,,,,,,,,,,,,,-0.01819451842183698,13.0
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,157,,,,,,,,,,,,,,,,,,,,,,,-0.02432547991036403,13.0
MCB,CONTINUOUS_2014_2023,fixed_0.1,EXTRA_EXIT_10BP,294,294.0,0.0,294.0,39.0,22.0,21.0,0.0,19.0,-0.002467478847230639,0.0,-0.0189294943731115,172.0,3.0,3.0,3.0,-0.01748323132463268,15.0,7.0,0.006685058241137809,-0.12752046071899029,-0.12081497864766019,176.0,,
MCB,CONTINUOUS_2014_2023,fixed_0.1,DELAY_ONE_SESSION,294,294.0,0.0,294.0,39.0,22.0,15.0,0.0,19.0,-0.0024997080827000783,0.0,-0.019008121231713634,172.0,3.0,3.0,3.0,-0.01696916446190724,15.0,6.0,0.004312643629124432,-0.12752046071899029,-0.12425919811008054,151.0,,
MCB,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2021,91,91.0,0.0,91.0,12.0,6.0,5.0,0.0,6.0,-0.006062953110829098,0.0,-0.013161132927729675,59.0,2.0,2.0,2.0,-0.014194997654940755,3.0,1.0,0.0020741183646450223,-0.11478173192107415,-0.11602963037976177,70.0,,
MCB,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2022,72,72.0,0.0,72.0,13.0,11.0,11.0,0.0,8.0,0.0005610067882379219,0.0,0.0010054476904239164,42.0,0.0,0.0,0.0,,8.0,4.0,0.0039310487864989314,-0.15189569851032936,-0.1264669744947975,78.0,,
MCB,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2023,131,131.0,0.0,131.0,14.0,5.0,5.0,0.0,5.0,-0.0014920304320127787,0.0,-0.006197255090901414,71.0,1.0,1.0,1.0,-0.0032200031884530287,4.0,2.0,0.0008740676058096882,-0.10560796463750928,-0.11139121393872804,28.0,,
MCB,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,294,,,,,,,,,,,,,,,,,,,,,,,-0.020427058692852194,19.0
MCB,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,294,,,,,,,,,,,,,,,,,,,,,,,-0.024796280944631755,19.0
MCB,CONTINUOUS_2014_2023,profit_0,EXTRA_EXIT_10BP,294,294.0,0.0,294.0,39.0,66.0,64.0,0.0,47.0,-0.0010297631315330043,0.0,-0.008287139294875026,172.0,23.0,23.0,19.0,-0.04402972943608491,15.0,5.0,0.015743567052887594,-0.12752046071899029,-0.11584887259899537,648.0,,
MCB,CONTINUOUS_2014_2023,profit_0,DELAY_ONE_SESSION,294,294.0,0.0,294.0,39.0,66.0,58.0,0.0,47.0,0.0003962091358293976,0.0,0.005110069953764237,172.0,22.0,20.0,16.0,-0.03593465719246593,15.0,5.0,0.016598689312200397,-0.12752046071899029,-0.11538633841507279,538.0,,
MCB,CONTINUOUS_2014_2023,profit_0,YEAR_2021,91,91.0,0.0,91.0,12.0,20.0,20.0,0.0,16.0,-0.0033565170256730603,0.0,-0.009017836974687849,59.0,6.0,6.0,3.0,-0.014758826220229034,3.0,0.0,,-0.11478173192107415,-0.11572119813938517,258.0,,
MCB,CONTINUOUS_2014_2023,profit_0,YEAR_2022,72,72.0,0.0,72.0,13.0,28.0,27.0,0.0,21.0,-0.0020292849049893735,0.0,-0.005039933631853401,42.0,14.0,14.0,13.0,-0.022090995601634106,8.0,4.0,0.012160984652981818,-0.15189569851032936,-0.13212355269558446,234.0,,
MCB,CONTINUOUS_2014_2023,profit_0,YEAR_2023,131,131.0,0.0,131.0,14.0,18.0,17.0,0.0,10.0,0.0016145796012066024,0.0,0.0076989633635375036,71.0,3.0,3.0,3.0,-0.006509587342810666,4.0,1.0,0.003736337276194729,-0.10560796463750928,-0.10156906682127745,156.0,,
MCB,CONTINUOUS_2014_2023,profit_0,REMOVE_BEST_1_TRIGGER_DATES,294,,,,,,,,,,,,,,,,,,,,,,,-0.011411574519546566,47.0
MCB,CONTINUOUS_2014_2023,profit_0,REMOVE_BEST_5_TRIGGER_DATES,294,,,,,,,,,,,,,,,,,,,,,,,-0.023808121177199954,47.0
OGR,2018_2021,fixed_0.1,EXTRA_EXIT_10BP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,
OGR,2018_2021,fixed_0.1,DELAY_ONE_SESSION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,
OGR,2018_2021,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
OGR,2018_2021,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
OGR,2022_2023,fixed_0.1,EXTRA_EXIT_10BP,44,44.0,0.0,44.0,25.0,3.0,3.0,0.0,3.0,-0.005230785140398861,0.0,-0.0014475754218550624,37.0,1.0,1.0,1.0,-0.001149308309335515,1.0,1.0,0.0003237956564083418,-0.08843582095627933,-0.12732184635004692,53.0,,
OGR,2022_2023,fixed_0.1,DELAY_ONE_SESSION,44,44.0,0.0,44.0,25.0,3.0,3.0,0.0,3.0,-0.005373508940491664,0.0,-0.0014840656232367102,37.0,1.0,1.0,1.0,-0.0013555333194204893,1.0,1.0,0.00034771315830723693,-0.08843582095627933,-0.129415128751408,50.0,,
OGR,2022_2023,fixed_0.1,YEAR_2022,35,35.0,0.0,35.0,17.0,3.0,3.0,0.0,3.0,-0.006500818113714498,0.0,-0.0014310721752372418,30.0,1.0,1.0,1.0,-0.001144158705797206,1.0,1.0,0.0003294041874256151,-0.11025531848174225,-0.14053158351436362,53.0,,
OGR,2022_2023,fixed_0.1,YEAR_2023,9,9.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,-0.0447968259053535,-0.0447968259053535,0.0,,
OGR,2022_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,44,,,,,,,,,,,,,,,,,,,,,,,-0.001760476362662857,3.0
OGR,2022_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,44,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
IFCGR,2018_2021,fixed_0.1,EXTRA_EXIT_10BP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,
IFCGR,2018_2021,fixed_0.1,DELAY_ONE_SESSION,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,
IFCGR,2018_2021,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IFCGR,2018_2021,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IFCGR,2022_2023,fixed_0.1,EXTRA_EXIT_10BP,44,44.0,0.0,44.0,25.0,3.0,3.0,0.0,3.0,-0.005230785140398861,0.0,-0.0014475754218550624,37.0,1.0,1.0,1.0,-0.001149308309335515,1.0,1.0,0.0003237956564083418,-0.08843582095627933,-0.12732184635004692,53.0,,
IFCGR,2022_2023,fixed_0.1,DELAY_ONE_SESSION,44,44.0,0.0,44.0,25.0,3.0,3.0,0.0,3.0,-0.005373508940491664,0.0,-0.0014840656232367102,37.0,1.0,1.0,1.0,-0.0013555333194204893,1.0,1.0,0.00034771315830723693,-0.08843582095627933,-0.129415128751408,50.0,,
IFCGR,2022_2023,fixed_0.1,YEAR_2022,35,35.0,0.0,35.0,17.0,3.0,3.0,0.0,3.0,-0.006500818113714498,0.0,-0.0014310721752372418,30.0,1.0,1.0,1.0,-0.001144158705797206,1.0,1.0,0.0003294041874256151,-0.11025531848174225,-0.14053158351436362,53.0,,
IFCGR,2022_2023,fixed_0.1,YEAR_2023,9,9.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,-0.0447968259053535,-0.0447968259053535,0.0,,
IFCGR,2022_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,44,,,,,,,,,,,,,,,,,,,,,,,-0.001760476362662857,3.0
IFCGR,2022_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,44,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
