route,year,phase,model,states,events,signal_dates,weighted_mse,weighted_bias,mean_predicted,mean_realized,top_mean_predicted,top_mean_realized,top_events,top_signal_dates,top_tail,domain_out_fraction,n_features,not_applicable_columns,unexpected_missing_fraction,b0_mse,mse_improvement_over_b0
ATRDR_SLOW_BEAR,2019,DISCOVERY_FORWARD,B2_PRICE,203,12,8,0.005182886132062973,-0.029229866620926758,-0.03728260243772286,-0.008052735816796115,-0.019430594535875957,-0.0026021585014638308,11,7,-0.05482029698201277,0.0,6,,0.0,0.0062279691805457345,0.0010450830484827617
ATRDR_SLOW_BEAR,2019,DISCOVERY_FORWARD,B2_EXTENDED,203,12,8,0.00518288613206297,-0.029229866620926703,-0.037282602437722814,-0.008052735816796115,-0.01943059453587581,-0.0026021585014638308,11,7,-0.05482029698201277,0.0,11,,0.16748768472906403,0.0062279691805457345,0.0010450830484827643
ATRDR_SLOW_BEAR,2019,DISCOVERY_FORWARD,B1_NO_STRUCTURE,203,12,8,0.006231111028913691,-0.024234502528055358,-0.03228723834485147,-0.008052735816796115,0.010399564284192026,-0.0134472714918855,6,2,-0.05290368932038852,0.0,9,,0.16748768472906403,0.0062279691805457345,-3.141848367956522e-06
ATRDR_SLOW_BEAR,2019,DISCOVERY_FORWARD,B1_NO_VOLUME,203,12,8,0.006261904569634473,-0.02533487920897123,-0.03338761502576734,-0.008052735816796115,0.00959687461741832,-0.012734414349028361,6,2,-0.05290368932038852,0.0,10,,0.16748768472906403,0.0062279691805457345,-3.393538908873835e-05
ATRDR_SLOW_BEAR,2019,DISCOVERY_FORWARD,B1_PRICE_AUGMENT_ONLY,203,12,8,0.006256089833166878,-0.024236535280537302,-0.03228927109733341,-0.008052735816796115,0.010911526585945686,-0.013292094535780619,6,2,-0.05290368932038852,0.0,8,,0.16748768472906403,0.0062279691805457345,-2.8120652621143293e-05
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B0,348,21,15,0.004102164400668772,-0.0013952695357167936,-0.04489663566498171,-0.043501366129264925,-0.00574727076955909,-0.012210472861678557,13,11,-0.059864497580850544,0.0,6,,0.05747126436781609,0.004102164400668772,0.0
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B1,348,21,15,0.0040518448329237315,-0.0019353811287393372,-0.04543674725800425,-0.043501366129264925,-0.007325949735470645,-0.011808470171105126,15,12,-0.06251513802412158,0.0,11,,0.22988505747126436,0.004102164400668772,5.0319567745040275e-05
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B2_PRICE,348,21,15,0.004224138875072994,0.000287257430103635,-0.043214108699161285,-0.043501366129264925,-0.018450107081514507,-0.025603651628185304,18,14,-0.1316503029961354,0.0,6,,0.05747126436781609,0.004102164400668772,-0.00012197447440422202
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B2_EXTENDED,348,21,15,0.004224138875072995,0.0002872574301037143,-0.04321410869916121,-0.043501366129264925,-0.018450107081514372,-0.025603651628185304,18,14,-0.1316503029961354,0.0,11,,0.22988505747126436,0.004102164400668772,-0.00012197447440422289
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B1_NO_STRUCTURE,348,21,15,0.004070470186085482,-0.001509854740832177,-0.045011220870097096,-0.043501366129264925,-0.006910819284923808,-0.009445725660694895,14,12,-0.06251513802412158,0.0,9,,0.22988505747126436,0.004102164400668772,3.169421458329002e-05
