route,policy,family,value,period,start,end,selection_boundary_excluded,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days
ATRDR_SLOW_BEAR,atr_3,atr,3.0,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,8,8,0,7,9.972383211013715e-05,0.0,-0.0006495825887848519,115,0,0,0,,8,5,0.0075267240920514015,-0.14472711479765182,-0.13721516505733322,128.0
ATRDR_SLOW_BEAR,H1_2,H1,2.0,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,37,37,0,35,-0.004411596739249514,0.0,-0.04304421546563869,256,7,7,7,-0.034584736618883505,24,11,0.007595520366436064,-0.1582390632091516,-0.16827822456470565,551.0
ATRDR_SLOW_BEAR,H1_2,H1,2.0,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,14,13,0,12,-0.003123111135900603,0.0,-0.017005131558097845,115,3,3,3,-0.019083444356983267,8,4,0.010367284570417898,-0.14472711479765182,-0.1410635528818635,210.0
ATRDR_SLOW_BEAR,H2_0,H2,0.0,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,128,125,59,88,-0.012704062302666987,0.0,-0.1140980454720532,256,54,54,52,-0.1358814299101454,24,18,0.03799586739341727,-0.1582390632091516,-0.15268950097499387,1954.0
ATRDR_SLOW_BEAR,H2_0,H2,0.0,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,64,63,0,33,-0.00945685118722117,0.0,-0.05804059280075131,115,23,23,23,-0.08362897575655681,8,7,0.02367791816179909,-0.14472711479765182,-0.1262553921922761,1019.0
MCB,native_0,native,0.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,0,0,0,0,0.0,0.0,0.0,460,0,0,0,,31,0,,-0.12133123470115399,-0.12133123470115399,0.0
MCB,native_0,native,0.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,0,0,0,0,0.0,0.0,0.0,172,0,0,0,,15,0,,-0.12752046071899029,-0.12752046071899029,0.0
MCB,fixed_0.03,fixed,0.03,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,360,353,7,140,-0.021831891610964937,0.0,-0.33855435814528045,460,136,136,135,-0.39452518734833675,31,30,0.048848265073239465,-0.12133123470115399,-0.0953233532262168,5391.0
MCB,fixed_0.03,fixed,0.03,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,139,135,0,81,-0.010375866379072448,0.0,-0.08385730056170626,172,36,36,35,-0.13687781357257633,15,14,0.03659663464703852,-0.12752046071899029,-0.07878033215890837,1750.0
MCB,fixed_0.05,fixed,0.05,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,245,239,1,103,-0.012942955796455565,0.0,-0.20133987535491865,460,63,63,63,-0.1990013100778939,31,29,0.03744615059275219,-0.12133123470115399,-0.10229741417244273,2988.0
