opportunity_id,strategy,status,error
300268.SZ|2018-01-31,OGR,PASS,
002200.SZ|2018-01-31,OGR,PASS,
300076.SZ|2018-01-30,OGR,PASS,
600698.SH|2018-01-31,OGR,PASS,
002446.SZ|2018-01-31,OGR,PASS,
002702.SZ|2018-01-31,OGR,PASS,
300220.SZ|2018-02-01,OGR,PASS,
002401.SZ|2018-02-01,OGR,PASS,
000917.SZ|2018-01-31,OGR,PASS,
300025.SZ|2018-01-31,OGR,PASS,
600601.SH|2018-01-31,OGR,PASS,
000519.SZ|2018-01-31,OGR,PASS,
002759.SZ|2018-01-31,OGR,PASS,
600571.SH|2018-02-01,OGR,PASS,
002261.SZ|2018-02-01,OGR,PASS,
002338.SZ|2018-02-02,OGR,PASS,
300106.SZ|2018-01-31,OGR,PASS,
603958.SH|2018-02-02,OGR,PASS,
002106.SZ|2018-02-02,OGR,PASS,
002724.SZ|2018-02-02,OGR,PASS,
600397.SH|2018-01-31,OGR,PASS,
603336.SH|2018-02-02,OGR,PASS,
002799.SZ|2018-02-05,OGR,PASS,
300517.SZ|2018-02-02,OGR,PASS,
002836.SZ|2018-02-01,OGR,PASS,
600749.SH|2018-02-01,OGR,PASS,
600113.SH|2018-02-02,OGR,PASS,
300380.SZ|2018-02-05,OGR,PASS,
600830.SH|2018-02-02,OGR,PASS,
002846.SZ|2018-02-02,OGR,PASS,
002048.SZ|2018-03-23,OGR,PASS,
300418.SZ|2018-04-03,OGR,PASS,
300433.SZ|2018-04-03,OGR,PASS,
300355.SZ|2018-06-13,OGR,PASS,
300228.SZ|2018-06-19,OGR,PASS,
000839.SZ|2018-06-19,OGR,PASS,
603300.SH|2018-06-19,OGR,PASS,
002730.SZ|2018-06-19,OGR,PASS,
002755.SZ|2018-06-19,OGR,PASS,
603488.SH|2018-06-19,OGR,PASS,
600522.SH|2018-06-19,OGR,PASS,
300502.SZ|2018-06-19,OGR,PASS,
000070.SZ|2018-06-19,OGR,PASS,
600822.SH|2018-06-19,OGR,PASS,
603817.SH|2018-06-19,OGR,PASS,
600012.SH|2018-06-19,OGR,PASS,
002743.SZ|2018-06-19,OGR,PASS,
600970.SH|2018-06-19,OGR,PASS,
000725.SZ|2018-06-19,OGR,PASS,
300649.SZ|2018-06-19,OGR,PASS,
002241.SZ|2018-06-19,OGR,PASS,
300230.SZ|2018-06-19,OGR,PASS,
002385.SZ|2018-06-26,OGR,PASS,
000002.SZ|2018-06-26,OGR,PASS,
002387.SZ|2018-06-22,OGR,PASS,
603579.SH|2018-08-06,OGR,PASS,
002543.SZ|2018-08-06,OGR,PASS,
603111.SH|2018-08-20,OGR,PASS,
002600.SZ|2018-08-27,OGR,PASS,
300608.SZ|2018-09-28,OGR,PASS,
