stage,sheet,slot,blind_id
formal,1,11,CASE_000134
formal,1,12,CASE_000793
formal,1,13,CASE_000109
formal,1,14,CASE_000747
formal,1,15,CASE_000792
formal,1,16,CASE_000599
formal,2,1,CASE_000418
formal,2,2,CASE_000681
formal,2,3,CASE_000760
formal,2,4,CASE_000302
formal,2,5,CASE_000754
formal,2,6,CASE_000061
formal,2,7,CASE_000207
formal,2,8,CASE_000665
formal,2,9,CASE_000059
formal,2,10,CASE_000521
formal,2,11,CASE_000664
formal,2,12,CASE_000171
formal,2,13,CASE_000220
formal,2,14,CASE_000068
formal,2,15,CASE_000150
formal,2,16,CASE_000640
formal,3,1,CASE_000239
formal,3,2,CASE_000085
formal,3,3,CASE_000763
formal,3,4,CASE_000224
formal,3,5,CASE_000703
formal,3,6,CASE_000692
formal,3,7,CASE_000376
formal,3,8,CASE_000184
formal,3,9,CASE_000710
formal,3,10,CASE_000417
formal,3,11,CASE_000099
formal,3,12,CASE_000108
formal,3,13,CASE_000032
formal,3,14,CASE_000543
formal,3,15,CASE_000734
formal,3,16,CASE_000363
formal,4,1,CASE_000431
formal,4,2,CASE_000648
formal,4,3,CASE_000058
formal,4,4,CASE_000129
formal,4,5,CASE_000189
formal,4,6,CASE_000278
formal,4,7,CASE_000282
formal,4,8,CASE_000449
formal,4,9,CASE_000141
formal,4,10,CASE_000350
formal,4,11,CASE_000029
formal,4,12,CASE_000387
formal,4,13,CASE_000495
formal,4,14,CASE_000072
formal,4,15,CASE_000385
formal,4,16,CASE_000779
formal,5,1,CASE_000305
formal,5,2,CASE_000614
formal,5,3,CASE_000708
formal,5,4,CASE_000759
formal,5,5,CASE_000232
formal,5,6,CASE_000551
formal,5,7,CASE_000585
formal,5,8,CASE_000191
formal,5,9,CASE_000565
formal,5,10,CASE_000476
formal,5,11,CASE_000368
formal,5,12,CASE_000367
formal,5,13,CASE_000037
formal,5,14,CASE_000077
formal,5,15,CASE_000578
formal,5,16,CASE_000312
formal,6,1,CASE_000319
formal,6,2,CASE_000475
formal,6,3,CASE_000209
formal,6,4,CASE_000677
formal,6,5,CASE_000427
formal,6,6,CASE_000188
formal,6,7,CASE_000237
formal,6,8,CASE_000437
formal,6,9,CASE_000143
formal,6,10,CASE_000023
formal,6,11,CASE_000592
formal,6,12,CASE_000536
formal,6,13,CASE_000114
formal,6,14,CASE_000392
formal,6,15,CASE_000105
formal,6,16,CASE_000554
formal,7,1,CASE_000504
formal,7,2,CASE_000532
formal,7,3,CASE_000582
formal,7,4,CASE_000262
formal,7,5,CASE_000289
formal,7,6,CASE_000343
formal,7,7,CASE_000056
formal,7,8,CASE_000126
formal,7,9,CASE_000328
formal,7,10,CASE_000490
formal,7,11,CASE_000001
formal,7,12,CASE_000118
formal,7,13,CASE_000719
formal,7,14,CASE_000580
formal,7,15,CASE_000444
formal,7,16,CASE_000724
formal,8,1,CASE_000572
formal,8,2,CASE_000055
formal,8,3,CASE_000354
formal,8,4,CASE_000632
formal,8,5,CASE_000486
formal,8,6,CASE_000470
formal,8,7,CASE_000048
formal,8,8,CASE_000422
formal,8,9,CASE_000789
formal,8,10,CASE_000618
formal,8,11,CASE_000101
formal,8,12,CASE_000241
formal,8,13,CASE_000676
formal,8,14,CASE_000511
formal,8,15,CASE_000407
formal,8,16,CASE_000208
formal,9,1,CASE_000321
formal,9,2,CASE_000564
formal,9,3,CASE_000753
formal,9,4,CASE_000198
formal,9,5,CASE_000735
formal,9,6,CASE_000190
formal,9,7,CASE_000066
formal,9,8,CASE_000773
formal,9,9,CASE_000156
formal,9,10,CASE_000644
formal,9,11,CASE_000035
formal,9,12,CASE_000550
formal,9,13,CASE_000315
formal,9,14,CASE_000351
formal,9,15,CASE_000577
formal,9,16,CASE_000047
formal,10,1,CASE_000397
formal,10,2,CASE_000646
formal,10,3,CASE_000542
formal,10,4,CASE_000218
formal,10,5,CASE_000535
formal,10,6,CASE_000604
formal,10,7,CASE_000766
formal,10,8,CASE_000093
formal,10,9,CASE_000438
formal,10,10,CASE_000691
formal,10,11,CASE_000112
formal,10,12,CASE_000481
formal,10,13,CASE_000714
formal,10,14,CASE_000471
formal,10,15,CASE_000641
formal,10,16,CASE_000256
formal,11,1,CASE_000796
formal,11,2,CASE_000236
formal,11,3,CASE_000065
formal,11,4,CASE_000095
formal,11,5,CASE_000024
formal,11,6,CASE_000014
formal,11,7,CASE_000593
formal,11,8,CASE_000751
formal,11,9,CASE_000595
formal,11,10,CASE_000003
formal,11,11,CASE_000409
formal,11,12,CASE_000104
formal,11,13,CASE_000443
formal,11,14,CASE_000400
formal,11,15,CASE_000128
formal,11,16,CASE_000125
formal,12,1,CASE_000234
formal,12,2,CASE_000690
formal,12,3,CASE_000377
formal,12,4,CASE_000043
formal,12,5,CASE_000544
formal,12,6,CASE_000725
formal,12,7,CASE_000052
formal,12,8,CASE_000163
formal,12,9,CASE_000460
formal,12,10,CASE_000783
formal,12,11,CASE_000558
formal,12,12,CASE_000160
formal,12,13,CASE_000142
formal,12,14,CASE_000076
formal,12,15,CASE_000144
formal,12,16,CASE_000491
formal,13,1,CASE_000477
formal,13,2,CASE_000252
formal,13,3,CASE_000498
formal,13,4,CASE_000044
formal,13,5,CASE_000157
formal,13,6,CASE_000426
formal,13,7,CASE_000727
formal,13,8,CASE_000291
formal,13,9,CASE_000146
formal,13,10,CASE_000410
formal,13,11,CASE_000736
formal,13,12,CASE_000678
formal,13,13,CASE_000712
formal,13,14,CASE_000767
formal,13,15,CASE_000785
formal,13,16,CASE_000686
formal,14,1,CASE_000707
formal,14,2,CASE_000414
formal,14,3,CASE_000165
formal,14,4,CASE_000629
formal,14,5,CASE_000561
formal,14,6,CASE_000330
formal,14,7,CASE_000106
formal,14,8,CASE_000508
formal,14,9,CASE_000255
formal,14,10,CASE_000693
formal,14,11,CASE_000683
formal,14,12,CASE_000697
formal,14,13,CASE_000249
formal,14,14,CASE_000054
formal,14,15,CASE_000296
formal,14,16,CASE_000442
formal,15,1,CASE_000638
formal,15,2,CASE_000005
formal,15,3,CASE_000525
formal,15,4,CASE_000612
formal,15,5,CASE_000730
formal,15,6,CASE_000797
formal,15,7,CASE_000694
formal,15,8,CASE_000617
formal,15,9,CASE_000704
formal,15,10,CASE_000215
formal,15,11,CASE_000214
formal,15,12,CASE_000063
formal,15,13,CASE_000292
formal,15,14,CASE_000266
formal,15,15,CASE_000310
formal,15,16,CASE_000424
formal,16,1,CASE_000432
formal,16,2,CASE_000373
formal,16,3,CASE_000238
formal,16,4,CASE_000573
formal,16,5,CASE_000706
formal,16,6,CASE_000447
formal,16,7,CASE_000672
formal,16,8,CASE_000732
formal,16,9,CASE_000546
formal,16,10,CASE_000596
formal,16,11,CASE_000742
formal,16,12,CASE_000450
formal,16,13,CASE_000062
formal,16,14,CASE_000786
formal,16,15,CASE_000362
formal,16,16,CASE_000299
formal,17,1,CASE_000733
formal,17,2,CASE_000540
formal,17,3,CASE_000560
formal,17,4,CASE_000613
formal,17,5,CASE_000428
formal,17,6,CASE_000778
formal,17,7,CASE_000462
formal,17,8,CASE_000562
formal,17,9,CASE_000113
formal,17,10,CASE_000294
formal,17,11,CASE_000337
formal,17,12,CASE_000202
formal,17,13,CASE_000801
formal,17,14,CASE_000568
formal,17,15,CASE_000645
formal,17,16,CASE_000349
formal,18,1,CASE_000164
formal,18,2,CASE_000242
formal,18,3,CASE_000228
formal,18,4,CASE_000174
formal,18,5,CASE_000603
formal,18,6,CASE_000488
formal,18,7,CASE_000655
formal,18,8,CASE_000339
formal,18,9,CASE_000620
formal,18,10,CASE_000479
formal,18,11,CASE_000461
formal,18,12,CASE_000378
formal,18,13,CASE_000713
formal,18,14,CASE_000040
formal,18,15,CASE_000590
formal,18,16,CASE_000016
formal,19,1,CASE_000268
formal,19,2,CASE_000553
formal,19,3,CASE_000010
formal,19,4,CASE_000602
formal,19,5,CASE_000782
formal,19,6,CASE_000439
formal,19,7,CASE_000216
formal,19,8,CASE_000197
formal,19,9,CASE_000102
formal,19,10,CASE_000253
formal,19,11,CASE_000497
formal,19,12,CASE_000745
formal,19,13,CASE_000075
formal,19,14,CASE_000221
formal,19,15,CASE_000226
formal,19,16,CASE_000396
formal,20,1,CASE_000100
formal,20,2,CASE_000110
formal,20,3,CASE_000393
formal,20,4,CASE_000033
formal,20,5,CASE_000178
formal,20,6,CASE_000148
formal,20,7,CASE_000020
formal,20,8,CASE_000327
formal,20,9,CASE_000523
formal,20,10,CASE_000601
formal,20,11,CASE_000657
formal,20,12,CASE_000045
formal,20,13,CASE_000176
formal,20,14,CASE_000756
formal,20,15,CASE_000161
formal,20,16,CASE_000526
formal,21,1,CASE_000402
formal,21,2,CASE_000589
formal,21,3,CASE_000774
formal,21,4,CASE_000273
formal,21,5,CASE_000626
formal,21,6,CASE_000259
formal,21,7,CASE_000765
formal,21,8,CASE_000303
formal,21,9,CASE_000137
formal,21,10,CASE_000122
formal,21,11,CASE_000795
formal,21,12,CASE_000673
formal,21,13,CASE_000187
formal,21,14,CASE_000663
formal,21,15,CASE_000225
formal,21,16,CASE_000440
formal,22,1,CASE_000482
formal,22,2,CASE_000441
formal,22,3,CASE_000421
formal,22,4,CASE_000538
formal,22,5,CASE_000541
formal,22,6,CASE_000196
formal,22,7,CASE_000459
formal,22,8,CASE_000175
formal,22,9,CASE_000653
formal,22,10,CASE_000309
formal,22,11,CASE_000794
formal,22,12,CASE_000711
formal,22,13,CASE_000244
formal,22,14,CASE_000487
formal,22,15,CASE_000199
formal,22,16,CASE_000777
formal,23,1,CASE_000103
formal,23,2,CASE_000251
formal,23,3,CASE_000131
formal,23,4,CASE_000276
formal,23,5,CASE_000784
formal,23,6,CASE_000468
formal,23,7,CASE_000522
formal,23,8,CASE_000009
formal,23,9,CASE_000356
formal,23,10,CASE_000168
formal,23,11,CASE_000456
formal,23,12,CASE_000267
formal,23,13,CASE_000480
formal,23,14,CASE_000091
formal,23,15,CASE_000787
formal,23,16,CASE_000531
formal,24,1,CASE_000630
formal,24,2,CASE_000301
formal,24,3,CASE_000474
formal,24,4,CASE_000659
formal,24,5,CASE_000201
formal,24,6,CASE_000771
formal,24,7,CASE_000625
formal,24,8,CASE_000149
formal,24,9,CASE_000342
formal,24,10,CASE_000121
formal,24,11,CASE_000452
formal,24,12,CASE_000616
formal,24,13,CASE_000038
formal,24,14,CASE_000503
formal,24,15,CASE_000514
formal,24,16,CASE_000669
formal,25,1,CASE_000195
formal,25,2,CASE_000464
formal,25,3,CASE_000382
formal,25,4,CASE_000096
formal,25,5,CASE_000623
formal,25,6,CASE_000557
formal,25,7,CASE_000687
formal,25,8,CASE_000060
formal,25,9,CASE_000323
formal,25,10,CASE_000073
formal,25,11,CASE_000274
formal,25,12,CASE_000182
formal,25,13,CASE_000597
formal,25,14,CASE_000637
formal,25,15,CASE_000311
formal,25,16,CASE_000537
formal,26,1,CASE_000700
formal,26,2,CASE_000607
formal,26,3,CASE_000661
formal,26,4,CASE_000322
formal,26,5,CASE_000647
formal,26,6,CASE_000496
formal,26,7,CASE_000720
formal,26,8,CASE_000524
formal,26,9,CASE_000516
formal,26,10,CASE_000293
formal,26,11,CASE_000115
formal,26,12,CASE_000057
formal,26,13,CASE_000722
formal,26,14,CASE_000021
formal,26,15,CASE_000318
formal,26,16,CASE_000272
formal,27,1,CASE_000078
formal,27,2,CASE_000008
formal,27,3,CASE_000425
formal,27,4,CASE_000435
formal,27,5,CASE_000790
formal,27,6,CASE_000675
formal,27,7,CASE_000743
formal,27,8,CASE_000094
formal,27,9,CASE_000007
formal,27,10,CASE_000240
formal,27,11,CASE_000552
formal,27,12,CASE_000340
formal,27,13,CASE_000079
formal,27,14,CASE_000472
formal,27,15,CASE_000547
formal,27,16,CASE_000527
formal,28,1,CASE_000304
formal,28,2,CASE_000258
formal,28,3,CASE_000231
formal,28,4,CASE_000631
formal,28,5,CASE_000067
formal,28,6,CASE_000369
formal,28,7,CASE_000633
formal,28,8,CASE_000344
formal,28,9,CASE_000570
formal,28,10,CASE_000138
formal,28,11,CASE_000505
formal,28,12,CASE_000124
formal,28,13,CASE_000680
formal,28,14,CASE_000080
formal,28,15,CASE_000668
formal,28,16,CASE_000533
formal,29,1,CASE_000715
formal,29,2,CASE_000130
formal,29,3,CASE_000280
formal,29,4,CASE_000049
formal,29,5,CASE_000405
formal,29,6,CASE_000235
formal,29,7,CASE_000250
formal,29,8,CASE_000682
formal,29,9,CASE_000386
formal,29,10,CASE_000036
formal,29,11,CASE_000698
formal,29,12,CASE_000034
formal,29,13,CASE_000135
formal,29,14,CASE_000729
formal,29,15,CASE_000179
formal,29,16,CASE_000334
formal,30,1,CASE_000127
formal,30,2,CASE_000467
formal,30,3,CASE_000741
formal,30,4,CASE_000651
formal,30,5,CASE_000147
formal,30,6,CASE_000245
formal,30,7,CASE_000649
formal,30,8,CASE_000463
formal,30,9,CASE_000746
formal,30,10,CASE_000750
formal,30,11,CASE_000230
formal,30,12,CASE_000539
formal,30,13,CASE_000046
formal,30,14,CASE_000530
formal,30,15,CASE_000084
formal,30,16,CASE_000172
formal,31,1,CASE_000764
formal,31,2,CASE_000335
formal,31,3,CASE_000569
formal,31,4,CASE_000465
formal,31,5,CASE_000555
formal,31,6,CASE_000650
formal,31,7,CASE_000394
formal,31,8,CASE_000411
formal,31,9,CASE_000761
formal,31,10,CASE_000346
formal,31,11,CASE_000671
formal,31,12,CASE_000757
formal,31,13,CASE_000685
formal,31,14,CASE_000154
formal,31,15,CASE_000609
formal,31,16,CASE_000300
formal,32,1,CASE_000192
formal,32,2,CASE_000518
formal,32,3,CASE_000517
formal,32,4,CASE_000019
formal,32,5,CASE_000775
formal,32,6,CASE_000615
formal,32,7,CASE_000695
formal,32,8,CASE_000012
formal,32,9,CASE_000721
formal,32,10,CASE_000375
formal,32,11,CASE_000726
formal,32,12,CASE_000548
formal,32,13,CASE_000512
formal,32,14,CASE_000018
formal,32,15,CASE_000780
formal,32,16,CASE_000499
formal,33,1,CASE_000591
formal,33,2,CASE_000194
formal,33,3,CASE_000306
formal,33,4,CASE_000571
formal,33,5,CASE_000628
formal,33,6,CASE_000041
formal,33,7,CASE_000177
formal,33,8,CASE_000254
formal,33,9,CASE_000398
formal,33,10,CASE_000800
formal,33,11,CASE_000534
formal,33,12,CASE_000316
formal,33,13,CASE_000371
formal,33,14,CASE_000455
formal,33,15,CASE_000605
formal,33,16,CASE_000153
formal,34,1,CASE_000271
formal,34,2,CASE_000621
formal,34,3,CASE_000679
formal,34,4,CASE_000666
formal,34,5,CASE_000181
formal,34,6,CASE_000030
formal,34,7,CASE_000453
formal,34,8,CASE_000451
formal,34,9,CASE_000285
formal,34,10,CASE_000183
formal,34,11,CASE_000436
formal,34,12,CASE_000353
formal,34,13,CASE_000279
formal,34,14,CASE_000430
formal,34,15,CASE_000634
formal,34,16,CASE_000791
formal,35,1,CASE_000749
formal,35,2,CASE_000528
formal,35,3,CASE_000588
formal,35,4,CASE_000403
formal,35,5,CASE_000270
formal,35,6,CASE_000288
formal,35,7,CASE_000352
formal,35,8,CASE_000611
formal,35,9,CASE_000286
formal,35,10,CASE_000606
formal,35,11,CASE_000136
formal,35,12,CASE_000627
formal,35,13,CASE_000331
formal,35,14,CASE_000445
formal,35,15,CASE_000485
formal,35,16,CASE_000701
formal,36,1,CASE_000275
formal,36,2,CASE_000684
formal,36,3,CASE_000740
formal,36,4,CASE_000217
formal,36,5,CASE_000365
formal,36,6,CASE_000307
formal,36,7,CASE_000744
formal,36,8,CASE_000086
formal,36,9,CASE_000287
formal,36,10,CASE_000513
formal,36,11,CASE_000051
formal,36,12,CASE_000004
formal,36,13,CASE_000284
formal,36,14,CASE_000619
formal,36,15,CASE_000384
formal,36,16,CASE_000379
formal,37,1,CASE_000739
formal,37,2,CASE_000688
formal,37,3,CASE_000388
formal,37,4,CASE_000391
formal,37,5,CASE_000381
formal,37,6,CASE_000332
formal,37,7,CASE_000636
formal,37,8,CASE_000529
formal,37,9,CASE_000372
formal,37,10,CASE_000159
formal,37,11,CASE_000755
formal,37,12,CASE_000219
formal,37,13,CASE_000152
formal,37,14,CASE_000200
formal,37,15,CASE_000420
formal,37,16,CASE_000758
formal,38,1,CASE_000123
formal,38,2,CASE_000269
formal,38,3,CASE_000173
formal,38,4,CASE_000290
formal,38,5,CASE_000111
formal,38,6,CASE_000064
formal,38,7,CASE_000087
formal,38,8,CASE_000247
formal,38,9,CASE_000145
formal,38,10,CASE_000092
formal,38,11,CASE_000326
formal,38,12,CASE_000674
formal,38,13,CASE_000502
formal,38,14,CASE_000408
formal,38,15,CASE_000709
formal,38,16,CASE_000494
formal,39,1,CASE_000212
formal,39,2,CASE_000320
formal,39,3,CASE_000333
formal,39,4,CASE_000622
formal,39,5,CASE_000776
formal,39,6,CASE_000120
formal,39,7,CASE_000643
formal,39,8,CASE_000329
formal,39,9,CASE_000139
formal,39,10,CASE_000364
formal,39,11,CASE_000652
formal,39,12,CASE_000140
formal,39,13,CASE_000370
