blind_id,bars,future_candles,valid_history
CASE_000238,250,0,True
CASE_000731,250,0,True
CASE_000335,250,0,True
CASE_000610,250,0,True
CASE_000542,250,0,True
CASE_000759,250,0,True
CASE_000673,250,0,True
CASE_000527,250,0,True
CASE_000602,250,0,True
CASE_000777,250,0,True
CASE_000021,250,0,True
CASE_000213,250,0,True
CASE_000797,250,0,True
CASE_000719,250,0,True
CASE_000091,250,0,True
CASE_000692,250,0,True
CASE_000338,250,0,True
CASE_000781,250,0,True
CASE_000053,250,0,True
CASE_000120,250,0,True
CASE_000647,250,0,True
CASE_000475,250,0,True
CASE_000109,250,0,True
CASE_000040,250,0,True
CASE_000072,250,0,True
CASE_000038,250,0,True
CASE_000115,250,0,True
CASE_000609,250,0,True
CASE_000218,250,0,True
CASE_000386,250,0,True
CASE_000672,250,0,True
CASE_000258,250,0,True
CASE_000445,250,0,True
CASE_000215,250,0,True
CASE_000625,250,0,True
CASE_000322,250,0,True
CASE_000188,250,0,True
CASE_000250,250,0,True
CASE_000755,250,0,True
CASE_000767,250,0,True
CASE_000292,250,0,True
CASE_000425,250,0,True
CASE_000666,250,0,True
CASE_000727,250,0,True
CASE_000622,250,0,True
CASE_000373,250,0,True
CASE_000049,250,0,True
CASE_000729,250,0,True
CASE_000275,250,0,True
CASE_000232,250,0,True
CASE_000640,250,0,True
CASE_000095,250,0,True
CASE_000105,250,0,True
CASE_000037,250,0,True
CASE_000140,250,0,True
CASE_000166,250,0,True
CASE_000434,250,0,True
CASE_000389,250,0,True
CASE_000754,250,0,True
CASE_000344,250,0,True
CASE_000461,250,0,True
CASE_000621,250,0,True
CASE_000460,250,0,True
CASE_000395,250,0,True
CASE_000697,250,0,True
CASE_000665,250,0,True
CASE_000295,250,0,True
CASE_000347,250,0,True
CASE_000688,250,0,True
CASE_000787,250,0,True
CASE_000284,250,0,True
CASE_000397,250,0,True
CASE_000031,250,0,True
CASE_000597,250,0,True
CASE_000171,250,0,True
CASE_000488,250,0,True
CASE_000742,250,0,True
CASE_000168,250,0,True
CASE_000382,250,0,True
CASE_000433,250,0,True
CASE_000773,250,0,True
CASE_000427,250,0,True
CASE_000524,250,0,True
CASE_000717,250,0,True
CASE_000244,250,0,True
CASE_000377,250,0,True
CASE_000246,250,0,True
CASE_000051,250,0,True
CASE_000435,250,0,True
CASE_000223,250,0,True
CASE_000052,250,0,True
CASE_000613,250,0,True
CASE_000464,250,0,True
CASE_000272,250,0,True
CASE_000667,250,0,True
CASE_000260,250,0,True
CASE_000134,250,0,True
CASE_000293,250,0,True
CASE_000732,250,0,True
CASE_000641,250,0,True
CASE_000540,250,0,True
CASE_000421,250,0,True
CASE_000028,250,0,True
CASE_000723,250,0,True
CASE_000067,250,0,True
CASE_000684,250,0,True
CASE_000261,250,0,True
CASE_000285,250,0,True
CASE_000440,250,0,True
CASE_000081,250,0,True
CASE_000747,250,0,True
CASE_000735,250,0,True
CASE_000401,250,0,True
CASE_000594,250,0,True
CASE_000450,250,0,True
CASE_000568,250,0,True
CASE_000090,250,0,True
CASE_000506,250,0,True
CASE_000720,250,0,True
CASE_000087,250,0,True
CASE_000230,250,0,True
CASE_000086,250,0,True
CASE_000365,250,0,True
CASE_000097,250,0,True
CASE_000231,250,0,True
CASE_000196,250,0,True
CASE_000207,250,0,True
CASE_000700,250,0,True
CASE_000282,250,0,True
CASE_000792,250,0,True
CASE_000257,250,0,True
CASE_000497,250,0,True
CASE_000423,250,0,True
CASE_000660,250,0,True
CASE_000548,250,0,True
CASE_000639,250,0,True
CASE_000714,250,0,True
CASE_000733,250,0,True
CASE_000748,250,0,True
CASE_000236,250,0,True
CASE_000209,250,0,True
CASE_000772,250,0,True
CASE_000129,250,0,True
CASE_000600,250,0,True
CASE_000411,250,0,True
CASE_000303,250,0,True
CASE_000693,250,0,True
CASE_000623,250,0,True
CASE_000025,250,0,True
CASE_000607,250,0,True
CASE_000160,250,0,True
CASE_000749,250,0,True
CASE_000172,250,0,True
CASE_000399,250,0,True
CASE_000662,250,0,True
CASE_000798,250,0,True
CASE_000388,250,0,True
CASE_000352,250,0,True
CASE_000534,250,0,True
CASE_000353,250,0,True
CASE_000544,250,0,True
CASE_000204,250,0,True
CASE_000270,250,0,True
CASE_000018,250,0,True
CASE_000441,250,0,True
CASE_000278,250,0,True
CASE_000585,250,0,True
CASE_000788,250,0,True
CASE_000181,250,0,True
CASE_000307,250,0,True
CASE_000288,250,0,True
CASE_000644,250,0,True
CASE_000264,250,0,True
CASE_000517,250,0,True
CASE_000259,250,0,True
CASE_000066,250,0,True
CASE_000559,250,0,True
CASE_000343,250,0,True
CASE_000004,250,0,True
CASE_000730,250,0,True
CASE_000637,250,0,True
CASE_000566,250,0,True
CASE_000320,250,0,True
CASE_000512,250,0,True
CASE_000648,250,0,True
CASE_000151,250,0,True
CASE_000661,250,0,True
CASE_000104,250,0,True
CASE_000194,250,0,True
CASE_000334,250,0,True
CASE_000696,250,0,True
CASE_000462,250,0,True
CASE_000478,250,0,True
CASE_000608,250,0,True
CASE_000525,250,0,True
CASE_000279,250,0,True
CASE_000494,250,0,True
CASE_000314,250,0,True
CASE_000313,250,0,True
CASE_000225,250,0,True
CASE_000206,250,0,True
CASE_000424,250,0,True
CASE_000595,250,0,True
CASE_000801,250,0,True
CASE_000192,250,0,True
CASE_000791,250,0,True
CASE_000119,250,0,True
CASE_000265,250,0,True
CASE_000108,250,0,True
CASE_000155,250,0,True
CASE_000370,250,0,True
CASE_000057,250,0,True
CASE_000589,250,0,True
CASE_000439,250,0,True
CASE_000150,250,0,True
CASE_000619,250,0,True
CASE_000268,250,0,True
CASE_000616,250,0,True
CASE_000233,250,0,True
CASE_000098,250,0,True
CASE_000044,250,0,True
CASE_000526,250,0,True
CASE_000793,250,0,True
CASE_000799,250,0,True
CASE_000103,250,0,True
CASE_000106,250,0,True
CASE_000406,250,0,True
CASE_000153,250,0,True
CASE_000654,250,0,True
CASE_000296,250,0,True
CASE_000438,250,0,True
CASE_000768,250,0,True
CASE_000024,250,0,True
CASE_000736,250,0,True
CASE_000027,250,0,True
CASE_000545,250,0,True
CASE_000289,250,0,True
CASE_000775,250,0,True
