year,dimension,label,score,n,fraction
ALL,rejection,NEUTRAL,1.0,2,0.011111111111111112
ALL,rejection,NEUTRAL,,1,0.005555555555555556
ALL,rejection,WINNER,0.0,173,0.9611111111111111
ALL,rejection,WINNER,,4,0.022222222222222223
ALL,rejection,WINNER,-1.0,2,0.011111111111111112
ALL,rejection,WINNER,1.0,1,0.005555555555555556
ALL,context,LOSER,-1.0,49,0.2722222222222222
ALL,context,LOSER,0.0,40,0.2222222222222222
ALL,context,LOSER,-2.0,39,0.21666666666666667
ALL,context,LOSER,1.0,28,0.15555555555555556
ALL,context,LOSER,2.0,24,0.13333333333333333
ALL,context,NEUTRAL,-2.0,56,0.3111111111111111
ALL,context,NEUTRAL,-1.0,51,0.2833333333333333
ALL,context,NEUTRAL,0.0,30,0.16666666666666666
ALL,context,NEUTRAL,1.0,26,0.14444444444444443
ALL,context,NEUTRAL,2.0,17,0.09444444444444444
ALL,context,WINNER,-1.0,47,0.2611111111111111
ALL,context,WINNER,-2.0,42,0.23333333333333334
ALL,context,WINNER,1.0,38,0.2111111111111111
ALL,context,WINNER,0.0,27,0.15
ALL,context,WINNER,2.0,26,0.14444444444444443
2018,direction,LOSER,-2.0,15,0.3333333333333333
2018,direction,LOSER,-1.0,13,0.28888888888888886
2018,direction,LOSER,0.0,11,0.24444444444444444
2018,direction,LOSER,1.0,4,0.08888888888888889
2018,direction,LOSER,2.0,2,0.044444444444444446
2018,direction,NEUTRAL,-2.0,23,0.5111111111111111
2018,direction,NEUTRAL,-1.0,17,0.37777777777777777
2018,direction,NEUTRAL,0.0,4,0.08888888888888889
2018,direction,NEUTRAL,1.0,1,0.022222222222222223
2018,direction,WINNER,-2.0,23,0.5111111111111111
2018,direction,WINNER,-1.0,8,0.17777777777777778
2018,direction,WINNER,1.0,7,0.15555555555555556
2018,direction,WINNER,0.0,6,0.13333333333333333
2018,direction,WINNER,2.0,1,0.022222222222222223
2018,turn,LOSER,-1.0,14,0.3111111111111111
2018,turn,LOSER,-2.0,10,0.2222222222222222
2018,turn,LOSER,1.0,10,0.2222222222222222
2018,turn,LOSER,0.0,7,0.15555555555555556
2018,turn,LOSER,2.0,4,0.08888888888888889
2018,turn,NEUTRAL,-1.0,20,0.4444444444444444
2018,turn,NEUTRAL,-2.0,11,0.24444444444444444
2018,turn,NEUTRAL,1.0,10,0.2222222222222222
2018,turn,NEUTRAL,0.0,3,0.06666666666666667
2018,turn,NEUTRAL,2.0,1,0.022222222222222223
2018,turn,WINNER,-1.0,14,0.3111111111111111
2018,turn,WINNER,-2.0,14,0.3111111111111111
2018,turn,WINNER,1.0,8,0.17777777777777778
2018,turn,WINNER,0.0,7,0.15555555555555556
2018,turn,WINNER,2.0,2,0.044444444444444446
2018,retention,LOSER,-1.0,18,0.4
2018,retention,LOSER,0.0,13,0.28888888888888886
2018,retention,LOSER,-2.0,9,0.2
2018,retention,LOSER,1.0,3,0.06666666666666667
2018,retention,LOSER,2.0,1,0.022222222222222223
2018,retention,LOSER,,1,0.022222222222222223
2018,retention,NEUTRAL,-1.0,22,0.4888888888888889
2018,retention,NEUTRAL,-2.0,17,0.37777777777777777
2018,retention,NEUTRAL,0.0,3,0.06666666666666667
2018,retention,NEUTRAL,1.0,2,0.044444444444444446
2018,retention,NEUTRAL,,1,0.022222222222222223
2018,retention,WINNER,-1.0,19,0.4222222222222222
2018,retention,WINNER,-2.0,10,0.2222222222222222
2018,retention,WINNER,1.0,7,0.15555555555555556
2018,retention,WINNER,0.0,5,0.1111111111111111
2018,retention,WINNER,,4,0.08888888888888889
2018,quieting,LOSER,0.0,21,0.4666666666666667
2018,quieting,LOSER,,9,0.2
2018,quieting,LOSER,1.0,8,0.17777777777777778
2018,quieting,LOSER,-1.0,5,0.1111111111111111
2018,quieting,LOSER,-2.0,2,0.044444444444444446
2018,quieting,NEUTRAL,0.0,22,0.4888888888888889
2018,quieting,NEUTRAL,1.0,16,0.35555555555555557
2018,quieting,NEUTRAL,-1.0,4,0.08888888888888889
2018,quieting,NEUTRAL,-2.0,2,0.044444444444444446
2018,quieting,NEUTRAL,,1,0.022222222222222223
2018,quieting,WINNER,0.0,22,0.4888888888888889
2018,quieting,WINNER,1.0,17,0.37777777777777777
2018,quieting,WINNER,,5,0.1111111111111111
2018,quieting,WINNER,-1.0,1,0.022222222222222223
2018,spike_distribution,LOSER,1.0,15,0.3333333333333333
2018,spike_distribution,LOSER,-1.0,14,0.3111111111111111
2018,spike_distribution,LOSER,0.0,11,0.24444444444444444
2018,spike_distribution,LOSER,-2.0,5,0.1111111111111111
2018,spike_distribution,NEUTRAL,1.0,21,0.4666666666666667
2018,spike_distribution,NEUTRAL,-1.0,11,0.24444444444444444
2018,spike_distribution,NEUTRAL,0.0,9,0.2
2018,spike_distribution,NEUTRAL,-2.0,4,0.08888888888888889
2018,spike_distribution,WINNER,1.0,22,0.4888888888888889
2018,spike_distribution,WINNER,0.0,15,0.3333333333333333
2018,spike_distribution,WINNER,-2.0,5,0.1111111111111111
2018,spike_distribution,WINNER,-1.0,3,0.06666666666666667
2018,volume_alignment,LOSER,1.0,23,0.5111111111111111
2018,volume_alignment,LOSER,,9,0.2
2018,volume_alignment,LOSER,0.0,7,0.15555555555555556
2018,volume_alignment,LOSER,-1.0,5,0.1111111111111111
2018,volume_alignment,LOSER,2.0,1,0.022222222222222223
2018,volume_alignment,NEUTRAL,1.0,32,0.7111111111111111
2018,volume_alignment,NEUTRAL,-1.0,6,0.13333333333333333
2018,volume_alignment,NEUTRAL,2.0,4,0.08888888888888889
2018,volume_alignment,NEUTRAL,0.0,2,0.044444444444444446
2018,volume_alignment,NEUTRAL,,1,0.022222222222222223
2018,volume_alignment,WINNER,1.0,25,0.5555555555555556
2018,volume_alignment,WINNER,0.0,7,0.15555555555555556
2018,volume_alignment,WINNER,-1.0,6,0.13333333333333333
2018,volume_alignment,WINNER,,5,0.1111111111111111
2018,volume_alignment,WINNER,2.0,2,0.044444444444444446
2018,rejection,LOSER,0.0,41,0.9111111111111111
2018,rejection,LOSER,-1.0,3,0.06666666666666667
2018,rejection,LOSER,,1,0.022222222222222223
2018,rejection,NEUTRAL,0.0,42,0.9333333333333333
2018,rejection,NEUTRAL,-1.0,2,0.044444444444444446
2018,rejection,NEUTRAL,,1,0.022222222222222223
2018,rejection,WINNER,0.0,41,0.9111111111111111
2018,rejection,WINNER,,4,0.08888888888888889
2018,context,LOSER,-2.0,20,0.4444444444444444
2018,context,LOSER,0.0,11,0.24444444444444444
2018,context,LOSER,-1.0,9,0.2
2018,context,LOSER,1.0,3,0.06666666666666667
2018,context,LOSER,2.0,2,0.044444444444444446
2018,context,NEUTRAL,-2.0,31,0.6888888888888889
2018,context,NEUTRAL,-1.0,12,0.26666666666666666
2018,context,NEUTRAL,1.0,1,0.022222222222222223
2018,context,NEUTRAL,0.0,1,0.022222222222222223
2018,context,WINNER,-2.0,24,0.5333333333333333
2018,context,WINNER,-1.0,11,0.24444444444444444
2018,context,WINNER,1.0,7,0.15555555555555556
2018,context,WINNER,0.0,2,0.044444444444444446
2018,context,WINNER,2.0,1,0.022222222222222223
2019,direction,LOSER,-1.0,14,0.3111111111111111
2019,direction,LOSER,1.0,11,0.24444444444444444
2019,direction,LOSER,0.0,9,0.2
2019,direction,LOSER,2.0,8,0.17777777777777778
2019,direction,LOSER,-2.0,3,0.06666666666666667
2019,direction,NEUTRAL,1.0,14,0.3111111111111111
2019,direction,NEUTRAL,-1.0,14,0.3111111111111111
2019,direction,NEUTRAL,0.0,8,0.17777777777777778
2019,direction,NEUTRAL,-2.0,5,0.1111111111111111
2019,direction,NEUTRAL,2.0,4,0.08888888888888889
2019,direction,WINNER,1.0,16,0.35555555555555557
2019,direction,WINNER,0.0,12,0.26666666666666666
2019,direction,WINNER,-1.0,11,0.24444444444444444
2019,direction,WINNER,2.0,5,0.1111111111111111
2019,direction,WINNER,-2.0,1,0.022222222222222223
2019,turn,LOSER,1.0,16,0.35555555555555557
2019,turn,LOSER,-1.0,14,0.3111111111111111
2019,turn,LOSER,0.0,8,0.17777777777777778
2019,turn,LOSER,2.0,4,0.08888888888888889
2019,turn,LOSER,-2.0,3,0.06666666666666667
2019,turn,NEUTRAL,-1.0,15,0.3333333333333333
2019,turn,NEUTRAL,1.0,11,0.24444444444444444
2019,turn,NEUTRAL,0.0,8,0.17777777777777778
2019,turn,NEUTRAL,-2.0,7,0.15555555555555556
2019,turn,NEUTRAL,2.0,4,0.08888888888888889
2019,turn,WINNER,1.0,13,0.28888888888888886
2019,turn,WINNER,-1.0,12,0.26666666666666666
2019,turn,WINNER,0.0,9,0.2
2019,turn,WINNER,2.0,7,0.15555555555555556
2019,turn,WINNER,-2.0,4,0.08888888888888889
2019,retention,LOSER,-1.0,16,0.35555555555555557
2019,retention,LOSER,0.0,11,0.24444444444444444
2019,retention,LOSER,1.0,7,0.15555555555555556
2019,retention,LOSER,2.0,7,0.15555555555555556
2019,retention,LOSER,-2.0,4,0.08888888888888889
2019,retention,NEUTRAL,-1.0,20,0.4444444444444444
2019,retention,NEUTRAL,1.0,9,0.2
2019,retention,NEUTRAL,0.0,8,0.17777777777777778
2019,retention,NEUTRAL,-2.0,5,0.1111111111111111
2019,retention,NEUTRAL,2.0,3,0.06666666666666667
2019,retention,WINNER,-1.0,16,0.35555555555555557
2019,retention,WINNER,1.0,15,0.3333333333333333
2019,retention,WINNER,0.0,6,0.13333333333333333
2019,retention,WINNER,2.0,5,0.1111111111111111
2019,retention,WINNER,-2.0,3,0.06666666666666667
2019,quieting,LOSER,0.0,25,0.5555555555555556
2019,quieting,LOSER,1.0,15,0.3333333333333333
2019,quieting,LOSER,-1.0,3,0.06666666666666667
2019,quieting,LOSER,-2.0,2,0.044444444444444446
2019,quieting,NEUTRAL,0.0,25,0.5555555555555556
2019,quieting,NEUTRAL,1.0,13,0.28888888888888886
2019,quieting,NEUTRAL,-1.0,6,0.13333333333333333
2019,quieting,NEUTRAL,-2.0,1,0.022222222222222223
2019,quieting,WINNER,0.0,23,0.5111111111111111
2019,quieting,WINNER,1.0,11,0.24444444444444444
2019,quieting,WINNER,-1.0,9,0.2
2019,quieting,WINNER,,2,0.044444444444444446
2019,spike_distribution,LOSER,1.0,22,0.4888888888888889
2019,spike_distribution,LOSER,0.0,11,0.24444444444444444
2019,spike_distribution,LOSER,-1.0,10,0.2222222222222222
2019,spike_distribution,LOSER,-2.0,2,0.044444444444444446
2019,spike_distribution,NEUTRAL,1.0,22,0.4888888888888889
2019,spike_distribution,NEUTRAL,0.0,12,0.26666666666666666
2019,spike_distribution,NEUTRAL,-1.0,8,0.17777777777777778
2019,spike_distribution,NEUTRAL,-2.0,3,0.06666666666666667
2019,spike_distribution,WINNER,1.0,19,0.4222222222222222
2019,spike_distribution,WINNER,-1.0,12,0.26666666666666666
2019,spike_distribution,WINNER,0.0,11,0.24444444444444444
2019,spike_distribution,WINNER,-2.0,2,0.044444444444444446
2019,spike_distribution,WINNER,2.0,1,0.022222222222222223
2019,volume_alignment,LOSER,1.0,35,0.7777777777777778
2019,volume_alignment,LOSER,0.0,9,0.2
2019,volume_alignment,LOSER,-1.0,1,0.022222222222222223
2019,volume_alignment,NEUTRAL,1.0,35,0.7777777777777778
2019,volume_alignment,NEUTRAL,0.0,9,0.2
2019,volume_alignment,NEUTRAL,-1.0,1,0.022222222222222223
2019,volume_alignment,WINNER,1.0,31,0.6888888888888889
2019,volume_alignment,WINNER,0.0,6,0.13333333333333333
2019,volume_alignment,WINNER,2.0,3,0.06666666666666667
2019,volume_alignment,WINNER,-1.0,3,0.06666666666666667
2019,volume_alignment,WINNER,,2,0.044444444444444446
2019,rejection,LOSER,0.0,42,0.9333333333333333
2019,rejection,LOSER,-1.0,2,0.044444444444444446
2019,rejection,LOSER,1.0,1,0.022222222222222223
2019,rejection,NEUTRAL,0.0,44,0.9777777777777777
2019,rejection,NEUTRAL,-1.0,1,0.022222222222222223
2019,rejection,WINNER,0.0,45,1.0
2019,context,LOSER,-1.0,14,0.3111111111111111
2019,context,LOSER,0.0,10,0.2222222222222222
2019,context,LOSER,1.0,9,0.2
2019,context,LOSER,2.0,8,0.17777777777777778
2019,context,LOSER,-2.0,4,0.08888888888888889
2019,context,NEUTRAL,-1.0,12,0.26666666666666666
2019,context,NEUTRAL,0.0,11,0.24444444444444444
2019,context,NEUTRAL,1.0,10,0.2222222222222222
2019,context,NEUTRAL,-2.0,7,0.15555555555555556
2019,context,NEUTRAL,2.0,5,0.1111111111111111
2019,context,WINNER,1.0,15,0.3333333333333333
2019,context,WINNER,-1.0,12,0.26666666666666666
2019,context,WINNER,0.0,8,0.17777777777777778
2019,context,WINNER,2.0,7,0.15555555555555556
2019,context,WINNER,-2.0,3,0.06666666666666667
2020,direction,LOSER,1.0,18,0.4
2020,direction,LOSER,-1.0,13,0.28888888888888886
2020,direction,LOSER,2.0,7,0.15555555555555556
2020,direction,LOSER,0.0,6,0.13333333333333333
2020,direction,LOSER,-2.0,1,0.022222222222222223
2020,direction,NEUTRAL,0.0,16,0.35555555555555557
2020,direction,NEUTRAL,-1.0,11,0.24444444444444444
2020,direction,NEUTRAL,1.0,10,0.2222222222222222
2020,direction,NEUTRAL,2.0,7,0.15555555555555556
2020,direction,NEUTRAL,-2.0,1,0.022222222222222223
2020,direction,WINNER,1.0,16,0.35555555555555557
2020,direction,WINNER,0.0,12,0.26666666666666666
2020,direction,WINNER,-1.0,10,0.2222222222222222
2020,direction,WINNER,2.0,6,0.13333333333333333
2020,direction,WINNER,-2.0,1,0.022222222222222223
2020,turn,LOSER,1.0,20,0.4444444444444444
2020,turn,LOSER,-1.0,10,0.2222222222222222
2020,turn,LOSER,0.0,6,0.13333333333333333
2020,turn,LOSER,-2.0,5,0.1111111111111111
2020,turn,LOSER,2.0,4,0.08888888888888889
2020,turn,NEUTRAL,1.0,17,0.37777777777777777
2020,turn,NEUTRAL,-1.0,15,0.3333333333333333
2020,turn,NEUTRAL,-2.0,8,0.17777777777777778
2020,turn,NEUTRAL,0.0,3,0.06666666666666667
2020,turn,NEUTRAL,2.0,2,0.044444444444444446
2020,turn,WINNER,1.0,13,0.28888888888888886
2020,turn,WINNER,-1.0,11,0.24444444444444444
2020,turn,WINNER,2.0,9,0.2
2020,turn,WINNER,0.0,8,0.17777777777777778
2020,turn,WINNER,-2.0,4,0.08888888888888889
2020,retention,LOSER,1.0,15,0.3333333333333333
2020,retention,LOSER,-1.0,13,0.28888888888888886
2020,retention,LOSER,0.0,12,0.26666666666666666
2020,retention,LOSER,2.0,4,0.08888888888888889
2020,retention,LOSER,-2.0,1,0.022222222222222223
2020,retention,NEUTRAL,-1.0,14,0.3111111111111111
2020,retention,NEUTRAL,0.0,13,0.28888888888888886
2020,retention,NEUTRAL,1.0,6,0.13333333333333333
2020,retention,NEUTRAL,2.0,6,0.13333333333333333
2020,retention,NEUTRAL,-2.0,6,0.13333333333333333
2020,retention,WINNER,-1.0,12,0.26666666666666666
2020,retention,WINNER,1.0,12,0.26666666666666666
2020,retention,WINNER,0.0,11,0.24444444444444444
2020,retention,WINNER,2.0,7,0.15555555555555556
2020,retention,WINNER,-2.0,3,0.06666666666666667
2020,quieting,LOSER,0.0,23,0.5111111111111111
2020,quieting,LOSER,-1.0,9,0.2
2020,quieting,LOSER,1.0,9,0.2
2020,quieting,LOSER,-2.0,4,0.08888888888888889
2020,quieting,NEUTRAL,0.0,22,0.4888888888888889
2020,quieting,NEUTRAL,1.0,12,0.26666666666666666
2020,quieting,NEUTRAL,-1.0,7,0.15555555555555556
2020,quieting,NEUTRAL,-2.0,4,0.08888888888888889
2020,quieting,WINNER,0.0,27,0.6
2020,quieting,WINNER,-1.0,9,0.2
2020,quieting,WINNER,-2.0,6,0.13333333333333333
2020,quieting,WINNER,1.0,3,0.06666666666666667
2020,spike_distribution,LOSER,0.0,16,0.35555555555555557
2020,spike_distribution,LOSER,-1.0,15,0.3333333333333333
2020,spike_distribution,LOSER,1.0,8,0.17777777777777778
2020,spike_distribution,LOSER,-2.0,5,0.1111111111111111
2020,spike_distribution,LOSER,2.0,1,0.022222222222222223
2020,spike_distribution,NEUTRAL,0.0,15,0.3333333333333333
2020,spike_distribution,NEUTRAL,-1.0,13,0.28888888888888886
2020,spike_distribution,NEUTRAL,-2.0,9,0.2
2020,spike_distribution,NEUTRAL,1.0,8,0.17777777777777778
2020,spike_distribution,WINNER,0.0,17,0.37777777777777777
2020,spike_distribution,WINNER,1.0,12,0.26666666666666666
2020,spike_distribution,WINNER,-1.0,9,0.2
2020,spike_distribution,WINNER,-2.0,7,0.15555555555555556
2020,volume_alignment,LOSER,1.0,33,0.7333333333333333
2020,volume_alignment,LOSER,0.0,6,0.13333333333333333
2020,volume_alignment,LOSER,-1.0,5,0.1111111111111111
2020,volume_alignment,LOSER,2.0,1,0.022222222222222223
2020,volume_alignment,NEUTRAL,1.0,36,0.8
2020,volume_alignment,NEUTRAL,0.0,5,0.1111111111111111
2020,volume_alignment,NEUTRAL,-1.0,4,0.08888888888888889
2020,volume_alignment,WINNER,1.0,37,0.8222222222222222
2020,volume_alignment,WINNER,0.0,5,0.1111111111111111
2020,volume_alignment,WINNER,-1.0,2,0.044444444444444446
2020,volume_alignment,WINNER,2.0,1,0.022222222222222223
2020,rejection,LOSER,0.0,42,0.9333333333333333
2020,rejection,LOSER,-1.0,3,0.06666666666666667
2020,rejection,NEUTRAL,0.0,40,0.8888888888888888
2020,rejection,NEUTRAL,-1.0,4,0.08888888888888889
2020,rejection,NEUTRAL,1.0,1,0.022222222222222223
2020,rejection,WINNER,0.0,43,0.9555555555555556
2020,rejection,WINNER,-1.0,1,0.022222222222222223
2020,rejection,WINNER,1.0,1,0.022222222222222223
2020,context,LOSER,2.0,11,0.24444444444444444
2020,context,LOSER,-1.0,10,0.2222222222222222
2020,context,LOSER,1.0,10,0.2222222222222222
2020,context,LOSER,0.0,9,0.2
2020,context,LOSER,-2.0,5,0.1111111111111111
2020,context,NEUTRAL,0.0,13,0.28888888888888886
2020,context,NEUTRAL,-1.0,12,0.26666666666666666
2020,context,NEUTRAL,1.0,9,0.2
2020,context,NEUTRAL,2.0,7,0.15555555555555556
2020,context,NEUTRAL,-2.0,4,0.08888888888888889
2020,context,WINNER,2.0,11,0.24444444444444444
2020,context,WINNER,1.0,11,0.24444444444444444
2020,context,WINNER,-1.0,11,0.24444444444444444
2020,context,WINNER,0.0,10,0.2222222222222222
2020,context,WINNER,-2.0,2,0.044444444444444446
2021,direction,LOSER,-2.0,15,0.3333333333333333
2021,direction,LOSER,-1.0,13,0.28888888888888886
2021,direction,LOSER,1.0,10,0.2222222222222222
2021,direction,LOSER,0.0,4,0.08888888888888889
2021,direction,LOSER,2.0,3,0.06666666666666667
2021,direction,NEUTRAL,-2.0,17,0.37777777777777777
2021,direction,NEUTRAL,1.0,11,0.24444444444444444
2021,direction,NEUTRAL,-1.0,9,0.2
2021,direction,NEUTRAL,0.0,5,0.1111111111111111
2021,direction,NEUTRAL,2.0,3,0.06666666666666667
2021,direction,WINNER,-1.0,14,0.3111111111111111
2021,direction,WINNER,-2.0,12,0.26666666666666666
2021,direction,WINNER,1.0,7,0.15555555555555556
2021,direction,WINNER,0.0,6,0.13333333333333333
2021,direction,WINNER,2.0,6,0.13333333333333333
2021,turn,LOSER,-1.0,17,0.37777777777777777
2021,turn,LOSER,1.0,12,0.26666666666666666
2021,turn,LOSER,0.0,6,0.13333333333333333
2021,turn,LOSER,-2.0,6,0.13333333333333333
2021,turn,LOSER,2.0,4,0.08888888888888889
2021,turn,NEUTRAL,-2.0,12,0.26666666666666666
2021,turn,NEUTRAL,-1.0,12,0.26666666666666666
2021,turn,NEUTRAL,1.0,11,0.24444444444444444
2021,turn,NEUTRAL,0.0,6,0.13333333333333333
2021,turn,NEUTRAL,2.0,4,0.08888888888888889
2021,turn,WINNER,-1.0,15,0.3333333333333333
2021,turn,WINNER,1.0,10,0.2222222222222222
2021,turn,WINNER,-2.0,8,0.17777777777777778
2021,turn,WINNER,0.0,8,0.17777777777777778
2021,turn,WINNER,2.0,4,0.08888888888888889
2021,retention,LOSER,-1.0,16,0.35555555555555557
2021,retention,LOSER,-2.0,10,0.2222222222222222
2021,retention,LOSER,1.0,8,0.17777777777777778
2021,retention,LOSER,0.0,7,0.15555555555555556
2021,retention,LOSER,2.0,4,0.08888888888888889
2021,retention,NEUTRAL,-1.0,16,0.35555555555555557
2021,retention,NEUTRAL,-2.0,13,0.28888888888888886
2021,retention,NEUTRAL,1.0,11,0.24444444444444444
2021,retention,NEUTRAL,0.0,3,0.06666666666666667
2021,retention,NEUTRAL,2.0,2,0.044444444444444446
2021,retention,WINNER,-2.0,13,0.28888888888888886
2021,retention,WINNER,-1.0,12,0.26666666666666666
2021,retention,WINNER,1.0,10,0.2222222222222222
2021,retention,WINNER,0.0,6,0.13333333333333333
2021,retention,WINNER,2.0,4,0.08888888888888889
2021,quieting,LOSER,0.0,20,0.4444444444444444
2021,quieting,LOSER,1.0,14,0.3111111111111111
2021,quieting,LOSER,-1.0,11,0.24444444444444444
2021,quieting,NEUTRAL,0.0,27,0.6
2021,quieting,NEUTRAL,1.0,13,0.28888888888888886
2021,quieting,NEUTRAL,-1.0,5,0.1111111111111111
2021,quieting,WINNER,0.0,21,0.4666666666666667
2021,quieting,WINNER,1.0,17,0.37777777777777777
2021,quieting,WINNER,-1.0,5,0.1111111111111111
2021,quieting,WINNER,,1,0.022222222222222223
2021,quieting,WINNER,-2.0,1,0.022222222222222223
2021,spike_distribution,LOSER,1.0,27,0.6
2021,spike_distribution,LOSER,0.0,12,0.26666666666666666
2021,spike_distribution,LOSER,-1.0,4,0.08888888888888889
2021,spike_distribution,LOSER,-2.0,2,0.044444444444444446
2021,spike_distribution,NEUTRAL,1.0,23,0.5111111111111111
2021,spike_distribution,NEUTRAL,0.0,11,0.24444444444444444
2021,spike_distribution,NEUTRAL,-1.0,9,0.2
2021,spike_distribution,NEUTRAL,-2.0,2,0.044444444444444446
2021,spike_distribution,WINNER,1.0,19,0.4222222222222222
2021,spike_distribution,WINNER,0.0,12,0.26666666666666666
