blind_id,sheet,direction,turn,retention,quieting,spike_distribution,volume_alignment,rejection,context
CASE_000578,5,0,0,0.0,-1.0,-1,1.0,0.0,-1
CASE_000312,5,-1,2,0.0,-1.0,1,1.0,0.0,1
CASE_000319,6,1,-1,-1.0,1.0,1,1.0,0.0,1
CASE_000475,6,-1,-1,-1.0,0.0,0,0.0,0.0,-1
CASE_000209,6,-1,-1,-1.0,1.0,0,1.0,0.0,-2
CASE_000677,6,-1,-2,-1.0,-1.0,1,0.0,0.0,-1
CASE_000427,6,1,-1,0.0,1.0,1,1.0,0.0,1
CASE_000188,6,-1,1,-1.0,0.0,0,1.0,0.0,-1
CASE_000237,6,0,-1,-1.0,0.0,0,1.0,0.0,0
CASE_000437,6,-1,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000143,6,1,2,2.0,-1.0,0,1.0,0.0,2
CASE_000023,6,1,2,2.0,-1.0,1,1.0,0.0,2
CASE_000592,6,0,-1,0.0,0.0,-2,1.0,0.0,0
CASE_000536,6,1,-1,1.0,1.0,1,1.0,0.0,1
CASE_000114,6,1,1,1.0,0.0,1,0.0,0.0,1
CASE_000392,6,0,1,0.0,-2.0,-1,1.0,1.0,1
CASE_000105,6,2,1,2.0,0.0,1,1.0,0.0,1
CASE_000554,6,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000504,7,1,0,1.0,1.0,1,1.0,0.0,1
CASE_000532,7,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000582,7,-1,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000262,7,0,-2,-2.0,0.0,-1,1.0,0.0,0
CASE_000289,7,0,0,0.0,0.0,-1,1.0,0.0,0
CASE_000343,7,-2,-1,-2.0,1.0,-1,1.0,0.0,-1
CASE_000056,7,1,2,2.0,-1.0,1,1.0,0.0,1
CASE_000126,7,-2,0,-1.0,1.0,1,2.0,0.0,-2
CASE_000328,7,1,2,1.0,-1.0,0,1.0,0.0,-1
CASE_000490,7,-1,1,0.0,0.0,0,1.0,0.0,-1
CASE_000001,7,-1,1,0.0,0.0,0,1.0,0.0,-1
CASE_000118,7,1,-1,0.0,1.0,1,1.0,0.0,0
CASE_000719,7,-2,-1,-1.0,0.0,1,1.0,0.0,-2
CASE_000580,7,1,1,1.0,0.0,-1,1.0,0.0,1
CASE_000444,7,2,-1,1.0,0.0,1,1.0,0.0,2
CASE_000724,7,1,1,1.0,0.0,-1,1.0,0.0,1
CASE_000572,8,0,0,-1.0,1.0,-2,1.0,0.0,-1
CASE_000055,8,2,1,2.0,0.0,0,1.0,0.0,2
CASE_000354,8,1,-1,-1.0,0.0,0,1.0,0.0,0
CASE_000632,8,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000486,8,0,-2,-1.0,0.0,-1,1.0,0.0,-1
CASE_000470,8,1,-1,-1.0,1.0,-2,1.0,0.0,0
CASE_000048,8,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000422,8,1,2,2.0,-1.0,0,1.0,0.0,2
CASE_000789,8,-1,0,-1.0,0.0,-1,1.0,0.0,-2
CASE_000618,8,-1,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000101,8,-2,-2,,,-2,,,-2
CASE_000241,8,1,1,2.0,0.0,1,0.0,0.0,1
CASE_000676,8,1,-1,1.0,1.0,-2,1.0,0.0,0
CASE_000511,8,0,-1,-1.0,1.0,-2,1.0,0.0,-1
CASE_000407,8,0,0,0.0,,-1,,0.0,-1
CASE_000208,8,-1,-1,-1.0,1.0,1,0.0,0.0,-1
CASE_000321,9,2,1,1.0,0.0,1,1.0,0.0,1
CASE_000564,9,1,0,1.0,0.0,0,0.0,0.0,1
CASE_000753,9,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000198,9,2,1,1.0,0.0,1,1.0,0.0,1
CASE_000735,9,-1,0,-1.0,0.0,0,1.0,0.0,-1
CASE_000190,9,-1,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000066,9,1,1,1.0,-2.0,0,1.0,0.0,1
CASE_000773,9,-2,-1,-2.0,0.0,-1,1.0,0.0,-1
CASE_000156,9,2,1,1.0,1.0,1,1.0,0.0,2
CASE_000644,9,1,1,1.0,0.0,1,1.0,0.0,1
CASE_000035,9,-2,1,-1.0,0.0,1,2.0,0.0,-2
CASE_000550,9,-1,-2,-2.0,0.0,0,1.0,0.0,-2
CASE_000315,9,1,1,1.0,0.0,0,1.0,0.0,-1
CASE_000351,9,-1,-1,-2.0,1.0,1,1.0,0.0,-1
CASE_000577,9,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000047,9,-1,2,-1.0,-2.0,-1,1.0,0.0,-1
CASE_000397,10,-1,-2,-2.0,0.0,-1,0.0,0.0,-2
CASE_000646,10,-2,-2,-2.0,0.0,1,1.0,0.0,-2
CASE_000542,10,2,1,2.0,0.0,1,1.0,0.0,1
CASE_000218,10,-2,-2,-2.0,0.0,-1,0.0,0.0,-2
CASE_000535,10,-1,2,-1.0,-1.0,0,1.0,0.0,-1
CASE_000604,10,0,-1,-1.0,0.0,0,0.0,0.0,-1
CASE_000766,10,1,-1,0.0,1.0,-2,1.0,0.0,0
CASE_000093,10,-2,-1,-1.0,0.0,0,0.0,0.0,-1
CASE_000438,10,-1,-1,-1.0,0.0,0,1.0,0.0,-2
CASE_000691,10,0,-2,-1.0,0.0,0,0.0,0.0,-2
CASE_000112,10,0,-1,-1.0,0.0,1,1.0,0.0,0
CASE_000481,10,-1,-1,-2.0,0.0,1,1.0,0.0,-1
CASE_000714,10,-1,0,-1.0,1.0,-2,1.0,0.0,0
CASE_000471,10,1,1,1.0,0.0,1,0.0,0.0,2
CASE_000641,10,0,-2,-2.0,-1.0,0,1.0,0.0,0
CASE_000256,10,-1,1,-1.0,1.0,1,1.0,0.0,-1
CASE_000796,11,2,1,2.0,0.0,0,1.0,0.0,2
CASE_000236,11,1,0,1.0,1.0,-2,1.0,0.0,1
CASE_000065,11,-1,-2,-2.0,0.0,0,0.0,0.0,0
CASE_000095,11,2,1,1.0,-1.0,0,1.0,0.0,2
CASE_000024,11,2,1,2.0,0.0,1,1.0,0.0,0
CASE_000014,11,-2,0,-1.0,1.0,1,1.0,0.0,-1
CASE_000593,11,1,2,1.0,-1.0,1,1.0,0.0,1
CASE_000751,11,-1,0,-1.0,0.0,0,0.0,0.0,-1
CASE_000595,11,2,1,1.0,0.0,1,2.0,0.0,2
CASE_000003,11,-2,-1,-2.0,0.0,0,1.0,0.0,0
CASE_000409,11,0,0,0.0,-2.0,-1,1.0,0.0,-1
CASE_000104,11,2,0,1.0,0.0,1,1.0,0.0,2
CASE_000443,11,-1,1,-1.0,0.0,1,1.0,0.0,1
CASE_000400,11,-1,1,-1.0,0.0,0,1.0,0.0,-1
CASE_000128,11,1,2,2.0,-1.0,0,1.0,0.0,2
CASE_000125,11,0,-1,0.0,0.0,0,1.0,0.0,0
CASE_000234,12,-1,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000690,12,0,1,-1.0,1.0,-1,1.0,0.0,-1
CASE_000377,12,-1,-1,-2.0,1.0,-1,1.0,0.0,-1
CASE_000043,12,0,0,0.0,-1.0,0,1.0,0.0,0
CASE_000544,12,-1,0,-1.0,1.0,1,1.0,0.0,-1
CASE_000725,12,-1,1,-1.0,1.0,1,1.0,0.0,-1
CASE_000052,12,1,-1,0.0,0.0,0,0.0,0.0,1
CASE_000163,12,0,0,0.0,-2.0,-1,1.0,0.0,0
CASE_000460,12,0,-2,-2.0,0.0,-1,1.0,0.0,-1
CASE_000783,12,-2,1,-1.0,0.0,1,1.0,0.0,-2
CASE_000558,12,0,1,0.0,0.0,-1,0.0,0.0,1
CASE_000160,12,-1,1,-1.0,0.0,0,1.0,0.0,-2
CASE_000142,12,-1,0,-1.0,1.0,-1,1.0,0.0,-1
CASE_000076,12,1,-1,-1.0,0.0,0,1.0,0.0,1
CASE_000144,12,1,2,2.0,-1.0,0,1.0,0.0,2
CASE_000491,12,-2,-1,-1.0,1.0,-1,1.0,0.0,-2
CASE_000477,13,-1,-1,-1.0,1.0,-1,1.0,0.0,-2
CASE_000252,13,0,1,0.0,0.0,1,1.0,0.0,1
CASE_000498,13,-2,-1,-2.0,0.0,0,1.0,0.0,-2
CASE_000044,13,1,2,1.0,0.0,0,1.0,0.0,0
CASE_000157,13,1,2,1.0,0.0,1,1.0,0.0,1
CASE_000426,13,1,2,1.0,-1.0,0,1.0,0.0,2
CASE_000727,13,-2,0,-1.0,1.0,1,1.0,0.0,-2
CASE_000291,13,-1,1,-1.0,0.0,0,1.0,0.0,-1
CASE_000146,13,1,-2,-1.0,0.0,0,1.0,0.0,0
CASE_000410,13,-2,-1,-1.0,,-1,,0.0,-2
CASE_000736,13,1,1,1.0,0.0,0,1.0,0.0,1
CASE_000678,13,-1,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000712,13,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000767,13,-1,-1,-1.0,0.0,-1,1.0,0.0,-2
CASE_000785,13,0,0,0.0,-2.0,0,1.0,0.0,0
CASE_000686,13,0,-1,-1.0,1.0,1,0.0,0.0,0
CASE_000707,14,0,-1,-1.0,1.0,-2,1.0,0.0,-1
CASE_000414,14,1,1,1.0,0.0,0,1.0,0.0,-1
CASE_000165,14,1,-1,0.0,1.0,1,1.0,0.0,0
CASE_000629,14,-2,-2,-2.0,0.0,-1,1.0,0.0,-2
CASE_000561,14,-2,1,-1.0,,-2,,0.0,-1
CASE_000330,14,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000106,14,1,-1,-1.0,0.0,1,1.0,0.0,1
CASE_000508,14,1,2,1.0,0.0,0,1.0,0.0,-1
CASE_000255,14,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000693,14,1,1,1.0,0.0,0,1.0,0.0,1
CASE_000683,14,1,0,1.0,0.0,1,1.0,0.0,2
CASE_000697,14,-1,2,0.0,0.0,0,1.0,0.0,-1
CASE_000249,14,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000054,14,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000296,14,0,1,0.0,-1.0,-1,1.0,0.0,-1
CASE_000442,14,-2,-1,-2.0,0.0,1,1.0,0.0,-2
CASE_000638,15,-1,0,-1.0,0.0,1,1.0,0.0,0
CASE_000005,15,-2,-2,-2.0,1.0,1,1.0,0.0,-2
CASE_000525,15,1,-2,-1.0,0.0,1,1.0,0.0,1
CASE_000612,15,2,2,2.0,-1.0,1,1.0,0.0,2
CASE_000730,15,-1,2,-1.0,-1.0,0,1.0,0.0,-1
CASE_000797,15,-1,-2,-2.0,0.0,-1,1.0,0.0,-1
CASE_000694,15,1,2,1.0,0.0,0,1.0,0.0,2
CASE_000617,15,0,1,0.0,-1.0,0,1.0,0.0,0
CASE_000704,15,-2,-1,-2.0,0.0,0,1.0,0.0,-2
CASE_000215,15,1,-2,-1.0,0.0,0,1.0,0.0,-1
CASE_000214,15,0,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000063,15,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000292,15,0,1,0.0,0.0,0,0.0,0.0,0
CASE_000266,15,-2,-2,-2.0,0.0,-1,0.0,0.0,-1
CASE_000310,15,-2,-2,-2.0,1.0,-1,1.0,0.0,-2
CASE_000424,15,0,0,0.0,0.0,0,1.0,0.0,1
CASE_000432,16,0,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000373,16,1,-2,-1.0,-1.0,-2,1.0,-1.0,0
CASE_000238,16,1,1,0.0,-1.0,0,1.0,0.0,0
CASE_000573,16,2,-1,1.0,0.0,0,1.0,0.0,2
CASE_000706,16,-1,-2,-2.0,1.0,1,1.0,0.0,-2
CASE_000447,16,-1,-1,-2.0,0.0,1,1.0,0.0,-1
CASE_000672,16,1,2,1.0,0.0,0,1.0,0.0,1
CASE_000732,16,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000546,16,0,1,0.0,-2.0,0,1.0,0.0,0
CASE_000596,16,1,-1,-1.0,0.0,1,1.0,0.0,1
CASE_000742,16,2,0,1.0,1.0,1,1.0,0.0,2
CASE_000450,16,-1,1,-1.0,1.0,1,1.0,0.0,-1
CASE_000062,16,-1,1,-1.0,0.0,-1,1.0,0.0,-2
CASE_000786,16,0,-1,0.0,0.0,0,0.0,0.0,1
CASE_000362,16,-1,2,0.0,0.0,1,1.0,0.0,-1
CASE_000299,16,1,1,1.0,0.0,0,1.0,0.0,1
CASE_000733,17,0,-2,,,-2,,,0
CASE_000540,17,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000560,17,-2,-2,-2.0,0.0,-1,1.0,0.0,-2
CASE_000613,17,-1,-1,-2.0,0.0,1,1.0,0.0,-1
CASE_000428,17,1,0,0.0,0.0,1,1.0,0.0,0
CASE_000778,17,-1,-1,-2.0,1.0,-1,1.0,0.0,-2
CASE_000462,17,1,1,0.0,-1.0,-2,1.0,0.0,0
CASE_000562,17,1,0,1.0,0.0,1,1.0,0.0,1
CASE_000113,17,0,1,0.0,-1.0,0,0.0,0.0,-1
CASE_000294,17,1,2,2.0,-1.0,0,1.0,0.0,2
CASE_000337,17,0,1,0.0,-2.0,0,1.0,0.0,0
CASE_000202,17,1,2,1.0,0.0,1,1.0,0.0,0
CASE_000801,17,-2,-1,-2.0,0.0,1,1.0,0.0,-2
CASE_000568,17,-1,0,-1.0,1.0,-2,1.0,0.0,-2
CASE_000645,17,2,-1,1.0,0.0,1,1.0,0.0,1
CASE_000349,17,-1,1,-1.0,0.0,0,0.0,0.0,-1
CASE_000164,18,0,-1,-1.0,0.0,0,1.0,0.0,0
CASE_000242,18,-2,-2,-2.0,1.0,1,1.0,0.0,-2
CASE_000228,18,0,1,0.0,-1.0,0,0.0,0.0,0
CASE_000174,18,1,1,1.0,-1.0,-2,1.0,0.0,0
CASE_000603,18,-1,-1,-1.0,0.0,0,0.0,0.0,-2
CASE_000488,18,1,1,1.0,0.0,-1,1.0,0.0,1
CASE_000655,18,-1,0,-1.0,0.0,1,1.0,0.0,-1
CASE_000339,18,1,0,0.0,-1.0,0,1.0,0.0,1
CASE_000620,18,1,0,0.0,0.0,1,1.0,0.0,1
CASE_000479,18,0,-2,-1.0,0.0,0,0.0,0.0,-2
CASE_000461,18,0,1,0.0,0.0,0,1.0,0.0,1
CASE_000378,18,-1,-1,-1.0,0.0,0,1.0,0.0,-2
CASE_000713,18,-1,1,-1.0,0.0,1,1.0,0.0,-2
CASE_000040,18,-1,1,0.0,0.0,-1,1.0,0.0,-1
CASE_000590,18,0,1,0.0,0.0,0,0.0,0.0,1
CASE_000016,18,2,1,2.0,-1.0,-1,1.0,0.0,2
CASE_000268,19,-2,-2,-2.0,0.0,0,1.0,0.0,-2
CASE_000553,19,1,-1,0.0,1.0,-1,1.0,0.0,0
CASE_000010,19,2,1,1.0,0.0,1,1.0,0.0,1
CASE_000602,19,0,1,0.0,1.0,-1,1.0,0.0,-1
CASE_000782,19,2,0,1.0,0.0,1,1.0,0.0,2
CASE_000439,19,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000216,19,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000197,19,0,0,0.0,0.0,0,0.0,0.0,0
CASE_000102,19,-1,-1,-1.0,0.0,0,0.0,0.0,-2
CASE_000253,19,-2,-2,-2.0,0.0,0,1.0,0.0,-2
CASE_000497,19,0,0,0.0,-1.0,0,1.0,0.0,1
CASE_000745,19,2,0,1.0,,-1,,0.0,2
CASE_000075,19,0,-1,-2.0,0.0,0,1.0,0.0,-1
CASE_000221,19,-1,-1,-2.0,1.0,-1,1.0,0.0,0
CASE_000226,19,1,2,1.0,0.0,1,1.0,0.0,-1
CASE_000396,19,0,0,0.0,1.0,-1,1.0,0.0,1
CASE_000100,20,-1,1,-1.0,1.0,-1,1.0,0.0,0
CASE_000110,20,1,2,1.0,-1.0,-1,1.0,0.0,-1
CASE_000393,20,2,1,2.0,0.0,0,1.0,0.0,2
CASE_000033,20,-2,-2,-2.0,0.0,-1,1.0,0.0,-2
CASE_000178,20,-1,2,0.0,0.0,1,1.0,0.0,-1
CASE_000148,20,-1,-1,-2.0,0.0,0,1.0,0.0,-2
CASE_000020,20,-1,0,-1.0,1.0,1,1.0,0.0,-1
CASE_000327,20,-1,1,0.0,0.0,0,1.0,0.0,0
CASE_000523,20,-2,-2,,,-2,,,-2
CASE_000601,20,-2,-2,-2.0,0.0,1,1.0,0.0,-2
CASE_000657,20,2,-1,1.0,1.0,1,1.0,0.0,2
CASE_000045,20,2,1,2.0,0.0,0,1.0,0.0,2
CASE_000176,20,2,1,1.0,0.0,1,1.0,0.0,2
CASE_000756,20,0,0,0.0,1.0,-2,1.0,0.0,1
CASE_000161,20,-1,1,-1.0,1.0,-1,1.0,0.0,-1
CASE_000526,20,2,1,1.0,0.0,-1,1.0,0.0,2
CASE_000402,21,0,0,0.0,0.0,0,0.0,0.0,-1
CASE_000589,21,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000774,21,1,2,2.0,-2.0,-1,1.0,0.0,2
CASE_000273,21,-2,-2,-2.0,0.0,1,1.0,0.0,-2
CASE_000626,21,0,-1,0.0,1.0,-2,1.0,0.0,0
CASE_000259,21,0,0,0.0,0.0,0,0.0,0.0,1
CASE_000765,21,-1,1,-1.0,0.0,1,1.0,0.0,0
CASE_000303,21,1,1,1.0,1.0,-1,1.0,0.0,1
CASE_000137,21,2,1,2.0,0.0,1,1.0,0.0,0
CASE_000122,21,-1,-1,-1.0,1.0,-1,1.0,0.0,0
CASE_000795,21,-2,0,-2.0,1.0,1,2.0,0.0,-1
CASE_000673,21,2,1,1.0,0.0,1,1.0,0.0,1
CASE_000187,21,0,-1,-1.0,0.0,1,1.0,0.0,0
CASE_000663,21,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000225,21,2,1,2.0,-1.0,0,1.0,0.0,2
CASE_000440,21,0,1,0.0,0.0,0,1.0,0.0,0
CASE_000482,22,-1,1,-1.0,0.0,0,0.0,0.0,0
CASE_000441,22,0,-2,-1.0,0.0,-1,1.0,0.0,0
CASE_000421,22,1,1,1.0,1.0,-1,1.0,0.0,1
CASE_000538,22,-1,1,-1.0,0.0,-1,1.0,0.0,-2
CASE_000541,22,-2,-2,-2.0,,-1,,0.0,-2
CASE_000196,22,2,1,1.0,0.0,0,1.0,0.0,2
CASE_000459,22,-1,1,-1.0,1.0,-1,1.0,0.0,0
CASE_000175,22,-1,0,-1.0,1.0,1,1.0,0.0,1
CASE_000653,22,-1,1,-1.0,0.0,0,0.0,0.0,-2
CASE_000309,22,-2,-1,-1.0,0.0,1,1.0,0.0,-1
CASE_000794,22,-1,-1,-1.0,0.0,0,1.0,0.0,-1
CASE_000711,22,-2,-2,-2.0,0.0,0,0.0,0.0,-1
CASE_000244,22,-2,-1,-1.0,0.0,1,1.0,0.0,-2
CASE_000487,22,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000199,22,0,0,0.0,0.0,0,1.0,0.0,1
CASE_000777,22,-2,-2,,,-2,,,-2
CASE_000103,23,-1,-2,-2.0,-2.0,-1,1.0,0.0,-1
CASE_000251,23,-2,-2,-2.0,1.0,1,2.0,0.0,-2
CASE_000131,23,-1,1,0.0,0.0,0,1.0,0.0,1
CASE_000276,23,-1,-1,-2.0,1.0,-1,1.0,0.0,-2
CASE_000784,23,-1,1,-1.0,-1.0,0,1.0,0.0,-1
CASE_000468,23,1,1,1.0,0.0,1,1.0,0.0,2
CASE_000522,23,1,0,0.0,1.0,-1,1.0,0.0,1
CASE_000009,23,0,-1,-1.0,0.0,0,1.0,0.0,1
CASE_000356,23,0,1,0.0,0.0,0,0.0,0.0,-1
CASE_000168,23,-1,1,-1.0,0.0,-1,1.0,0.0,-2
CASE_000456,23,-1,1,-1.0,0.0,0,0.0,0.0,0
CASE_000267,23,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000480,23,0,1,0.0,-2.0,-1,1.0,0.0,-1
CASE_000091,23,-1,1,-1.0,0.0,0,1.0,0.0,0
CASE_000787,23,0,2,0.0,-2.0,-1,1.0,0.0,-1
CASE_000531,23,0,1,0.0,-2.0,-1,1.0,0.0,0
CASE_000630,24,2,-1,1.0,0.0,1,1.0,0.0,1
CASE_000301,24,0,-1,-1.0,1.0,1,1.0,0.0,1
CASE_000474,24,-1,-1,-1.0,0.0,1,1.0,0.0,-2
CASE_000659,24,0,1,0.0,-2.0,0,1.0,0.0,0
CASE_000201,24,1,0,1.0,0.0,0,1.0,0.0,1
CASE_000771,24,-1,-1,-1.0,0.0,-1,1.0,0.0,-1
CASE_000625,24,-1,2,0.0,1.0,-1,1.0,0.0,0
CASE_000149,24,-1,-1,-2.0,1.0,-1,1.0,0.0,-2
CASE_000342,24,1,0,0.0,0.0,0,1.0,0.0,1
CASE_000121,24,2,2,2.0,-1.0,1,1.0,0.0,2
CASE_000452,24,-2,-2,-2.0,1.0,1,1.0,0.0,-2
CASE_000616,24,-1,1,0.0,0.0,0,0.0,0.0,-1
CASE_000038,24,-2,0,-1.0,1.0,1,2.0,0.0,-2
CASE_000503,24,0,-2,-2.0,0.0,0,1.0,0.0,-1
CASE_000514,24,-1,-2,-2.0,1.0,1,1.0,0.0,-2
CASE_000669,24,-1,1,0.0,0.0,0,0.0,0.0,0
CASE_000195,25,-1,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000464,25,1,-1,-1.0,1.0,-1,1.0,0.0,1
CASE_000382,25,0,-1,0.0,1.0,-2,1.0,0.0,-1
CASE_000096,25,-1,0,-1.0,0.0,0,1.0,0.0,-1
CASE_000623,25,1,1,1.0,0.0,-1,1.0,0.0,1
CASE_000557,25,0,1,0.0,-2.0,-1,1.0,0.0,-1
CASE_000687,25,1,2,1.0,0.0,0,1.0,0.0,2
CASE_000060,25,-2,-2,-2.0,1.0,-1,1.0,0.0,-1
CASE_000323,25,0,-1,-1.0,0.0,0,1.0,0.0,0
CASE_000073,25,-1,0,-1.0,0.0,0,1.0,0.0,-1
CASE_000274,25,1,1,1.0,0.0,1,1.0,0.0,2
CASE_000182,25,0,0,-1.0,-2.0,0,1.0,0.0,-1
