year,dimension,label,n,valid,mean,median,std
2021,turn,WINNER,45,45,-0.28888888888888886,-1.0,1.2544868965985154
2021,retention,LOSER,45,45,-0.4444444444444444,-1.0,1.2712834523274563
2021,retention,NEUTRAL,45,45,-0.6,-1.0,1.2684994714586635
2021,retention,WINNER,45,45,-0.4444444444444444,-1.0,1.3577313222557483
2021,quieting,LOSER,45,45,0.06666666666666667,0.0,0.7507571935295485
2021,quieting,NEUTRAL,45,45,0.17777777777777778,0.0,0.6138140408687934
2021,quieting,WINNER,45,44,0.22727272727272727,0.0,0.7428304249080896
2021,spike_distribution,LOSER,45,45,0.4222222222222222,1.0,0.839071155528781
2021,spike_distribution,NEUTRAL,45,45,0.2222222222222222,1.0,0.9265990819042819
2021,spike_distribution,WINNER,45,45,0.06666666666666667,0.0,0.939051746081217
2021,volume_alignment,LOSER,45,45,0.6222222222222222,1.0,0.6838689696694593
2021,volume_alignment,NEUTRAL,45,45,0.7111111111111111,1.0,0.6948584624427356
2021,volume_alignment,WINNER,45,44,0.7954545454545454,1.0,0.6675029990193216
2021,rejection,LOSER,45,45,-0.022222222222222223,0.0,0.14907119849998599
2021,rejection,NEUTRAL,45,45,0.0,0.0,0.21320071635561044
2021,rejection,WINNER,45,45,-0.022222222222222223,0.0,0.149071198499986
2021,context,LOSER,45,45,-0.5333333333333333,-1.0,1.1793680896603447
2021,context,NEUTRAL,45,45,-0.6,-1.0,1.3551249523064786
2021,context,WINNER,45,45,-0.4444444444444444,-1.0,1.423113672639162
