economic_opportunity_id,strategy_label,parent_opportunity_id,symbol,decision_at,signal_at,variant_type,bull_eligible,mcb_confirmed,ogr_eligible,ifcgr_pass,atrdr_route,smv6_opportunity,lineage_evidence
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|600597.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|600597.SH,600597.SH,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|600639.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|600639.SH,600639.SH,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|601117.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|601117.SH,601117.SH,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180105|000869.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180105|000869.SZ,000869.SZ,2018-01-05 15:00:00,2018-01-05 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180105|002385.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180105|002385.SZ,002385.SZ,2018-01-05 15:00:00,2018-01-05 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180105|600655.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180105|600655.SH,600655.SH,2018-01-05 15:00:00,2018-01-05 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180109|002863.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180109|002863.SZ,002863.SZ,2018-01-09 15:00:00,2018-01-09 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|SMV6|SMV6|2018-01-15|510050.SH|0,SMV6,SMV6|SMV6|2018-01-15|510050.SH|0,510050.SH,2018-01-15 00:00:00,2018-01-15 00:00:00,strategy_labelled_native_opportunity,False,False,False,False,NATIVE_CALLBACK,True,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180212|300264.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180212|300264.SZ,300264.SZ,2018-02-12 15:00:00,2018-02-12 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180214|002829.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180214|002829.SZ,002829.SZ,2018-02-14 15:00:00,2018-02-14 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|000590.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|000590.SZ,000590.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|002421.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|002421.SZ,002421.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300011.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300011.SZ,300011.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300691.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300691.SZ,300691.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300699.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300699.SZ,300699.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600105.SH,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600105.SH,600105.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600730.SH,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600730.SH,600730.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|IFCGR|000917.SZ|2018-01-31,IFCGR,IFCGR|000917.SZ|2018-01-31,000917.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002200.SZ|2018-01-31,IFCGR,IFCGR|002200.SZ|2018-01-31,002200.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002261.SZ|2018-02-01,IFCGR,IFCGR|002261.SZ|2018-02-01,002261.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002401.SZ|2018-02-01,IFCGR,IFCGR|002401.SZ|2018-02-01,002401.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002446.SZ|2018-01-31,IFCGR,IFCGR|002446.SZ|2018-01-31,002446.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002631.SZ|2018-01-31,IFCGR,IFCGR|002631.SZ|2018-01-31,002631.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002702.SZ|2018-01-31,IFCGR,IFCGR|002702.SZ|2018-01-31,002702.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002759.SZ|2018-01-31,IFCGR,IFCGR|002759.SZ|2018-01-31,002759.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|300025.SZ|2018-01-31,IFCGR,IFCGR|300025.SZ|2018-01-31,300025.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|300076.SZ|2018-01-30,IFCGR,IFCGR|300076.SZ|2018-01-30,300076.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|300220.SZ|2018-02-01,IFCGR,IFCGR|300220.SZ|2018-02-01,300220.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|300268.SZ|2018-01-31,IFCGR,IFCGR|300268.SZ|2018-01-31,300268.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|600571.SH|2018-02-01,IFCGR,IFCGR|600571.SH|2018-02-01,600571.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|600601.SH|2018-01-31,IFCGR,IFCGR|600601.SH|2018-01-31,600601.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|600698.SH|2018-01-31,IFCGR,IFCGR|600698.SH|2018-01-31,600698.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|000519.SZ|2018-01-31,OGR,OGR|000519.SZ|2018-01-31,000519.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|000917.SZ|2018-01-31,OGR,OGR|000917.SZ|2018-01-31,000917.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002200.SZ|2018-01-31,OGR,OGR|002200.SZ|2018-01-31,002200.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002261.SZ|2018-02-01,OGR,OGR|002261.SZ|2018-02-01,002261.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002401.SZ|2018-02-01,OGR,OGR|002401.SZ|2018-02-01,002401.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002446.SZ|2018-01-31,OGR,OGR|002446.SZ|2018-01-31,002446.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002631.SZ|2018-01-31,OGR,OGR|002631.SZ|2018-01-31,002631.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002702.SZ|2018-01-31,OGR,OGR|002702.SZ|2018-01-31,002702.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002759.SZ|2018-01-31,OGR,OGR|002759.SZ|2018-01-31,002759.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|300025.SZ|2018-01-31,OGR,OGR|300025.SZ|2018-01-31,300025.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|300076.SZ|2018-01-30,OGR,OGR|300076.SZ|2018-01-30,300076.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|300220.SZ|2018-02-01,OGR,OGR|300220.SZ|2018-02-01,300220.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|300268.SZ|2018-01-31,OGR,OGR|300268.SZ|2018-01-31,300268.SZ,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|600571.SH|2018-02-01,OGR,OGR|600571.SH|2018-02-01,600571.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|600601.SH|2018-01-31,OGR,OGR|600601.SH|2018-01-31,600601.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|600698.SH|2018-01-31,OGR,OGR|600698.SH|2018-01-31,600698.SH,2018-02-22 15:00:00,2018-02-22 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|000868.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|000868.SZ,000868.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|002631.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|002631.SZ,002631.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|IFCGR|002106.SZ|2018-02-02,IFCGR,IFCGR|002106.SZ|2018-02-02,002106.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002338.SZ|2018-02-02,IFCGR,IFCGR|002338.SZ|2018-02-02,002338.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|002724.SZ|2018-02-02,IFCGR,IFCGR|002724.SZ|2018-02-02,002724.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|300106.SZ|2018-01-31,IFCGR,IFCGR|300106.SZ|2018-01-31,300106.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|603336.SH|2018-02-02,IFCGR,IFCGR|603336.SH|2018-02-02,603336.SH,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|IFCGR|603958.SH|2018-02-02,IFCGR,IFCGR|603958.SH|2018-02-02,603958.SH,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,False,True,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002106.SZ|2018-02-02,OGR,OGR|002106.SZ|2018-02-02,002106.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002338.SZ|2018-02-02,OGR,OGR|002338.SZ|2018-02-02,002338.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|002724.SZ|2018-02-02,OGR,OGR|002724.SZ|2018-02-02,002724.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|300106.SZ|2018-01-31,OGR,OGR|300106.SZ|2018-01-31,300106.SZ,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|600397.SH|2018-01-31,OGR,OGR|600397.SH|2018-01-31,600397.SH,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|603336.SH|2018-02-02,OGR,OGR|603336.SH|2018-02-02,603336.SH,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|OGR|603958.SH|2018-02-02,OGR,OGR|603958.SH|2018-02-02,603958.SH,2018-02-23 15:00:00,2018-02-23 15:00:00,strategy_labelled_native_opportunity,False,False,True,False,FIXED_BELOW_L_REPAIR,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002799.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002799.SZ,002799.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002901.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002901.SZ,002901.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002902.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002902.SZ,002902.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300192.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300192.SZ,300192.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300223.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300223.SZ,300223.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300452.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300452.SZ,300452.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300517.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300517.SZ,300517.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300692.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300692.SZ,300692.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300696.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300696.SZ,300696.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300701.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300701.SZ,300701.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300710.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300710.SZ,300710.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300719.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300719.SZ,300719.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300726.SZ,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300726.SZ,300726.SZ,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
ECO|ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|600760.SH,ATRDR Slow Bear,ATRDR_Slow_Bear|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|600760.SH,600760.SH,2018-02-26 15:00:00,2018-02-26 15:00:00,strategy_labelled_native_opportunity,False,False,False,False,V27,False,frozen opportunity master source row
