decision_at,total_distinct_legal_requested_notional,number_of_distinct_competing_opportunities,legal_opportunity_count,trade_date,cash_available_before_funding,gross_headroom_before_funding,nav,fundable_notional,constrained_notional,funded_count,unfunded_for_capital_reason_count,conflict_status
2022-11-04 15:00:00,918210.609905725,2,20,2022-11-04,5915735.727746472,1248034.438445055,7163770.166191527,918210.609905725,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2022-11-07 15:00:00,812064.801962307,2,19,2022-11-07,5089070.034704181,2075071.0999297905,7164141.134633971,812064.801962307,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2022-11-08 15:00:00,96502.70233560084,1,2,2022-11-08,4338850.500523523,2815513.5904269437,7154364.090950467,96502.70233560084,0.0,,,NO_CONFLICT
2022-11-10 15:00:00,110740.92174522184,3,4,2022-11-10,4347594.894404925,2781800.8818828748,7129395.7762878,110740.92174522184,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2022-11-15 15:00:00,71366.34236662097,3,3,2022-11-15,4281955.383177419,2894843.967582757,7176799.350760177,71366.34236662097,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2022-11-17 15:00:00,115808.3086010798,1,2,2022-11-17,4445481.195451627,2761945.811417662,7207427.006869288,115808.3086010798,0.0,,,NO_CONFLICT
2022-11-18 15:00:00,39520.96559786833,1,1,2022-11-18,4329672.886850545,2854711.563347611,7184384.450198157,39520.96559786833,0.0,,,NO_CONFLICT
2022-11-21 15:00:00,79212.00421049728,1,2,2022-11-21,4290151.921252677,2888006.0043714703,7178157.925624147,79212.00421049728,0.0,,,NO_CONFLICT
2022-11-22 15:00:00,39338.150565158416,1,1,2022-11-22,4316377.083560054,2839207.1270427373,7155584.210602792,39338.150565158416,0.0,,,NO_CONFLICT
2022-11-25 15:00:00,225372.05358994787,1,4,2022-11-25,4612660.33750327,2531755.590375604,7144415.927878874,225372.05358994787,0.0,,,NO_CONFLICT
2022-11-28 15:00:00,113844.92135595212,1,2,2022-11-28,5010088.850712223,2129168.622431839,7139257.473144062,113844.92135595212,0.0,,,NO_CONFLICT
2022-11-29 15:00:00,344959.84487534687,1,6,2022-11-29,5601099.45572524,1571335.5570279418,7172435.012753181,344959.84487534687,0.0,,,NO_CONFLICT
2022-12-01 15:00:00,39381.47036754557,1,1,2022-12-01,6037017.803510702,1132853.0584978098,7169870.862008512,39381.47036754557,0.0,,,NO_CONFLICT
2023-01-04 00:00:00,66609.55364687998,1,1,2023-01-04,7108648.691609022,67300.4,7175949.091609023,66609.55364687998,0.0,,,NO_CONFLICT
2023-01-06 00:00:00,785132.3733956639,1,2,2023-01-06,6199892.798453358,964106.5,7163999.298453358,785132.3733956639,0.0,,,NO_CONFLICT
2023-01-09 00:00:00,237412.51324804794,1,2,2023-01-09,6097073.855388126,1077835.4,7174909.255388126,237412.51324804794,0.0,,,NO_CONFLICT
2023-01-10 00:00:00,105725.72298706273,1,2,2023-01-10,6295568.217138887,887550.1,7183118.317138887,105725.72298706273,0.0,,,NO_CONFLICT
2023-01-18 15:00:00,951700.3373713678,2,24,2023-01-18,6295568.217138887,908435.2,7204003.417138888,951700.3373713678,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-01-19 15:00:00,1594348.8759373752,2,40,2023-01-19,5343867.879767518,1889009.7807966718,7232877.66056419,1594348.8759373752,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-01-20 15:00:00,1330212.6374748899,2,32,2023-01-20,3854978.982616464,3375527.011629137,7230505.994245602,1330212.6374748899,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-01-30 15:00:00,4070844.5586790764,2,115,2023-01-30,2524766.3451415673,4748642.127517789,7273408.472659356,2524766.3451415673,1546078.213537509,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-01-31 15:00:00,914458.7549370992,2,26,2023-01-31,1701883.109929402,5576004.271689999,7277887.381619401,914458.7549370992,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-02-01 15:00:00,3017874.569876647,2,85,2023-02-01,1710364.593680945,5653195.866258647,7363560.4599395925,1710364.593680945,1307509.976195702,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-02-02 15:00:00,124452.040557373,1,3,2023-02-02,1640822.7631270222,5706703.573644287,7347526.336771309,124452.040557373,0.0,,,NO_CONFLICT
2023-02-08 15:00:00,57853.866449184614,1,1,2023-02-08,2052109.4590088772,5306811.471750147,7358920.930759024,57853.866449184614,0.0,,,NO_CONFLICT
2023-02-13 15:00:00,58982.1511097778,1,1,2023-02-13,3047214.717550902,4411407.001148738,7458621.71869964,58982.1511097778,0.0,,,NO_CONFLICT
2023-02-17 15:00:00,57975.13074915495,1,1,2023-02-17,3753646.775917668,3593049.631442393,7346696.407360061,57975.13074915495,0.0,,,NO_CONFLICT
2023-02-28 15:00:00,116346.22212883946,1,2,2023-02-28,7216760.333032276,169256.2692913721,7386016.602323648,116346.22212883946,0.0,,,NO_CONFLICT
2023-03-01 15:00:00,58093.62561173338,1,1,2023-03-01,7100414.110903435,283132.9762919894,7383547.087195424,58093.62561173338,0.0,,,NO_CONFLICT
2023-03-07 00:00:00,165052.714182048,1,1,2023-03-07,6934102.427134744,451973.6850551866,7386076.112189931,165052.714182048,0.0,,,NO_CONFLICT
2023-03-22 15:00:00,13058.277160773487,2,2,2023-03-22,7205115.271053606,169047.0106673782,7374162.281720984,13058.277160773487,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-03-23 00:00:00,528349.0055513759,1,2,2023-03-23,6784078.6861466095,614067.3524368944,7398146.038583504,528349.0055513759,0.0,,,NO_CONFLICT
2023-03-24 00:00:00,656943.6422559598,1,4,2023-03-24,6272427.673610312,1119289.4050131063,7391717.078623418,656943.6422559598,0.0,,,NO_CONFLICT
2023-04-14 15:00:00,13066.663736689847,2,2,2023-04-14,6279504.32952236,1224708.7,7504213.02952236,13066.663736689847,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-05-15 15:00:00,125999.62874316503,3,6,2023-05-15,7432765.033854492,0.0,7432765.033854492,125999.62874316503,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-05-17 15:00:00,499229.7547337909,1,10,2023-05-17,7319420.7265579365,112559.12818921077,7431979.854747147,499229.7547337909,0.0,,,NO_CONFLICT
2023-05-18 15:00:00,440442.3345779969,3,11,2023-05-18,6820190.971824139,618928.7081709732,7439119.679995112,440442.3345779969,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-05-19 15:00:00,126652.45743083215,1,3,2023-05-19,6449656.585824718,1007174.2757607063,7456830.861585424,126652.45743083215,0.0,,,NO_CONFLICT
2023-05-22 15:00:00,100757.37533677477,1,2,2023-05-22,6323004.128393887,1137987.4520321677,7460991.580426054,100757.37533677477,0.0,,,NO_CONFLICT
2023-05-26 15:00:00,692131.8304520309,2,16,2023-05-26,6507973.386721308,972376.2494855049,7480349.636206813,692131.8304520309,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-06-01 15:00:00,58563.3210016347,1,1,2023-06-01,6146982.593290257,1349485.0302260665,7496467.623516324,58563.3210016347,0.0,,,NO_CONFLICT
2023-06-27 15:00:00,58548.639169091344,1,1,2023-06-27,7528848.601002038,0.0,7528848.601002038,58548.639169091344,0.0,,,NO_CONFLICT
2023-07-25 15:00:00,1181380.7533976985,4,28,2023-07-25,7534418.816885012,0.0,7534418.816885012,1181380.7533976985,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-08-01 00:00:00,439834.35356364725,1,2,2023-08-01,6028480.357018254,1572916.1549755223,7601396.511993776,439834.35356364725,0.0,,,NO_CONFLICT
2023-08-29 15:00:00,104444.51147240287,1,2,2023-08-29,7597137.739040269,0.0,7597137.739040269,104444.51147240287,0.0,,,NO_CONFLICT
2023-09-01 15:00:00,60248.030438373855,1,1,2023-09-01,7492693.227567865,107046.1495603305,7599739.377128195,60248.030438373855,0.0,,,NO_CONFLICT
2023-09-04 15:00:00,13073.73899462273,2,2,2023-09-04,7498401.783637131,109191.9172446883,7607593.700881819,13073.73899462273,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-09-07 00:00:00,70018.559791776,1,1,2023-09-07,7421644.424020525,181213.443227513,7602857.867248038,70018.559791776,0.0,,,NO_CONFLICT
2023-09-22 15:00:00,230182.33966937568,2,5,2023-09-22,7490595.215263693,103766.35586599911,7594361.571129692,230182.33966937568,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-09-27 15:00:00,60090.43162461919,1,1,2023-09-27,7260412.875594316,331739.4682800453,7592152.343874361,60090.43162461919,0.0,,,NO_CONFLICT
2023-09-28 15:00:00,44241.85819852887,1,1,2023-09-28,7241490.490714497,352398.82661379466,7593889.317328292,44241.85819852887,0.0,,,NO_CONFLICT
2023-10-10 15:00:00,60062.06366270137,1,1,2023-10-10,7245720.400909525,349729.3241783453,7595449.725087871,60062.06366270137,0.0,,,NO_CONFLICT
2023-10-12 15:00:00,44344.901255164885,1,1,2023-10-12,7243070.039834286,351428.7488090192,7594498.788643305,44344.901255164885,0.0,,,NO_CONFLICT
2023-10-25 15:00:00,13069.223885888645,2,2,2023-10-25,7495132.442952308,94061.74825530486,7589194.191207613,13069.223885888645,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-03 15:00:00,178132.82451232977,3,5,2023-11-03,7488395.970419921,105147.20677584957,7593543.177195771,178132.82451232977,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
