strategy,year,pre_capital_opportunity_count,native_entry_intent_count,native_fill_count,native_exit_count,opportunity_source,native_source,opportunity_first_date,opportunity_last_date,coverage_status
MCB,2020,149,149,149,153,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-03-03 15:00:00,2020-08-25 15:00:00,PASS
MCB,2021,91,91,91,93,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-04-07 15:00:00,2021-12-16 15:00:00,PASS
MCB,2022,72,72,72,73,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-01-04 15:00:00,2022-11-07 15:00:00,PASS
MCB,2023,275,275,134,134,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-01-18 15:00:00,2023-11-20 15:00:00,PASS
MCB,2024,324,324,121,122,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2024-03-11 15:00:00,2024-12-12 15:00:00,PASS
MCB,2025,160,160,160,161,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-02-27 15:00:00,2025-11-13 15:00:00,PASS
MCB,2026 YTD,90,90,87,87,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-01-08 15:00:00,2026-05-08 15:00:00,PASS
OGR,2018,198,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-02-22 15:00:00,2018-11-02 15:00:00,PASS
OGR,2019,23,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-01-11 15:00:00,2019-12-06 15:00:00,PASS
OGR,2020,10,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-02-17 15:00:00,2020-11-09 15:00:00,PASS
OGR,2021,24,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-01-15 15:00:00,2021-11-15 15:00:00,PASS
OGR,2022,35,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-03-30 15:00:00,2022-11-15 15:00:00,PASS
OGR,2023,9,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-03-22 15:00:00,2023-11-03 15:00:00,PASS
