trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,previous_nav,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2023-12-06,4599828.883028034,2512729.9490400814,7112558.8320681155,256136.4251226264,64570.730837640156,7112558.832068138,2201648.5859112255,3116400.582247422,311081.36312885577,1507926.0289424455,,,0.0,1365058.7906436145,0,7089501.05060493,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-07,5283325.289413309,1821119.036823444,7104444.326236753,257506.1573999516,64653.2229881833,7104444.326236774,1513238.2837283583,3111486.686449829,307880.7530950856,1504725.4189086752,,,0.0,1365058.7906436145,0,7112558.8320681155,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-08,5966018.966172598,1124223.9075284826,7090242.873701081,258874.2810006716,63828.30148275192,7090242.873701103,821536.4195614032,3102478.4990421636,302687.4879670795,1499532.1537806692,,,0.0,1365058.7906436145,0,7104444.326236753,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-11,5966018.966172598,1138641.0880566582,7104660.054229257,258874.2810006716,64880.07640217692,7104660.054229279,831705.8992852079,3112647.9787659682,306935.18877145037,1503779.8545850401,,,0.0,1365058.7906436145,0,7090242.873701081,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-12,6758471.014557467,346217.0878420466,7104688.102399513,260462.36125795593,56516.82212416429,7104688.102399535,146240.4274164135,3110747.1730615604,199976.66042563308,1505708.7084597046,,,0.0,1365058.7906436145,0,7104660.054229257,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-13,7000261.494574724,104779.98242321824,7105041.476997942,260946.9113181107,58154.99088138644,7105041.476997963,104779.98242321824,3111537.2534555215,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7104688.102399513,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-14,7058300.175474348,46775.15254518714,7105075.328019534,261063.2212998735,46775.15254518714,7105075.328019555,46775.15254518714,3111571.104477114,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105041.476997942,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-15,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105075.328019534,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-18,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-19,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-20,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-21,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-22,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-25,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-26,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-27,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-28,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2023-12-29,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-02,7105206.5687364675,0.0,7105206.5687364675,261157.22208797393,0.0,7105206.568736488,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1365058.7906436145,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
