gap,mcb_mode,target,mechanic,year,capital_days_root,capital_days_account
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2018,1146391987.169195,1146391987.1691952
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2019,1379365388.0842712,1379365388.084271
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2020,2050315247.4869792,2050315247.486979
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2021,2700733517.1645226,2700733517.164523
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2022,4880620741.71804,4880620741.71804
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2023,5337534042.943061,5337534042.943062
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,5673078581.424658,5673078581.424656
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,7415187115.686123,7415187115.686127
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,5885721000.724122,5885721000.724117
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,220777986.19010487,220777986.19010487
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,265258610.6425462,265258610.6425462
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,366932312.97604734,366932312.97604734
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,283061488.6718212,283061488.6718211
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,345761921.0157,345761921.0157001
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,373506393.45307845,373506393.4530782
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,505513478.435779,505513478.4357791
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,773772056.8610649,773772056.8610649
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,419532827.7723158,419532827.772316
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,1538115899.5905163,1538115899.5905163
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,1915740180.9524152,1915740180.9524152
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,3196029036.8777466,3196029036.8777466
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,4925515078.556952,4925515078.556952
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,9824137523.44115,9824137523.44115
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,11029854415.185389,11029854415.18539
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,11594497100.064493,11594497100.064491
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,16544652095.531857,16544652095.53186
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,15095956237.332983,15095956237.332985
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,376931738.61446315,376931738.6144631
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,411911943.45237905,411911943.4523791
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,462487164.403244,462487164.4032439
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,515166570.3518213,515166570.3518214
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,683762339.8258007,683762339.8258004
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,651137809.7839016,651137809.7839017
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,679905126.2511971,679905126.2511973
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,778852444.4465451,778852444.4465446
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,545864078.6986116,545864078.6986113
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,758997359.6369684,758997359.6369684
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,884348853.4662635,884348853.4662635
