gap,mcb_mode,target,mechanic,year,scope,peak,trough,recovery,recovery_status,MaxDD,peak_nav,trough_nav,actual_pnl,native_same_window_pnl,incremental_scaling_pnl,average_gross,average_Demand_exposure,max_single_name,cash_at_peak,cash_at_trough,turnover,fees,full_book_normalizations,existing_position_increases,existing_position_reductions
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.11798740467360191,11136022.947280236,9822112.501344966,-1313910.4459352698,-197626.9677670598,-1116283.47816821,0.22646789453750024,0.18466318659859166,0.2158393155893913,8396915.117947934,7556567.1581963515,3.990243503595304,78641.76166881472,45,420,169
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.11798740467360191,11136022.947280236,9822112.501344966,-1313910.4459352698,-197626.9677670598,-1116283.47816821,0.22646789453750024,0.18466318659859166,0.2158393155893913,8396915.117947934,7556567.1581963515,3.990243503595304,78641.76166881472,45,420,169
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2025-02-07,RECOVERED,0.18013393585607662,16890208.61537213,13847708.860054933,-3042499.7553171962,-8134.813131542876,-3034364.9421856534,0.1723068203342776,0.0,0.49999999999999956,16382878.61537213,7055128.669127384,0.9993725235141384,31652.149050163862,2,0,1
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,2025-02-21,RECOVERED,0.19657524324760745,17235850.331560865,13847708.860054933,-3388141.4715059325,-55377.28243089747,-3332764.189075035,0.34485024025819927,0.296100199266585,0.50107238605898,11741013.732058594,7055128.669127384,11.84144985379707,389935.5223495775,49,854,591
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,2025-05-08,RECOVERED,0.062087384547513946,17409409.233209144,16328504.54740185,-1080904.6858072951,-122929.31469073147,-957975.3711165637,0.4077738473677888,0.3645860212636841,0.09648339542983075,9203597.6657511,8530314.122082546,2.6670271847259523,71031.74637050957,18,181,225
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,2025-02-21,RECOVERED,0.0858540189067466,17235850.331560865,15756083.311321184,-1479767.020239681,1017927.3616334535,-2497694.3818731345,0.4035595517565901,0.32315437972311356,0.50107238605898,11741013.732058594,8100948.404588064,41.805782787254905,1217125.6521735922,286,3726,4286
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.220838214444119,23610401.64640013,18396322.704500638,-5214078.941899493,-197626.9677670598,-5016451.9741324335,0.4582948410756799,0.36710748950314287,0.431664510064462,12047994.096454388,9852611.42595499,7.964454711323007,312319.79734298174,54,461,186
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.220838214444119,23610401.64640013,18396322.704500638,-5214078.941899493,-197626.9677670598,-5016451.9741324335,0.4582948410756799,0.36710748950314287,0.431664510064462,12047994.096454388,9852611.42595499,7.964454711323007,312319.79734298174,54,461,186
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2025-02-07,RECOVERED,0.26749542352023314,30008956.736269318,21981698.1447006,-8027258.591568716,-8134.813131542876,-8019123.778437173,0.2687836575868691,0.0,0.7499999999999988,29501626.736269318,5653207.741750013,1.4815615523909786,83298.40474435568,2,0,1
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,2025-02-17,RECOVERED,0.28961547906342,30943379.953887016,21981698.1447006,-8961681.809186414,-55377.28243089747,-8906304.526755515,0.5195242289698108,0.44562972280058255,0.7508034279592918,16312528.075217659,5653207.741750013,17.967310189020093,1049740.2180994633,49,1004,650
