gap,mcb_mode,target,mechanic,year,scope,peak,trough,market_state_after_peak,breadth_after_peak,volatility_after_peak,state_source,market_transition_count,breadth_transition_count,incremental_scaling_pnl
IFCGR,confirmation_tag,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-9492643.823823413
OGR,confirmation_tag,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-9171613.44713384
OGR,confirmation_tag,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-771637.3479246357
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-7917244.690373327
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-7564796.702413702
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-865008.7240397539
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-868863.5043535847
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-2933952.525280647
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-16889477.148633942
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-16972805.61981853
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-7468842.775001364
OGR,confirmation_tag,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-778164.9604745768
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-2903939.966027677
