year,strategy,route,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2024,ATRDR,FAST_BEAR,286533.3637741557,18306.45056220863,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,268226.9132119471
2024,ATRDR,SLOW_BEAR,1719344.4405035186,121879.47217018402,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,1597464.9683333347
2024,IFCGR,FIXED_BELOW_L_REPAIR,-9861637.412331786,29140.707772993228,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-9890778.120104779
2024,MCB,MCB,-433315.2036423973,87471.67851813014,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-520786.88216052746
2024,SMV6,NATIVE_CALLBACK,4917239.4221186,466833.41609049734,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,4450406.006028103
2025,ATRDR,BULL,510037.2184955819,226731.03631247435,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,283306.18218310754
2025,ATRDR,FAST_BEAR,3144221.10616553,91080.67797400487,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,3053140.4281915254
2025,ATRDR,SLOW_BEAR,5154836.421258073,33842.49731452232,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,5120993.923943551
2025,IFCGR,FIXED_BELOW_L_REPAIR,8192512.934315495,6743.981085751679,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,8185768.953229743
2025,MCB,MCB,98061.75353487629,23467.513634033254,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,74594.23990084304
2025,SMV6,NATIVE_CALLBACK,6291535.914611196,384178.6856417313,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,5907357.228969465
2026,ATRDR,BULL,-179772.4133702578,233540.61734368885,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-413313.0307139467
2026,ATRDR,FAST_BEAR,3777962.509662001,36925.318701336946,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,3741037.190960664
2026,ATRDR,SLOW_BEAR,-13848425.923750147,-3910.9643316901347,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-13844514.959418457
2026,IFCGR,FIXED_BELOW_L_REPAIR,-5018177.848003193,12143.623981578541,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-5030321.471984771
2026,MCB,MCB,-86982.31938776305,8660.237690092468,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-95642.55707785553
2026,SMV6,NATIVE_CALLBACK,8609786.636809427,622044.8254142485,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,7987741.811395179
2018,ATRDR,BULL,7143.831757378887,-23377.885945315284,IFCGR,confirmation_tag,G25,ENTRY_ONLY,30521.71770269417
2018,ATRDR,SLOW_BEAR,189594.93957768125,244538.4691879087,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-54943.529610227444
2018,IFCGR,FIXED_BELOW_L_REPAIR,-17507.91511526532,87460.77183940033,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-104968.68695466565
2018,MCB,MCB,18640.302190804265,33476.11853456644,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-14835.816343762177
2018,SMV6,NATIVE_CALLBACK,2719.995313428546,22037.74926284229,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-19317.753949413745
2019,ATRDR,BULL,115845.03867869602,245447.47698634237,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-129602.43830764636
2019,ATRDR,FAST_BEAR,0.0,4300.582713448923,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-4300.582713448923
2019,ATRDR,SLOW_BEAR,-461958.7145183927,3453.283503774573,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-465411.99802216724
2019,IFCGR,FIXED_BELOW_L_REPAIR,415515.2522248524,7730.883573860368,IFCGR,confirmation_tag,G25,ENTRY_ONLY,407784.368650992
2019,MCB,MCB,0.18688798829180586,80814.8695064485,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-80814.6826184602
2019,SMV6,NATIVE_CALLBACK,63579.460758069414,27905.10637949992,IFCGR,confirmation_tag,G25,ENTRY_ONLY,35674.35437856949
2020,ATRDR,BULL,172827.2045728312,192843.8297891357,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-20016.6252163045
2020,ATRDR,FAST_BEAR,105940.50794497234,52368.00943257643,IFCGR,confirmation_tag,G25,ENTRY_ONLY,53572.49851239591
2020,ATRDR,SLOW_BEAR,383404.89243326976,6141.289210562751,IFCGR,confirmation_tag,G25,ENTRY_ONLY,377263.603222707
2020,IFCGR,FIXED_BELOW_L_REPAIR,97365.90625723131,4202.940944051678,IFCGR,confirmation_tag,G25,ENTRY_ONLY,93162.96531317964
2020,MCB,MCB,4001.436817193236,3073.629161994255,IFCGR,confirmation_tag,G25,ENTRY_ONLY,927.8076551989811
2020,SMV6,NATIVE_CALLBACK,120898.079906356,169138.00508529018,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-48239.92517893418
2021,ATRDR,BULL,115747.14624326446,260092.7081599194,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-144345.56191665493
2021,ATRDR,FAST_BEAR,390615.6952474152,25537.424389361637,IFCGR,confirmation_tag,G25,ENTRY_ONLY,365078.2708580536
2021,ATRDR,SLOW_BEAR,15089.619915283636,93000.07341768114,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-77910.4535023975
2021,IFCGR,FIXED_BELOW_L_REPAIR,250973.06099579317,5782.611785829486,IFCGR,confirmation_tag,G25,ENTRY_ONLY,245190.4492099637
2021,MCB,MCB,-5.846970265229516,9715.12458983369,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-9720.971560098918
2021,SMV6,NATIVE_CALLBACK,110340.85366811174,41175.11735871985,IFCGR,confirmation_tag,G25,ENTRY_ONLY,69165.73630939188
2022,ATRDR,BULL,545115.6360057513,19322.04575624994,IFCGR,confirmation_tag,G25,ENTRY_ONLY,525793.5902495014
2022,ATRDR,FAST_BEAR,19692.152572911884,67274.00460192299,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-47581.852029011105
2022,ATRDR,SLOW_BEAR,47194.12117765463,121998.84125622097,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-74804.72007856634
2022,IFCGR,FIXED_BELOW_L_REPAIR,-145285.18064351392,16907.873267857733,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-162193.05391137165
2022,MCB,MCB,642.4856319037331,4700.969031382894,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-4058.483399479161
2022,SMV6,NATIVE_CALLBACK,5673.972566948189,34415.49890170461,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-28741.52633475642
2023,ATRDR,BULL,148035.37267150363,130639.01730977702,IFCGR,confirmation_tag,G25,ENTRY_ONLY,17396.355361726615
2023,ATRDR,FAST_BEAR,50096.651968465536,-6708.822500369286,IFCGR,confirmation_tag,G25,ENTRY_ONLY,56805.47446883482
2023,ATRDR,SLOW_BEAR,223422.55895278192,83027.10275216492,IFCGR,confirmation_tag,G25,ENTRY_ONLY,140395.45620061702
2023,IFCGR,FIXED_BELOW_L_REPAIR,-3350.3665659154867,1088.3488236568667,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-4438.715389572353
2023,MCB,MCB,2715.375817258187,60514.057820771486,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-57798.6820035133
2023,SMV6,NATIVE_CALLBACK,59275.03956974493,70387.31365555695,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-11112.274085812023
2024,ATRDR,BULL,363784.8888071567,277768.5107477528,IFCGR,confirmation_tag,G25,ENTRY_ONLY,86016.37805940391
2024,ATRDR,FAST_BEAR,98205.68591034529,18306.45056220863,IFCGR,confirmation_tag,G25,ENTRY_ONLY,79899.23534813666
2024,ATRDR,SLOW_BEAR,31819.7848234745,121879.47217018402,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-90059.68734670951
2024,IFCGR,FIXED_BELOW_L_REPAIR,334668.24362784135,29140.707772993228,IFCGR,confirmation_tag,G25,ENTRY_ONLY,305527.5358548481
2024,MCB,MCB,-31281.965412295696,87471.67851813014,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-118753.64393042584
2024,SMV6,NATIVE_CALLBACK,647335.2886611358,466833.41609049734,IFCGR,confirmation_tag,G25,ENTRY_ONLY,180501.8725706385
2025,ATRDR,BULL,302669.54884081916,226731.03631247435,IFCGR,confirmation_tag,G25,ENTRY_ONLY,75938.51252834481
2025,ATRDR,FAST_BEAR,183250.29659530343,91080.67797400487,IFCGR,confirmation_tag,G25,ENTRY_ONLY,92169.61862129856
2025,ATRDR,SLOW_BEAR,119592.1682337807,33842.49731452232,IFCGR,confirmation_tag,G25,ENTRY_ONLY,85749.67091925838
2025,IFCGR,FIXED_BELOW_L_REPAIR,404483.7089481212,6743.981085751679,IFCGR,confirmation_tag,G25,ENTRY_ONLY,397739.7278623695
2025,MCB,MCB,1941.3832081884448,23467.513634033254,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-21526.130425844807
2025,SMV6,NATIVE_CALLBACK,456822.45577737514,384178.6856417313,IFCGR,confirmation_tag,G25,ENTRY_ONLY,72643.77013564383
2026,ATRDR,BULL,-86358.26741701162,233540.61734368885,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-319898.88476070046
2026,ATRDR,FAST_BEAR,277166.78313506313,36925.318701336946,IFCGR,confirmation_tag,G25,ENTRY_ONLY,240241.46443372619
2026,ATRDR,SLOW_BEAR,-448070.9006360648,-3910.9643316901347,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-444159.9363043747
2026,IFCGR,FIXED_BELOW_L_REPAIR,440747.2598018223,12143.623981578541,IFCGR,confirmation_tag,G25,ENTRY_ONLY,428603.63582024374
2026,MCB,MCB,0.0,8660.237690092468,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-8660.237690092468
2026,SMV6,NATIVE_CALLBACK,250249.76152569588,622044.8254142485,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-371795.0638885526
2018,ATRDR,BULL,-15699.117199635997,-23377.885945315284,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,7678.768745679286
2018,ATRDR,SLOW_BEAR,106677.58607399103,244538.4691879087,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-137860.88311391766
2018,IFCGR,FIXED_BELOW_L_REPAIR,36362.73815477878,87460.77183940033,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-51098.03368462155
2018,MCB,MCB,18880.421461011698,33476.11853456644,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-14595.697073554744
2018,SMV6,NATIVE_CALLBACK,26201.46030634872,22037.74926284229,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,4163.711043506428
2019,ATRDR,BULL,335117.2816432229,245447.47698634237,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,89669.80465688053
2019,ATRDR,FAST_BEAR,169787.97160426102,4300.582713448923,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,165487.38889081212
2019,ATRDR,SLOW_BEAR,-28687.568168555736,3453.283503774573,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-32140.851672330307
2019,IFCGR,FIXED_BELOW_L_REPAIR,3644.2818374367143,7730.883573860368,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-4086.601736423654
2019,MCB,MCB,22936.803590550713,80814.8695064485,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-57878.06591589778
2019,SMV6,NATIVE_CALLBACK,108244.6234322384,27905.10637949992,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,80339.51705273848
2020,ATRDR,BULL,108736.9431187558,192843.8297891357,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-84106.8866703799
2020,ATRDR,FAST_BEAR,202420.95628742062,52368.00943257643,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,150052.9468548442
2020,ATRDR,SLOW_BEAR,270983.2742376955,6141.289210562751,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,264841.98502713273
2020,IFCGR,FIXED_BELOW_L_REPAIR,155259.08036211497,4202.940944051678,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,151056.13941806328
2020,MCB,MCB,15756.4787043723,3073.629161994255,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,12682.849542378046
2020,SMV6,NATIVE_CALLBACK,152762.89994012285,169138.00508529018,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-16375.105145167327
2021,ATRDR,BULL,467227.32496825,260092.7081599194,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,207134.6168083306
2021,ATRDR,FAST_BEAR,486158.1945141945,25537.424389361637,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,460620.77012483287
2021,ATRDR,SLOW_BEAR,274996.63591020607,93000.07341768114,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,181996.5624925249
2021,IFCGR,FIXED_BELOW_L_REPAIR,301163.5632692771,5782.611785829486,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,295380.9514834476
2021,MCB,MCB,-8014.415826317792,9715.12458983369,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-17729.54041615148
2021,SMV6,NATIVE_CALLBACK,94994.0993557208,41175.11735871985,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,53818.98199700095
2022,ATRDR,BULL,445752.3654650363,19322.04575624994,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,426430.3197087864
2022,ATRDR,FAST_BEAR,126762.83822476586,67274.00460192299,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,59488.83362284287
2022,ATRDR,SLOW_BEAR,78045.14307224352,121998.84125622097,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-43953.69818397745
2022,IFCGR,FIXED_BELOW_L_REPAIR,-26757.647105718686,16907.873267857733,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-43665.52037357642
2022,MCB,MCB,8260.572293675683,4700.969031382894,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,3559.6032622927887
2022,SMV6,NATIVE_CALLBACK,13146.004473273199,34415.49890170461,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-21269.49442843141
