gap,mcb_mode,target,mechanic,state_family,state,year,dates,incremental_pnl,mean_daily_incremental_return
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-577473.2338730488,-0.0005783774953187557
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,390401.54330264684,0.0006323751831174676
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-1024419.8999503683,-0.001358161603932511
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,18067.824738576077,0.00030729237425584715
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,-142227.1266621137,-0.00034658243270060994
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,-59589.66175734345,-0.0001821957275481868
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,235167.8535174681,0.000446674273054586
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,70581.98418067954,0.0002199612494146697
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-110770.71741792839,-0.00024533148768063394
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,-362319.90617030393,-0.0008392792461851972
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-158159.25994321425,-0.0002173992004895359
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,-89604.82323236205,-0.0004913686125203893
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,-115708.71317752823,-0.00031029803539394106
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,156008.17510582227,0.00031937369802733257
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,311732.0154598253,0.00081330546089671
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,328322.42113240995,0.00039810689371532474
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,403942.4398903968,0.00039683478255735864
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,153569.43564575538,0.0001197288863050662
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-198363.43869667687,-0.00040633364989251165
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,-60315.57806756999,-0.00014149957942391958
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,-151285.10832121223,-0.00029153816358019023
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,25360.489728515968,6.703584439212958e-05
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,516397.87917347346,0.001016566420601616
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,-147580.35901601054,-0.0001043067001587581
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,1684963.3456486408,0.0021384832410517316
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-188866.45379952528,-0.00012163875950955008
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,1303450.463150504,0.0008535156640535843
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-1209214.9513818845,-0.0007992089764521533
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,1786542.9636503374,0.001649679223587685
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-2812863.663079759,-0.002119785681627649
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-21511.28051439766,-0.00044026158633042703
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,184129.0305137979,0.0004996651176415043
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,349442.3792654779,0.0003166365806914095
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,820119.5806151712,0.001186829033426827
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,216228.8160438724,0.0004604979475361176
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-145984.8245327836,-0.00022537495913726858
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,297078.23375545535,-0.00026690993457516386
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-102457.7832493009,-0.00016208869270875904
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,173459.1553111039,-0.0001922936649982665
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,-36896.85853346251,-7.057372521834675e-05
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,163827.2657747995,0.00034477721763121643
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,775381.922434112,0.0017402083855674031
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,1258849.890464181,0.001154714793564225
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,1460226.5948363505,0.000960492423485556
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,830402.4616008401,0.0004974632114466914
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-764219.0233739521,-0.0009171947235097543
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,1168935.821999929,0.0004114893813333143
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,381329.0862068124,-4.369610136735202e-05
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,132853.64817411173,0.00024289616238090442
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,820096.6894399179,0.0015465577752895624
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,-274535.3774914909,-6.275845980042657e-05
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,3499617.3621696997,0.003297680323839247
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-425452.4882721547,-8.606651171428122e-05
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,3409554.1876280336,0.0013496508436966108
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-2883276.680934431,-0.0010716876343334154
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,4087920.9947447153,0.002259980089733209
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-7392700.653005676,-0.0029737225185004724
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-62644.761551363394,-0.0011869200918599606
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,507749.53098081425,0.001270888141734691
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,928982.4561701529,0.0008631311143551254
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,1778477.651708669,0.0018705148680660674
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,113078.99344535731,0.0001908260533113206
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-166991.77860114072,-0.0001661257778396512
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,1886252.0600185106,0.0004545969983260158
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-270059.72304870654,-0.00022908216515124576
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,257048.1167306006,-0.0004680080600081189
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,39146.771224769764,0.00017165278061948434
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,-4992.274503770284,6.397216272130604e-05
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,1615880.1212617224,0.0031095925932608584
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,2898651.387495013,0.001911550176541581
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,3892253.3040911127,0.0016909151939933438
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,2130607.080836149,0.0008222220811839622
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-1702269.6491574086,-0.001181350591732919
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,4597533.071367116,0.0011080097493302292
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,1878346.2563761622,0.00026825933623621234
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,239402.15723316092,0.00043657553919682204
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,1096121.2880072733,0.00198572521307578
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,-354031.6590530984,0.00011365634385580988
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,5637790.5119079985,0.004072582021657085
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-853440.2549227104,3.156789162466518e-05
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,7332774.751218095,0.0017889167063033016
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-6501869.3732530745,-0.0013190035928363898
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,8407021.44119147,0.002924713791181178
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-21621719.646306448,-0.0043605531515234905
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-79548.56465137377,-0.0014476754423894816
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,791346.2720761411,0.0018181965723915703
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,1602543.0263084583,0.0011657591664198243
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,3132678.5091157593,0.00249178112336972
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,1193837.064467107,0.0011576705728370523
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-17186.926825492643,-2.844408686883407e-05
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,4346335.824945603,0.0009493204981793599
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-953863.2908572108,-0.0003332721450729477
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,8383924.915262885,0.004176968566546762
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,97819.59833247401,0.00037950124697422706
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,-183990.05246331356,-0.00015964489077044354
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,2436924.5226137675,0.004169096980239435
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,5411037.5305895135,0.0026217676918642487
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,7371209.096708565,0.00210099581967508
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,4297792.025221987,0.0010971547915186771
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-3442370.0720716827,-0.0014957772247028022
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,12507721.861032603,0.0019240231891742717
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,5174713.302139251,0.0003857725145646941
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,-90908.69607418217,-0.00010195008658415575
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,218289.34591027163,0.00046437572145544784
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,215685.90253683925,0.00038740790864643667
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,624306.0449223723,0.0010292803093532607
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-78716.92964981869,-9.857008255423194e-05
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,334556.428149702,0.00035303308256750805
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-547034.8892015079,-0.0005225735722180386
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,428030.8207739722,0.0006997421621683499
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-1023942.7792245448,-0.0013043758784047575
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,32963.15468479507,0.0005982151715974964
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,-276576.6991491271,-0.0006987718607644369
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,-196919.89155398682,-0.000430782601851608
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,208036.51071403734,0.0003893789328240489
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,48555.96625064779,0.00014621474231792624
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-92038.1902144095,-0.00020869068790448192
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,-479543.5827568136,-0.0009914176150920006
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-159685.9530689884,-0.00020771012687170078
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,-129306.31266142428,-0.0006089313806849182
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,-119028.74776040297,-0.00032163042381649074
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,193990.02948426735,0.0003855269071355469
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,311067.90078947414,0.0008109302572219534
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,276186.5084128361,0.00032603800242923705
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,375127.3386073159,0.000366755522360894
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,167402.59062162787,0.00014715775040187817
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-222549.4483538866,-0.0004539123665795331
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,-64788.193271828815,-0.00012496172836884084
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,-196034.7353781741,-0.00032955556218372507
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,34903.020443193614,7.819358857787012e-05
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,496818.21208803076,0.0009740148553789036
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,-160779.38519991096,-0.00012079539428182717
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,1714883.6877162214,0.0021525486923898857
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-142882.9199791979,-7.111272625815751e-05
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,1357390.2344644368,0.0008541803182791971
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-1187920.3208350083,-0.0007378265005868749
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,1894974.573541414,0.001708493823962023
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-2988471.1021728218,-0.0021343584045667888
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-3221.2597152534872,-8.342192211071558e-05
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,71489.16986349411,0.0001921820704104591
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,229802.68215734232,8.023251476393619e-05
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,829326.5860415995,0.0011645972931012146
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,254062.0858720122,0.000514889892698935
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-106331.99814995658,-0.00018072607722721334
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,147688.20559079573,-0.0004634229015675657
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-142507.4703311678,-0.0001829311870251864
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,188215.12328035384,-0.00024239169336717835
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,-43297.7157919826,-9.050805106552228e-05
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,211655.9451033203,0.0004317467557282474
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,799601.767719659,0.0017727023352779349
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,1231869.1209397633,0.0010806052598142822
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,1509520.404114929,0.0009606412579448873
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,873884.5874229446,0.0005152213332772563
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-796504.9282947015,-0.0009459679649903792
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,1255904.7926838268,0.0004371792079624729
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,433609.25667474605,-4.3455242832476285e-05
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,148670.0334840417,0.0002611455058556573
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,791995.7743416559,0.0014816916702321075
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,-294586.9099679226,-8.074957090102319e-05
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,3588064.9624878094,0.0033193190169925973
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-362467.31246196106,-2.8358967742815884e-05
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,3684455.2716119103,0.0013704876096814777
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-2863957.9422217207,-0.0009800041508683914
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,4628802.5750849005,0.0023896891429188694
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-8190699.061242007,-0.0030125236977453177
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-40904.61907785479,-0.0007650803691969252
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,420650.4603429092,0.0010086926929413708
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,876543.4866343588,0.0006775721772801043
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,1853601.9768478367,0.001880765048401801
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,612621.4955917345,0.0008223471728005402
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,4499.316771079786,-5.138186912020103e-05
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,1729623.0105846263,0.0002132532472522168
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-408834.62899587676,-0.0002707528226516536
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,418880.11562123895,-0.00043664685039642424
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,29457.9319184646,0.00014294525726192566
