gap,mcb_mode,target,mechanic,state_family,state,omitted_year,independent_dates,incremental_pnl,pnl_ex_frozen_top5_events,direction_positive
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2020,703,1722564.4634254286,722301.9539644994,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2021,705,1189467.2782249004,685793.9471447524,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2022,695,1781533.4236033326,1100039.5787203163,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2023,688,1662703.1772277178,662440.6677667996,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2018,552,536239.8402194483,107836.71003882821,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2019,511,561187.5404906562,235951.4438240571,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2020,511,295571.39272112306,72855.72871678227,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2021,509,105695.83325061947,-322707.296929962,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2022,520,320279.9712530691,-108123.15892753116,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2023,527,428715.10570620466,119860.60601586825,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2018,662,2135481.3166829385,1135069.6809268766,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2019,702,1676693.0390593298,862964.3074805378,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2020,703,1712275.7575435229,711864.1217874768,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2021,705,1192172.079762523,687591.1259483118,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2022,695,1785558.7275864705,1103045.141467383,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2023,688,1696526.4924568096,696114.8567007894,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2018,552,161763.81501781754,-248061.4637231471,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2019,511,293091.87486542575,-22838.753903254765,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2020,511,66926.34197488148,-142707.76990718336,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2021,509,-151335.97636319604,-561161.2551041814,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2022,520,6234.575252071954,-403590.7034888928,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2023,527,56380.40364328306,-237705.41318786494,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2018,662,1800710.3093735604,830335.3935875259,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2019,702,1355939.2956689028,571060.9676894424,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2020,703,1661752.4514902858,691377.535704256,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2021,705,899333.4113226077,406967.77011176635,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2022,695,1466694.2111385437,803188.3487568548,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2023,688,1356371.9009532873,385996.9851672505,True
