trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2018-01-16,3818684.024562812,1086934.484320027,4905618.508882839,1380.6315577887483,507415.99999999994,4905618.508882836,537219.141766993,1586969.7361025698,42299.34255303415,1311510.668771568,0.0,1000000.0,507415.99999999994,1007138.1040086984,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-17,3872799.2362382747,1034182.6495076342,4906981.885745909,1489.078875775648,508748.79999999993,4906981.885745907,483309.4127949669,1587175.2188060067,42124.436712667404,1311335.7629312011,0.0,1000000.0,508748.79999999993,1008470.9040086984,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-18,3905232.352196576,1013471.1542320498,4918703.506428625,1554.075100140981,515744.68203477137,4918703.506428624,455538.93201167294,1591837.8539810139,42187.5401856056,1311398.8664041394,0.0,1000000.0,515744.68203477137,1015466.7860434698,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-19,3936098.0065655448,981432.6957436504,4917530.702309195,1615.9301189164694,516911.59601670405,4917530.702309193,422049.26014420344,1589213.836482513,42471.839582742934,1311683.1658012767,0.0,1000000.0,516911.59601670405,1016633.7000254025,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-22,3936098.0065655448,991331.7106023442,4927429.717167889,1615.9301189164694,520290.3624161073,4927429.717167887,428840.1212368309,1596004.6975751405,42201.226949406046,1311412.55316794,0.0,1000000.0,520290.3624161073,1020012.4664248058,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-23,3936098.0065655448,999846.1211053105,4935944.127670855,1615.9301189164694,528336.0574850298,4935944.127670853,429567.30071465555,1596731.877052965,41942.762905625175,1311154.089124159,0.0,1000000.0,528336.0574850298,1028058.1614937282,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-24,3936098.0065655448,1001619.5832565328,4937717.589822077,1615.9301189164694,528145.6499369482,4937717.589822075,431285.72758746473,1598450.3039257743,42188.20573211985,1311399.5319506535,0.0,1000000.0,528145.6499369482,1027867.7539456466,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-25,3963173.707012226,970836.9749650582,4934010.681977284,1670.1900396513015,523790.3999999999,4934010.681977281,403997.31971368927,1598237.5964986803,43049.255251369,1312260.5814699028,0.0,1000000.0,523790.3999999999,1023512.5040086983,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-26,4113608.4525885866,824792.9667919636,4938401.41938055,1971.6624756760716,527622.3576158939,4938401.4193805475,297170.60917606956,1599127.836096835,0.0,1311929.1216591196,0.0,1000000.0,527622.3576158939,1027344.4616245923,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-29,4294224.960175366,633355.8885606776,4927580.848736044,2333.619404707693,517102.0038535645,4927580.848736041,116253.88470711315,1598827.6192146577,0.0,1311929.1216591196,0.0,1000000.0,517102.0038535645,1016824.107862263,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-30,4352891.382438047,566249.334813138,4919140.717251185,2451.1873851940277,509344.70556097553,4919140.717251182,56904.62925216246,1598144.786022388,0.0,1311929.1216591196,0.0,1000000.0,509344.70556097553,1009066.809569674,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-31,4352891.382438047,573484.2332354583,4926375.615673505,2451.1873851940277,516579.60398329585,4926375.615673502,56904.62925216246,1598144.786022388,0.0,1311929.1216591196,0.0,1000000.0,516579.60398329585,1016301.7079919942,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-01,4352891.382438047,575728.1006203206,4928619.483058368,2451.1873851940277,520743.9999999999,4928619.483058365,54984.100620320736,1596224.2573905461,0.0,1311929.1216591196,0.0,1000000.0,520743.9999999999,1020466.1040086984,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-02,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-05,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-06,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-07,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-08,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-09,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-12,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-13,4879251.10106283,50469.01814291559,4929720.119205745,2658.767732313043,27084.529279376875,4929720.119205742,50469.01814291559,1595753.24828378,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-14,4879251.10106283,50469.01814291559,4929720.119205745,2658.767732313043,27084.529279376875,4929720.119205742,50469.01814291559,1595753.24828378,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-22,4849795.1089942055,79630.53518904457,4929425.64418325,2717.5621276595975,29043.014568779967,4929425.644183247,79630.53518904457,1595458.7732612852,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-23,4560800.780418381,369404.71284438507,4930205.493262766,3294.397114836891,29279.44698842106,4930205.493262764,268384.0264013398,1595212.3107477545,0.0,1311929.1216591196,101020.6864430453,1001026.3115930472,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-26,4491418.349281376,449853.42643733777,4941271.775718714,3565.768194964813,37699.599924593174,4941271.775718711,307990.9843037958,1602041.2818562582,0.0,1311929.1216591196,141862.44213354198,1005263.6229404898,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-27,3953423.769487881,995218.5243224574,4948642.293810339,4825.272445401491,37699.599924593174,4948642.293810338,820760.9091597244,1606751.0576279475,0.0,1311929.1216591196,174457.61516273304,1007924.3652604276,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-28,3687204.0948435706,1259852.8942595008,4947056.989103071,5539.649694103506,37966.0281926115,4947056.989103073,1099154.0480725009,1605492.2724849423,0.0,1311929.1216591196,160698.84618699993,1007597.845696167,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-01,3526554.1819149866,1440262.4990238263,4966816.680938813,6068.338417863351,37966.0281926115,4966816.680938813,1296278.7575667475,1622124.6048450768,0.0,1311929.1216591196,143983.74145707872,1010725.205171773,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-02,3297118.7345182113,1665965.838041531,4963084.572559742,6686.892508712052,38365.67059463899,4963084.572559743,1535762.27138665,1618218.9341790797,0.0,1311929.1216591196,130203.56665488095,1010898.7674587001,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-05,3415091.7915219557,1571495.0623247311,4986586.853846687,7019.296499555516,37610.7905019204,4986586.853846688,1453357.5841239735,1640534.9588194808,0.0,1311929.1216591196,118137.47820075751,1012085.0241052435,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-06,3517426.50212877,1487962.5353954623,5005389.037524233,7345.907313926456,38321.26588330261,5005389.037524234,1395875.5044456618,1657535.4134543494,0.0,1311929.1216591196,92087.03094980039,1013886.7531479205,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-07,3606110.88161284,1396139.3661596216,5002250.247772462,7769.17635851377,37610.7905019204,5002250.247772462,1330440.9265999198,1653686.7433261198,0.0,1311929.1216591196,65698.43955970173,1014596.6335243789,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-08,3711311.7625864116,1318937.806452945,5030249.569039357,7979.999767278441,38188.05174929344,5030249.569039357,1265914.9844912603,1680922.4507315503,0.0,1311929.1216591196,53022.82196168486,1015360.2473858434,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-09,3990583.7605034146,1071508.9126821067,5062092.673185522,8539.663089757403,35674.53033627409,5062092.673185523,1030223.2379450694,1711091.033137627,0.0,1311929.1216591196,41285.67473703729,1017034.7691259312,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-12,3597754.387951764,1479003.6415104251,5076758.0294621885,10818.891003826175,35674.53033627409,5076758.0294621885,1257971.3060796354,1725841.7962717304,193542.66691581075,1310691.2184574276,27489.668514978974,1018187.2654701874,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-13,3386011.631218811,1677584.5858351272,5063596.217053939,11686.14446037983,35674.53033627409,5063596.217053939,1405188.9983922045,1714594.3341220089,258635.30632193206,1308246.0173427516,13760.281120990494,1018718.1163263344,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-14,3239270.7840963667,1804834.7932665756,5044105.5773629425,12243.568355880569,43677.584377494306,5044105.5773629425,1477120.3646091276,1699653.2493125375,321434.42798346165,1303640.3247374918,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-15,3207840.581693403,1826834.6408222253,5034675.222515628,12306.303290816624,44491.222697820194,5034675.222515629,1504224.9208428604,1695327.6031433064,316329.71930537856,1298535.6160594088,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-16,3308809.580906367,1727389.9765268764,5036199.557433244,12508.64597461014,45415.81169819052,5036199.557433244,1406334.809993136,1698406.4915065458,314775.1658597541,1296981.0626137843,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-19,3297545.923704085,1751590.2841191576,5049136.207823243,12738.475612074557,44972.00897801277,5049136.207823242,1448559.7342642252,1706691.9037355643,296750.54918094596,1301632.3007747643,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-20,3299823.535663623,1762764.910276616,5062588.445940239,12868.440020480171,44676.14049789426,5062588.445940238,1459092.8869019672,1719502.6683328443,297392.02270066243,1302273.774294481,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-21,3326101.1204907997,1723655.1913074914,5049756.311798291,12921.100511115796,43566.63369744986,5049756.31179829,1422112.1960402213,1708799.5622982748,295262.99459328374,1300144.746187102,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-22,3358358.282037331,1697150.739399031,5055509.021436362,12985.744121429485,44676.14049789426,5055509.021436362,1391374.8880536826,1710319.4158582673,299495.8506713622,1304377.6022651806,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-23,3358358.282037331,1597236.975992941,4955595.258030272,12985.744121429485,41606.50501666477,4955595.258030271,1308167.5221850022,1627112.0499895872,282789.45313395263,1287671.204727771,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-26,3403979.1214338117,1590615.3153061236,4994594.436739936,13077.168649278143,43159.81453728692,4994594.436739935,1291022.0656959498,1655587.4328970155,293313.24893618753,1298195.000530006,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-27,3462448.600190352,1578215.3238775586,5040663.924067911,13194.341953399466,44676.14049789426,5040663.92406791,1267281.9585281215,1690316.8044857273,304653.3646754507,1309535.116269269,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-28,3518137.5506836185,1526106.573515077,5044244.124198696,13305.943056592385,44195.354217701686,5044244.124198694,1214686.8163782614,1693410.6128291334,305139.7564628292,1310021.5080566476,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-29,3566051.6056834715,1485872.0012098828,5051923.606893354,13401.963206892691,43751.551497523935,5051923.606893353,1195106.6849649854,1699000.5045460141,284485.3155709113,1312111.0990344258,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-03-30,3671880.3908944814,1407503.4278511829,5079383.818745664,13614.04494078249,43492.66657742024,5079383.818745664,1107829.0080226741,1717551.6128147137,293394.4191545225,1321020.2026180371,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-02,3749554.881607309,1335783.8487850104,5085338.730392319,13769.705242812206,43048.86385724248,5085338.730392318,1058623.8049777017,1718675.0769654326,270880.0431333223,1325851.6501139728,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-03,4414028.113266828,653934.6341087938,5067962.747375621,15101.314925496614,42457.12689700547,5067962.747375621,535955.8612667157,1706457.0578931828,111698.77216809185,1320693.6861695247,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-04,4656009.304685906,412088.959869561,5068098.264555466,15586.247172829431,41939.357056798086,5068098.264555465,341112.17645380937,1705765.4531409922,64696.78274176533,1321520.8081015598,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-09,4881098.243072307,184898.83039392036,5065997.073466227,16037.327209675926,35674.53033627409,5065997.073466225,178618.82971993406,1704394.510038824,0.0,1320790.560114488,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-10,4911855.286914672,155382.1501376525,5067237.437052324,16098.964572085477,35674.53033627409,5067237.437052323,149102.14946366617,1705634.8736249213,0.0,1320790.560114488,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-11,4911855.286914672,153848.66105341847,5065703.94796809,16098.964572085477,35674.53033627409,5065703.947968088,147568.66037943217,1704101.3845406873,0.0,1320790.560114488,6280.000673986313,1018774.25405007,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-12,4938972.051073365,126323.95860987519,5065296.00968324,16302.860840383551,37381.171177792334,5065296.009683238,113628.10467467897,1703694.6809631598,0.0,1320790.560114488,12695.853935196217,1018773.0193427468,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-13,4970196.790362962,95477.56466633915,5065674.355029301,16365.435468218415,37673.387188202025,5065674.355029299,82731.5567369182,1704022.8723149956,0.0,1320790.560114488,12746.00792942095,1018823.1733369716,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-16,4970196.790362962,93881.61568640935,5064078.406049371,16365.435468218415,36077.43820827222,5064078.406049369,81409.52572544655,1702700.841303524,0.0,1320790.560114488,12472.0899609628,1018549.2553685134,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-17,4970196.790362962,93297.18366558998,5063493.974028552,16365.435468218415,35674.53033627409,5063493.97402855,80925.40169307665,1702216.717271154,0.0,1320790.560114488,12371.781972513338,1018448.9473800639,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-18,4970196.790362962,93971.52830499694,5064168.3186679585,16365.435468218415,36167.350826859816,5064168.318667957,81484.00634581115,1702775.3219238885,0.0,1320790.560114488,12487.521959185795,1018564.6873667365,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-19,4970196.790362962,94398.61324328803,5064595.40360625,16365.435468218415,36594.43576515089,5064595.403606248,81837.78929254299,1703129.1048706204,0.0,1320790.560114488,12560.82395074502,1018637.9893582957,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-20,4970196.790362962,92622.83902618304,5062819.6293891445,16365.435468218415,35674.53033627409,5062819.629389143,80366.79704034215,1701658.1126184196,0.0,1320790.560114488,12256.041985840879,1018333.2073933915,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-23,4970196.790362962,92038.40700536367,5062235.197368326,16365.435468218415,35674.53033627409,5062235.197368324,79882.67300797225,1701173.9885860498,0.0,1320790.560114488,12155.733997391417,1018232.899404942,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-24,4970196.790362962,93409.57443882448,5063606.364801786,16365.435468218415,35674.53033627409,5063606.364801784,81018.50246853239,1702309.8180466099,0.0,1320790.560114488,12391.07197029208,1018468.2373778428,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-25,4963879.200155869,100557.08627606892,5064436.286431938,16378.045428711614,36392.1323733288,5064436.286431936,81670.20789672266,1702961.5234748002,0.0,1320790.560114488,18886.87837934627,1018646.453579804,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-26,4957561.070121057,102924.66246295218,5060485.73258401,16390.656466705248,35674.53033627409,5060485.732584007,78653.74277195634,1699945.0583500338,0.0,1320790.560114488,24270.919690995834,1017712.364856642,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-04-27,4957561.070121057,100323.73399761276,5057884.8041186705,16390.656466705248,35674.53033627409,5057884.804118668,76605.52571192985,1697896.8412900073,0.0,1320790.560114488,23718.2082856829,1017159.6534513291,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-02,4957561.070121057,100233.42136631519,5057794.491487373,16390.656466705248,35674.53033627409,5057794.491487371,76568.28540174755,1697859.600979825,0.0,1320790.560114488,23665.13596456763,1017106.5811302138,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-03,4957561.070121057,101245.18569608915,5058806.255817146,16390.656466705248,35674.53033627409,5058806.255817144,77089.64974429975,1698380.9653223772,0.0,1320790.560114488,24155.53595178939,1017596.9811174355,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-04,4957561.070121057,100627.94617660007,5058189.016297657,16390.656466705248,35674.53033627409,5058189.016297655,76884.8280382971,1698176.1436163746,0.0,1320790.560114488,23743.118138302976,1017184.5633039491,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-07,4926751.737284437,133022.236686374,5059773.973970811,16452.15214102984,35674.53033627409,5059773.973970809,108934.90234652424,1699416.8850879814,0.0,1320790.560114488,24087.334339849756,1017528.7795054959,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-08,4926751.737284437,133987.75432129935,5060739.491605736,16452.15214102984,35674.53033627409,5060739.491605734,109198.80944413801,1699680.7921855953,0.0,1320790.560114488,24788.944877161335,1018230.3900428074,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-09,4871911.648709695,188036.46253012551,5059948.111239821,16589.092536521508,35674.53033627409,5059948.111239818,170044.1119276784,1698816.248360668,0.0,1320790.560114488,17992.3506024471,1018303.5535018189,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-10,4871911.648709695,188993.0788203924,5060904.727530087,16589.092536521508,35674.53033627409,5060904.7275300855,170973.89826106656,1699746.0346940563,0.0,1320790.560114488,18019.18055932584,1018330.3834586977,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-11,4871911.648709695,186569.2516424186,5058480.900352114,16589.092536521508,35674.53033627409,5058480.900352111,168729.6247168325,1697501.7611498223,0.0,1320790.560114488,17839.62692558609,1018150.829824958,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-14,4871911.648709695,187397.17022219932,5059308.818931894,16589.092536521508,35674.53033627409,5059308.818931892,169621.947725474,1698394.0841584636,0.0,1320790.560114488,17775.22249672532,1018086.4253960971,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-15,4903340.559668805,156585.1130498336,5059925.6727186395,16652.076326018723,35674.53033627409,5059925.672718637,143977.81372190008,1698784.6137630255,0.0,1320790.560114488,12607.299327933497,1018312.7495782799,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-16,4903340.559668805,156049.86057722472,5059390.42024603,16652.076326018723,35674.53033627409,5059390.420246028,143562.52326080785,1698369.3233019332,0.0,1320790.560114488,12487.337316416862,1018192.7875667633,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-17,4903340.559668805,154933.67930802828,5058274.238976833,16652.076326018723,35674.53033627409,5058274.238976832,142516.08734714435,1697322.8873882696,0.0,1320790.560114488,12417.591960883936,1018123.0422112304,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-18,4903340.559668805,155642.87294150158,5058983.432610307,16652.076326018723,35674.53033627409,5058983.432610305,143116.4782259863,1697923.2782671116,0.0,1320790.560114488,12526.394715515302,1018231.8449658618,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-05-21,4903340.559668805,157252.04421262193,5060592.603881427,16652.076326018723,35674.53033627409,5060592.603881425,144658.69395579502,1699465.4939969205,0.0,1320790.560114488,12593.35025682691,1018298.8005071734,0.0,1022037.7492628423,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
