year,strategy,symbol,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2018,ATRDR,300066.SZ,-397.4424168156984,-108.16642271945238,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-289.275994096246
2018,ATRDR,300070.SZ,10676.310429459147,648.7100202397269,IFCGR,confirmation_tag,G100,ENTRY_ONLY,10027.60040921942
2018,ATRDR,300071.SZ,-237.60560118299782,-2034.2567938104403,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1796.6511926274425
2018,ATRDR,300092.SZ,3060.9812193138314,2470.08490996452,IFCGR,confirmation_tag,G100,ENTRY_ONLY,590.8963093493112
2018,ATRDR,300098.SZ,0.0,516.3925235602401,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-516.3925235602401
2018,ATRDR,300115.SZ,0.0,-2015.118941835739,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2015.118941835739
2018,ATRDR,300126.SZ,0.0,1229.1738967768288,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1229.1738967768288
2018,ATRDR,300130.SZ,0.0,3701.9453654910976,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-3701.9453654910976
2018,ATRDR,300131.SZ,0.0,-138.01245610661135,IFCGR,confirmation_tag,G100,ENTRY_ONLY,138.01245610661135
2018,ATRDR,300142.SZ,6774.431703546405,2469.4639329643323,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4304.967770582072
2018,ATRDR,300147.SZ,3060.981219313813,2470.0849099645093,IFCGR,confirmation_tag,G100,ENTRY_ONLY,590.8963093493039
2018,ATRDR,300150.SZ,0.0,2274.7106650512724,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2274.7106650512724
2018,ATRDR,300151.SZ,0.0,2469.2772301275436,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2469.2772301275436
2018,ATRDR,300157.SZ,10475.282546533592,4778.136079719894,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5697.146466813698
2018,ATRDR,300172.SZ,0.0,403.091218395788,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-403.091218395788
2018,ATRDR,300177.SZ,0.0,424.794595063242,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-424.794595063242
2018,ATRDR,300187.SZ,0.0,2475.752918560109,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2475.752918560109
2018,ATRDR,300192.SZ,0.0,2285.9948904732482,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2285.9948904732482
2018,ATRDR,300193.SZ,0.0,-300.511855473138,IFCGR,confirmation_tag,G100,ENTRY_ONLY,300.511855473138
2018,ATRDR,300206.SZ,3060.981219313817,2470.0849099645093,IFCGR,confirmation_tag,G100,ENTRY_ONLY,590.8963093493076
2018,ATRDR,300210.SZ,169.9444925392636,169.9444925392636,IFCGR,confirmation_tag,G100,ENTRY_ONLY,0.0
2018,ATRDR,300221.SZ,0.0,3701.9453654911013,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-3701.9453654911013
2018,ATRDR,300223.SZ,0.0,2285.99489047327,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2285.99489047327
2018,ATRDR,300228.SZ,0.0,-111.44026602958184,IFCGR,confirmation_tag,G100,ENTRY_ONLY,111.44026602958184
2018,ATRDR,300235.SZ,0.0,2293.125001314922,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2293.125001314922
2018,ATRDR,300242.SZ,0.0,2274.7106650512615,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2274.7106650512615
2018,ATRDR,300243.SZ,10475.282546533577,2485.011078404983,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.271468128594
2018,ATRDR,300251.SZ,117764.7334909736,3437.2480222021914,IFCGR,confirmation_tag,G100,ENTRY_ONLY,114327.4854687714
2018,ATRDR,300264.SZ,462814.8646739023,2270.5074660071114,IFCGR,confirmation_tag,G100,ENTRY_ONLY,460544.35720789514
2018,ATRDR,300268.SZ,10475.282546533621,2485.011078404994,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.271468128627
2018,ATRDR,300269.SZ,-8489.287468378388,-2310.4123214844403,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-6178.875146893948
2018,ATRDR,300283.SZ,0.0,1130.5736471911841,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1130.5736471911841
2018,ATRDR,300286.SZ,-11542.197863080248,-701.3227517916057,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-10840.875111288642
2018,ATRDR,300291.SZ,0.0,-1848.0070285590155,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1848.0070285590155
2018,ATRDR,300294.SZ,509.4306853192538,138.6447256837564,IFCGR,confirmation_tag,G100,ENTRY_ONLY,370.7859596354974
2018,ATRDR,300295.SZ,-1172.7503370307968,1973.953711758084,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-3146.7040487888808
2018,ATRDR,300300.SZ,-10157.01095361822,-3723.2548737051766,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-6433.756079913044
2018,ATRDR,300313.SZ,-960.319831278779,-2690.853263705976,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1730.533432427197
2018,ATRDR,300318.SZ,-5426.118981829204,-329.6998319581362,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-5096.419149871068
2018,ATRDR,300319.SZ,10475.282546533635,2485.0110784049975,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.271468128638
2018,ATRDR,300350.SZ,0.0,2293.1250013149147,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2293.1250013149147
2018,ATRDR,300352.SZ,10475.282546533635,2485.0110784049975,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.271468128638
2018,ATRDR,300366.SZ,0.0,2469.2772301275327,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2469.2772301275327
2018,ATRDR,300377.SZ,177342.5389094134,2465.263185717853,IFCGR,confirmation_tag,G100,ENTRY_ONLY,174877.27572369552
2018,ATRDR,300378.SZ,-44016.23811965133,-566.957096707185,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-43449.281022944146
2018,ATRDR,300407.SZ,10475.28254653365,2485.0110784049975,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.2714681286525
2018,ATRDR,300447.SZ,4790.242090585423,1136.3707480411358,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3653.8713425442875
2018,ATRDR,300452.SZ,0.0,2285.994890473252,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2285.994890473252
2018,ATRDR,300456.SZ,10475.282546533606,2485.0110784049866,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7990.27146812862
2018,ATRDR,300457.SZ,14476.840032511376,3939.9619475558356,IFCGR,confirmation_tag,G100,ENTRY_ONLY,10536.87808495554
2018,ATRDR,300464.SZ,0.0,512.6348642934427,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-512.6348642934427
2018,ATRDR,300470.SZ,31700.675939587876,1430.3808778834973,IFCGR,confirmation_tag,G100,ENTRY_ONLY,30270.29506170438
2018,ATRDR,300471.SZ,0.0,-576.074565643662,IFCGR,confirmation_tag,G100,ENTRY_ONLY,576.074565643662
2018,ATRDR,300473.SZ,448.30185382467107,3838.1296033433173,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-3389.827749518646
