gap,mcb_mode,target,mechanic,state_family,decision_at,state_as_of,year,from_state,to_state,forward_1d_incremental_pnl,forward_3d_incremental_pnl,forward_5d_incremental_pnl,forward_10d_incremental_pnl,forward_20d_incremental_pnl,interpretation
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-04 09:30:00,2018-01-03 15:00:00,2018,BEAR,TRANSITION,-36.506124504841864,-3490.2953792875633,-6179.214601839893,-4283.621989987791,-7184.646513951009,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-05-18 09:30:00,2021-05-17 15:00:00,2021,BULL,TRANSITION,-14843.844474865124,-341542.4578804653,-719815.0368926078,-636036.1689801775,-538295.2392117847,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-05-21 09:30:00,2021-05-20 15:00:00,2021,TRANSITION,BEAR,-390297.15875560977,-415785.12198593654,-400590.5027130507,-389385.2287170924,38748.29425946716,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-05-25 09:30:00,2021-05-24 15:00:00,2021,BEAR,TRANSITION,-37512.54297379404,-22317.9237009082,83778.86791243032,47084.5100149503,826005.3932410721,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-05-27 09:30:00,2021-05-26 15:00:00,2021,TRANSITION,BULL,12850.303101043217,118947.09471438173,60505.67701166123,102386.71263799444,851991.2328988919,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-06-30 09:30:00,2021-06-29 15:00:00,2021,BULL,TRANSITION,-84482.30801681429,-637921.6503451811,-637921.6503451811,-637921.6503451811,-637921.6503451793,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-07-14 09:30:00,2021-07-13 15:00:00,2021,TRANSITION,BULL,0.0,0.0,0.0,1.8626451492309566e-09,1693486.8054003604,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-07-16 09:30:00,2021-07-15 15:00:00,2021,BULL,TRANSITION,0.0,0.0,9.313225746154783e-10,1.8626451492309566e-09,1540764.8331761193,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-07-19 09:30:00,2021-07-16 15:00:00,2021,TRANSITION,BEAR,0.0,0.0,1.8626451492309566e-09,521244.3350347504,1574917.0435924958,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-07-21 09:30:00,2021-07-20 15:00:00,2021,BEAR,TRANSITION,0.0,1.8626451492309566e-09,1.8626451492309566e-09,1330399.4623820726,2386634.5731468145,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-07-28 09:30:00,2021-07-27 15:00:00,2021,TRANSITION,BEAR,0.0,521244.33503474854,1330399.4623820707,1693486.8054003585,3249337.036701414,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-03 09:30:00,2021-08-02 15:00:00,2021,BEAR,TRANSITION,602420.8612748086,134497.08131602593,926725.9962306088,1491131.3778275317,2878103.7231961666,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-10 09:30:00,2021-08-09 15:00:00,2021,TRANSITION,BEAR,38782.208062487654,-113939.76416175347,564405.3815969229,1163175.770571177,2781731.7222575564,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-11 09:30:00,2021-08-10 15:00:00,2021,BEAR,TRANSITION,-154088.695158015,-118569.76180786453,693147.7677464541,1555850.2313010553,3016793.2889317125,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-17 09:30:00,2021-08-16 15:00:00,2021,TRANSITION,BULL,167524.59421201888,455821.79915330466,598770.388974254,1386972.345368635,2762047.489366552,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-18 09:30:00,2021-08-17 15:00:00,2021,BULL,TRANSITION,269589.3965321304,265475.73553291894,862702.4635546012,1374674.3975564511,2248467.6991202896,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-20 09:30:00,2021-08-19 15:00:00,2021,TRANSITION,BEAR,-22821.46940836683,574405.2586133154,1047011.4000139395,1401666.609703553,1961601.5884058708,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-24 09:30:00,2021-08-23 15:00:00,2021,BEAR,BULL,431456.6687923661,904062.8101929901,788201.9563943809,1618555.9516863795,1780908.602085405,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-25 09:30:00,2021-08-24 15:00:00,2021,BULL,TRANSITION,338656.51221642364,461408.8322722856,511971.93400184996,1460943.0576306572,1402810.4925081711,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-26 09:30:00,2021-08-25 15:00:00,2021,TRANSITION,BULL,133949.62918420043,18088.7753855912,335870.19616714027,1332617.364235538,1064153.9802917475,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-08-27 09:30:00,2021-08-26 15:00:00,2021,BULL,TRANSITION,-11197.309128338473,39365.7926012259,354655.20968961343,1393022.9783822093,930204.3511075471,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-09-07 09:30:00,2021-09-06 15:00:00,2021,TRANSITION,BULL,273843.77473664377,678529.8368888199,544721.1487059183,162352.65039902553,1995338.098126,Overlapping forward diagnostics from observable morning state; not additive annual P&L
