gap,mcb_mode,target,mechanic,year,strategy,route,state_family,state,capital_days
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,59097379.35546612
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,breadth_bucket,MINORITY_POSITIVE_20D,4752485.903632511
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,market_regime,BEAR,4752485.903632511
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,market_regime,BULL,3174414.9505789387
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,market_regime,TRANSITION,55922964.40488718
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,21070112.07614829
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,39614092.09987069
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,market_regime,BEAR,39614092.09987069
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,21070112.07614829
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,425124010.81864244
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,267210059.94698846
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,market_regime,BEAR,202708330.97764966
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,market_regime,BULL,156070186.7405405
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,market_regime,TRANSITION,333555553.0474407
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,5996491.56117521
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,118198923.87353906
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,market_regime,BEAR,118198923.87353906
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,market_regime,TRANSITION,5996491.56117521
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,41455206.80440173
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,255044299.540928
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,market_regime,BEAR,228713957.4699816
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,market_regime,BULL,5414147.556190967
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,market_regime,TRANSITION,62371401.31915714
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,47416914.631364755
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,202424236.33942246
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,140074883.55715877
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,38936684.02893636
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,70829583.38469212
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,64393070.553596675
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,breadth_bucket,MINORITY_POSITIVE_20D,11632086.667576758
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,market_regime,BEAR,11632086.667576758
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,market_regime,BULL,31661036.168315694
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,market_regime,TRANSITION,32732034.38528098
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,360128909.3099811
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,90560760.55374317
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,market_regime,BEAR,6777658.019947727
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,market_regime,BULL,278893871.264338
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,165018140.5794386
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,968117594.356929
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,345339545.140427
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,BULL,market_regime,BEAR,179459967.95465285
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,BULL,market_regime,BULL,859737339.5238061
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,BULL,market_regime,TRANSITION,274259832.01889694
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,61538059.141350724
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,397890537.8477718
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,FAST_BEAR,market_regime,BEAR,275143680.0544229
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,FAST_BEAR,market_regime,BULL,23427905.000345536
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,FAST_BEAR,market_regime,TRANSITION,160857011.93435407
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,165257177.79918504
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,490128722.3163238
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,SLOW_BEAR,market_regime,BEAR,476371343.37486386
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,SLOW_BEAR,market_regime,BULL,74944590.48912928
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,SLOW_BEAR,market_regime,TRANSITION,104069966.25151576
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,58693734.260021545
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,66960582.0977794
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,50341071.00794827
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,3082682.5757214157
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,72230562.77413127
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,46108536.57100895
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,MCB,breadth_bucket,MINORITY_POSITIVE_20D,17721479.709413145
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,MCB,market_regime,BEAR,16751867.873176735
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,MCB,market_regime,BULL,42787705.279760495
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,MCB,market_regime,TRANSITION,4290443.127484864
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,351902724.71931714
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,182676527.77711168
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NATIVE_CALLBACK,market_regime,BEAR,151282937.52187815
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NATIVE_CALLBACK,market_regime,BULL,295486243.4376288
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,87810071.53692187
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,1725796806.8434563
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,234235181.3845785
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,BULL,market_regime,BEAR,34586023.078932084
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,BULL,market_regime,BULL,969403947.4222375
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,BULL,market_regime,TRANSITION,956042017.7268652
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,57534885.483108304
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,567208712.4664
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,FAST_BEAR,market_regime,BEAR,372583579.7523354
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,FAST_BEAR,market_regime,BULL,38367317.466591395
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,FAST_BEAR,market_regime,TRANSITION,213792700.73058146
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,767111222.3471103
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,505051591.4562794
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,SLOW_BEAR,market_regime,BEAR,476503586.6454878
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,SLOW_BEAR,market_regime,BULL,216932398.09007722
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,SLOW_BEAR,market_regime,TRANSITION,578726829.0678246
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,26117377.03133438
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,418000467.5092151
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,227750710.4484859
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,8777384.309915114
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,207589749.7821485
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,52894528.365934744
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,MCB,breadth_bucket,MINORITY_POSITIVE_20D,1920096.269840687
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,MCB,market_regime,BEAR,1920096.269840687
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,MCB,market_regime,BULL,24580606.266094606
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,MCB,market_regime,TRANSITION,28313922.099840138
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,291544541.7267708
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,201955264.22465745
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NATIVE_CALLBACK,market_regime,BEAR,197976878.6070097
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NATIVE_CALLBACK,market_regime,BULL,263165570.5409893
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,32357356.803429253
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,2926088419.532346
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,1871653557.173897
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,BULL,market_regime,BEAR,539404104.6645875
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,BULL,market_regime,BULL,1261715477.0256674
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,BULL,market_regime,TRANSITION,2996622395.015988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,238230066.3953532
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,959558998.9402529
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,FAST_BEAR,market_regime,BEAR,959558998.9402529
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,FAST_BEAR,market_regime,TRANSITION,238230066.3953532
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,441951605.53859013
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,1404276807.7930553
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,SLOW_BEAR,market_regime,BEAR,1404276807.7930553
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,SLOW_BEAR,market_regime,TRANSITION,441951605.53859013
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,26747479.5019119
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,1230612883.317851
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,1222478822.5106502
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,1625168.0287535693
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,33256372.280359246
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,42556014.85649422
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,MCB,MCB,market_regime,TRANSITION,42556014.85649422
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,511537379.2548892
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,65490989.852605
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NATIVE_CALLBACK,market_regime,BEAR,48283176.05998
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NATIVE_CALLBACK,market_regime,BULL,135710002.37155575
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,393035190.67595834
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,2603931821.358957
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,1932128670.9891245
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,BULL,market_regime,BEAR,1354407844.1128087
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,BULL,market_regime,BULL,2171503272.5431013
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,BULL,market_regime,TRANSITION,1010149375.6921715
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,182112639.17183816
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,966679205.3001322
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,FAST_BEAR,market_regime,BEAR,931663114.2263038
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,FAST_BEAR,market_regime,BULL,43219009.86107759
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,FAST_BEAR,market_regime,TRANSITION,173909720.3845888
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,1826407311.641169
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,1462844067.297527
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,SLOW_BEAR,market_regime,BEAR,1462844067.297527
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,SLOW_BEAR,market_regime,BULL,19067320.085290145
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,SLOW_BEAR,market_regime,TRANSITION,1807339991.5558789
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,37930363.91628343
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,478869718.0578132
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,474822053.77093834
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,7271171.819012612
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,34706856.38414571
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,MCB,breadth_bucket,MAJORITY_POSITIVE_20D,361906936.4401314
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,MCB,breadth_bucket,MINORITY_POSITIVE_20D,72053377.0506179
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,MCB,market_regime,BEAR,58324978.47422411
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,MCB,market_regime,BULL,361726841.44088835
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,MCB,market_regime,TRANSITION,13908493.575636882
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NATIVE_CALLBACK,breadth_bucket,MAJORITY_POSITIVE_20D,385263579.2491586
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NATIVE_CALLBACK,breadth_bucket,MINORITY_POSITIVE_20D,665717548.9669539
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NATIVE_CALLBACK,market_regime,BEAR,74550232.5725074
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NATIVE_CALLBACK,market_regime,BULL,383775371.61999196
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NATIVE_CALLBACK,market_regime,TRANSITION,592655524.0236131
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,3027565334.420354
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,1843140087.47245
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,BULL,market_regime,BEAR,1346666734.0602534
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,BULL,market_regime,BULL,2066318382.7292552
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,BULL,market_regime,TRANSITION,1457720305.1032956
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,FAST_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,23039.01556933968
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,FAST_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,28092866.933156535
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,FAST_BEAR,market_regime,BEAR,26708166.28397761
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,FAST_BEAR,market_regime,BULL,23039.01556933968
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,FAST_BEAR,market_regime,TRANSITION,1384700.6491789273
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,950348291.608902
