gap,mcb_mode,target,mechanic,year,strategy,pnl
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,ATRDR,251353.12843227512
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,MCB,3073.629161994255
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,OGR,4223.604036942375
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,SMV6,169138.00508529018
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,ATRDR,378630.2059669621
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,MCB,9715.12458983369
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,OGR,7340.817622320045
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,SMV6,41175.11735871985
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,ATRDR,208594.89161439383
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,MCB,4700.969031382894
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,OGR,16994.387923698407
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,SMV6,34415.49890170461
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,ATRDR,206957.29756157257
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,MCB,60514.057820771486
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,OGR,1093.0961552067815
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,SMV6,70387.31365555695
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ATRDR,417954.43348014547
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,MCB,87471.67851813015
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,OGR,30516.40149488547
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,SMV6,466833.41609049734
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ATRDR,351654.21160100156
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,MCB,23467.513634033254
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,OGR,7543.916376350182
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,SMV6,384178.6856417313
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,ATRDR,266554.9717133358
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,MCB,8660.237690092454
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,OGR,5445.998317898146
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,SMV6,622044.8254142485
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,ATRDR,221160.58324259333
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,MCB,24828.704421078954
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,OGR,90161.5263342739
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,SMV6,22037.74926284229
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,ATRDR,253201.34320356592
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,MCB,192344.25036988643
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,OGR,8443.519771569594
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,SMV6,27905.10637949992
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,ATRDR,251353.12843227503
