gap,mcb_mode,target,mechanic,year,strategy,category,pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,EXISTING_POSITION_INCREASE,113030.93376795447
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,SMV6,NEW_ENTRY_INCREASE,15272.661876937082
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,EXISTING_POSITION_INCREASE,-2430717.1859568493
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,ATRDR,NEW_ENTRY_INCREASE,12815411.415417587
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,EXISTING_POSITION_INCREASE,246477.51709296615
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,IFCGR,NEW_ENTRY_INCREASE,11280.679207617472
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,EXISTING_POSITION_INCREASE,-22091.356947641936
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,MCB,NEW_ENTRY_INCREASE,487286.68411606515
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,EXISTING_POSITION_INCREASE,112087.9299216505
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,SMV6,NEW_ENTRY_INCREASE,414285.01560618344
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,EXISTING_POSITION_INCREASE,164316.07167913258
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,ATRDR,NEW_ENTRY_INCREASE,1578287.870029082
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,IFCGR,EXISTING_POSITION_INCREASE,834092.1735646343
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,IFCGR,NEW_ENTRY_INCREASE,-10695729.585896421
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,MCB,EXISTING_POSITION_INCREASE,-847908.3752929763
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,MCB,NEW_ENTRY_INCREASE,414593.1716505789
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,SMV6,EXISTING_POSITION_INCREASE,1806785.291109472
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,SMV6,NEW_ENTRY_INCREASE,3110454.131009129
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,ATRDR,EXISTING_POSITION_INCREASE,5396756.560290451
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,ATRDR,NEW_ENTRY_INCREASE,3412338.185628734
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,IFCGR,EXISTING_POSITION_INCREASE,1157498.4353374627
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,IFCGR,NEW_ENTRY_INCREASE,7035014.498978032
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MCB,EXISTING_POSITION_INCREASE,22042.24297993612
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MCB,NEW_ENTRY_INCREASE,76019.51055494018
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,SMV6,EXISTING_POSITION_INCREASE,5106354.107651426
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,SMV6,NEW_ENTRY_INCREASE,1185181.8069597671
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,ATRDR,EXISTING_POSITION_INCREASE,-6811872.56778923
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,ATRDR,NEW_ENTRY_INCREASE,-3438363.2596691707
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,IFCGR,EXISTING_POSITION_INCREASE,-6075834.808037621
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,IFCGR,NEW_ENTRY_INCREASE,1057656.9600344289
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,MCB,EXISTING_POSITION_INCREASE,-29479.337108466847
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,MCB,NEW_ENTRY_INCREASE,-57502.9822792962
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,SMV6,EXISTING_POSITION_INCREASE,7209553.104228593
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,SMV6,NEW_ENTRY_INCREASE,1400233.532580834
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,EXISTING_POSITION_INCREASE,2925.797225536256
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,INHERITED_POSITION,264.0831580300196
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,NEW_ENTRY_INCREASE,87788.58849078877
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,IFCGR,EXISTING_POSITION_INCREASE,-422.0710619471698
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,IFCGR,NEW_ENTRY_INCREASE,36784.80921672595
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,MCB,EXISTING_POSITION_INCREASE,5758.205882994545
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,MCB,NEW_ENTRY_INCREASE,13122.215578017152
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,SMV6,EXISTING_POSITION_INCREASE,1582.609107784785
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,SMV6,NEW_ENTRY_INCREASE,24618.851198563934
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,ATRDR,EXISTING_POSITION_INCREASE,132603.49935450742
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,ATRDR,NEW_ENTRY_INCREASE,343614.18572442076
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,IFCGR,EXISTING_POSITION_INCREASE,34147.604341108476
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,IFCGR,NEW_ENTRY_INCREASE,-30503.322503671756
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MCB,EXISTING_POSITION_INCREASE,7608.586168103866
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MCB,NEW_ENTRY_INCREASE,15328.217422446844
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,SMV6,EXISTING_POSITION_INCREASE,69474.70489903157
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,SMV6,NEW_ENTRY_INCREASE,38769.91853320685
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,ATRDR,EXISTING_POSITION_INCREASE,420707.14028759114
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,ATRDR,NEW_ENTRY_INCREASE,161434.03335628074
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,IFCGR,EXISTING_POSITION_INCREASE,143089.71119090286
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,IFCGR,NEW_ENTRY_INCREASE,12169.369171212165
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MCB,EXISTING_POSITION_INCREASE,865.610764626741
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MCB,NEW_ENTRY_INCREASE,14890.867939745562
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,SMV6,EXISTING_POSITION_INCREASE,45495.363896672316
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,SMV6,NEW_ENTRY_INCREASE,107267.53604345054
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,ATRDR,EXISTING_POSITION_INCREASE,183734.3233198081
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,ATRDR,NEW_ENTRY_INCREASE,1044647.8320728424
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,IFCGR,EXISTING_POSITION_INCREASE,218761.7725566472
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,IFCGR,NEW_ENTRY_INCREASE,82401.79071262995
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MCB,EXISTING_POSITION_INCREASE,-3167.5592779389367
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MCB,NEW_ENTRY_INCREASE,-4846.856548378856
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,SMV6,EXISTING_POSITION_INCREASE,19484.471035727587
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,SMV6,NEW_ENTRY_INCREASE,75509.6283199932
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,ATRDR,EXISTING_POSITION_INCREASE,515791.36161296925
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,ATRDR,NEW_ENTRY_INCREASE,134768.98514907644
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,IFCGR,EXISTING_POSITION_INCREASE,186.37904378612808
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,IFCGR,NEW_ENTRY_INCREASE,-26944.02614950482
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MCB,EXISTING_POSITION_INCREASE,1110.8767785258945
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MCB,NEW_ENTRY_INCREASE,7149.695515149788
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,SMV6,EXISTING_POSITION_INCREASE,12530.774183520161
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,SMV6,NEW_ENTRY_INCREASE,615.2302897530303
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,ATRDR,EXISTING_POSITION_INCREASE,-128232.69394019642
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,ATRDR,NEW_ENTRY_INCREASE,693055.3539874073
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,IFCGR,EXISTING_POSITION_INCREASE,13804.353806823303
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,IFCGR,NEW_ENTRY_INCREASE,162.33135842690194
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MCB,EXISTING_POSITION_INCREASE,4265.6580934129115
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MCB,NEW_ENTRY_INCREASE,28352.41092289635
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,SMV6,EXISTING_POSITION_INCREASE,-16370.69873313712
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,SMV6,NEW_ENTRY_INCREASE,104614.73334265305
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ATRDR,EXISTING_POSITION_INCREASE,-48057.79763296677
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ATRDR,NEW_ENTRY_INCREASE,114690.98165260683
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,IFCGR,EXISTING_POSITION_INCREASE,45449.74297128487
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,IFCGR,NEW_ENTRY_INCREASE,-457569.79398122145
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MCB,EXISTING_POSITION_INCREASE,-51636.66447237912
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MCB,NEW_ENTRY_INCREASE,31504.206044458035
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,SMV6,EXISTING_POSITION_INCREASE,-15065.66729290228
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,SMV6,NEW_ENTRY_INCREASE,243928.64983284043
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ATRDR,EXISTING_POSITION_INCREASE,-43120.93611552075
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ATRDR,NEW_ENTRY_INCREASE,172718.83022723417
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,IFCGR,EXISTING_POSITION_INCREASE,56999.121672082045
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,IFCGR,NEW_ENTRY_INCREASE,307059.85244428075
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MCB,EXISTING_POSITION_INCREASE,2781.655449169459
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MCB,NEW_ENTRY_INCREASE,2621.941180044085
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,SMV6,EXISTING_POSITION_INCREASE,128464.61410021847
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,SMV6,NEW_ENTRY_INCREASE,310446.01829689933
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,ATRDR,EXISTING_POSITION_INCREASE,-410244.54624632944
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,ATRDR,NEW_ENTRY_INCREASE,-412860.0254782168
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,IFCGR,EXISTING_POSITION_INCREASE,-200663.29364802118
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,IFCGR,NEW_ENTRY_INCREASE,46128.72520737268
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MCB,EXISTING_POSITION_INCREASE,-5478.0548729748725
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MCB,NEW_ENTRY_INCREASE,1951.7476698334322
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,SMV6,EXISTING_POSITION_INCREASE,104644.65562897632
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,SMV6,NEW_ENTRY_INCREASE,520614.61903467285
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,ATRDR,EXISTING_POSITION_INCREASE,-4369.734582765038
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,ATRDR,INHERITED_POSITION,-18.705267697794625
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,ATRDR,NEW_ENTRY_INCREASE,173511.27299674286
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,IFCGR,EXISTING_POSITION_INCREASE,-1555.8827206747067
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,IFCGR,NEW_ENTRY_INCREASE,75474.42710136555
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,MCB,EXISTING_POSITION_INCREASE,10646.687785030763
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,MCB,NEW_ENTRY_INCREASE,25250.620746020813
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,SMV6,EXISTING_POSITION_INCREASE,2957.4828975087585
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,SMV6,NEW_ENTRY_INCREASE,49191.40460455883
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,ATRDR,EXISTING_POSITION_INCREASE,294594.2483092033
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,ATRDR,NEW_ENTRY_INCREASE,736461.1311790393
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,IFCGR,EXISTING_POSITION_INCREASE,74798.27717653089
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,IFCGR,NEW_ENTRY_INCREASE,-64787.18421786129
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,MCB,EXISTING_POSITION_INCREASE,15591.781151679357
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,MCB,NEW_ENTRY_INCREASE,33568.07227700976
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,SMV6,EXISTING_POSITION_INCREASE,101546.94787746944
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,SMV6,NEW_ENTRY_INCREASE,42233.104372335954
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,ATRDR,EXISTING_POSITION_INCREASE,899114.6225957322
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,ATRDR,NEW_ENTRY_INCREASE,3139.395001705503
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,IFCGR,EXISTING_POSITION_INCREASE,347646.8051256888
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,IFCGR,NEW_ENTRY_INCREASE,28053.324829277153
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,MCB,EXISTING_POSITION_INCREASE,-1167.6608785319045
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,MCB,NEW_ENTRY_INCREASE,30636.829768545358
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,SMV6,EXISTING_POSITION_INCREASE,70357.15080166218
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,SMV6,NEW_ENTRY_INCREASE,27231.17906311225
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,ATRDR,EXISTING_POSITION_INCREASE,485023.93527195684
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,ATRDR,NEW_ENTRY_INCREASE,2839698.635389475
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,IFCGR,EXISTING_POSITION_INCREASE,565017.3763566163
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,IFCGR,NEW_ENTRY_INCREASE,207894.21340970724
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,MCB,EXISTING_POSITION_INCREASE,-11218.532592404235
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,MCB,NEW_ENTRY_INCREASE,-7336.857944397281
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,SMV6,EXISTING_POSITION_INCREASE,18490.739684936107
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,SMV6,NEW_ENTRY_INCREASE,101666.36685343017
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,ATRDR,EXISTING_POSITION_INCREASE,1438989.3128423607
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,ATRDR,NEW_ENTRY_INCREASE,293853.13754511025
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,IFCGR,EXISTING_POSITION_INCREASE,153.84959924148356
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,IFCGR,NEW_ENTRY_INCREASE,-83473.45427582996
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,MCB,EXISTING_POSITION_INCREASE,3235.464413039041
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,MCB,NEW_ENTRY_INCREASE,21935.36958343425
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,SMV6,EXISTING_POSITION_INCREASE,62241.84831174463
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,SMV6,NEW_ENTRY_INCREASE,15272.661876937082
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,ATRDR,EXISTING_POSITION_INCREASE,-373664.1760364164
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,ATRDR,NEW_ENTRY_INCREASE,2296576.3577916482
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,IFCGR,EXISTING_POSITION_INCREASE,36389.29354485174
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,IFCGR,NEW_ENTRY_INCREASE,1019.9055124122488
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,MCB,EXISTING_POSITION_INCREASE,8914.599838803859
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,MCB,NEW_ENTRY_INCREASE,90375.19587934489
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,SMV6,EXISTING_POSITION_INCREASE,56861.97142462238
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,SMV6,NEW_ENTRY_INCREASE,210341.97012485375
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,ATRDR,EXISTING_POSITION_INCREASE,-210462.78787306455
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,ATRDR,NEW_ENTRY_INCREASE,310505.4599774213
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,IFCGR,EXISTING_POSITION_INCREASE,150662.82221378805
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,IFCGR,NEW_ENTRY_INCREASE,-1631238.282592625
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,MCB,EXISTING_POSITION_INCREASE,-166548.93891124352
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,MCB,NEW_ENTRY_INCREASE,93141.95515387403
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,SMV6,EXISTING_POSITION_INCREASE,19200.450064557557
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,SMV6,NEW_ENTRY_INCREASE,759783.8168286916
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,ATRDR,EXISTING_POSITION_INCREASE,-42500.03952703231
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,ATRDR,NEW_ENTRY_INCREASE,855184.7232596544
