gap,mcb_mode,strategy,account_size_multiple,base_initial_nav_cny,diagnostic_initial_nav_cny,orders,independent_dates,missing_denominator,max_participation,p50_participation,p75_participation,p90_participation,p95_participation,p99_participation,orders_gt_1pct,orders_gt_2pct,orders_gt_5pct,orders_gt_10pct,orders_gt_20pct
IFCGR,independent,ATRDR,5,4904782.129191859,24523910.645959295,37488,1187,0,0.9258951069412773,0.00010727171799380769,0.0006032002227357927,0.0026011282131341447,0.006202229835956242,0.028634159137711373,1194,576,191,63,17
IFCGR,independent,ATRDR,10,4904782.129191859,49047821.29191859,37488,1187,0,1.8517902138825546,0.00021454343598761538,0.0012064004454715855,0.0052022564262682895,0.012404459671912484,0.057268318275422746,2252,1194,438,191,63
IFCGR,independent,IFCGR,1,4904782.129191859,4904782.129191859,7020,607,0,0.050819797061632595,1.1369916851969556e-06,1.4994904886433041e-05,0.0001158922931150766,0.00043733635089807473,0.004453166752831838,28,13,2,0,0
IFCGR,independent,IFCGR,2,4904782.129191859,9809564.258383717,7020,607,0,0.10163959412326519,2.273983370393911e-06,2.9989809772866082e-05,0.0002317845862301532,0.0008746727017961495,0.008906333505663677,64,28,8,2,0
IFCGR,independent,IFCGR,5,4904782.129191859,24523910.645959295,7020,607,0,0.254098985308163,5.6849584259847775e-06,7.49745244321652e-05,0.000579461465575383,0.0021866817544903736,0.02226583376415919,131,75,28,13,3
IFCGR,independent,IFCGR,10,4904782.129191859,49047821.29191859,7020,607,0,0.508197970616326,1.1369916851969555e-05,0.0001499490488643304,0.001158922931150766,0.004373363508980747,0.04453166752831838,201,131,64,28,13
IFCGR,independent,MCB,1,4904782.129191859,4904782.129191859,13484,628,0,0.07736849026514328,1.0640874611860843e-05,5.6336192974499746e-05,0.00025201079914764947,0.0005981896768414854,0.002139911198946513,14,2,2,0,0
IFCGR,independent,MCB,2,4904782.129191859,9809564.258383717,13484,628,0,0.15473698053028656,2.1281749223721687e-05,0.00011267238594899949,0.0005040215982952989,0.0011963793536829707,0.004279822397893026,50,14,2,2,0
IFCGR,independent,MCB,5,4904782.129191859,24523910.645959295,13484,628,0,0.3868424513257164,5.320437305930422e-05,0.00028168096487249877,0.0012600539957382474,0.002990948384207427,0.010699555994732565,154,66,14,2,2
IFCGR,independent,MCB,10,4904782.129191859,49047821.29191859,13484,628,0,0.7736849026514327,0.00010640874611860844,0.0005633619297449975,0.002520107991476495,0.005981896768414854,0.02139911198946513,385,154,50,14,2
OGR,confirmation_tag,ATRDR,1,4904782.129191859,4904782.129191859,37406,1190,0,0.18514653853233445,2.395412015289519e-05,0.00013517892653986776,0.0005934453978518885,0.001407671006439526,0.006114661993603775,204,69,11,3,0
OGR,confirmation_tag,ATRDR,2,4904782.129191859,9809564.258383717,37406,1190,0,0.3702930770646689,4.790824030579038e-05,0.00027035785307973553,0.001186890795703777,0.002815342012879052,0.01222932398720755,488,204,50,11,3
OGR,confirmation_tag,ATRDR,5,4904782.129191859,24523910.645959295,37406,1190,0,0.9257326926616722,0.00011977060076447594,0.0006758946326993387,0.0029672269892594425,0.00703835503219763,0.030573309968018877,1352,623,204,69,16
OGR,confirmation_tag,ATRDR,10,4904782.129191859,49047821.29191859,37406,1190,0,1.8514653853233445,0.00023954120152895188,0.0013517892653986774,0.005934453978518885,0.01407671006439526,0.061146619936037754,2475,1352,488,204,69
OGR,confirmation_tag,MCB,1,4904782.129191859,4904782.129191859,3302,296,0,0.07631166500743616,1.2570530654677912e-05,6.655800900350902e-05,0.0003177538084422484,0.0008637746934606156,0.0041152469435895836,14,4,2,0,0
OGR,confirmation_tag,MCB,2,4904782.129191859,9809564.258383717,3302,296,0,0.15262333001487233,2.5141061309355825e-05,0.00013311601800701804,0.0006355076168844968,0.0017275493869212313,0.008230493887179167,30,14,2,2,0
OGR,confirmation_tag,MCB,5,4904782.129191859,24523910.645959295,3302,296,0,0.3815583250371808,6.285265327338955e-05,0.0003327900450175451,0.001588769042211242,0.004318873467303078,0.020576234717947915,76,34,14,4,2
OGR,confirmation_tag,MCB,10,4904782.129191859,49047821.29191859,3302,296,0,0.7631166500743616,0.0001257053065467791,0.0006655800900350902,0.003177538084422484,0.008637746934606156,0.04115246943589583,146,76,30,14,4
OGR,confirmation_tag,OGR,1,4904782.129191859,4904782.129191859,7152,611,0,0.05095271374008246,1.1703374271076206e-06,1.557791733188934e-05,0.0001155799871121462,0.00040348019623558025,0.004187725282557481,27,13,2,0,0
OGR,confirmation_tag,OGR,2,4904782.129191859,9809564.258383717,7152,611,0,0.10190542748016491,2.340674854215241e-06,3.115583466377868e-05,0.0002311599742242924,0.0008069603924711605,0.008375450565114961,61,27,8,2,0
