year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2023,MINORITY_POSITIVE_20D,1094375625.6351025,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2024,MAJORITY_POSITIVE_20D,1059077601.0914769,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2024,MINORITY_POSITIVE_20D,1217471835.7756321,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2025,MAJORITY_POSITIVE_20D,1556888680.399204,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2025,MINORITY_POSITIVE_20D,1198755761.3875403,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2026,MAJORITY_POSITIVE_20D,936409064.9692638,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2026,MINORITY_POSITIVE_20D,1179184889.6164856,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2018,BEAR,737194147.8893567,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2018,BULL,44591423.14303181,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2018,TRANSITION,367491521.69554186,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2019,BEAR,517165628.66357356,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2019,BULL,378228942.1391686,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2019,TRANSITION,501398123.146118,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2020,BEAR,730424592.0250739,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2020,BULL,871978750.1754625,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2020,TRANSITION,470522712.7703885,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2021,BEAR,775474405.8097049,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2021,BULL,834871993.3537338,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2021,TRANSITION,1125417129.2057784,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2022,BEAR,2110240918.501807,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2022,BULL,715732516.1758924,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2022,TRANSITION,2118584013.736397,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2023,BEAR,2080436976.518258,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2023,BULL,1504135699.717838,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
