gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,1554.611414990245,-120.69190868176884,1675.303323672014
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,299608.9518542869,5903.303694511254,293705.64815977565
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,IFCGR,224742.39647859443,4222.7368891067845,220519.65958948765
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,IFCGR,-5788.099704141912,-1366.5178444203793,-4421.581859721533
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,IFCGR,82209.2664948246,2926.3927411430805,79282.87375368152
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,7288.537255845135,6360.290145444125,928.2471104010103
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-34046.18436156383,10547.583122413609,-44593.76748397742
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,IFCGR,-41329.22542127391,10523.581056509265,-51852.80647778318
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,IFCGR,981.2277733751084,489.0114173531738,492.21635602193464
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,IFCGR,13590.350542180111,5895.2807939952945,7695.069748184817
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,3260.6984003354737,-217.15582256690027,3477.854222902374
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,10705.986764914736,1305.504646223767,9400.48211869098
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,IFCGR,10542.767532421334,808.0477272316775,9734.719805189656
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,IFCGR,-59.36734730073965,-289.63369760484875,230.2663503041091
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,IFCGR,3483.284980129618,569.9347940300379,2913.3501860995802
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-12268.590456206093,-2783.540047893306,-9485.050408312789
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-399851.46055373026,31924.247820886532,-431775.7083746168
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,IFCGR,-399051.57651177887,33171.66261612264,-432223.23912790156
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,IFCGR,-551.2651421868785,-936.1405638393571,384.8754216524786
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,IFCGR,-12517.209355970583,-3094.8142792900526,-9422.395076680532
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-19587.629186470687,-299.7343664000646,-19287.89482007062
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,383646.60330283345,7043.715452151743,376602.8878506817
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,IFCGR,112496.8160673467,-832.7492590912598,113329.56532643797
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,IFCGR,-20154.912375613178,-309.53254247673976,-19845.379833136438
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,IFCGR,271717.07042462926,7886.262887319678,263830.8075373096
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,7990.842821017348,3965.7836989649877,4025.0591220523597
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-162525.41126166584,8177.840282613553,-170703.2515442794
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,IFCGR,-162525.41126166584,8177.840282613553,-170703.2515442794
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,IFCGR,7990.842821017348,3965.7836989649877,4025.0591220523597
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,16594.248709182164,26968.90892761915,-10374.660218436986
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,57324.29567150868,60491.86291178117,-3167.5672402724986
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,IFCGR,59699.23644167259,60672.246387089544,-973.0099454169574
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,IFCGR,926.1936719054711,31.139446682386733,895.0542252230842
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,IFCGR,13293.114267112782,26757.386005628392,-13464.271738515612
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-89829.18120818664,2011.429013228053,-91840.6102214147
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,99840.27416685625,5719.454560632315,94120.81960622396
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,IFCGR,275063.7011278751,7990.459218186068,267073.241909689
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,IFCGR,-72039.05631689067,1148.2655133563076,-73187.32183024699
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,IFCGR,-193013.55185231476,-1407.8411576820072,-191605.71069463275
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,154950.56768322625,1852.6389490154415,153097.92873421081
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,220749.56227173953,2350.301995036237,218399.26027670328
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,IFCGR,197223.6341812717,338.70598669144414,196884.92819458022
