gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family,mean_route_gross,max_route_gross,mean_Demand_gross,max_Demand_gross,max_Demand_single_name,max_overlap_names,capital_days,native_capital_days,incremental_capital_days,capital_trace_scope
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,BULL,ATRDR,FAST_BEAR,-69593.90100706706,1688.3937854548712,-71282.29479252192,market_regime,0.1455214932773714,0.3349213427004601,0.9678088658977392,0.9850633959856802,0.1769377982949673,30.0,23960238.28568574,596997.134309165,23363241.151376575,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,BULL,ATRDR,SLOW_BEAR,339571.97648013197,11199.442232497207,328372.53424763476,market_regime,0.5703023070191939,0.6789471548959655,0.9644594912457692,0.9850633959856802,0.1676363665927542,0.0,78479745.44703045,2649331.0146158584,75830414.43241459,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,BULL,MCB,MCB,630969.5158073697,156122.642071611,474846.8737357587,market_regime,0.2326652411407072,0.4251538273824867,0.6955755398226322,0.9970203650070826,0.3154152291134131,44.0,258739456.95280275,70169290.20944504,188570166.74335772,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,BULL,OGR,FIXED_BELOW_L_REPAIR,62918.25015598675,1258.7156198182984,61659.53453616845,market_regime,0.0138667496295225,0.0730188658423133,0.965812765960103,0.9970203650070826,0.1769377982949673,30.0,2935262.8925363496,155688.56892797988,2779574.3236083696,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,BULL,SMV6,NATIVE_CALLBACK,564999.7696169508,150765.3939929221,414234.37562402873,market_regime,0.2329233809355611,0.6671372821906086,0.6773684262699589,0.9850633959856802,0.9563494609350668,44.0,254344555.02732825,62060814.24203821,192283740.78529003,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,ATRDR,BULL,318690.8154328766,12967.829477368496,305722.9859555081,market_regime,0.5559925045237117,0.8140588818493467,0.8954550614883782,0.9999999999999992,0.9777514181421042,28.0,214661674.66769215,14234932.922664603,200426741.74502754,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,ATRDR,FAST_BEAR,1144604.414385835,48652.03607197763,1095952.3783138571,market_regime,0.6358878833007812,0.9999999999999988,0.7870985494454219,0.9999999999999988,0.3293506936725739,0.0,164478188.4096928,5657154.647107887,158821033.7625849,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,ATRDR,SLOW_BEAR,883675.7511089314,7673.440316777036,876002.3107921544,market_regime,0.3698028079902692,0.8396819698637029,0.6303509833853745,0.9999999999999992,0.8396819698637029,0.0,105974342.60753,6055016.494106943,99919326.11342305,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,MCB,MCB,4792.588150915981,9587.96423596832,-4795.376085052343,market_regime,0.2835547985040614,0.4181762825115908,0.8704880843359164,0.9999999999999976,0.9777514181421042,28.0,79297573.64009996,4916142.815715683,74381430.82438427,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,OGR,FIXED_BELOW_L_REPAIR,412533.4450610248,2625.723616081272,409907.7214449435,market_regime,0.1237984799875846,0.9999999999999974,0.6297127485086008,0.9969297059603284,0.8396819698637029,28.0,74432040.34455587,641734.7256087206,73790305.61894715,ACTUAL_ROOT_CALENDAR_TRACE
