gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl,average_Demand_gross,max_Demand_gross,mean_overlap_names,max_overlap_names,max_Demand_single_name
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,DEMAND,114404.91855257792,-117610.881657087,232015.80020966497,0.13902780881824134,0.29368932038834866,0.0,0,0.29368932038834866
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,385670.2890199152,242008.77086626863,143661.5181536466,0.16617166142474707,0.2572151898734177,0.0,0,0.2572151898734177
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,212227.3633283289,12417.986728000496,199809.37660032845,0.17178462404631747,0.258812032329233,0.0,0,0.24844720496894343
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,DEMAND,93794.98446798247,-12169.825565076262,105964.81003305872,0.16260794694506978,0.258812032329233,0.0,0,0.22835674077022522
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,DEMAND,172741.0563250326,202234.74485844283,-29493.688533410255,0.17259402964800502,0.2572151898734177,0.0,0,0.2572151898734177
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,DEMAND,331361.6115552291,64361.83830090254,266999.7732543266,0.17339461263757847,0.2577064017311404,0.0,0,0.24844720496894343
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,656943.1945564013,343113.1790291202,313830.01552728115,0.20181465761918596,0.2555003959661446,0.0,0,0.1340962479868134
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,563424.5450099315,45232.15152767567,518192.3934822558,0.13638554828510926,0.26641545738795785,0.0,0,0.26641545738795785
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,DEMAND,419424.7115479864,42030.07304135927,377394.63850662706,0.13998879772643932,0.26641545738795785,0.0,0,0.26641545738795785
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,DEMAND,325543.1452099884,121602.40664339723,203940.73856659108,0.18115371309627676,0.2555003959661446,0.0,0,0.1340962479868134
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,DEMAND,475399.8828083581,224712.85087203936,250687.03193631873,0.19047855543712944,0.2628071636817992,0.0,0,0.2628071636817992
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,288844.4490556143,141068.79452829197,147775.6545273224,0.2025845645326688,0.2563876651982373,0.0,0,0.2563876651982373
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,369976.470000107,72227.06611748485,297749.4038826222,0.19868986380997258,0.2750178954903358,0.0,0,0.27501789549033584
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,DEMAND,45206.43336148692,86986.07703015831,-41779.643668671415,0.18971493001890097,0.2528103429123262,0.0,0,0.2512864493996568
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,DEMAND,133594.0313034151,41793.75507691644,91800.27622649868,0.22196531083305213,0.2563876651982373,0.0,0,0.2563876651982373
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,DEMAND,480020.45439081936,84516.02853870206,395504.4258521173,0.20299091669337802,0.2750178954903358,0.0,0,0.27501789549033584
