gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MAJORITY_POSITIVE_20D,MCB,MCB,17807.784013679528,81369.75115018067,-63561.96713650115,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,152845.75823948634,50492.38753899986,102353.37070048648,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,ATRDR,BULL,234520.41235020634,10250.445705877344,224269.96664432905,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,178368.71144740918,3632.5248039075486,174736.18664350163,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,-56886.59498863119,3064.6692441619502,-59951.26423279314,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,46783.44286365178,5719.454560632315,41063.988303019454,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,MCB,MCB,5129.019576871182,-554.8816437321912,5683.901220603373,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,-44601.134807247945,-22587.281159499937,-22013.85364774801,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,ATRDR,BULL,146658.0090057823,203559.75820035735,-56901.74919457504,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,34707.883664204935,11137.595211580694,23570.28845262424,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,186207.78712538566,14956.040073866934,171251.7470515187,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,64198.49628193097,1852.6389490154415,62345.857332915526,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,MCB,MCB,18096.609224542353,12355.377380463662,5741.231844078689,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,87292.15390387006,141472.59962389237,-54180.44572002231,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,ATRDR,BULL,-37921.06588702653,-10715.928411221648,-27205.13747580488,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,167713.07262321567,41230.414220995735,126482.65840221994,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,84775.48711230984,-8814.750863304183,93590.23797561403,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,91060.58408018402,2350.301995036237,88710.28208514779,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,MCB,MCB,-2340.130520170052,-9281.748218469409,6941.6176982993575,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,65470.74603625278,27665.405461397815,37805.34057485496,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,ATRDR,BULL,504798.3087171802,261152.72050006205,243645.58821711817,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,29002.475657721305,4869.217741912049,24133.257915809256,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,131338.64138964488,67376.11619731243,63962.52519233246,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,1554.611414990245,-120.69190868176884,1675.303323672014,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,MCB,MCB,-8196.23120814506,9715.12458983369,-17911.35579797875,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,21073.579831471063,-4186.2200284405535,25259.799859911618,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,ATRDR,BULL,-37570.983748930186,-1060.012340142639,-36510.97140878755,breadth_bucket
