architecture,variant,split,eligible_symbol_days,distinct_candidate_episodes,distinct_candidate_symbols,candidate_episodes_per_symbol_year,candidate_symbol_days_per_symbol_year,median_candidate_duration,p25_candidate_duration,p75_candidate_duration,max_candidate_duration,total_symbol_days,symbol_day_candidate_rate,labelled_candidate_days,labelled_positive_days,candidate_precision,candidate_precision_wilson_low,candidate_precision_wilson_high,raw_label_base_rate,precision_lift_over_raw_base,wave_n,wave_candidates,wave_recall,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_candidates,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,matched_enrichment,matched_enrichment_cluster_low,matched_enrichment_cluster_high,balanced_matched_precision,temporal_state_composition_json,candidate_definition,pnl_swing_sample_large_enough
P_PRICE_ONLY_BROAD,P,validation,39883,40,38,0.08,79.766,130.5,96.0,144.5,164,40918,0.9747055085781319,39883,14391,0.36083042900483914,0.3561308625860517,0.36555680196716406,0.3570555745637617,1.0105721761820676,541,535,0.988909426987061,0.9760171922106886,0.9949074528136035,0.9785401575571328,0.9981239967897272,541,517,0.955637707948244,0.9348403844202486,0.9700099936458686,0.9245881717526331,0.9802175424976143,1.034816247582205,1.0066166449362401,1.0738843320691045,0.5085551330798479,"{""ENSEMBLE_AMBIGUOUS"":17742,""LOST/TRANSITION"":4776,""MERGE"":1600,""SPLIT"":3895,""VALID_CANONICAL_BASE"":11870}","Registered daily-price PIT-valid, tradable observation after 60 consecutive price-valid sessions; no V3 chip field or canonical peak is used.",False
P_PRICE_ONLY_BROAD,P,holdout,39682,22,21,0.044,79.364,46.0,27.0,63.5,79,40908,0.970030311919429,39652,6972,0.17582971855139715,0.17211428757272398,0.17960795423884798,0.17443141479178398,1.0080163527956378,415,411,0.9903614457831326,0.9754825138803407,0.9962455503518026,0.9803896361353573,0.997644422863485,415,404,0.9734939759036144,0.9531663065361634,0.9851362223169869,0.9514767453591606,0.9904653937947494,1.0173267326732673,0.9980069123462465,1.0411106286254577,0.5042944785276073,"{""ENSEMBLE_AMBIGUOUS"":19599,""LOST/TRANSITION"":4104,""MERGE"":1079,""SPLIT"":2615,""VALID_CANONICAL_BASE"":12285}","Registered daily-price PIT-valid, tradable observation after 60 consecutive price-valid sessions; no V3 chip field or canonical peak is used.",False
P_PRICE_PULLBACK_20,P,total,47518,5671,494,11.342,95.036,4.0,1.0,12.0,63,121251,0.391897798781041,47488,11355,0.23911303908355794,0.23529789175958468,0.24297039098357756,0.25125014440611954,0.9516931409084357,1599,929,0.5809881175734835,0.5566386508867712,0.6049493830230591,0.5596121196516742,0.6014950157152066,1599,677,0.42338961851156975,0.3993837406730106,0.44776271373660953,0.39450493302480877,0.453747702520384,1.3722304283604136,1.2764354551267725,1.4888113471965445,0.5784557907845579,"{""ENSEMBLE_AMBIGUOUS"":22880,""LOST/TRANSITION"":5316,""MERGE"":1558,""SPLIT"":4010,""VALID_CANONICAL_BASE"":13754}",Price-only eligible observation at least 5% below the trailing 20-session economic-price high; boundary fixed before evaluation and not fitted to wave outcomes.,True
P_PRICE_PULLBACK_20,P,discovery,5525,1006,479,2.012,11.05,4.0,2.0,11.0,48,39425,0.140139505389981,5525,1267,0.2293212669683258,0.21842646104550814,0.24059220999484712,0.22102432713528322,1.0375385820220786,643,101,0.15707620528771385,0.1309975778040894,0.18722794100538728,0.1311602870813397,0.17987724174442457,643,75,0.1166407465007776,0.09407611963214138,0.14375875740430308,0.09096779127698627,0.1424169182069425,1.3466666666666667,1.0234181055308327,1.7409375612264888,0.5738636363636364,"{""ENSEMBLE_AMBIGUOUS"":2572,""LOST/TRANSITION"":628,""MERGE"":201,""SPLIT"":438,""VALID_CANONICAL_BASE"":1686}",Price-only eligible observation at least 5% below the trailing 20-session economic-price high; boundary fixed before evaluation and not fitted to wave outcomes.,True
P_PRICE_PULLBACK_20,P,validation,18172,2479,487,4.958,36.344,3.0,1.0,11.0,62,40918,0.4441077276504228,18172,6041,0.33243451463790447,0.32562125347845533,0.33931860563081656,0.3570555745637617,0.9310441800105252,541,441,0.8151571164510166,0.7802656111078846,0.8456045286903832,0.7769909042788778,0.8504164107289107,541,306,0.5656192236598891,0.523533200034056,0.6067799375779002,0.5143614140945308,0.6159897769516729,1.441176470588235,1.3176173009496328,1.6201123563871611,0.5903614457831325,"{""ENSEMBLE_AMBIGUOUS"":8110,""LOST/TRANSITION"":2224,""MERGE"":775,""SPLIT"":1996,""VALID_CANONICAL_BASE"":5067}",Price-only eligible observation at least 5% below the trailing 20-session economic-price high; boundary fixed before evaluation and not fitted to wave outcomes.,True
P_PRICE_PULLBACK_20,P,holdout,23821,2186,488,4.372,47.642,5.0,1.0,14.0,63,40908,0.5823066392881588,23791,4047,0.17010634273464756,0.16538535074590108,0.174933851331356,0.17443141479178398,0.9752047412887226,415,387,0.9325301204819277,0.9042157336541242,0.9529104949929014,0.9076878667940494,0.9578258058557311,415,296,0.7132530120481928,0.6679423640505563,0.7546519046695649,0.6634384218074129,0.7586717122196347,1.3074324324324325,1.2216104060221449,1.4021480197604888,0.5666178623718887,"{""ENSEMBLE_AMBIGUOUS"":12198,""LOST/TRANSITION"":2464,""MERGE"":582,""SPLIT"":1576,""VALID_CANONICAL_BASE"":7001}",Price-only eligible observation at least 5% below the trailing 20-session economic-price high; boundary fixed before evaluation and not fitted to wave outcomes.,True
P_PRICE_PULLBACK_STABILIZING,P,total,19595,12372,494,24.744,39.19,1.0,1.0,2.0,8,121251,0.16160691458214776,19587,4579,0.2337775054883341,0.2279029494771892,0.23975646566731001,0.25125014440611954,0.9304571985059529,1599,8,0.0050031269543464665,0.0025373171884180627,0.009841610690882406,0.00184723446608844,0.008547489134208355,1599,200,0.12507817385866166,0.10975692632962289,0.14219653831174242,0.10780699007572289,0.14121107082160023,0.04,0.013982836988880603,0.06919310137248581,0.038461538461538464,"{""ENSEMBLE_AMBIGUOUS"":9381,""LOST/TRANSITION"":2221,""MERGE"":638,""SPLIT"":1706,""VALID_CANONICAL_BASE"":5649}",Fixed price-only 20-session pullback state plus nonnegative one-session economic-price change; no chip or temporal input.,False
P_PRICE_PULLBACK_STABILIZING,P,discovery,2508,1677,466,3.354,5.016,1.0,1.0,2.0,7,39425,0.0636144578313253,2508,553,0.2204944178628389,0.2047033543636302,0.23714039931888245,0.22102432713528322,0.9976024843992853,643,2,0.003110419906687403,0.0008534041604771527,0.011269286359376794,0.0,0.008091290652827925,643,15,0.02332814930015552,0.014187249900886907,0.03813076150548316,0.012222611293974835,0.03583147321428571,0.13333333333333333,0.0,0.41683958011334354,0.11764705882352941,"{""ENSEMBLE_AMBIGUOUS"":1140,""LOST/TRANSITION"":286,""MERGE"":94,""SPLIT"":209,""VALID_CANONICAL_BASE"":779}",Fixed price-only 20-session pullback state plus nonnegative one-session economic-price change; no chip or temporal input.,False
P_PRICE_PULLBACK_STABILIZING,P,validation,7603,4423,486,8.846,15.206,1.0,1.0,2.0,8,40918,0.18581064568160713,7603,2416,0.31776930159147704,0.3073976516952753,0.3283250046791623,0.3570555745637617,0.8899715456892578,541,4,0.0073937153419593345,0.002878919198281602,0.018854850559851137,0.001799811390460635,0.015010841711019119,541,97,0.17929759704251386,0.14926929642935333,0.21384818594601634,0.1465898538683349,0.21035485774344032,0.041237113402061855,0.00958319706367943,0.08595352294496214,0.039603960396039604,"{""ENSEMBLE_AMBIGUOUS"":3428,""LOST/TRANSITION"":908,""MERGE"":305,""SPLIT"":833,""VALID_CANONICAL_BASE"":2129}",Fixed price-only 20-session pullback state plus nonnegative one-session economic-price change; no chip or temporal input.,False
P_PRICE_PULLBACK_STABILIZING,P,holdout,9484,6272,487,12.544,18.968,1.0,1.0,2.0,7,40908,0.23183729343893614,9476,1610,0.16990291262135923,0.1624756559223657,0.17759769581296433,0.17443141479178398,0.9740384942939874,415,2,0.004819277108433735,0.0013226160239228485,0.017399166778507537,0.0,0.01239236051396703,415,88,0.21204819277108433,0.17545392582290628,0.25392443449286217,0.17183506622988176,0.25771395985401463,0.02272727272727273,0.0,0.0637804319673663,0.022222222222222223,"{""ENSEMBLE_AMBIGUOUS"":4813,""LOST/TRANSITION"":1027,""MERGE"":239,""SPLIT"":664,""VALID_CANONICAL_BASE"":2741}",Fixed price-only 20-session pullback state plus nonnegative one-session economic-price change; no chip or temporal input.,False
C_TEMPORAL_STATE_STRATIFIED,C,total,88695,561,492,1.122,177.39,184.0,184.0,184.0,184,121251,0.7314991216567286,88665,23496,0.264997462358315,0.2621027479989437,0.2679125390581942,0.25125014440611954,1.0547156618942053,1599,1047,0.6547842401500938,0.631134915856676,0.6776916354381731,0.6322090995561191,0.67366389900507,1599,1018,0.6366479049405879,0.612772175118809,0.6598686388526033,0.6061158885784209,0.6676034128466293,1.0284872298624754,0.9784032696047146,1.0838303114859071,0.5070217917675545,"{""ENSEMBLE_AMBIGUOUS"":41479,""LOST/TRANSITION"":9869,""MERGE"":2989,""SPLIT"":7237,""VALID_CANONICAL_BASE"":27121}",Same intake as B with an explicit non-substitutable temporal_state carried on every candidate.,False
C_TEMPORAL_STATE_STRATIFIED,C,discovery,9751,499,489,0.998,19.502,184.0,184.0,184.0,184,39425,0.2473303741280913,9751,2253,0.2310532253102246,0.22279392460696837,0.2395243486175264,0.22102432713528322,1.0453746350228812,643,109,0.16951788491446346,0.14249909172929526,0.20046200916419132,0.14396825992982729,0.19637703150080255,643,107,0.16640746500777606,0.13961828958600242,0.1971589157864817,0.13660266649703617,0.1962926724117168,1.0186915887850467,0.8234750164957568,1.257850741288267,0.5046296296296297,"{""ENSEMBLE_AMBIGUOUS"":4511,""LOST/TRANSITION"":1047,""MERGE"":328,""SPLIT"":765,""VALID_CANONICAL_BASE"":3100}",Same intake as B with an explicit non-substitutable temporal_state carried on every candidate.,False
C_TEMPORAL_STATE_STRATIFIED,C,validation,39667,40,38,0.08,79.334,130.0,89.5,142.5,164,40918,0.9694266581944376,39667,14308,0.3607028512365442,0.3559909208144979,0.365441758866088,0.3570555745637617,1.0102148711086185,541,532,0.9833641404805915,0.968688657192887,0.9912236100050427,0.9700345426171731,0.994414370676053,541,515,0.9519408502772643,0.9305139289080049,0.9669948639405372,0.9223555097635168,0.9769231618946624,1.0330097087378642,1.0017121597146745,1.0746824619989475,0.5081184336198663,"{""ENSEMBLE_AMBIGUOUS"":17621,""LOST/TRANSITION"":4750,""MERGE"":1592,""SPLIT"":3883,""VALID_CANONICAL_BASE"":11821}",Same intake as B with an explicit non-substitutable temporal_state carried on every candidate.,False
C_TEMPORAL_STATE_STRATIFIED,C,holdout,39277,22,21,0.044,78.554,46.0,27.0,63.5,79,40908,0.9601300479123888,39247,6935,0.17670140392896272,0.17295960401308555,0.18050648596555044,0.17443141479178398,1.0130136486015915,415,406,0.9783132530120482,0.9593032680961141,0.988549413722463,0.9635550073483099,0.9926298536656042,415,396,0.9542168674698795,0.9296050265672041,0.9704968904242405,0.925872700854095,0.9782129979773108,1.0252525252525253,0.9961159356473146,1.0604857978588333,0.5062344139650873,"{""ENSEMBLE_AMBIGUOUS"":19347,""LOST/TRANSITION"":4072,""MERGE"":1069,""SPLIT"":2589,""VALID_CANONICAL_BASE"":12200}",Same intake as B with an explicit non-substitutable temporal_state carried on every candidate.,False
C_ENSEMBLE_AMBIGUOUS,C,total,41479,9671,492,19.342,82.958,2.0,1.0,5.0,62,121251,0.34209202398330735,41460,11000,0.2653159671972986,0.2610880808797979,0.26958733858594414,0.25125014440611954,1.0559833421167837,1599,546,0.34146341463414637,0.31862546815955173,0.36506127627178464,0.3197176696542894,0.3658013562179143,1599,470,0.2939337085678549,0.2721197806411015,0.31673537632191745,0.2662037473452079,0.32112623762376236,1.1617021276595747,1.0312995323217395,1.2938962803679388,0.5374015748031497,"{""ENSEMBLE_AMBIGUOUS"":41479}",Candidate-first intake currently in ENSEMBLE_AMBIGUOUS state; canonical_base remains null.,False
C_ENSEMBLE_AMBIGUOUS,C,discovery,4511,1196,413,2.392,9.022,2.0,1.0,5.0,55,39425,0.11441978440076093,4511,988,0.21902017291066284,0.20719294642612002,0.23132554350948048,0.22102432713528322,0.9909324269839596,643,53,0.08242612752721618,0.06356794532776405,0.10624408097765314,0.0625,0.10092868251499666,643,55,0.08553654743390357,0.06630484271404394,0.10969107911237572,0.06322948053660465,0.10837018680899732,0.9636363636363637,0.6525944290763711,1.4387385987384775,0.49074074074074076,"{""ENSEMBLE_AMBIGUOUS"":4511}",Candidate-first intake currently in ENSEMBLE_AMBIGUOUS state; canonical_base remains null.,False
C_ENSEMBLE_AMBIGUOUS,C,validation,17621,4497,482,8.994,35.242,2.0,1.0,5.0,48,40918,0.4306417713475732,17621,6471,0.3672322796663072,0.36014446824579627,0.374377966413705,0.3570555745637617,1.0285017398621463,541,276,0.5101663585951941,0.46811937437451934,0.552069984973812,0.4697862709935511,0.5594530392105598,541,209,0.38632162661737524,0.3462308426469868,0.4280154119125822,0.3308371157416959,0.43662230421153664,1.3205741626794258,1.128354747575941,1.5531405744816826,0.5690721649484536,"{""ENSEMBLE_AMBIGUOUS"":17621}",Candidate-first intake currently in ENSEMBLE_AMBIGUOUS state; canonical_base remains null.,False
C_ENSEMBLE_AMBIGUOUS,C,holdout,19347,3978,476,7.956,38.694,3.0,1.0,6.0,62,40908,0.47293927838075683,19328,3541,0.1832057119205298,0.17781527623686202,0.18872204892765718,0.17443141479178398,1.050302275763913,415,217,0.5228915662650603,0.47484705060933785,0.5705161759764379,0.467213287110707,0.5760221077208938,415,206,0.4963855421686747,0.4485356190395498,0.5443017662363804,0.44116624040920716,0.5507855265413405,1.0533980582524272,0.9187292487259144,1.2199838434082837,0.5130023640661938,"{""ENSEMBLE_AMBIGUOUS"":19347}",Candidate-first intake currently in ENSEMBLE_AMBIGUOUS state; canonical_base remains null.,False
C_PERSISTENT_AMBIGUITY_20,C,total,57090,1113,487,2.226,114.18,35.0,16.0,77.0,184,121251,0.47084147759606104,57060,15597,0.27334384858044164,0.26970239692911735,0.2770158165885297,0.25125014440611954,1.0879350904515699,1599,706,0.44152595372107567,0.41735583383429803,0.46597635789875896,0.4173372533474278,0.4678641453664687,1599,615,0.38461538461538464,0.3610731851355615,0.40871065844464183,0.35363351121151043,0.41420589424320825,1.1479674796747967,1.0434693646848623,1.2714033997310796,0.53444360333081,"{""ENSEMBLE_AMBIGUOUS"":36617,""LOST/TRANSITION"":6553,""MERGE"":2089,""SPLIT"":4889,""VALID_CANONICAL_BASE"":6942}","Candidate-first intake with ensemble ambiguity on at least 50% of the trailing 20 observations; fixed semantic boundary, not discovery-fitted.",False
C_PERSISTENT_AMBIGUITY_20,C,discovery,6244,412,384,0.824,12.488,46.5,16.75,90.0,184,39425,0.15837666455294863,6244,1422,0.22773862908392056,0.2175058716302425,0.23830618403581727,0.22102432713528322,1.030378112833379,643,70,0.1088646967340591,0.08707248894122512,0.13530264929271318,0.08715654510749447,0.13350142845302923,643,65,0.10108864696734059,0.08010670137780189,0.12680869805363015,0.07810568872720024,0.1294157379263762,1.076923076923077,0.7960790491750905,1.5214922401148796,0.5185185185185185,"{""ENSEMBLE_AMBIGUOUS"":4004,""LOST/TRANSITION"":709,""MERGE"":239,""SPLIT"":551,""VALID_CANONICAL_BASE"":741}","Candidate-first intake with ensemble ambiguity on at least 50% of the trailing 20 observations; fixed semantic boundary, not discovery-fitted.",False
C_PERSISTENT_AMBIGUITY_20,C,validation,25331,385,304,0.77,50.662,46.0,21.0,98.0,163,40918,0.6190674030988806,25331,9258,0.3654810311476057,0.3595715426593952,0.3714313131872808,0.3570555745637617,1.0235970453454983,541,353,0.6524953789279113,0.6114221290638372,0.6914182611611311,0.6047384406225723,0.6987238733840764,541,302,0.5582255083179297,0.516114679629733,0.599515287547073,0.5041544350224256,0.6159803858931766,1.1688741721854305,1.025258272844933,1.3395055924510584,0.5389312977099237,"{""ENSEMBLE_AMBIGUOUS"":15420,""LOST/TRANSITION"":3062,""MERGE"":1103,""SPLIT"":2602,""VALID_CANONICAL_BASE"":3144}","Candidate-first intake with ensemble ambiguity on at least 50% of the trailing 20 observations; fixed semantic boundary, not discovery-fitted.",False
C_PERSISTENT_AMBIGUITY_20,C,holdout,25515,316,264,0.632,51.03,23.0,11.0,39.0,82,40908,0.6237166324435318,25485,4917,0.19293702177751618,0.18813873946744003,0.19782785986641088,0.17443141479178398,1.1060910215503443,415,283,0.6819277108433734,0.6356258333121534,0.7248924411326958,0.631053682852244,0.7273829519210582,415,248,0.5975903614457831,0.5497234017845958,0.6436671957652902,0.5364921264503907,0.6507537688442211,1.1411290322580645,1.0327008107298707,1.2873624125126506,0.5329566854990584,"{""ENSEMBLE_AMBIGUOUS"":17193,""LOST/TRANSITION"":2782,""MERGE"":747,""SPLIT"":1736,""VALID_CANONICAL_BASE"":3057}","Candidate-first intake with ensemble ambiguity on at least 50% of the trailing 20 observations; fixed semantic boundary, not discovery-fitted.",False
D_ANY_1_BASE_FREE_COMPONENT,D,total,67296,10358,492,20.716,134.592,2.0,1.0,4.0,155,121251,0.5550139792661504,67272,17808,0.2647163753121655,0.26139600729756685,0.2680636127745726,0.25125014440611954,1.0535969081246745,1599,608,0.3802376485303315,0.35675766300303513,0.404291692257718,0.35611661002430706,0.40551145137542194,1599,695,0.4346466541588493,0.41053494720182554,0.4590716200292381,0.4068190893568868,0.4601067356410278,0.8748201438848922,0.7991383065338704,0.9507599643546605,0.46661550268610896,"{""ENSEMBLE_AMBIGUOUS"":31461,""LOST/TRANSITION"":7540,""MERGE"":2307,""SPLIT"":5460,""VALID_CANONICAL_BASE"":20528}",Candidate-first intake with at least one of four exactly observable base-free accumulation predicates true; sticky-base is unavailable unless canonical identity exists.,False
D_ANY_1_BASE_FREE_COMPONENT,D,discovery,6378,1871,489,3.742,12.756,2.0,1.0,4.0,155,39425,0.16177552314521243,6378,1469,0.23032298526183756,0.22015409373488437,0.24081653328603808,0.22102432713528322,1.04207074509433,643,42,0.06531881804043546,0.04868465664579716,0.0871159442941064,0.04731499794753144,0.08438564739846274,643,66,0.1026438569206843,0.08149665694158537,0.12851069025034795,0.07838240715794847,0.1270294494238156,0.6363636363636364,0.42688161229578997,0.9092924265748871,0.3888888888888889,"{""ENSEMBLE_AMBIGUOUS"":2964,""LOST/TRANSITION"":719,""MERGE"":208,""SPLIT"":503,""VALID_CANONICAL_BASE"":1984}",Candidate-first intake with at least one of four exactly observable base-free accumulation predicates true; sticky-base is unavailable unless canonical identity exists.,False
D_ANY_1_BASE_FREE_COMPONENT,D,validation,31117,4216,486,8.432,62.234,2.0,1.0,5.0,146,40918,0.7604721638398749,31117,10968,0.35247613844522285,0.34718650945378593,0.3578021871999225,0.3570555745637617,0.9871744444148958,541,310,0.5730129390018485,0.5309610757668892,0.614035232280217,0.5302124581175754,0.617519907100199,541,350,0.6469500924214417,0.6057708830110716,0.686057129387534,0.5951283404687897,0.6946294795797973,0.8857142857142858,0.8050281984012683,0.9749649126128659,0.4696969696969697,"{""ENSEMBLE_AMBIGUOUS"":13776,""LOST/TRANSITION"":3722,""MERGE"":1286,""SPLIT"":2980,""VALID_CANONICAL_BASE"":9353}",Candidate-first intake with at least one of four exactly observable base-free accumulation predicates true; sticky-base is unavailable unless canonical identity exists.,False
D_ANY_1_BASE_FREE_COMPONENT,D,holdout,29801,4271,469,8.542,59.602,2.0,1.0,3.0,78,40908,0.7284883152439621,29777,5371,0.1803741142492528,0.17604823539602502,0.1847824507912492,0.17443141479178398,1.0340689747002425,415,256,0.6168674698795181,0.5692253332518229,0.662365876159769,0.5634031959598711,0.6652466367713004,415,279,0.672289156626506,0.6257294573686313,0.7156885111453649,0.6218123097675706,0.7231722305215482,0.917562724014337,0.82502714838165,1.009510022244667,0.4785046728971963,"{""ENSEMBLE_AMBIGUOUS"":14721,""LOST/TRANSITION"":3099,""MERGE"":813,""SPLIT"":1977,""VALID_CANONICAL_BASE"":9191}",Candidate-first intake with at least one of four exactly observable base-free accumulation predicates true; sticky-base is unavailable unless canonical identity exists.,False
