id,baseline,common,only_candidate,only_base,common_weight_effect,common_price_exit_cost_effect,unique_candidate_pnl,missed_baseline_pnl,open_receivable_and_interaction_residual,total_nav_increment
R1_S1_D08_COST2_C_MAX,B_D08_C_MAX_COST2,284,34,69,-84041.90527432998,10740.11498072974,31187.391839999902,251600.7772939999,3.2014213502407074e-10,209486.3788403999
R1_S1_D08_DELAY1_C_MAX,B_D08_C_MAX_DELAY1,287,27,65,324.7970460455035,380.736920154633,86434.14880159986,93565.88712000014,9.313225746154785e-10,180705.56988780107
R3_HALF_D08_C_MAX,R1_LEVEL_D08_C_MAX_CA,183,43,76,-20779.812438011526,2539.019343511999,-1598.4889823999488,100602.27294000002,-5.093170329928398e-10,80762.99086310004
A_H02_C_10_E10,A_D05_C_10_E10,534,241,235,13135.621888699956,1.0540354025059353e-10,121481.28356130027,243142.51276870008,-20812.59897000069,356946.8192486997
C_H02_C_10_G_DOWN,A_H02_C_10_E10,485,152,290,-12296.861427099953,-4.045772198731881e-10,-65817.59306090022,-246589.01530050003,47073.33980520029,-277630.12998330034
C_H02_C_10_G_RAMP,A_H02_C_10_E10,274,128,501,-19378.553274199956,-1.9892281098080232e-10,-95292.88845130007,-319122.85796490003,-18218.015939999663,-452012.31563039985
R1_CURRENT_H02_C_10,C_H02_C_10_G_DOWN,529,118,108,37781.36041930003,1.671410121802152e-10,-71680.67368900002,-138505.19602179993,-4497.765395800234,-176902.27468729997
R1_S1_H02_C_10_CA,A_H02_C_10_E10,424,204,351,4046.062647900064,-3.4866964291966564e-10,-359233.01538240036,-222404.8393060001,22000.456129999424,-555591.3359105013
R1_S1_D08_C_10,A_D08_C_10_E10,317,29,66,-3121.5049498000017,1.8717879500638798e-11,116366.99016000002,-44414.490359999865,-7.275957614183426e-10,68830.99485019944
R1_S1_H01_C_10,A_H01_C_10_E10,275,12,87,17831.715514000032,-4.055876069542215e-11,-82942.95332480005,-220604.36259049986,2.9103830456733704e-10,-285715.60040129966
R1_S1_POOL_C_10,R0_POOL_C_10,416,234,374,93754.26488050015,-3.535951016398117e-10,-126245.08579440013,-385836.1553789001,39375.12935999798,-378951.84693280247
R4_S1_POOL_C_10,R1_S1_POOL_C_10,550,206,100,71622.99544125011,554.8598049501888,27688.505071100015,-132500.75403739983,-408.2361699992907,-33042.62989009882
R4_S1_H02_C_10_CA,R1_S1_H02_C_10_CA,536,178,92,29926.019545500083,-16084.019000799832,48267.73712489993,-69937.5071591999,-3.713559999378049,-7831.483049599105
R2_PRIORITY_GATE_C_10,R1_S1_POOL_C_10,590,58,60,-4118.383088200004,2.515287308695399e-10,153747.28905300016,-116626.76326999998,356.4485200003983,33358.591214800836
R2_PRIORITY_OPEN_C_10,R0_POOL_C_10,688,103,102,-28956.227977193954,-9.322234006691124,-31502.852104699814,114371.22076739995,-1081.9220400023478,52820.896411497146
R1_LEVEL_D08_C_10_CA,R1_S1_D08_C_10,256,27,90,794.1800095000099,1.83669452216212e-11,-49829.771237600085,-23262.178254199942,-3.7834979593753815e-10,-72297.76948230038
R4_LEVEL_D08_C_10_CA,R1_LEVEL_D08_C_10_CA,270,15,13,3873.4077064787903,-148171.47350757883,-25572.804346800025,32137.544110000003,-6.83940015733242e-10,-137733.32603790076
B_H02_C_10_COST2,A_H02_C_10_E10,733,38,42,25867.955009664503,-125580.52946356463,-14862.2325855999,-64185.1996577001,683.5570399995268,-178076.4496572006
B_H02_C_10_DELAY1,A_H02_C_10_E10,421,342,354,40501.56626124875,711601.958345551,-398980.704546,-663210.7674119001,1549.494029999245,-308538.45332110114
B_D08_C_10_COST2,A_D08_C_10_E10,377,4,6,9649.700981474241,-57789.899511474054,-14636.247149999996,-27709.259640000033,-1.280568540096283e-09,-90485.70532000111
B_D08_C_10_DELAY1,A_D08_C_10_E10,246,135,137,-11555.451940189667,365597.89202978974,184974.49274270004,-274172.693083,-2.153683453798294e-09,264844.23974929797
B_H01_C_10_COST2,A_H01_C_10_E10,361,1,1,4320.120520513406,-69005.5359578127,37158.912200000006,15359.22885,-1.1932570487260818e-09,-12167.27438730048
B_H01_C_10_DELAY1,A_H01_C_10_E10,250,135,112,52068.2323942059,577006.511297494,131926.08610319995,-602724.3014284997,-3511.4010000017006,154765.12736639846
B_D06_C_10_COST2,A_D06_C_10_E10,773,38,40,61250.76339249403,-78204.69384329398,-112423.8925307999,51153.450849600034,-2196.577300001052,-80420.94943200087
B_D06_C_10_DELAY1,A_D06_C_10_E10,443,366,370,-30736.48907274992,290421.70139285,-164356.5385722999,-41205.977963999816,-8257.198270000983,45865.497513799404
R1_S1_D08_COST2_C_10,R1_S1_D08_C_10,338,5,8,631.5437574711164,-50847.898759871096,12906.586540000033,-45166.407179999995,3.637978807091713e-10,-82476.17564239958
R1_S1_D08_DELAY1_C_10,R1_S1_D08_C_10,221,121,125,-3882.5592646106397,326225.0510111109,212590.24238549994,-239339.36628880008,-3.4924596548080444e-10,295593.36784319975
R1_S1_D08_C3_C_10,R1_S1_D08_C_10,344,14,2,-108.83024399999886,-1.9614889137129581e-10,-25128.263150000028,-30452.004080000013,9.822542779147625e-10,-55689.09747399925
R1_LEVEL_D08_COST2_C_10,R1_LEVEL_D08_C_10_CA,277,5,6,5387.5646772193995,-39822.07286851933,9880.755280000012,-52247.336570000014,8.87666828930378e-10,-76801.08948129904
R1_LEVEL_D08_DELAY1_C_10,R1_LEVEL_D08_C_10_CA,172,106,111,599.0205350851802,270130.35536201467,315396.7606381001,-235713.93071199997,1.2514647096395493e-09,350412.2058232012
R1_LEVEL_D08_C3_C_10,R1_LEVEL_D08_C_10_CA,275,13,8,-316.0384963000047,-2.045386272641993e-11,27089.490040000004,14862.616963599998,1.6443664208054543e-09,41636.06850730162
R1_S1_D08_COST2_C_10,B_D08_C_10_COST2,317,26,64,-4703.686060200006,7.611824559333131e-11,104197.18747999998,-22652.976891999977,9.022187441587448e-10,76840.52452780097
R1_S1_D08_DELAY1_C_10,B_D08_C_10_DELAY1,315,27,66,8430.1609179,8.541025819698268e-11,118828.44155619999,-27678.47952999994,1.076841726899147e-09,99580.12294410123
R3_HALF_D08_C_10,R1_LEVEL_D08_C_10_CA,213,29,70,9578.176130951902,-257.8412202519012,5260.591870000026,-39416.84199199997,9.74978320300579e-10,-24835.91521129897
