state,days,cash_account_daily_pnl,mean_exposure,route,capital
HIGH_NONIMPROVING,217,-130254.00978149998,0.736562585842076,D02,C_10
LOW_IMPROVING,253,-383918.04544710077,0.7422470520035034,D02,C_10
LOW_NONIMPROVING,304,171594.95185019972,0.6075626149714083,D02,C_10
HIGH_IMPROVING,196,-74703.9753393995,0.8074046091041863,D03,C_10
HIGH_NONIMPROVING,217,-276025.05281960015,0.7967817124618795,D03,C_10
LOW_IMPROVING,253,-105679.94411139993,0.813387836801404,D03,C_10
LOW_NONIMPROVING,304,-276345.9774465,0.8006307540738191,D03,C_10
HIGH_IMPROVING,196,-82513.90761899954,0.7877407479876287,D04,C_10
HIGH_NONIMPROVING,217,-217232.3280435006,0.7611111252153473,D04,C_10
LOW_IMPROVING,253,-208894.12718860013,0.7560442654955158,D04,C_10
LOW_NONIMPROVING,304,-177671.65021719952,0.7717679359376881,D04,C_10
HIGH_IMPROVING,196,25057.683241100167,0.8035155979892741,D05,C_10
HIGH_NONIMPROVING,217,63001.911511300365,0.766032585697389,D05,C_10
LOW_IMPROVING,253,-25278.71573020052,0.7625635109556783,D05,C_10
LOW_NONIMPROVING,304,-79055.65116779949,0.7477296455308945,D05,C_10
HIGH_IMPROVING,196,74382.60890180018,0.8122494404071072,D06,C_10
HIGH_NONIMPROVING,217,-85838.3786720999,0.8049796800649004,D06,C_10
LOW_IMPROVING,253,-156115.49542139994,0.8220677413094433,D06,C_10
LOW_NONIMPROVING,304,-311686.8465422001,0.7808275565976805,D06,C_10
HIGH_IMPROVING,196,-205632.43888040027,0.7788548086400525,D07,C_10
HIGH_NONIMPROVING,217,-83957.35690789961,0.7824556856994446,D07,C_10
LOW_IMPROVING,253,-96793.58770049887,0.7310377052668667,D07,C_10
LOW_NONIMPROVING,304,-64894.761553600896,0.7568752104717568,D07,C_10
HIGH_IMPROVING,196,-86962.95067200111,0.5711903494056231,D08,C_10
HIGH_NONIMPROVING,217,335370.82830840023,0.5794035783756655,D08,C_10
LOW_IMPROVING,253,-77736.19682559953,0.2024348424154011,D08,C_10
LOW_NONIMPROVING,304,-19133.560965399025,0.22847699715323735,D08,C_10
HIGH_IMPROVING,196,-108334.42854110012,0.7392741741935694,D09,C_10
HIGH_NONIMPROVING,217,-97038.61628120008,0.7012101197340379,D09,C_10
LOW_IMPROVING,253,-456128.84309130034,0.6844112655917176,D09,C_10
LOW_NONIMPROVING,304,171120.4403807997,0.6014159437179626,D09,C_10
HIGH_IMPROVING,196,-6418.919988200301,0.4040954859779689,H01,C_10
HIGH_NONIMPROVING,217,-32712.746344599756,0.4265448585901215,H01,C_10
LOW_IMPROVING,253,-80518.64392560022,0.30288907880956184,H01,C_10
LOW_NONIMPROVING,304,298640.55971230066,0.3280634369727186,H01,C_10
HIGH_IMPROVING,196,102308.54919669905,0.8081366227976654,H02,C_10
HIGH_NONIMPROVING,217,240281.80585190014,0.7566921391926962,H02,C_10
LOW_IMPROVING,253,116047.48637879873,0.7475256862858684,H02,C_10
LOW_NONIMPROVING,304,-117965.79432429769,0.7478888117594973,H02,C_10
