route,capital,state_definition,state,board,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D01,C_MAX,S0_CURRENT,BEAR,STAR,26,20,8,0.6538461538461539,17,-0.01141191965518226,-0.016304864256861357,-27893.473899899982,0.4117647058823529,0.5770304102926772,-0.0981624552145418,0.08648673202668242,-0.08172633305814063,10.0,26,7,25724.277009399982,2,0
D01,C_MAX,S0_CURRENT,BULL,CHINEXT_10,221,68,6,0.48868778280542985,108,0.004614565730958447,0.0040977686272589825,41593.85799999979,0.4537037037037037,1.0776423405540503,-0.16871661694784235,0.11680520854068208,-0.1023957580485015,10.0,221,23,115550.27463999997,0,0
D01,C_MAX,S0_CURRENT,BULL,CHINEXT_20,276,167,13,0.572463768115942,158,-0.008058652826684614,-0.010570422433632556,-147846.62533000007,0.44936708860759494,0.8039000783794312,-0.18349742404463207,0.09263299434972773,-0.08814437674905522,10.0,276,44,-115444.41566399997,31,0
D01,C_MAX,S0_CURRENT,BULL,MAIN,1880,389,20,0.4787234042553192,899,-0.0032689770157737254,-0.0032166247545717254,-268901.1844680011,0.4671857619577308,0.9354392857734934,-0.1859251194254656,0.10038572567320113,-0.09014125958824866,10.005561735261402,1880,256,161230.70182599968,91,0
D01,C_MAX,S0_CURRENT,BULL,STAR,78,64,11,0.48717948717948717,37,-0.004917216140717894,-0.0034951948319120935,-12436.469881699988,0.5675675675675675,0.9217594967003991,-0.15241951464937714,0.11827899270936733,-0.08091478939609818,10.0,78,9,-31758.396489099985,20,0
D01,C_MAX,S0_CURRENT,TRANSITION,CHINEXT_10,72,29,7,0.6805555555555556,49,0.02636403526644985,0.02642371168315443,117549.27225999981,0.673469387755102,1.8082123039133886,-0.16434196211792576,0.10411634701277905,-0.080550538454698,10.0,72,11,-68722.96888000001,1,0
D01,C_MAX,S0_CURRENT,TRANSITION,CHINEXT_20,191,92,18,0.643979057591623,119,0.0046678773796724905,0.0013955998805805219,8611.084735999837,0.453781512605042,1.0162789614922512,-0.21222774273559705,0.11736017897119813,-0.08305051732780784,10.0,191,32,-112340.7277800001,13,0
D01,C_MAX,S0_CURRENT,TRANSITION,MAIN,820,236,33,0.5304878048780488,433,-0.003969812490658459,-0.007750590628928494,-318501.2358879998,0.4295612009237875,0.831120102555389,-0.16518262261230085,0.08335343536001642,-0.07996351624285655,10.020785219399539,820,143,-136213.09023400006,33,0
D01,C_MAX,S0_CURRENT,TRANSITION,STAR,48,41,13,0.625,30,0.027516753938185427,0.0277243666558418,81771.188996,0.6,2.4896868335065103,-0.099917495847318,0.10245708490668211,-0.04747184819263115,10.0,48,8,45600.30094810004,7,0
D01,C_MAX,S1,HIGH_IMPROVING,CHINEXT_10,126,37,7,0.4444444444444444,56,-0.0050842320610428576,-0.00893475049576505,-46470.733240000045,0.5,0.8518602461991858,-0.18039739651207282,0.12600672302385993,-0.09051674636150883,10.0,126,6,13917.243120000014,0,0
D01,C_MAX,S1,HIGH_IMPROVING,CHINEXT_20,164,84,28,0.5975609756097561,98,0.009104501616863058,-0.0014859987475976343,-13303.016473999945,0.46938775510204084,0.9688170386662078,-0.18467379272389858,0.09449434445920091,-0.07723814211120435,10.0,164,23,25870.244106000013,21,0
D01,C_MAX,S1,HIGH_IMPROVING,MAIN,1001,181,50,0.45854145854145856,459,-0.005218061150097288,-0.0026483294891780046,-118573.69213000053,0.4749455337690632,0.9436074395374251,-0.19563629044775582,0.1052910307644851,-0.08527378429568472,10.002178649237473,1001,119,-19225.940860000024,38,0
D01,C_MAX,S1,HIGH_IMPROVING,STAR,37,32,17,0.5675675675675675,21,0.006533441953600552,0.008062835264075138,17025.537362299903,0.5238095238095238,1.2354453774223857,-0.15600580358777494,0.08776512897189162,-0.06646325844640767,10.0,37,5,1812.4837367000382,5,0
D01,C_MAX,S1,HIGH_NONIMPROVING,CHINEXT_10,96,31,6,0.5625,54,0.003608810775849326,0.009450918093006378,43887.60579999983,0.42592592592592593,1.207826445401146,-0.12203360714220357,0.09895597438456408,-0.11057035508910884,10.0,96,15,-6924.624920000089,0,0
D01,C_MAX,S1,HIGH_NONIMPROVING,CHINEXT_20,109,74,22,0.5688073394495413,62,-0.0025778847084413276,-0.00862968461354966,-45452.01095600003,0.3870967741935484,0.8469379134976283,-0.1458918340319972,0.09726118602906421,-0.08456505501596279,10.0,109,24,-131775.83075999995,4,0
D01,C_MAX,S1,HIGH_NONIMPROVING,MAIN,762,181,47,0.4816272965879265,367,-0.011981390130641794,-0.009264333118793782,-310941.60828800016,0.40054495912806537,0.8286125976750525,-0.1698954912772275,0.0895355143713722,-0.09463666198139196,10.0,762,119,65514.41577599982,31,0
D01,C_MAX,S1,HIGH_NONIMPROVING,STAR,28,21,13,0.5357142857142857,15,0.04256632065373298,0.04102010281007292,60214.437005200045,0.7333333333333333,2.6384907665360147,-0.10815605496608187,0.1401241853682489,-0.05407837517187944,10.0,28,4,-10935.141798900015,4,0
D01,C_MAX,S1,LOW_IMPROVING,CHINEXT_10,62,21,3,0.6290322580645161,39,0.08012430557259213,0.05006628180548495,185257.08433999986,0.6666666666666666,2.7628174062498077,-0.12083145418503723,0.1137633642798623,-0.07261974357960052,10.0,62,8,127434.23304000004,1,0
D01,C_MAX,S1,LOW_IMPROVING,CHINEXT_20,187,98,33,0.6310160427807486,117,-0.020496733207200055,-0.020341126689174156,-223893.03154500015,0.4017094017094017,0.637145270991613,-0.21237528514989987,0.10719305373288873,-0.09784815862899128,10.0,187,35,-274067.64059700014,28,0
D01,C_MAX,S1,LOW_IMPROVING,MAIN,937,215,44,0.5720384204909285,536,-0.009930176078324901,-0.00272669605778016,-141725.72388500045,0.4608208955223881,0.9364992164100051,-0.16859667133943268,0.08910184957364507,-0.08018778200474967,10.014925373134329,937,148,-202719.34929600032,57,0
D01,C_MAX,S1,LOW_IMPROVING,STAR,54,42,20,0.5185185185185185,28,-0.012647881613423551,-0.012635185251159985,-34627.25416189994,0.5,0.6741167964700809,-0.13005514112199035,0.10998183212805758,-0.0788274671028925,10.0,54,5,14242.4223388,9,0
D01,C_MAX,S1,LOW_NONIMPROVING,CHINEXT_10,27,18,5,0.6296296296296297,17,-0.003782745589972531,0.007256422774264339,9420.589599999948,0.5294117647058824,1.1000783897897366,-0.19635637535806577,0.11039777778597311,-0.11150974440552121,10.0,27,5,-87599.54548000002,1,27
D01,C_MAX,S1,LOW_NONIMPROVING,CHINEXT_20,150,80,28,0.5733333333333334,83,-0.0076831391935940655,0.0095492465563857,66524.65063599971,0.5060240963855421,1.1749456101952613,-0.21529709277938425,0.13377051128358747,-0.09590378790726259,10.0,150,25,-5308.433000000106,3,150
D01,C_MAX,S1,LOW_NONIMPROVING,MAIN,656,201,52,0.5167682926829268,336,0.009449442997964866,0.004961877740823898,165433.04894199956,0.5148809523809523,1.1268615813761254,-0.16951005944107173,0.0963555509130668,-0.07893376053047521,10.026785714285714,656,131,-81257.61583000005,21,656
D01,C_MAX,S1,LOW_NONIMPROVING,STAR,33,30,18,0.6363636363636364,20,0.0031932679368878777,-0.0002804898568164217,-1171.4749911999825,0.5,0.9818295613463905,-0.11015446597153897,0.09479439666907927,-0.06966385907946074,10.0,33,10,34446.41719180002,11,33
D02,C_MAX,S0,BEAR,CHINEXT_10,25,10,2,0.68,17,0.03555538973218322,0.027316626552450582,43836.40813999993,0.5294117647058824,1.7473709408976108,-0.13022431240520926,0.09238488748802508,-0.0870926909715983,10.0,25,1,44938.02600000001,0,0
D02,C_MAX,S0,BEAR,CHINEXT_20,150,79,8,0.6,90,-0.011967791890422763,-0.002155198245152936,-21760.463475000186,0.4222222222222222,0.9504452509191195,-0.21419576100823426,0.13227337541413994,-0.09613149056777716,10.0,150,28,-215861.97105300013,13,0
D02,C_MAX,S0,BEAR,MAIN,686,158,14,0.5524781341107872,379,-0.010379049934230108,0.00627495851511741,232817.92190299946,0.48812664907651715,1.162654625624134,-0.15392376955889497,0.09679848708628598,-0.07534048196257513,10.010554089709762,686,113,-235028.23820900003,22,0
D02,C_MAX,S0,BEAR,STAR,27,21,9,0.6296296296296297,17,-0.010272316644012442,-0.015299332188182106,-26221.622761799998,0.4117647058823529,0.5733113896160723,-0.0981624552145418,0.08367804472933081,-0.07801801602595795,10.0,27,6,17198.205525599995,2,0
D02,C_MAX,S0,BULL,CHINEXT_10,212,67,6,0.5,106,0.007832694475046503,0.007187089257083459,72719.2284399998,0.46226415094339623,1.139207501259836,-0.16875235553001808,0.119994109781406,-0.10302038396608282,10.0,212,23,114916.11812000006,0,0
D02,C_MAX,S0,BULL,CHINEXT_20,265,160,12,0.5660377358490566,150,-0.007304835509753772,-0.010272781226918416,-135471.72323000006,0.4533333333333333,0.8099013897514794,-0.18301904941526126,0.09194478014963257,-0.088260962544338,10.0,265,38,-157866.64561999994,31,0
D02,C_MAX,S0,BULL,MAIN,1826,382,19,0.47426067907995617,864,-0.0036609163421248113,-0.004479930149762604,-369457.880398001,0.4618055555555556,0.9092641511553585,-0.18557007716163654,0.1004075795478162,-0.09134430631777704,10.005787037037036,1826,239,86140.924173,91,0
D02,C_MAX,S0,BULL,STAR,74,61,10,0.4594594594594595,33,-0.00788695385987618,-0.005088505671024103,-16038.756535100008,0.5454545454545454,0.8906488090603103,-0.15331608688397658,0.11094004680073427,-0.08359708021377943,10.0,74,10,5065.16920339995,18,0
D02,C_MAX,S0,TRANSITION,CHINEXT_10,74,30,7,0.581081081081081,43,0.019268231550509895,0.019993804981241908,75538.90991999985,0.6511627906976745,1.5280267723620036,-0.18105115713547223,0.10287473979658901,-0.07829851578215587,10.0,74,14,2413.318719999901,1,0
D02,C_MAX,S0,TRANSITION,CHINEXT_20,195,97,19,0.6358974358974359,120,0.00011957951486490668,-0.004442563797137365,-58891.22163400011,0.44166666666666665,0.8965178608998647,-0.21215397152844565,0.11032381836976611,-0.08608034800859875,10.0,195,36,-167601.70435000004,12,0
D02,C_MAX,S0,TRANSITION,MAIN,844,238,34,0.5402843601895735,455,-0.0029231730302210195,-0.006412002822017505,-269168.0168659999,0.44175824175824174,0.8619415470406142,-0.16884751220570565,0.08326021546910083,-0.07889932595450616,10.01978021978022,844,156,-142153.7938240002,33,0
D02,C_MAX,S0,TRANSITION,STAR,51,43,15,0.6666666666666666,34,0.02672600944351328,0.025095159790316318,83701.62451130003,0.6176470588235294,2.1679674433561216,-0.10959258867046025,0.11284592403170005,-0.050657070468439744,10.0,51,10,77483.73111310002,6,0
D02,C_MAX,S0_CURRENT,BEAR,CHINEXT_10,18,10,2,0.5,9,0.03977257245926264,0.03873631584637457,32951.41623999998,0.4444444444444444,1.7674090314261297,-0.14335116803217524,0.11076322326210579,-0.08465048578180974,10.0,18,1,44938.02600000001,0,0
D02,C_MAX,S0_CURRENT,BEAR,CHINEXT_20,143,77,8,0.5804195804195804,83,-0.015621387590937695,-0.009204124373893357,-76887.86774500016,0.40963855421686746,0.8244365030412304,-0.2176073187165484,0.12449764589469707,-0.10133490608942929,10.0,143,27,-212371.81425300014,13,0
D02,C_MAX,S0_CURRENT,BEAR,MAIN,656,153,13,0.5579268292682927,366,-0.010180897925188741,0.005021420056018203,181594.44499499945,0.4890710382513661,1.1295461735950896,-0.15792695204636098,0.09558297399552333,-0.07572000472317822,10.010928961748634,656,119,-236655.28878300014,22,0
D02,C_MAX,S0_CURRENT,BEAR,STAR,26,20,8,0.6538461538461539,17,-0.01141191965518226,-0.016304864256861357,-27893.473899899982,0.4117647058823529,0.5770304102926772,-0.0981624552145418,0.08648673202668242,-0.08172633305814063,10.0,26,8,26985.931364199983,1,0
