id,reference,original_return,corrected_return,delta_return,original_signals,corrected_signals,status,resolved_by,resolved_return
FIX_E_P0_POOL_C_MAX_E10,E_P0_POOL_C_MAX_E10,-0.6120866121599999,-0.6975105069902006,-0.0854238948302006,50566,50165,COMPLETED,,
FIX_E_P0_POOL_C_MAX_EST,E_P0_POOL_C_MAX_EST,-0.8106263379689009,-0.7827268845985,0.0278994533704008,50566,50165,COMPLETED,,
FIX_E_P0_POOL_C_10_E10,E_P0_POOL_C_10_E10,-0.632767682319901,-0.7075824627716002,-0.0748147804516992,50566,50165,COMPLETED,,
FIX_E_P0_POOL_C_10_EST,E_P0_POOL_C_10_EST,-0.7391133599116011,-0.7473991524201011,-0.0082857925085,50566,50165,COMPLETED,,
FIX_E_P0_POOL_C_ONE_E10,E_P0_POOL_C_ONE_E10,-0.7373111692099995,-0.3775574613500009,0.3597537078599986,50566,50165,COMPLETED,,
FIX_E_P0_POOL_C_ONE_EST,E_P0_POOL_C_ONE_EST,-0.8530071586900005,-0.6360168619700005,0.21699029672,50566,50165,COMPLETED,,
FIX_E_P1_BALANCED_C_MAX_E10,E_P1_BALANCED_C_MAX_E10,-0.7227210455851998,,,51566,51144,BLOCKED_INPUT,FIX_E_P1_BALANCED_C_MAX_E10_CA,-0.7457971192493997
FIX_E_P1_BALANCED_C_MAX_EST,E_P1_BALANCED_C_MAX_EST,-0.6929127751904003,-0.712658041437801,-0.0197452662474006,51566,51144,COMPLETED,,
FIX_E_P1_BALANCED_C_10_E10,E_P1_BALANCED_C_10_E10,-0.6857498076153999,-0.5347317292822997,0.1510180783331002,51566,51144,COMPLETED,,
FIX_E_P1_BALANCED_C_10_EST,E_P1_BALANCED_C_10_EST,-0.6621274675125999,-0.5696453670084998,0.0924821005041001,51566,51144,COMPLETED,,
FIX_E_P1_BALANCED_C_ONE_E10,E_P1_BALANCED_C_ONE_E10,-0.0986000265343999,-0.0986000265343999,0.0,51566,51144,COMPLETED,,
FIX_E_P1_BALANCED_C_ONE_EST,E_P1_BALANCED_C_ONE_EST,0.4610497316998967,0.3984292447498962,-0.0626204869500004,51566,51144,COMPLETED,,
FIX_E_P2_PHASE_C_MAX_E10,E_P2_PHASE_C_MAX_E10,-0.560091306388101,-0.5293430655332001,0.0307482408549009,50566,50165,COMPLETED,,
FIX_E_P2_PHASE_C_MAX_EST,E_P2_PHASE_C_MAX_EST,-0.7201321522047013,-0.720444129186101,-0.0003119769813997,50566,50165,COMPLETED,,
FIX_E_P2_PHASE_C_10_E10,E_P2_PHASE_C_10_E10,-0.5317268466853002,-0.5261735947471009,0.0055532519381993,50566,50165,COMPLETED,,
FIX_E_P2_PHASE_C_10_EST,E_P2_PHASE_C_10_EST,-0.700533656274601,-0.6947660459714007,0.0057676103032002,50566,50165,COMPLETED,,
FIX_E_P2_PHASE_C_ONE_E10,E_P2_PHASE_C_ONE_E10,-0.6040829074650998,-0.6040829074650998,0.0,50566,50165,COMPLETED,,
FIX_E_P2_PHASE_C_ONE_EST,E_P2_PHASE_C_ONE_EST,-0.8448597426202011,-0.8523847756668013,-0.0075250330466001,50566,50165,COMPLETED,,
FIX_E_P3_CORROBORATE_C_MAX_E10,E_P3_CORROBORATE_C_MAX_E10,-0.4524769647725012,-0.4001628539191002,0.0523141108534009,3348,3017,COMPLETED,,
FIX_E_P3_CORROBORATE_C_MAX_EST,E_P3_CORROBORATE_C_MAX_EST,-0.5789105672223,-0.2233803331025995,0.3555302341197005,3348,3017,COMPLETED,,
FIX_E_P3_CORROBORATE_C_10_E10,E_P3_CORROBORATE_C_10_E10,-0.4132148833228001,-0.3815981432467012,0.0316167400760988,3348,3017,COMPLETED,,
FIX_E_P3_CORROBORATE_C_10_EST,E_P3_CORROBORATE_C_10_EST,-0.6050676590247015,-0.5920020611334996,0.0130655978912018,3348,3017,COMPLETED,,
FIX_E_P3_CORROBORATE_C_ONE_E10,E_P3_CORROBORATE_C_ONE_E10,-0.6303160766133011,-0.3920351656789002,0.2382809109344009,3348,3017,COMPLETED,,
FIX_E_P3_CORROBORATE_C_ONE_EST,E_P3_CORROBORATE_C_ONE_EST,2.926224581616399,2.1438801573084008,-0.7823444243079987,3348,3017,COMPLETED,,
