route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D03,C_MAX,S0_CURRENT,BEAR,2705,206,14,0.6258780036968576,1692,-0.008203443786507026,-0.011812567464679404,-1928807.1211652008,0.4107565011820331,0.7357801457289029,-0.1765625341144487,0.08336779064548877,-0.07400454151720946,10.022458628841608,2705,181,-158691.40468030004,15,0
D03,C_MAX,S0_CURRENT,BULL,6683,432,22,0.5798294179260811,3869,-0.007254020950241384,-0.006711424672526559,-2536760.6656784015,0.40992504523132595,0.8377326106038318,-0.153963012537117,0.08329800152467785,-0.07272598603248967,10.00620315326958,6683,374,-522381.28047130007,17,0
D03,C_MAX,S0_CURRENT,TRANSITION,4637,300,36,0.6126806124649558,2766,-0.009053564837436901,-0.005736047154387806,-1564717.0988984013,0.4378163412870571,0.8402402468454532,-0.14019082689203577,0.0769533988683925,-0.06812405989076449,10.005422993492408,4637,262,-143858.7048674,11,0
D03,C_MAX,S1,HIGH_IMPROVING,3265,192,51,0.5920367534456356,1930,-0.012435087549868204,-0.003068566191859598,-583296.4893591012,0.43212435233160623,0.9203964724019197,-0.15587876238558745,0.08623470446386775,-0.06834886917537374,10.006735751295336,3265,168,-263605.84318180004,11,0
D03,C_MAX,S1,HIGH_NONIMPROVING,3719,211,51,0.6052702339338532,2249,-0.00384486303738556,-0.006119700132282335,-1319607.7444995004,0.4032903512672299,0.8382185453023774,-0.13511592232843778,0.07602704862556096,-0.0670950055741627,10.003112494441973,3719,185,-170269.52363389998,9,0
D03,C_MAX,S1,LOW_IMPROVING,3544,249,46,0.5979119638826185,2111,-0.007353464285082693,-0.010961671620138351,-2282940.259226501,0.4073898626243487,0.7446163559483815,-0.16297274868507775,0.08033734838679317,-0.07666342620660117,10.01847465656087,3544,216,-152256.57218730001,14,0
D03,C_MAX,S1,LOW_NONIMPROVING,3497,286,55,0.6022304832713755,2037,-0.00873174334647584,-0.009324322778289353,-1844440.3926569012,0.4374079528718704,0.7778826456385665,-0.16001622094205684,0.08305420546020986,-0.07382287486390635,10.008836524300442,3497,248,-238799.45101600004,9,3497
D04,C_MAX,S0,BEAR,1155,183,13,0.6216450216450217,717,-0.009165500869582476,-0.010405209043477125,-733800.5950704002,0.4198047419804742,0.7717282731629117,-0.18973008186651902,0.08546411569642076,-0.07478769152701605,10.051603905160391,1155,166,-164062.1845189999,39,0
D04,C_MAX,S0,BULL,2554,399,20,0.572435395458105,1457,-0.011730710453349736,-0.009759268512911123,-1358305.4573555007,0.40494166094715167,0.7805152936692461,-0.16253443682080645,0.08344318517092338,-0.07674860917588976,10.010295126973233,2554,335,-424220.5382657998,39,0
D04,C_MAX,S0,TRANSITION,1874,283,35,0.6141942369263608,1126,-0.004606298785568981,-0.0045540098729034,-497073.0408032007,0.44316163410301956,0.8705896287245469,-0.14015414446037938,0.07722417436728204,-0.06538818900898652,10.00266429840142,1874,265,-125488.31450389998,14,0
