id,baseline,net_return_difference,cagr_difference,maxdd_difference,mean_exposure_difference,mean_exposure_ratio,bootstrap_cagr_diff_p025,bootstrap_cagr_diff_p975,bootstrap_positive_fraction,mean_daily_difference,exposure_scaled_base_annual_mean_difference,market_and_exposure_regression_intercept_ann,inference_grade
D_H02_C_MAX_R_STAGE,D_H02_C_MAX_R_ONCE,-0.22192142033650075,-0.06546257234140196,-0.0922559040152594,-0.0032009828504543925,0.989179623014777,-0.12392525740616876,-0.014869690884868322,0.007,-0.00028016792283787643,-0.07065188926815864,-0.05420380450764268,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_H02_C_10_R_ONCE,A_H02_C_10_EST,0.4515450810816988,0.17127875438316098,0.4311342608084434,-0.4503978190156867,0.3846906177422066,0.041181145613506914,0.26657869679063134,0.994,0.0007039814443001152,0.0453765125666151,0.1959925876067871,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_H02_C_10_R_STAGE,D_H02_C_10_R_ONCE,-0.11013476861019889,-0.03394444006205821,-0.08494120235746527,0.005153270360321538,1.0183007375075093,-0.07395359075942294,0.0051485762891613565,0.048,-0.00014564990654064924,-0.0360236025170671,-0.029004086976713576,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_H02_C_ONE_R_ONCE,A_H02_C_ONE_EST,-0.14345815965599984,-0.03467153656575439,0.3624814220191699,-0.3524054579067829,0.24146417077200452,-0.4971414352427841,0.2325390871892233,0.432,-0.0004699102999212849,-0.020372401216547775,-0.102577133469833,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_H02_C_ONE_R_STAGE,D_H02_C_ONE_R_ONCE,-0.018952699165700304,-0.004842788890747851,0.06609177822191503,-0.04971810214451284,0.5568045247969439,-0.04307222659668924,0.026244470220932438,0.407,-2.6686429125809734e-05,-0.0019215424531180106,-0.0016809724245108754,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_MAX_E10,A_D02_C_MAX_E10,-0.03245007119989968,-0.01649087347231193,-0.006710670039229649,0.052043314001132046,1.0644730632071246,-0.2501895682841825,0.194120246328507,0.423,-0.00015591583364993791,-0.028024815494156783,-0.07875605165292403,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_MAX_EST,A_D02_C_MAX_EST,-0.17919647725580082,-0.12257543321591169,-0.11506335168159543,0.06288699654039309,1.081940873225126,-0.3640045840968804,0.11072280685041587,0.133,-0.0007873799257917085,-0.18191095982410196,-0.21650990098463807,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_10_E10,A_D02_C_10_E10,-0.22722815255719997,-0.10275399916773731,-0.20269045596036783,0.12343045265966335,1.1748764858525338,-0.2570092532934769,0.04768363656184593,0.091,-0.0004979964663042171,-0.10700232611989126,-0.15691437685857118,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_10_EST,A_D02_C_10_EST,-0.24526534718610182,-0.13252610487580785,-0.22863774761633626,0.16372298245093087,1.251390128242421,-0.32741753887332326,0.059865616876608116,0.074,-0.0006754940350618726,-0.13271644401663066,-0.21087966226585234,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_ONE_E10,A_D02_C_ONE_E10,-0.30792185764399926,-0.15776642338611302,-0.09247745177708089,0.10980379351246372,1.2012934648015794,-0.5018922560921277,0.21570309506776006,0.222,-0.0007991396440607316,-0.19083561186167503,-0.27618607583708205,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P0_POOL_C_ONE_EST,A_D02_C_ONE_EST,-1.1174025214186007,-0.4551703391260419,-0.4119316043869836,0.2010793681989907,1.4044262603358755,-0.902281818274649,-0.03612231110083167,0.017,-0.002159126284932806,-0.6065263072100743,-0.6518284471815861,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_MAX_E10,E_P0_POOL_C_MAX_E10,-0.11063443342519996,-0.0653141742541361,-0.05914719820198977,0.0010469852283638836,1.001218482340697,-0.19598901370750765,0.04790880933992539,0.139,-0.00034866337660653077,-0.08760237908298066,-0.07088385195198617,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_MAX_EST,E_P0_POOL_C_MAX_EST,0.11771356277850056,0.08684653271989595,0.11355127679131016,0.00596746634884715,1.0071866448805922,-0.03326248438401005,0.2049579583112511,0.93,0.0004940800260695322,0.12738204561603025,0.12919797103452113,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_10_E10,E_P0_POOL_C_10_E10,-0.05298212529549895,-0.03057913783321886,-0.008870147579466026,-0.004360374178620674,0.9947417571114684,-0.1378733980853798,0.07625135761374344,0.308,-0.0001631438807827792,-0.04232818873246732,-0.03157350147724742,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_10_EST,E_P0_POOL_C_10_EST,0.07698589239900117,0.04901119809507237,0.08332406453317154,0.0055615503038507486,1.0068240424103965,-0.0696310154527494,0.16427154973067828,0.787,0.0002656299973080685,0.06911854316223083,0.07637604570089523,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_ONE_E10,E_P0_POOL_C_ONE_E10,0.6387111426755996,0.26679074278433346,0.11881478393965961,-0.16669021523766414,0.7456256459199205,-0.08998468509058,0.6434382291287079,0.916,0.0011945806825138965,0.23647864850384986,0.36754074945806514,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P1_BALANCED_C_ONE_EST,E_P0_POOL_C_ONE_EST,1.3140568903898973,0.4958455332552082,0.19013594117857713,-0.21814970106378223,0.6875881372218887,0.026150487400060513,1.2187742110630557,0.984,0.002308800260269268,0.4600577386766253,0.6663381454931896,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P2_PHASE_C_MAX_E10,E_P0_POOL_C_MAX_E10,0.051995305771898925,0.02597342111553602,0.05128377099271808,-0.008577131152490591,0.9900179271301803,-0.16977863463837223,0.19413960788205692,0.646,0.00013672221419060282,0.032317534538883474,0.05008693217777993,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
