trade_id,baseline_block,symbol,entry_year,entry_industry,outcome_class,return_5d,residual_return_after_5d,return_10d,residual_return_after_10d,return_20d,residual_return_after_20d,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason,extreme_winner,severe_loss
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025,电网设备,ordinary_loser,0.03125,-0.044352524722867326,0.0079166666666667003,-0.022229226411367042,,,-0.0144885411204569,-2192.4520000000002,19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024,医疗器械,ordinary_loser,0.0388349514563106,-0.038851732728144794,0.0025889967637539001,-0.0041039580559535382,,,-0.0015255864263252,-158.07899999999609,11,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025,医疗器械,ordinary_loser,-0.020467836257309802,-0.026118614039391308,-0.029970760233917901,-0.016577952383409644,,,-0.046051858781275101,-7585.3190000000013,12,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025,生物制品,ordinary_loser,-0.0067189249720044,-0.050367636028693319,0.0022396416573346001,-0.058855970008324987,,,-0.056748144633203802,-9030.2169999999824,13,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025,电池,ordinary_loser,0.0062224006423123,-0.025632774333307018,0.0114411882778,-0.030660269444903299,,,-0.019569871082470401,-3024.0219999999972,15,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024,软件开发,extreme_winner,0.95738756223103516,0.14819490980201433,0.53497595139650644,0.464167847984021,0.6783393806429836,0.33909891013963422,1.247462435463448,118387.68799999999,34,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,ordinary_winner,0.056024096385541899,-0.026251321247111381,0.0048192771084336001,0.023370164180943176,,,0.0283020685866344,4567.6489999999912,17,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,ordinary_winner,0.1525423728813558,-0.078132605110447395,0.030602636534839901,0.030941700634821379,0.045197740112994302,0.016545667878209214,0.062491234787958601,11055.120000000015,26,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024,电子化学品Ⅱ,ordinary_loser,0.042991491267353403,-0.053276211801281503,0.021047917599641801,-0.032929954949642348,,,-0.012575144328340501,-1266.0979999999836,17,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025,工业金属,ordinary_winner,0.026365348399246601,0.10967508876861598,0.060263653483992402,0.074197021987381095,0.069679849340866198,0.064741062286788109,0.1389320590939653,22573.446999999996,67,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025,化学制品,ordinary_loser,-0.0302197802197803,-0.020886680183854867,-0.057692307692307702,0.0076588976533504827,-0.0247252747252748,-0.02640281156310087,-0.050475269518958303,-7591.1899999999905,27,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025,专用设备,ordinary_winner,0.022036474164133499,-0.016838180406953729,,,,,0.0048272396296709002,763.07999999998719,5,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025,专用设备,ordinary_winner,0.22042042042042051,-0.16000042855387564,0.051651651651651802,-0.025197527596502178,0,0.025152630137252219,0.025152630137252201,4821.7720000000209,23,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024,动物保健Ⅱ,ordinary_loser,0.037349397590361301,-0.046367548328716257,0.033734939759035902,-0.043033169127068116,,,-0.0107499507361743,-1124.7730000000138,15,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024,电池,extreme_winner,0.1741573033707863,0.30838539450979674,0.2303370786516854,0.24864176918971448,0.61235955056179781,-0.047203667412726524,0.53625026658734531,51213.728000000003,33,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025,农产品加工,ordinary_winner,0.037066881547139302,0.02364949877326028,0.1136180499597098,-0.046717145498418211,0.062852538275584097,-0.0011850607117619427,0.0615929934900772,9590.0010000000057,33,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025,生物制品,ordinary_loser,-0.0682492581602374,0.016209413217384894,-0.031899109792284802,-0.02194710881146722,-0.0178041543026706,-0.035982611026408429,-0.0531461253701518,-9171.9799999999814,26,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025,医疗器械,ordinary_winner,0.0383211678832115,0.03513027658607526,0.0133819951338198,0.060604671147917344,,,0.0747976776961254,12678.305999999991,14,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024,影视院线,strong_winner,0.49761904761904763,-0.18521865937347937,0.22619047619047611,-0.004859294652268864,0.34047619047619032,-0.089702551946569287,0.22023205536686061,27105.710999999981,34,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025,专用设备,ordinary_winner,0.0090805902383652992,-0.0019980019980019303,,,,,0.0070644452029241002,1196.1600000000035,7,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300254.SZ-001,DEVELOPMENT_2024_2025,300254.SZ,2025,化学制药,ordinary_loser,-0.0114285714285713,-0.042339775961522053,0.0304761904761905,-0.081283444961238294,,,-0.0532844642362474,-8927.1389999999628,13,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300259.SZ-001,DEVELOPMENT_2024_2025,300259.SZ,2025,通用设备,ordinary_winner,0.089285714285713996,-0.056994091220734844,,,,,0.0272028649202706,4607.6269999999349,9,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300267.SZ-001,DEVELOPMENT_2024_2025,300267.SZ,2025,化学制药,ordinary_winner,-0.017291066282420602,0.14977476718223115,0.28818443804034571,-0.12287875702653051,0.18155619596541761,-0.043723913148436822,0.12989393547302841,21329.239000000009,31,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300279.SZ-001,DEVELOPMENT_2024_2025,300279.SZ,2024,家电零部件Ⅱ,ordinary_loser,-0.0404312668463611,-0.023023324989617122,,,,,-0.0625237296396325,-10077.263000000006,6,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300285.SZ-001,DEVELOPMENT_2024_2025,300285.SZ,2024,电子化学品Ⅱ,ordinary_loser,-0.047596153846153802,-0.024002109632895507,-0.072115384615384401,0.0017885081954578386,,,-0.070455855376329701,-7329.7290000000066,11,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300286.SZ-001,DEVELOPMENT_2024_2025,300286.SZ,2025,电网设备,ordinary_winner,0.0168949771689497,0.036894778406634909,-0.0196347031963469,0.075530820452526903,0.12328767123287671,-0.06131517418228638,0.054413092014418102,8479.8280000000632,25,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300324.SZ-001,DEVELOPMENT_2024_2025,300324.SZ,2024,计算机设备,extreme_winner,0.56066945606694563,-0.027516618769970136,0.28870292887029292,0.17771526363247125,0.65271966527196645,-0.081680250129617327,0.51772510961841467,49544.014999999992,34,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300327.SZ-001,DEVELOPMENT_2024_2025,300327.SZ,2025,半导体,ordinary_loser,-0.066339869281045599,-0.0066228577061751004,,,,,-0.0725233674727261,-15059.219000000012,7,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300346.SZ-001,DEVELOPMENT_2024_2025,300346.SZ,2025,电子化学品Ⅱ,ordinary_loser,-0.070926829268292704,-0.015780582189055758,,,,,-0.085588144798671106,-14064.200000000012,8,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300348.SZ-001,DEVELOPMENT_2024_2025,300348.SZ,2024,软件开发,extreme_winner,0.66107784431137706,0.13519429381001147,0.68622754491017968,0.1182631289165379,1.021556886227545,-0.067230755026963629,0.88564609043650955,84388.956000000006,34,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300357.SZ-001,DEVELOPMENT_2024_2025,300357.SZ,2024,生物制品,ordinary_loser,-0.043076923076923103,-0.016357440926809796,-0.015769230769230601,-0.043648813218406857,,,-0.058729735779193402,-6254.739999999998,12,MARKET_MA20_X2,False,False
