block,arm,year,return,max_drawdown,average_invested_fraction,trade_count,win_rate,mean_trade_return,median_trade_return,severe_loss_rate,winner20_count,winner50_count
HOLDOUT_O0_2022_2023,C0_ALL_ONE_CONTROL,2022,-0.1729136755700007,-0.17960903025081754,0.10744679010178615,37,0.13513513513513514,-0.048889620933071795,-0.051182697430689199,0.13513513513513514,0,0
HOLDOUT_O0_2022_2023,C0_ALL_ONE_CONTROL,2023,0.021392085054959376,-0.15071167723949774,0.2492621920367773,57,0.33333333333333331,0.0044388723921965547,-0.020964993123327523,0.017543859649122806,4,0
DEVELOPMENT_2024_2025,C0_ALL_ONE_CONTROL,2024,0.49049418775000042,-0.23542285793100215,0.235884045525006,38,0.31578947368421051,0.15110238397040263,-0.026202113250630751,0.18421052631578946,10,6
DEVELOPMENT_2024_2025,C0_ALL_ONE_CONTROL,2025,0.37700782392735599,-0.10176871214757299,0.57125397355902763,73,0.50684931506849318,0.038900808753469407,0.0048272396296711595,0.12328767123287671,8,2
EXTENDED_2018_2021,N30_HALF_NEIGHBOR,2018,-0.015706623999999891,-0.021227193035633252,0.011335876793924778,4,0.25,-0.039709241403028249,-0.038642606983384994,0,0,0
EXTENDED_2018_2021,N30_HALF_NEIGHBOR,2019,0.086334091107405531,-0.10180105688876584,0.23681512499956567,37,0.40540540540540543,0.01391320006623919,-0.014457713778093398,0.081081081081081086,2,1
EXTENDED_2018_2021,N30_HALF_NEIGHBOR,2020,0.074660224024499788,-0.20633248881164601,0.33563218971646258,73,0.47945205479452052,0.018020183831127422,-0.0031324389463217813,0.16438356164383561,7,0
EXTENDED_2018_2021,N30_HALF_NEIGHBOR,2021,0.32832748805769851,-0.11049874291461848,0.31785731729582622,61,0.44262295081967212,0.051972116805777638,-0.011413009510524342,0.098360655737704916,6,5
HOLDOUT_O0_2022_2023,N30_HALF_NEIGHBOR,2022,-0.1729136755700007,-0.17960903025081754,0.10744679010178615,37,0.13513513513513514,-0.048889620933071795,-0.051182697430689199,0.13513513513513514,0,0
HOLDOUT_O0_2022_2023,N30_HALF_NEIGHBOR,2023,0.021392085054959376,-0.15071167723949774,0.2492621920367773,57,0.33333333333333331,0.0044388723921965547,-0.020964993123327523,0.017543859649122806,4,0
DEVELOPMENT_2024_2025,N30_HALF_NEIGHBOR,2024,0.49049418775000042,-0.23542285793100215,0.235884045525006,38,0.31578947368421051,0.15110238397040263,-0.026202113250630751,0.18421052631578946,10,6
DEVELOPMENT_2024_2025,N30_HALF_NEIGHBOR,2025,0.37988660804826369,-0.10176871214757299,0.56417502671817643,73,0.50684931506849318,0.039000962443534015,0.0048272396296711595,0.12328767123287671,8,2
EXTENDED_2018_2021,N50_HALF_NEIGHBOR,2018,-0.0084625569999999817,-0.012825617666928579,0.0063818266150309153,4,0.25,-0.039792421134733434,-0.038829335108504393,0,0,0
EXTENDED_2018_2021,N50_HALF_NEIGHBOR,2019,0.10055416535591211,-0.09782789907940681,0.22714847887606324,37,0.40540540540540543,0.014010845392167175,-0.014010181444836178,0.081081081081081086,2,1
EXTENDED_2018_2021,N50_HALF_NEIGHBOR,2020,0.036129723109483702,-0.2118991520798138,0.31388777765437487,73,0.46575342465753422,0.017752707252637178,-0.0031240357096675611,0.16438356164383561,7,0
EXTENDED_2018_2021,N50_HALF_NEIGHBOR,2021,0.31070743769885212,-0.10922585409115138,0.29030885628746744,61,0.44262295081967212,0.051461130286816675,-0.010830436757427668,0.098360655737704916,6,5
HOLDOUT_O0_2022_2023,N50_HALF_NEIGHBOR,2022,-0.17050444657000052,-0.17706389640328213,0.10258113576217803,37,0.13513513513513514,-0.048855775955052513,-0.051182697430689199,0.13513513513513514,0,0
HOLDOUT_O0_2022_2023,N50_HALF_NEIGHBOR,2023,0.04480273323506867,-0.13146877611692032,0.24074863003827104,57,0.33333333333333331,0.0045186481696210083,-0.020990651642408011,0.017543859649122806,4,0
DEVELOPMENT_2024_2025,N50_HALF_NEIGHBOR,2024,0.49846565575000024,-0.23133374287666253,0.23423564994981522,38,0.31578947368421051,0.15110238397040263,-0.026202113250630751,0.18421052631578946,10,6
DEVELOPMENT_2024_2025,N50_HALF_NEIGHBOR,2025,0.30472662509669313,-0.097048081985821266,0.45380736668924332,73,0.50684931506849318,0.039846086883765536,0.0048272396296711595,0.12328767123287671,8,2
EXTENDED_2018_2021,Z40_ZERO_SEVERITY,2018,-0.0077477619999999359,-0.013475288608245983,0.006042339457095018,2,0,-0.038642606983384994,-0.038642606983384994,0,0,0
EXTENDED_2018_2021,Z40_ZERO_SEVERITY,2019,0.085879215724177893,-0.10219159714217718,0.23651834835720073,37,0.40540540540540543,0.013970009279514471,-0.014010181444836178,0.081081081081081086,2,1
EXTENDED_2018_2021,Z40_ZERO_SEVERITY,2020,0.0090087039974220406,-0.21599374781427572,0.29442293016475379,58,0.46551724137931033,0.011511458740104711,-0.0056819340556680748,0.18965517241379309,6,0
EXTENDED_2018_2021,Z40_ZERO_SEVERITY,2021,0.24894477746959076,-0.093275813931871121,0.29657269155858562,59,0.40677966101694918,0.039748556517541327,-0.021275513836202988,0.10169491525423729,5,4
HOLDOUT_O0_2022_2023,Z40_ZERO_SEVERITY,2022,-0.1729136755700007,-0.17960903025081754,0.10744679010178615,37,0.13513513513513514,-0.048889620933071795,-0.051182697430689199,0.13513513513513514,0,0
HOLDOUT_O0_2022_2023,Z40_ZERO_SEVERITY,2023,0.02502276653439206,-0.147777353927943,0.24751436104875388,55,0.34545454545454546,0.005272635192042973,-0.023262703333193607,0.018181818181818181,4,0
DEVELOPMENT_2024_2025,Z40_ZERO_SEVERITY,2024,0.49049418775000042,-0.23542285793100215,0.235884045525006,38,0.31578947368421051,0.15110238397040263,-0.026202113250630751,0.18421052631578946,10,6
DEVELOPMENT_2024_2025,Z40_ZERO_SEVERITY,2025,0.34714805233899115,-0.10176871214757299,0.51353264165888812,69,0.50724637681159424,0.04355371901094833,0.0048272396296711595,0.11594202898550725,8,2
