trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,entry_industry,execution_open,execution_price,stock_entry_gap_log,market_entry_gap_log,excess_entry_gap_log,excess_entry_gap_simple,intraday_fill_premium,action_count,false_breakout,oriented_order,mfe,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason
EXTENDED_2018_2021:300142.SZ-001,EXTENDED_2018_2021,300142.SZ,2019-02-25,2019-02-26,2019,生物制品,19.98,19.98,-0.0039960093133819758,0.0041533197315270611,-0.0081493290449090369,-0.0081162132811108036,0,0,False,-0.95454545454545436,0.23073073073073061,0.18069476431726611,21423.432000000001,22,MARKET_MA20_X2
EXTENDED_2018_2021:300142.SZ-002,EXTENDED_2018_2021,300142.SZ,2019-11-06,2019-11-07,2019,生物制品,31.050000000000001,31.050000000000001,-0.018507228938069359,-0.001331193219821219,-0.017176035718248141,-0.017029368537539551,0,0,False,-0.5,0.061513687600644101,0.0084142402220205009,993.78899999999521,4,MARKET_MA20_X2
EXTENDED_2018_2021:300144.SZ-001,EXTENDED_2018_2021,300144.SZ,2018-03-07,2018-03-08,2018,旅游及景区,19.699999999999999,19.699999999999999,-0.0025348556031880663,-0.0015039323168208514,-0.0010309232863672149,-0.0010303920675203359,0,0,True,0.66666666666666663,0.0659898477157361,-0.025157464038170901,-2530.6520000000028,12,MARKET_EMERGENCY_X0.96
EXTENDED_2018_2021:300144.SZ-002,EXTENDED_2018_2021,300144.SZ,2019-08-30,2019-09-02,2019,旅游及景区,26.399999999999999,26.399999999999999,-0.00075728894190880221,0.0013101816851564944,-0.0020674706270652965,-0.002065334881785503,0,0,False,-0.5,0.073863636363636201,0.047439252507137902,5652.0559999999969,18,MARKET_MA20_X2
EXTENDED_2018_2021:300146.SZ-001,EXTENDED_2018_2021,300146.SZ,2020-04-27,2020-04-28,2020,食品加工,18.66,18.66,-0.008006447893741369,0.0004765669651354666,-0.0084830148588768348,-0.0084471356147288526,0,0,False,-0.5,0.028938906752411502,0.0060245221016924002,686.43299999998999,2,MARKET_MA20_X2
EXTENDED_2018_2021:300151.SZ-001,EXTENDED_2018_2021,300151.SZ,2021-04-28,2021-04-29,2021,专用设备,31.530000000000001,31.530000000000001,-0.019161886752397033,-0.0010191097051151607,-0.018142777047281872,-0.017979187683514742,0,0,True,0.59999999999999976,0.033935934031081402,-0.066569016140852505,-7983.8760000000029,5,MARKET_MA20_X2
EXTENDED_2018_2021:300158.SZ-001,EXTENDED_2018_2021,300158.SZ,2018-03-09,2018-03-12,2018,中药Ⅱ,15.390000000000001,15.390000000000001,0.0058651194523980576,0.007482183356083057,-0.0016170639036849994,-0.0016157571603081207,0,0,True,0.90000000000000002,0.022742040285899701,-0.1098123748468913,-11480.603000000005,10,MARKET_EMERGENCY_X0.96
EXTENDED_2018_2021:300161.SZ-001,EXTENDED_2018_2021,300161.SZ,2021-12-16,2021-12-17,2021,通用设备,30,30,-0.0026631174194836618,-0.0022753878404488592,-0.0003877295790348026,-0.00038765442163546946,0,0,True,0.5,0.0313333333333334,-0.0585514485514484,-9670.6499999999942,2,MARKET_MA20_X2
EXTENDED_2018_2021:300162.SZ-001,EXTENDED_2018_2021,300162.SZ,2021-07-14,2021-07-15,2021,光学光电子,8.2699999999999996,8.2699999999999996,-0.01082391806101028,-0.0045533216674852111,-0.0062705963935250691,-0.0062509772333246161,0,0,False,-0.66666666666666663,0.2055622732769046,0.0239650968119694,4120.9610000000212,9,MARKET_MA20_X2
EXTENDED_2018_2021:300166.SZ-001,EXTENDED_2018_2021,300166.SZ,2021-11-19,2021-11-22,2021,IT服务Ⅱ,10.609999999999999,10.609999999999999,-0.021446043385608373,0.0035780860659644282,-0.025024129451572803,-0.024713621381032821,0,0,True,0.75,0.0141376060320452,-0.061179976319073001,-11088.385000000017,12,MARKET_MA20_X2
EXTENDED_2018_2021:300171.SZ-001,EXTENDED_2018_2021,300171.SZ,2021-02-10,2021-02-18,2021,医疗器械,18.52,18.52,0.016331337386220945,0.016876110243619735,-0.00054477285739878978,-0.0005446244956080925,0,0,True,0.75,0.013498920086393,-0.073129893864235102,-9218.8960000000079,4,MARKET_MA20_X2
EXTENDED_2018_2021:300177.SZ-001,EXTENDED_2018_2021,300177.SZ,2020-10-16,2020-10-19,2020,军工电子Ⅱ,12.99,12.99,0.011614532420693083,0.0078611716377813747,0.0037533607829117084,0.0037604134624847829,0,0,True,0.90909090909090884,0.066204772902232201,-0.0205698732744941,-2611.2800000000134,11,MARKET_MA20_X2
