baseline_block,source_execution_ledger_sha256,strategy_sha256,feature_artifact_sha256,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,entry_year,entry_quarter,canonical_exit_reason,breadth_above_ma20,breadth_positive_return20,breadth_above_ma20_change20,breadth_above_ma20_within_year_rank,breadth_positive_return20_within_year_rank,breadth_above_ma20_change20_within_year_rank,breadth_composite,breadth_tercile,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,return_5d,return_10d,return_20d,round_trip_return,realized_pnl,giveback_from_peak,opportunity20,opportunity50,converted20,converted50,conversion20_within_opportunity,conversion50_within_opportunity,capture_ratio_opportunity20,false_breakout,severe_loss,extreme_loss
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300496.SZ-001,300496.SZ,2019-01-14,2019-01-15,2019-01-29,2019-01-30,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,11,0.1579754601226994,-0.0161042944785275,8,5,0.0226226993865032,0.07170245398773,,0.0462183521999472,4343.687999999995,0.0599933042417707,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300498.SZ-004,300498.SZ,2019-01-07,2019-01-08,2019-01-29,2019-01-30,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,16,0.0391654465592972,-0.0212298682284041,4,11,0.027818448023426,0.0069546120058565,,0.0202853515445023,1941.625,0.008997225322262,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300570.SZ-001,300570.SZ,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,3,0.0411099691675231,-0.0272353545734841,0,2,,,,0.008258955843745,788.3119999999908,0.0081850318232642,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300037.SZ-001,300037.SZ,2019-02-14,2019-02-15,2019-03-21,2019-03-22,2019,2019Q1,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.8811881188118812,0.7425742574257426,,0.8333333333333334,0.696078431372549,,,,25,0.1273394495412843,-0.0825688073394494,17,5,-0.0660550458715596,0.006605504587156,0.0484403669724771,0.0030105896889248,337.47200000000885,0.0953380341642861,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300012.SZ-001,300012.SZ,2019-02-11,2019-02-12,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,32,0.2119205298013244,-0.0543046357615893,26,6,-0.0013245033112582,0.0728476821192052,0.1258278145695364,0.1181086642165523,12288.608999999997,0.0792423291609309,True,False,False,False,0.0,,0.5573252592718565,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300027.SZ-001,300027.SZ,2019-02-25,2019-02-26,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.9937106918238994,0.9811320754716981,0.37688826191735736,0.9705882352941176,0.9705882352941176,0.8061224489795918,0.915766306522609,HIGH,22,0.1765799256505575,-0.0204460966542751,10,0,0.0353159851301116,0.0910780669144981,0.0371747211895912,-0.0164956424096523,-1863.0149999999992,0.1428896944542619,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300033.SZ-001,300033.SZ,2019-02-11,2019-02-12,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,32,1.1622731201382883,-0.0082108902333621,28,0,0.2301210025929125,0.6311581676750215,0.7787381158167672,0.9039562101683972,83753.85700000002,0.1919815599266761,True,True,True,True,1.0,1.0,0.777748529589021,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300068.SZ-002,300068.SZ,2019-03-15,2019-03-18,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.8401162790697675,0.9767441860465116,-0.029042599434905392,0.7058823529411765,0.9215686274509803,0.12244897959183673,0.5832999866613312,MIDDLE,8,0.0331664580725907,-0.0600750938673342,0,6,-0.0256570713391739,,,-0.0498011545118138,-6040.540000000008,0.060439452384154,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300079.SZ-001,300079.SZ,2019-02-14,2019-02-15,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.8811881188118812,0.7425742574257426,,0.8333333333333334,0.696078431372549,,,,29,1.0558375634517767,-0.0228426395939086,18,4,-0.0101522842639594,0.0685279187817258,0.6015228426395938,0.7371156619012603,76400.228,0.2248132721088921,True,True,True,True,1.0,1.0,0.6981335836276359,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300107.SZ-001,300107.SZ,2019-02-25,2019-02-26,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.9937106918238994,0.9811320754716981,0.37688826191735736,0.9705882352941176,0.9705882352941176,0.8061224489795918,0.915766306522609,HIGH,22,0.1780701754385965,-0.0210526315789474,11,0,0.0640350877192983,0.0842105263157892,0.0640350877192983,0.0623474552296968,6926.864000000001,0.0780034219632855,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300142.SZ-001,300142.SZ,2019-02-25,2019-02-26,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.9937106918238994,0.9811320754716981,0.37688826191735736,0.9705882352941176,0.9705882352941176,0.8061224489795918,0.915766306522609,HIGH,22,0.2307307307307307,-0.0040040040040041,21,0,0.08008008008008,0.0930930930930931,0.1086086086086084,0.1806947643172662,21423.432,0.0079939243714224,True,False,False,False,0.0,,0.7831412995789543,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300212.SZ-001,300212.SZ,2019-02-25,2019-02-26,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,0.9937106918238994,0.9811320754716981,0.37688826191735736,0.9705882352941176,0.9705882352941176,0.8061224489795918,0.915766306522609,HIGH,22,0.3043478260869565,-0.0223848471803701,10,0,0.1463624623331898,0.2625914765389581,0.2057684029272493,0.1728511454291482,18588.314,0.0983498877176446,True,False,False,False,0.0,,0.5679394778386299,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300271.SZ-001,300271.SZ,2019-02-11,2019-02-12,2019-03-27,2019-03-28,2019,2019Q1,MARKET_MA20_X2,,,,,,,,,32,0.4493670886075949,-0.0050632911392405,20,0,0.0392405063291139,0.1924050632911391,0.3177215189873417,0.3057900389711969,29501.516000000003,0.0923112268515878,True,False,True,False,1.0,,0.6804905092598467,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300349.SZ-001,300349.SZ,2019-04-12,2019-04-15,2019-04-23,2019-04-24,2019,2019Q2,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.43573667711598746,0.6112852664576802,-0.3808313702212906,0.058823529411764705,0.39215686274509803,0.04081632653061224,0.16393223956249167,LOW,7,0.009470512268618,-0.0873869995695222,0,6,-0.035729659922514,,,-0.0763163507005992,-9400.958000000011,0.0578058039937546,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300274.SZ-001,300274.SZ,2019-04-17,2019-04-18,2019-04-26,2019-04-29,2019,2019Q2,SET_REMOVAL,0.5882352941176471,0.6130030959752322,-0.3258048204955334,0.4019607843137255,0.4215686274509804,0.07142857142857142,0.29831932773109243,LOW,7,0.0939907550077041,-0.0577812018489984,2,6,-0.0138674884437596,,,-0.0552323813171768,-6673.989000000007,0.072951949884203,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300422.SZ-001,300422.SZ,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019,2019Q2,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.40764331210191085,0.678343949044586,0.03442393888253764,0.0392156862745098,0.5490196078431373,0.2653061224489796,0.2845138055222089,LOW,2,0.0023547880690737,-0.0910518053375196,0,1,,,,-0.0889510803168574,-10549.641000000003,0.0308663079463707,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300745.SZ-001,300745.SZ,2019-04-17,2019-04-18,2019-04-26,2019-04-29,2019,2019Q2,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.5882352941176471,0.6130030959752322,-0.3258048204955334,0.4019607843137255,0.4215686274509804,0.07142857142857142,0.29831932773109243,LOW,7,0.0774346793349167,-0.1959619952494061,0,7,-0.0755344418052256,,,-0.1907477037296989,-24709.345,0.1798213379339744,False,False,False,False,,,,True,True,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300595.SZ-001,300595.SZ,2019-05-29,2019-05-30,2019-06-04,2019-06-05,2019,2019Q2,MARKET_MA20_X2,0.4717948717948718,0.28205128205128205,0.27621127558036074,0.13725490196078433,0.0196078431372549,0.5714285714285714,0.24276377217553688,LOW,4,0.0551158018176489,-0.0085019055995309,1,0,,,,0.0173125028006296,1950.6960000000256,0.0293013934174882,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300457.SZ-001,300457.SZ,2019-07-02,2019-07-03,2019-07-09,2019-07-10,2019,2019Q3,MARKET_MA20_X2,0.7894736842105263,0.7703349282296651,0.3905375139977604,0.6470588235294118,0.8235294117647058,0.8571428571428571,0.7759103641456583,HIGH,5,0.011494252873563,-0.0419540229885058,0,4,-0.0300766283524904,,,-0.0251304251304251,-2888.8640000000014,0.021299007505904,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300316.SZ-001,300316.SZ,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019,2019Q3,MARKET_MA20_X2,0.5780346820809249,0.5664739884393064,0.021959915725784707,0.3333333333333333,0.3137254901960784,0.22448979591836735,0.290516206482593,LOW,2,0.0633204633204633,-0.0115830115830114,1,2,,,,-0.0135578707007278,-1564.175000000003,0.040584897727755,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300383.SZ-001,300383.SZ,2019-07-24,2019-07-25,2019-08-05,2019-08-06,2019,2019Q3,MARKET_MA20_X2,0.45,0.48,-0.2032663316582915,0.09803921568627451,0.0784313725490196,0.10204081632653061,0.09283713485394157,LOW,8,0.059773828756058,-0.0134625740441572,3,8,0.0210016155088852,,,-0.0154336777923208,-1778.718000000008,0.0601294236189227,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300398.SZ-001,300398.SZ,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019,2019Q3,MARKET_MA20_X2,0.5780346820809249,0.5664739884393064,0.021959915725784707,0.3333333333333333,0.3137254901960784,0.22448979591836735,0.290516206482593,LOW,2,0.0370629370629369,-0.0300699300699301,0,2,,,,-0.0320078522875725,-3711.176999999996,0.0445952648749851,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300498.SZ-005,300498.SZ,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019,2019Q3,MARKET_MA20_X2,0.5780346820809249,0.5664739884393064,0.021959915725784707,0.3333333333333333,0.3137254901960784,0.22448979591836735,0.290516206482593,LOW,2,0.0434782608695654,-0.0004830917874395,1,0,,,,0.006439212960952,720.4949999999953,0.0254448450100624,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300699.SZ-001,300699.SZ,2019-08-22,2019-08-23,2019-09-24,2019-09-25,2019,2019Q3,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.893048128342246,0.7486631016042781,0.4435531788472965,0.8627450980392157,0.7254901960784313,0.9183673469387755,0.8355342136854742,HIGH,22,0.1126288659793814,-0.0139175257731958,12,3,-0.0025773195876287,0.0479381443298969,0.0257731958762885,0.0092219813602678,1038.6950000000002,0.0905202866809693,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300015.SZ-001,300015.SZ,2019-08-28,2019-08-29,2019-09-26,2019-09-27,2019,2019Q3,MARKET_MA20_X2,0.8585858585858586,0.7171717171717171,0.29678810577686976,0.7549019607843137,0.6568627450980392,0.6428571428571429,0.6848739495798318,HIGH,20,0.0661764705882352,-0.026470588235294,18,4,-0.001470588235294,-0.0011764705882352,0.0397058823529412,0.03691455503375,4403.987000000023,0.014556033201544,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300020.SZ-001,300020.SZ,2019-08-19,2019-08-20,2019-09-26,2019-09-27,2019,2019Q3,MARKET_MA20_X2,0.84,0.8457142857142858,0.5685714285714285,0.6862745098039216,0.8627450980392157,1.0,0.8496732026143791,HIGH,27,0.1872871736662884,-0.0578887627695799,22,9,-0.0374574347332576,-0.0261066969353008,0.0930760499432463,0.0612664684457429,7686.389000000016,0.0669968686711694,False,False,False,False,,,,False,False,False
