block,window_sessions,start_date,end_date,control_return,candidate_return,active_return
DEVELOPMENT_2024_2025,126,2024-05-27,2024-11-29,0.7282571884816582,0.7282571884816582,0.0
DEVELOPMENT_2024_2025,126,2024-05-28,2024-12-02,0.7282571884816582,0.7282571884816582,0.0
DEVELOPMENT_2024_2025,126,2024-05-29,2024-12-03,0.7112275316915928,0.7112275316915928,0.0
DEVELOPMENT_2024_2025,126,2024-05-30,2024-12-04,0.7147029739713311,0.7147029739713311,0.0
DEVELOPMENT_2024_2025,126,2024-05-31,2024-12-05,0.7089977676483199,0.7089977676483199,0.0
DEVELOPMENT_2024_2025,126,2024-06-03,2024-12-06,0.6944435662484967,0.6944435662484967,0.0
DEVELOPMENT_2024_2025,126,2024-06-04,2024-12-09,0.6907198301923401,0.6907198301923401,0.0
DEVELOPMENT_2024_2025,126,2024-06-05,2024-12-10,0.6771176321563444,0.6771176321563444,0.0
DEVELOPMENT_2024_2025,126,2024-06-06,2024-12-11,0.6973981468588304,0.6973981468588304,0.0
DEVELOPMENT_2024_2025,126,2024-06-07,2024-12-12,0.6940877569454238,0.6940877569454238,0.0
DEVELOPMENT_2024_2025,126,2024-06-11,2024-12-13,0.6771216193647662,0.6771216193647662,0.0
DEVELOPMENT_2024_2025,126,2024-06-12,2024-12-16,0.6537911040609679,0.6537911040609679,0.0
DEVELOPMENT_2024_2025,126,2024-06-13,2024-12-17,0.5732891480293971,0.5732891480293971,0.0
DEVELOPMENT_2024_2025,126,2024-06-14,2024-12-18,0.585190565513626,0.585190565513626,0.0
DEVELOPMENT_2024_2025,126,2024-06-17,2024-12-19,0.5637713607642092,0.5637713607642092,0.0
DEVELOPMENT_2024_2025,126,2024-06-18,2024-12-20,0.5637713607642092,0.5637713607642092,0.0
DEVELOPMENT_2024_2025,126,2024-06-19,2024-12-23,0.5555013984543142,0.5555013984543142,0.0
DEVELOPMENT_2024_2025,126,2024-06-20,2024-12-24,0.5582917177039965,0.5582917177039965,0.0
DEVELOPMENT_2024_2025,126,2024-06-21,2024-12-25,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-06-24,2024-12-26,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-06-25,2024-12-27,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-06-26,2024-12-30,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-06-27,2024-12-31,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-06-28,2025-01-02,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-01,2025-01-03,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-02,2025-01-06,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-03,2025-01-07,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-04,2025-01-08,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-05,2025-01-09,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-08,2025-01-10,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-09,2025-01-13,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-10,2025-01-14,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-11,2025-01-15,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-12,2025-01-16,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-15,2025-01-17,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-16,2025-01-20,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-17,2025-01-21,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-18,2025-01-22,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-19,2025-01-23,0.5472301427151838,0.5472301427151838,0.0
DEVELOPMENT_2024_2025,126,2024-07-22,2025-01-24,0.5460202465860609,0.5460202465860609,0.0
DEVELOPMENT_2024_2025,126,2024-07-23,2025-01-27,0.544307439010921,0.544307439010921,0.0
DEVELOPMENT_2024_2025,126,2024-07-24,2025-02-05,0.5420029342734602,0.5420029342734602,0.0
DEVELOPMENT_2024_2025,126,2024-07-25,2025-02-06,0.5423766377443999,0.5423766377443999,0.0
DEVELOPMENT_2024_2025,126,2024-07-26,2025-02-07,0.5508641639866849,0.5508641639866849,0.0
DEVELOPMENT_2024_2025,126,2024-07-29,2025-02-10,0.5473114294485042,0.5473114294485042,0.0
DEVELOPMENT_2024_2025,126,2024-07-30,2025-02-11,0.5464083127270669,0.5464083127270669,0.0
