feature,quintile,realized_bin_count,n,feature_min,feature_median,feature_max,round_trip_return_n,round_trip_return_mean,round_trip_return_median,mfe_n,mfe_mean,mfe_median,mae_n,mae_mean,mae_median,return_5d_n,return_5d_mean,return_5d_median,return_10d_n,return_10d_mean,return_10d_median,return_20d_n,return_20d_mean,return_20d_median,winner_ge20_n,winner_ge20_rate,winner_ge50_n,winner_ge50_rate,severe_loss_le_neg10_n,severe_loss_le_neg10_rate,extreme_loss_le_neg20_n,extreme_loss_le_neg20_rate
breadth_above_ma120,1,5,78,0.14714714714714713,0.4319371727748691,0.5153664302600472,78,0.09137777689478281,-0.017770948142446952,78,0.26144491956633326,0.061430507542426155,78,-0.05273435084056837,-0.0421190774448323,58,0.10769312573731069,0.02745773662108325,38,0.11763298230566505,0.0203654022115212,18,0.37781876551402194,0.3339653786221898,78,0.14102564102564102,78,0.08974358974358974,78,0.08974358974358974,78,0.0
breadth_above_ma120,2,5,79,0.5227272727272727,0.5984455958549223,0.6448275862068965,79,0.02859410274463744,-0.0137545700372925,79,0.1329617256482261,0.0619883040935671,79,-0.04588209765377356,-0.03852140077821,49,0.023951688974873455,0.0059816278572955,36,0.03740082660898448,0.03119554204660585,17,0.1097314169402272,0.0484403669724771,79,0.0759493670886076,79,0.0379746835443038,79,0.05063291139240506,79,0.0
breadth_above_ma120,3,5,78,0.6451612903225806,0.7156687236298027,0.7407407407407407,78,0.04956377109634402,0.0027892868335407496,78,0.17410092580625905,0.0828620219649374,78,-0.04902694977361819,-0.03941011166711855,56,0.047890231997629054,0.01468724859211585,37,0.08595854267669296,0.0479381443298969,25,0.16087140090982754,0.0842490842490841,78,0.1282051282051282,78,0.038461538461538464,78,0.05128205128205128,78,0.01282051282051282
breadth_above_ma120,4,5,74,0.7427293064876958,0.7704056476916181,0.8253275109170306,74,0.01146870014896672,-0.02554068948272495,74,0.13377610347565067,0.0604859164422337,74,-0.06684168288643107,-0.0613490709972966,59,0.007179325052992379,-0.0057832537088258,38,0.05343703964596372,0.0127212504504292,12,0.21138283606139996,0.1819071302407733,74,0.10810810810810811,74,0.013513513513513514,74,0.10810810810810811,74,0.013513513513513514
breadth_above_ma120,5,5,78,0.8294392523364486,0.9054463391901688,0.9863636363636363,78,-0.03054529279325254,-0.05281967761346945,78,0.11928296291329064,0.0635914179104476,78,-0.08144890017293155,-0.08418347237071865,64,0.015564187401676356,-0.00094211846075725,36,0.031729299823103435,0.0126724516695958,16,0.1484603750979531,0.1363059977786005,78,0.02564102564102564,78,0.0,78,0.2564102564102564,78,0.0
breadth_above_ma20,1,5,78,0.2743764172335601,0.43996124031007755,0.49160671462829736,78,0.005445358277670964,-0.00655527941665405,78,0.09886476627808156,0.05433498610351255,78,-0.051286409523906666,-0.0409794748679179,46,0.01590129778387661,-0.0013043178031417,26,0.019111726077513172,0.0014778050748461,12,0.0453563198345458,0.0316669214929626,78,0.038461538461538464,78,0.0,78,0.038461538461538464,78,0.0
breadth_above_ma20,2,5,77,0.49361207897793263,0.5491071428571429,0.5838779956427015,77,0.005914458353830265,-0.0253994976476614,77,0.09401098217043759,0.048780487804878,77,-0.04966895558920916,-0.0414707139803334,39,0.056184525961025876,0.01824,18,0.044898901505272155,0.0203654022115212,4,0.09778993698028425,0.05818169214238671,77,0.03896103896103896,77,0.025974025974025976,77,0.06493506493506493,77,0.0
breadth_above_ma20,3,5,78,0.5847457627118644,0.6345626477541371,0.6780045351473923,78,-0.005812109747563221,-0.046304732182260555,78,0.1366137475131906,0.0585072390995062,78,-0.07057205032541096,-0.0614162767914358,58,0.012667408044530561,0.0107575720339535,35,0.046350063259459624,0.0196652719665273,16,0.1582932442630769,0.0904908651641802,78,0.07692307692307693,78,0.01282051282051282,78,0.19230769230769232,78,0.01282051282051282
breadth_above_ma20,4,5,79,0.6786542923433875,0.7302118171683389,0.7946127946127947,79,0.119222434691932,-0.0032384068373786,79,0.336519206379828,0.1086350974930361,79,-0.05967695885659392,-0.0392209178228388,70,0.10529197477347915,0.01157612925542645,46,0.1619905142296749,0.10547531030854335,31,0.33792711207922543,0.2759581881533099,79,0.22784810126582278,79,0.11392405063291139,79,0.1518987341772152,79,0.012658227848101266
breadth_above_ma20,5,5,75,0.7948717948717948,0.8686868686868687,0.9937106918238994,75,0.024975290853708355,-0.0116820960149297,75,0.15318490697143392,0.0941747572815532,75,-0.06423222281803231,-0.0578887627695799,73,0.00676124801327719,-0.0027192386131883,60,0.029848508183305433,0.004557609914598601,25,0.1462419582274035,0.1086086086086084,75,0.09333333333333334,75,0.02666666666666667,75,0.10666666666666667,75,0.0
