baseline_block,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,canonical_exit_reason,round_trip_return,realized_pnl,capital,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,giveback_from_peak,return_5d,return_10d,return_20d,entry_rs_score,entry_mom20,entry_mom60,entry_mom120,entry_box_width,entry_vol_ratio,entry_minvol_location,entry_minimum_volume_ratio,entry_breakout_volume_ratio,pnl_bucket
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300788.SZ-001,300788.SZ,2025-02-11,2025-02-12,2025-02-26,2025-02-27,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.09512666151173885,-15600.37599999999,163995.832,11,0.06343283582089532,-0.1071428571428572,1,9,0.1252439323006512,-0.08448827292110883,-0.09941364605543723,,0.6566037735849056,0.13853979652902448,0.20107323232323226,0.5639128647759968,0.18687358551568067,0.5386836445617471,0.11418685121107267,0.3593073707422021,2.593535436841479,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300627.SZ-001,300627.SZ,2025-02-07,2025-02-10,2025-03-03,2025-03-04,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.09770766266104558,-15913.813999999978,162871.70899999997,16,0.026628521126760507,-0.10475352112676051,11,15,0.10761083167513008,-0.05149647887323938,-0.02024647887323927,,0.7225283630470015,0.1772679874869656,0.17420696827873106,0.6071174377224198,0.14661246612466128,0.7418274476922808,0.2994454713493537,0.5856393524774827,2.9146878175287907,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301213.SZ-002,301213.SZ,2025-02-17,2025-02-18,2025-03-03,2025-03-04,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.07471145455335165,-11352.539999999979,151951.8,10,0.12244897959183665,-0.08510204081632655,3,9,0.1440992096553924,0.06428571428571428,-0.07571428571428573,,0.6030746705710103,0.14156626506024117,0.16175430323037032,0.6309169149288318,0.16305641513925262,0.7394467146947906,0.0,0.4501061771059466,2.339619318800425,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300001.SZ-001,300001.SZ,2025-02-11,2025-02-12,2025-03-10,2025-03-11,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.014488541120457086,-2192.452,151323.172,19,0.06374999999999997,-0.015833333333333255,5,9,0.06490520778712386,0.03125,0.007916666666666794,,0.46383647798742145,0.18235294117647083,0.0294494238156211,0.2426584234930449,0.18069916297390454,0.6845924462765292,0.0762942779291556,0.5492464583001297,1.2099041741277152,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300014.SZ-001,300014.SZ,2025-03-03,2025-03-04,2025-03-24,2025-03-25,MARKET_MA20_X2,-0.019569871082470665,-3024.021999999997,154524.37,15,0.05379365716579687,-0.03653151344841432,11,14,0.05730572013907443,0.006222400642312387,0.011441188277800052,,0.6080604534005037,0.19577960140679962,0.06294289287203014,0.5952455426962777,0.14558754129306273,0.8297487938869277,0.14046121593291302,0.43006672746110935,2.79402911133329,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300035.SZ-001,300035.SZ,2025-02-27,2025-02-28,2025-03-24,2025-03-25,MARKET_MA20_X2,0.028302068586634487,4567.648999999991,161389.228,17,0.19277108433734935,-0.015662650602409678,1,0,0.14338467840131724,0.056024096385542066,0.004819277108433662,,0.5393041237113402,0.08660892738174542,0.06950819672131137,1.1717709720372835,0.18726307808946174,0.6870934716879705,0.08502024291498007,0.36825926174150725,2.509212601714713,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300092.SZ-001,300092.SZ,2025-03-17,2025-03-18,2025-03-24,2025-03-25,MARKET_MA20_X2,0.0048272396296711595,763.0799999999872,158077.92,5,0.037234042553191404,-0.03039513677811556,3,4,0.01720923453446252,0.02203647416413368,,,0.5629802095459837,0.11241610738255026,0.05238095238095242,0.4635761589403973,0.16879562043795615,0.731658112258041,0.05223880597014815,0.5007738004039142,2.7529084738384753,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300286.SZ-001,300286.SZ,2025-02-17,2025-02-18,2025-03-24,2025-03-25,MARKET_MA20_X2,0.05441309201441817,8479.828000000063,155841.686,25,0.22374429223744308,-0.03698630136986292,16,2,0.14741339200384668,0.01689497716894972,-0.01963470319634697,0.12328767123287676,0.41888726207906296,0.1294298921417565,0.0705939629990262,0.24943181818181825,0.17990275526742283,0.8166211591813545,0.2642642642642641,0.5375901774579502,2.175792200496847,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300733.SZ-002,300733.SZ,2025-02-06,2025-02-07,2025-03-24,2025-03-25,MARKET_MA20_X2,0.14972678078374305,23151.574000000015,154625.471,32,0.2702702702702702,-0.021621621621621623,29,4,0.09959754354058112,-0.0033783783783783994,0.09459459459459452,0.1493243243243243,0.7243377483443709,0.2784918594687231,0.21696574225122345,0.40093896713615007,0.1739502999143101,0.8475012748239472,0.03940886699507394,0.5085958547377089,2.1210681577966595,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300779.SZ-001,300779.SZ,2025-02-12,2025-02-13,2025-03-24,2025-03-25,MARKET_MA20_X2,0.4532266916756712,66690.94799999999,147147.0,28,0.5395918367346939,-0.010102040816326485,27,0,0.0773855532222879,0.20938775510204088,0.24081632653061225,0.36479591836734704,0.6677519379844961,0.08596685082872924,0.06907429565974099,1.3837011884550088,0.19294832826747732,0.714620794218489,0.2488972904851923,0.5951107923533195,1.453331760015435,TOP_WINNER_20_TO_50
