cohort_type,cohort,baseline_blocks,count,breadth_composite_median,mfe_mean,mfe_median,mae_mean,round_trip_return_mean,round_trip_return_median,opportunity20_rate,opportunity50_rate,converted20_rate,converted50_rate,severe_loss_rate,extreme_loss_rate,false_breakout_rate,return_5d_mean,return_5d_observed,return_10d_mean,return_10d_observed,return_20d_mean,return_20d_observed
ENTRY_QUARTER,2023Q3,HOLDOUT_O0_2022_2023,10,0.15497076023391812,0.01791670023439227,0.0207722422477383,-0.03117603769288612,-0.0185859517426559,-0.02134921056091155,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,0,,0,,0
ENTRY_QUARTER,2023Q4,HOLDOUT_O0_2022_2023,15,0.7514619883040936,0.08763892824073662,0.0639147802929427,-0.0410946123609086,0.00885055207418259,-0.0055044061010253,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.4666666666666667,0.01588159237252229,10,0.008752518604129279,10,-0.0188679245283018,1
ENTRY_QUARTER,2024Q1,DEVELOPMENT_2024_2025,2,0.9868421052631579,0.0338639434048945,0.0338639434048945,-0.0383478461688962,-0.0333347451955149,-0.0333347451955149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0071732847425767,2,-0.0128301886792452,1,,0
ENTRY_QUARTER,2024Q2,DEVELOPMENT_2024_2025,11,0.4385964912280702,0.10479833282519468,0.0665384615384616,-0.060226525360907245,-0.026191108631519775,-0.0523105932441592,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.0,0.8181818181818182,0.021993499483572918,11,0.027539355150394566,9,,0
ENTRY_QUARTER,2024Q3,DEVELOPMENT_2024_2025,11,0.6535087719298246,1.2098899595213664,0.949438202247191,-0.017127562791447008,0.6496516914486914,0.5177251096184149,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.0,0.0,0.09090909090909091,0.5897737511250213,10,0.4058130665771179,10,0.6058288168738187,10
ENTRY_QUARTER,2024Q4,DEVELOPMENT_2024_2025,14,0.4254385964912281,0.042198270178130506,0.0471014190398463,-0.09672603780547728,-0.07496473783732552,-0.0796029328487583,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.9285714285714286,-0.06899040212683509,10,-0.0223351321990694,2,,0
ENTRY_QUARTER,2025Q1,DEVELOPMENT_2024_2025,15,0.8995433789954337,0.14624390402387152,0.0637499999999999,-0.06168490768641054,0.020406657341181765,-0.014488541120457,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.2,0.0,0.4666666666666667,0.0017225583492971118,15,0.02592046454183242,11,0.18746617630333767,5
ENTRY_QUARTER,2025Q2,DEVELOPMENT_2024_2025,27,0.3789954337899544,0.1683873846028218,0.0738874895046179,-0.056748814686004886,0.016120699358651562,-0.0393171349028797,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.0,0.07407407407407407,0.0,0.5555555555555556,0.024639465070833012,25,0.04250638527186794,15,0.035013573622573485,9
ENTRY_QUARTER,2025Q3,DEVELOPMENT_2024_2025,18,0.49543378995433796,0.22081097952899997,0.15580355280929875,-0.05446594094540771,0.03471517544047066,0.02567381490051035,0.4444444444444444,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666,0.0,0.2777777777777778,0.07539926572303726,15,0.05833158899269998,13,0.1326031514724573,10
ENTRY_QUARTER,2025Q4,DEVELOPMENT_2024_2025,13,0.4200913242009132,0.2161420967664245,0.1103053435114505,-0.05431798710717465,0.11334824140565206,0.0272028649202706,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.11306299825508197,11,0.03682580244362445,4,,0
