decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2019-08-26 15:00:00,0,0,1,0,0,0,0
2019-08-29 00:00:00,0,0,0,0,0,0,1
2019-09-02 15:00:00,14,0,0,0,13,0,0
2019-09-03 15:00:00,13,0,0,0,13,0,0
2019-09-04 00:00:00,0,0,0,0,0,0,3
2019-09-04 15:00:00,27,0,0,0,26,0,0
2019-09-05 15:00:00,7,0,0,0,6,0,0
2019-09-06 00:00:00,0,0,0,0,0,0,3
2019-09-06 15:00:00,21,0,0,0,21,0,0
2019-09-09 15:00:00,83,0,0,0,70,0,0
2019-09-16 00:00:00,0,0,0,0,0,0,2
2019-11-01 15:00:00,0,0,1,0,0,0,0
2019-11-05 00:00:00,0,0,0,0,0,0,2
2019-11-13 00:00:00,0,0,0,0,0,0,1
2019-11-15 15:00:00,0,0,0,1,0,1,0
2019-11-19 15:00:00,0,1,0,1,0,1,0
2019-12-06 15:00:00,0,0,0,0,0,1,0
2019-12-09 00:00:00,0,0,0,0,0,0,1
2019-12-13 15:00:00,11,0,0,0,5,0,0
2019-12-16 00:00:00,0,0,0,0,0,0,1
2019-12-16 15:00:00,4,0,0,0,4,0,0
2019-12-17 00:00:00,0,0,0,0,0,0,2
2019-12-17 15:00:00,1,0,0,0,0,0,0
2019-12-18 00:00:00,0,0,0,0,0,0,2
2019-12-18 15:00:00,6,0,0,0,4,0,0
2019-12-19 15:00:00,12,0,0,0,10,0,0
2019-12-20 15:00:00,3,0,0,0,0,0,0
2019-12-25 15:00:00,1,0,0,0,0,0,0
2019-12-26 15:00:00,1,0,0,0,0,0,0
2019-12-30 15:00:00,7,0,0,0,9,0,0
2020-01-03 15:00:00,1,0,0,0,0,0,0
2020-01-07 15:00:00,1,0,0,0,0,0,0
2020-01-13 15:00:00,4,0,0,0,0,0,0
2020-02-10 15:00:00,0,13,0,0,0,0,0
2020-02-11 15:00:00,0,1,0,0,0,0,0
2020-02-17 15:00:00,0,0,0,6,0,6,0
2020-03-02 15:00:00,6,0,0,0,0,0,0
2020-03-03 15:00:00,10,0,0,0,10,0,0
2020-03-04 15:00:00,11,0,0,0,11,0,0
2020-03-05 15:00:00,10,0,0,0,14,0,0
2020-03-06 15:00:00,3,0,0,0,5,0,0
2020-03-24 15:00:00,0,0,0,2,0,2,0
2020-03-25 15:00:00,0,6,0,0,0,0,0
2020-04-07 15:00:00,0,0,1,0,0,0,0
2020-04-09 15:00:00,0,0,1,0,0,0,0
2020-04-10 15:00:00,0,0,1,0,0,0,0
2020-04-20 15:00:00,0,0,2,0,0,0,0
2020-04-21 15:00:00,5,0,0,0,0,0,0
2020-04-23 15:00:00,0,0,1,0,0,0,0
2020-04-30 15:00:00,0,0,0,1,0,1,0
2020-06-01 15:00:00,14,0,0,0,7,0,0
2020-06-02 15:00:00,10,0,0,0,7,0,0
2020-06-09 00:00:00,0,0,0,0,0,0,1
2020-06-10 00:00:00,0,0,0,0,0,0,2
2020-06-15 00:00:00,0,0,0,0,0,0,3
2020-06-17 15:00:00,12,0,0,0,12,0,0
2020-06-18 00:00:00,0,0,0,0,0,0,3
2020-06-18 15:00:00,4,0,0,0,3,0,0
2020-06-19 15:00:00,9,0,0,0,12,0,0
2020-06-22 00:00:00,0,0,0,0,0,0,4
2020-06-22 15:00:00,3,0,0,0,6,0,0
2020-06-23 15:00:00,7,0,0,0,7,0,0
2020-06-24 15:00:00,3,0,0,0,0,0,0
2020-07-02 15:00:00,1,0,0,0,0,0,0
2020-07-03 15:00:00,1,0,0,0,0,0,0
2020-07-06 15:00:00,20,0,0,0,20,0,0
2020-07-07 15:00:00,2,0,0,0,0,0,0
2020-07-08 15:00:00,13,0,0,0,19,0,0
2020-07-09 15:00:00,34,0,0,0,10,0,0
2020-07-13 15:00:00,9,0,0,0,0,0,0
2020-07-14 15:00:00,2,0,0,0,0,0,0
2020-08-13 15:00:00,1,0,0,0,0,0,0
2020-08-14 15:00:00,1,0,0,0,0,0,0
2020-08-21 15:00:00,1,0,0,0,0,0,0
2020-08-24 15:00:00,2,0,0,0,2,0,0
2020-08-25 15:00:00,4,0,0,0,4,0,0
2020-09-02 00:00:00,0,0,0,0,0,0,1
2020-10-12 15:00:00,0,2,0,0,0,0,0
2020-10-13 15:00:00,0,0,2,0,0,0,0
2020-10-14 15:00:00,0,0,2,0,0,0,0
2020-10-15 15:00:00,0,0,1,0,0,0,0
2020-11-04 15:00:00,0,0,1,0,0,0,0
2020-11-06 00:00:00,0,0,0,0,0,0,2
2020-11-09 15:00:00,0,0,4,1,0,1,0
2020-11-10 00:00:00,0,0,0,0,0,0,3
2020-11-10 15:00:00,0,0,1,0,0,0,0
2020-11-16 15:00:00,0,0,1,0,0,0,0
2020-11-17 00:00:00,0,0,0,0,0,0,3
2020-11-17 15:00:00,0,0,1,0,0,0,0
2020-11-19 00:00:00,0,0,0,0,0,0,4
2020-12-02 00:00:00,0,0,0,0,0,0,3
2020-12-07 15:00:00,0,0,1,0,0,0,0
2020-12-11 00:00:00,0,0,0,0,0,0,4
2020-12-14 15:00:00,0,0,1,0,0,0,0
2020-12-21 15:00:00,0,0,2,0,0,0,0
2020-12-22 00:00:00,0,0,0,0,0,0,4
2021-01-04 00:00:00,0,0,0,0,0,0,2
2021-01-06 15:00:00,0,0,1,0,0,0,0
2021-01-15 15:00:00,0,0,0,1,0,1,0
2021-01-19 15:00:00,0,0,1,0,0,0,0
2021-01-21 15:00:00,0,0,1,1,0,1,0
2021-01-25 15:00:00,0,0,2,0,0,0,0
2021-01-26 15:00:00,0,0,2,0,0,0,0
2021-02-18 15:00:00,0,0,2,2,0,3,0
2021-02-19 15:00:00,0,0,13,2,0,2,0
2021-02-22 15:00:00,0,0,0,2,0,2,0
2021-02-25 15:00:00,0,0,1,0,0,0,0
2021-02-26 15:00:00,0,0,1,0,0,0,0
2021-03-05 15:00:00,3,0,0,0,0,0,0
2021-03-10 15:00:00,0,0,0,1,0,1,0
2021-03-23 15:00:00,0,0,0,1,0,1,0
2021-03-29 15:00:00,0,0,2,0,0,0,0
2021-03-30 15:00:00,0,0,1,0,0,0,0
2021-03-31 15:00:00,0,0,2,2,0,2,0
