strategy,year,opportunity_count,eligible_count,funded_count,mean_realized_return,median_realized_return,total_pnl,mean_holding_days,median_holding_days,requested_notional,funded_notional
IFCGR,2022,35,35,0,,,0.0,,,219722.1869231461,0.0
IFCGR,2023,9,9,0,,,0.0,,,56939.757061242344,0.0
MCB,2018,72,72,70,0.014912949473927026,-0.0010158964938648775,24329.661885949805,20.513988095238098,22.0,1643344.249241869,1594332.175730931
MCB,2019,272,272,168,0.05465692878273524,0.0631762875719828,214132.62763029462,18.743799603174605,22.0,7127450.273213282,4196026.228103659
MCB,2020,149,149,149,0.03553018211836097,0.037237072695567544,139908.4966898873,18.469658836689035,22.0,4068653.6934958603,4068653.6934958603
MCB,2021,91,91,91,0.04316027350018943,0.04221063576269498,113579.61805711659,19.38072344322344,22.0,2743670.077423815,2743670.077423815
MCB,2022,72,72,72,0.017706317777625775,0.011997409862549067,33487.40270041275,20.62355324074074,22.0,2249926.331689378,2249926.331689378
MCB,2023,275,275,134,0.02327661608286961,0.007338862818928178,94753.20090513,21.45429104477612,22.0,8918550.372830287,4332111.419652495
MCB,2024,324,324,121,0.047745844899496286,0.14540918163672623,172218.01146845453,14.959710743801653,12.229166666666666,11419437.995266056,4053068.1582858767
MCB,2025,160,160,160,0.01368818334508726,0.004478440247653781,76368.05532820383,20.949739583333333,22.0,5744217.538728912,5744217.538728912
MCB,2026,90,90,87,0.04006711805838735,0.019936103768438993,127776.77211412817,17.376915708812263,22.0,3417060.2094382923,3294933.6873216075
OGR,2018,198,198,198,0.07108358490166307,0.07489419594094496,89710.92463610639,12.140835437710438,10.053472222222222,1263611.9207890898,1263611.9207890898
OGR,2019,23,23,23,0.050871341770325436,0.04560735463162144,8147.880693431541,15.184752415458938,14.03125,160390.32269082646,160390.32269082646
OGR,2020,10,10,10,0.05918502260554276,0.06309563582580224,4153.2145999498225,18.04361111111111,16.191666666666666,70676.30987005838,70676.30987005838
OGR,2021,24,24,24,0.04444165586414401,0.050968721537363024,7340.817622320043,12.060966435185186,7.03125,165960.89178598282,165960.89178598282
OGR,2022,35,35,35,0.06683990480653938,0.06395822663365995,16503.241404966295,17.817837301587304,16.225694444444443,247709.61505721157,247709.61505721157
OGR,2023,9,9,9,0.015201819645905473,0.02133423306794278,964.6442081910154,17.82746913580247,14.051388888888889,61953.96925557483,61953.96925557483
OGR,2024,53,53,53,0.0818186650820852,0.08026727401717898,30516.401494885467,10.25091719077568,4.177083333333333,379275.5352653198,379275.5352653198
OGR,2025,31,31,31,0.034215549539723424,0.04078762325650421,7508.04557684507,17.201366487455196,15.000694444444445,222382.699662995,222382.699662995
OGR,2026,29,29,29,0.025399466054531604,0.0683437594085572,5378.393603474261,17.860919540229887,13.070833333333333,213448.44410429263,213448.44410429263
SMV6,2018,1,1,1,0.04405101532454168,0.04405101532454168,22037.74926284229,18.229166666666668,18.229166666666668,500277.8959913016,500277.8959913016
SMV6,2019,22,22,22,0.015160566317100322,-0.005156359010008392,37219.49365926426,31.869318181818183,29.114583333333336,3758787.333921648,3758278.9259403837
SMV6,2020,37,37,37,0.04120985464896913,0.005497263867817168,90089.28395645662,28.347972972972972,35.0,3576239.3556778496,3576239.3556778496
SMV6,2021,17,17,17,0.0050968145961405075,0.0008653848213165096,12172.244641436926,13.175245098039214,14.0,4344916.232408539,4344045.000492224
SMV6,2022,14,14,0,,,0.0,,,2034356.5374067756,0.0
SMV6,2023,18,18,0,,,0.0,,,3310021.1673725415,0.0
