year,symbol,strategy_count,opportunities
2026,002607.SZ,1,1
2026,002729.SZ,1,1
2026,002772.SZ,1,1
2026,002800.SZ,1,1
2026,300039.SZ,1,1
2026,300255.SZ,1,1
2026,300290.SZ,1,1
2026,300474.SZ,1,1
2026,300587.SZ,1,1
2026,300757.SZ,1,1
2026,301197.SZ,1,1
2026,301236.SZ,1,1
2026,301302.SZ,1,1
2026,301525.SZ,1,1
2026,600343.SH,1,1
2026,600598.SH,1,1
2026,600783.SH,1,1
2026,600879.SH,1,1
2026,600996.SH,1,1
2026,601567.SH,1,1
2026,603008.SH,1,1
2026,603636.SH,1,1
2026,605598.SH,1,1
