X,year,0.1,0.15,0.2,0.3
X10,2025,0.08280173750555986,0.07234328163930959,0.07212754734665028,0.07212754734665028
X10,2026,0.16752205450058055,0.1756263966930225,0.17525454297544263,0.17525454297544263
X2,2018,0.04960486240748496,0.04960486240748496,0.04960486240748496,0.04960486240748496
X2,2019,0.03809810095837851,0.03809810095837851,0.03809810095837851,0.03809810095837851
X2,2020,0.05433159996843695,0.05433159996843695,0.05433159996843695,0.05433159996843695
X2,2021,0.017915462584456643,0.017915462584456643,0.017915462584456643,0.017915462584456643
X2,2022,0.04870801917743384,0.04870801917743384,0.04870801917743384,0.04870801917743384
X2,2023,0.021062720859472583,0.021062720859472583,0.021062720859472583,0.021062720859472583
X2,2024,0.09554550280030738,0.09554550280030738,0.09554550280030738,0.09554550280030738
X2,2025,0.02968389802743765,0.02968389802743765,0.02968389802743765,0.02968389802743765
X2,2026,0.05335810639509464,0.05335810639509464,0.05335810639509464,0.05335810639509464
X3,2018,0.06581219048661213,0.06581219048661213,0.06581219048661213,0.06581219048661213
X3,2019,0.05299655773258782,0.05299655773258782,0.05299655773258782,0.05299655773258782
X3,2020,0.08062683395900427,0.08062683395900427,0.08062683395900427,0.08062683395900427
X3,2021,0.02368360906696565,0.02368360906696565,0.02368360906696565,0.02368360906696565
X3,2022,0.0715350914627747,0.0715350914627747,0.0715350914627747,0.0715350914627747
X3,2023,0.030836388877801824,0.030836388877801824,0.030836388877801824,0.030836388877801824
X3,2024,0.1202893290808783,0.1202893290808783,0.1202893290808783,0.1202893290808783
X3,2025,0.04420430067850012,0.04420430067850012,0.04420430067850012,0.04420430067850012
X3,2026,0.07598087383945562,0.07598087383945562,0.07598087383945562,0.07598087383945562
X5,2018,0.07596283149547867,0.07596283149547867,0.07596283149547867,0.07596283149547867
X5,2019,0.06340800735981333,0.06340800735981333,0.06340800735981333,0.06340800735981333
X5,2020,0.1033480951698551,0.1033480951698551,0.1033480951698551,0.1033480951698551
X5,2021,0.03300427100284531,0.03300427100284531,0.03300427100284531,0.03300427100284531
X5,2022,0.1107411246521608,0.1107411246521608,0.1107411246521608,0.1107411246521608
X5,2023,0.042342739611518354,0.042342739611518354,0.042342739611518354,0.042342739611518354
X5,2024,0.13180713770885177,0.13180713770885177,0.13180713770885177,0.13180713770885177
X5,2025,0.06414910903134008,0.06414910903134008,0.06414910903134008,0.06414910903134008
X5,2026,0.11682340401237401,0.11682340401237401,0.11682340401237401,0.11682340401237401
X8,2018,0.08997842682474866,0.09004016054669484,0.09004016054669484,0.09004016054669484
X8,2019,0.07323544364639256,0.07384799543762599,0.07384799543762599,0.07384799543762599
X8,2020,0.11639109426735283,0.12054308568900796,0.12054308568900796,0.12054308568900796
X8,2021,0.02567819187716691,0.025341730305354693,0.025341730305354693,0.025341730305354693
X8,2022,0.13448535500557368,0.14561785005048244,0.14561785005048244,0.14561785005048244
X8,2023,0.047238207780114116,0.05179070634802685,0.05179070634802685,0.05179070634802685
X8,2024,0.1435030770898078,0.14574398733809324,0.14574398733809324,0.14574398733809324
X8,2025,0.07333074232378745,0.07214609521298909,0.07214609521298909,0.07214609521298909
X8,2026,0.1540637439025726,0.15983597755514967,0.15983597755514967,0.15983597755514967
