route,policy,segment,scope,period,start,end,native_closed_n,native_open_n,native_mean_sessions,native_median_sessions,native_mean_calendar_days,native_outlay_weighted_sessions,policy_closed_n,policy_open_n,policy_mean_sessions,policy_median_sessions,policy_mean_calendar_days,policy_outlay_weighted_sessions,sessions_shortened,shortened_pct,common_n,common_native_mean,common_policy_mean,common_shortened
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,SHARED_ACCOUNT,DISCOVERY,2014-01-01,2020-12-31,1493,2,14.681848626925653,16.0,21.58472873409243,14.566583384779657,1504,2,13.49002659574468,16.0,19.795212765957448,13.32121354236991,1.1918220311809726,8.117656444129528,1489,14.683680322364003,13.52249832102082,1.1611820013431833
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,SHARED_ACCOUNT,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,626,0,13.84664536741214,16.0,20.268370607028753,13.938599464944128,629,0,13.066772655007949,16.0,19.112877583465817,13.151846755842444,0.7798727124041918,5.632214097427601,626,13.84664536741214,13.052715654952078,0.7939297124600639
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,128,0,12.71875,10.5,18.9375,12.648531336520284,128,0,6.078125,4.0,8.7421875,6.6595391332933795,6.640625,52.21130221130221,128,12.71875,6.078125,6.640625
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,79,0,13.49367088607595,11.0,20.443037974683545,13.755217339100984,79,0,5.113924050632911,3.0,7.30379746835443,5.769331954442972,8.37974683544304,62.10131332082551,79,13.49367088607595,5.113924050632911,8.379746835443038
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,49,0,11.46938775510204,7.0,16.510204081632654,11.626129941227768,49,0,7.63265306122449,6.0,11.061224489795919,7.498211454680423,3.836734693877551,33.45195729537367,49,11.46938775510204,7.63265306122449,3.836734693877551
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,SHARED_ACCOUNT,FULL_HISTORY,2014-01-01,2023-12-31,2121,0,14.441301272984441,16.0,21.204148986327205,14.310943014917825,2125,0,14.038588235294117,16.0,20.586823529411763,13.943656621835519,0.40271303769032407,2.788620153252297,2117,14.43882853094001,14.037316957959376,0.40151157298063295
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,SHARED_ACCOUNT,DISCOVERY,2014-01-01,2020-12-31,1493,2,14.681848626925653,16.0,21.58472873409243,14.566583384779657,1494,2,14.23962516733601,16.0,20.89491298527443,14.166138334209142,0.44222345958964304,3.012042085617417,1492,14.680965147453083,14.237265415549597,0.4436997319034853
ATRDR_FAST_BEAR,fixed_0.05,CONTINUOUS_2014_2023,SHARED_ACCOUNT,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,626,0,13.84664536741214,16.0,20.268370607028753,13.938599464944128,629,0,13.538950715421304,16.0,19.825119236883943,13.613339443844218,0.3076946519908361,2.2221602693385245,623,13.837881219903691,13.536115569823435,0.3017656500802568
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,128,0,12.71875,10.5,18.9375,12.648531336520284,128,0,12.4140625,10.5,18.4921875,12.351960221804365,0.3046875,2.3955773955773974,128,12.71875,12.4140625,0.3046875
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,79,0,13.49367088607595,11.0,20.443037974683545,13.755217339100984,79,0,13.08860759493671,11.0,19.835443037974684,13.31416709481103,0.4050632911392409,3.001876172607887,79,13.49367088607595,13.08860759493671,0.4050632911392405
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,49,0,11.46938775510204,7.0,16.510204081632654,11.626129941227768,49,0,11.326530612244898,7.0,16.3265306122449,11.465993348865553,0.14285714285714235,1.245551601423478,49,11.46938775510204,11.326530612244898,0.14285714285714285
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,SHARED_ACCOUNT,FULL_HISTORY,2014-01-01,2023-12-31,2121,0,14.441301272984441,16.0,21.204148986327205,14.310943014917825,2121,0,14.422913719943423,16.0,21.177274870344178,14.292549458505722,0.018387553041018023,0.12732615083251853,2121,14.441301272984441,14.422913719943423,0.018387553041018388
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,SHARED_ACCOUNT,DISCOVERY,2014-01-01,2020-12-31,1493,2,14.681848626925653,16.0,21.58472873409243,14.566583384779657,1493,2,14.660415271265908,16.0,21.552578700602812,14.543284575300625,0.021433355659745246,0.14598540145984717,1493,14.681848626925653,14.660415271265908,0.021433355659745478
ATRDR_FAST_BEAR,atr_3,CONTINUOUS_2014_2023,SHARED_ACCOUNT,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,626,0,13.84664536741214,16.0,20.268370607028753,13.938599464944128,626,0,13.835463258785943,16.0,20.25399361022364,13.927493851772898,0.011182108626197618,0.08075680664513252,626,13.84664536741214,13.835463258785943,0.011182108626198083
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,499,0,14.092184368737476,15.0,20.671342685370742,14.14908182412187,510,0,7.964705882352941,6.0,11.535294117647059,8.15115768404177,6.127478486384534,43.48139597135783,499,14.092184368737476,8.006012024048097,6.086172344689379
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,340,2,14.079411764705883,15.0,20.73235294117647,14.27761274558732,350,0,7.442857142857143,6.0,10.854285714285714,7.477503803749054,6.63655462184874,47.136590169805125,340,14.079411764705883,7.5058823529411764,6.573529411764706
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,157,0,14.031847133757962,17.0,20.420382165605094,13.908142139265214,160,0,9.10625,7.0,13.025,9.084308876548238,4.925597133757963,35.102984566500226,157,14.031847133757962,9.165605095541402,4.86624203821656
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,FULL_HISTORY,2014-01-01,2023-12-31,2121,0,14.441301272984441,16.0,21.204148986327205,14.310943014917825,2158,0,12.9902687673772,16.0,19.02873030583874,12.911567128701307,1.451032505607241,10.047796096614292,2114,14.436140018921476,12.999526963103122,1.4366130558183539
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,DISCOVERY,2014-01-01,2020-12-31,1493,2,14.681848626925653,16.0,21.58472873409243,14.566583384779657,1519,0,13.141540487162606,16.0,19.275181040158,13.012904752761642,1.540308139763047,10.491241116178053,1488,14.67741935483871,13.175403225806452,1.502016129032258
ATRDR_SLOW_BEAR,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,626,0,13.84664536741214,16.0,20.268370607028753,13.938599464944128,639,0,12.630672926447575,16.0,18.44287949921753,12.763528352067988,1.2159724409645651,8.781711444898688,624,13.83974358974359,12.615384615384615,1.2243589743589745
MCB,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,1008,2,14.203373015873016,16.0,21.01686507936508,14.084371108962413,1024,2,11.6005859375,12.0,17.1396484375,11.516928038210123,2.602787078373016,18.325133582454423,1008,14.203373015873016,11.586309523809524,2.617063492063492
MCB,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,714,2,14.338935574229692,16.0,21.189075630252102,14.15842845343784,729,2,11.574759945130316,11.0,17.041152263374485,11.399056277046578,2.764175629099377,19.27741159578975,714,14.338935574229692,11.560224089635854,2.7787114845938374
MCB,fixed_0.05,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,294,0,13.874149659863946,16.0,20.598639455782312,13.952955042767575,295,0,11.664406779661016,15.0,17.38305084745763,11.747838400925236,2.2097428802029295,15.927050913941198,294,13.874149659863946,11.649659863945578,2.2244897959183674
MCB,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,1008,2,14.203373015873016,16.0,21.01686507936508,14.084371108962413,1028,3,9.400778210116732,8.0,13.95330739299611,9.345823048994806,4.802594805756284,33.81305835162628,1005,14.198009950248757,9.402985074626866,4.79502487562189
MCB,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,714,2,14.338935574229692,16.0,21.189075630252102,14.15842845343784,730,3,9.26027397260274,8.0,13.658904109589042,9.1338070939723,5.078661601626953,35.41867926901391,711,14.331926863572432,9.275668073136428,5.056258790436005
MCB,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,294,0,13.874149659863946,16.0,20.598639455782312,13.952955042767575,298,0,9.74496644295302,10.0,14.674496644295303,9.780093108706666,4.129183216910926,29.76170300985075,294,13.874149659863946,9.710884353741497,4.163265306122449
MCB,profit_0,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,1008,2,14.203373015873016,16.0,21.01686507936508,14.084371108962413,1015,2,12.469950738916257,15.0,18.48669950738916,12.365232661731413,1.7334222769567589,12.204300168837134,1008,14.203373015873016,12.462301587301587,1.7410714285714286
MCB,profit_0,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,714,2,14.338935574229692,16.0,21.189075630252102,14.15842845343784,721,2,12.500693481276006,14.0,18.524271844660195,12.317732672696069,1.8382420929536867,12.819934111827823,714,14.338935574229692,12.490196078431373,1.8487394957983194
MCB,profit_0,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,294,0,13.874149659863946,16.0,20.598639455782312,13.952955042767575,294,0,12.394557823129253,16.0,18.39455782312925,12.45292595978728,1.4795918367346932,10.664378524148066,294,13.874149659863946,12.394557823129253,1.4795918367346939
OGR,fixed_0.05,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,255,0,9.007843137254902,7.0,12.580392156862745,9.033416065062898,258,0,7.224806201550388,5.5,10.011627906976743,7.215877115986516,1.783036935704514,19.79427159793866,255,9.007843137254902,7.250980392156863,1.7568627450980392
