episode_id,symbol,entry_date,outlay,proceeds,buys,sells,native_time,realized_pnl,native_return,sessions
SMV6|159915.SZ|2020-11-10,159915.SZ,2020-11-10,293133.487454496,274816.35261462396,1,2,2020-11-18 15:00:00,-18317.134839872015,-0.0624873500429234,6
SMV6|510300.SH|2020-11-06,510300.SH,2020-11-06,695882.0452562592,702825.6334435658,3,4,2020-12-11 15:00:00,6943.588187306654,0.009978110851746,25
SMV6|515210.SH|2020-11-06,515210.SH,2020-11-06,285158.3487484628,275634.7292418014,6,2,2020-12-14 09:30:00,-9523.619506661373,-0.0333976527373642,26
SMV6|512070.SH|2020-12-02,512070.SH,2020-12-02,40614.380291808,37843.924261088,2,2,2020-12-14 09:30:00,-2770.456030720001,-0.0682136723696066,8
SMV6|159997.SZ|2020-11-10,159997.SZ,2020-11-10,264371.749857216,249231.55891695997,3,10,2020-12-16 15:00:00,-15140.190940256056,-0.0572685657542195,26
SMV6|159980.SZ|2020-11-17,159980.SZ,2020-11-17,111020.627445552,111844.761213072,4,10,2020-12-18 09:30:00,824.1337675199902,0.0074232490527417,23
SMV6|159949.SZ|2020-12-22,159949.SZ,2020-12-22,280277.141899536,308339.80098374403,1,2,2021-01-29 15:00:00,28062.65908420802,0.1001246797866481,27
SMV6|512710.SH|2020-12-22,512710.SH,2020-12-22,279675.44070335996,311374.413819768,1,2,2021-01-29 15:00:00,31698.973116408044,0.1133419975550509,27
SMV6|159901.SZ|2020-12-22,159901.SZ,2020-12-22,280185.00880603585,303657.80244629685,1,2,2021-01-29 15:00:00,23472.793640260992,0.0837760511894858,27
SMV6|159928.SZ|2020-12-22,159928.SZ,2020-12-22,237058.60964147997,244348.046534816,2,2,2021-02-01 09:30:00,7289.436893336038,0.0307495133982282,28
SMV6|159905.SZ|2021-01-04,159905.SZ,2021-01-04,239938.07669173443,248948.71568218613,1,2,2021-02-01 09:30:00,9010.638990451698,0.0375540185813372,20
SMV6|159980.SZ|2021-04-30,159980.SZ,2021-04-30,287972.73102959996,305230.313085728,1,3,2021-05-10 15:00:00,17257.582056128012,0.0599278341196622,3
SMV6|512100.SH|2021-05-25,512100.SH,2021-05-25,312921.7469884297,315640.0392123684,4,1,2021-06-11 15:00:00,2718.292223938741,0.0086868114795461,13
SMV6|510500.SH|2021-05-26,510500.SH,2021-05-26,619083.3152478739,628990.6579038308,1,3,2021-06-11 15:00:00,9907.342655956862,0.0160032461091121,12
SMV6|588000.SH|2021-05-28,588000.SH,2021-05-28,414840.49230815994,431583.353822448,1,2,2021-06-11 15:00:00,16742.86151428806,0.0403597571228673,10
SMV6|515000.SH|2021-07-22,515000.SH,2021-07-22,40817.23297423199,40135.680578136,1,1,2021-07-23 15:00:00,-681.5523960959908,-0.016697662884847,1
SMV6|515880.SH|2021-11-15,515880.SH,2021-11-15,33360.415749,33259.529176850665,2,2,2021-11-29 09:30:00,-100.88657214933482,-0.0030241401338758,10
SMV6|159915.SZ|2021-11-23,159915.SZ,2021-11-23,633698.366490432,627744.128139584,1,2,2021-11-29 09:30:00,-5954.238350847969,-0.009396013412223,4
SMV6|512100.SH|2021-11-30,512100.SH,2021-11-30,630341.61616403,615980.2683226044,1,3,2021-12-24 15:00:00,-14361.347841425682,-0.022783435954653,18
SMV6|159928.SZ|2021-12-14,159928.SZ,2021-12-14,417464.514127584,415466.983741248,1,2,2021-12-24 15:00:00,-1997.5303863359732,-0.0047849106181165,8
SMV6|510050.SH|2021-12-14,510050.SH,2021-12-14,416672.6843648776,408024.3995042197,1,2,2021-12-24 15:00:00,-8648.284860657877,-0.0207555839035625,8
SMV6|512070.SH|2021-12-17,512070.SH,2021-12-17,46677.838660992,45415.346473728,1,1,2021-12-24 15:00:00,-1262.492187263997,-0.0270469289812906,5
SMV6|159601.SZ|2022-06-09,159601.SZ,2022-06-09,309528.568775088,316590.14370511996,2,2,2022-07-15 15:00:00,7061.5749300319585,0.0228139682161716,26
SMV6|510150.SH|2022-06-09,510150.SH,2022-06-09,203922.75159503997,211872.9489336,3,1,2022-07-15 15:00:00,7950.197338560043,0.0389863184778318,26
SMV6|159928.SZ|2022-06-15,159928.SZ,2022-06-15,247222.5150160799,257954.129013968,1,1,2022-07-15 15:00:00,10731.613997888053,0.0434087243113356,22
SMV6|515170.SH|2022-06-08,515170.SH,2022-06-08,308783.92475606396,320102.927967728,3,3,2022-07-18 09:30:00,11319.003211664036,0.0366567113900309,28
SMV6|515650.SH|2022-06-09,515650.SH,2022-06-09,89617.24202443198,94193.427386032,3,3,2022-07-18 15:00:00,4576.18536160003,0.0510636709881391,27
SMV6|512100.SH|2022-08-18,512100.SH,2022-08-18,637995.2768269005,631057.52843579,1,1,2022-08-19 15:00:00,-6937.748391110566,-0.010874294282578,1
SMV6|512980.SH|2023-01-04,512980.SH,2023-01-04,425542.385218752,449675.5464200959,3,2,2023-02-10 15:00:00,24133.161201343988,0.0567115334209029,22
SMV6|512010.SH|2023-01-06,512010.SH,2023-01-06,635573.2397901119,641964.695617152,1,3,2023-02-10 15:00:00,6391.455827040132,0.0100562066287606,20
SMV6|159601.SZ|2023-01-09,159601.SZ,2023-01-09,253631.4185404799,256141.64302368,2,1,2023-02-10 15:00:00,2510.224483200058,0.0098971353692896,19
SMV6|159901.SZ|2023-01-10,159901.SZ,2023-01-10,94057.25864232155,97569.85016557584,1,2,2023-02-13 09:30:00,3512.5915232542757,0.0373452466503607,19
SMV6|510180.SH|2023-01-10,510180.SH,2023-01-10,11451.17034787773,11656.61243921033,1,5,2023-02-15 09:30:00,205.44209133259935,0.017940706940114,21
SMV6|159611.SZ|2023-03-07,159611.SZ,2023-03-07,165052.714182048,159712.25347953598,1,2,2023-03-13 09:30:00,-5340.460702512006,-0.0323560913795192,4
SMV6|512760.SH|2023-03-23,512760.SH,2023-03-23,441962.1912432959,475760.23979782395,1,2,2023-04-21 15:00:00,33798.04855452804,0.0764727146895751,20
SMV6|512480.SH|2023-03-24,512480.SH,2023-03-24,265084.36187111994,275904.36368887994,1,1,2023-04-21 15:00:00,10820.00181776,0.040817201517985,19
SMV6|159995.SZ|2023-03-24,159995.SZ,2023-03-24,265040.76831415197,276776.39092854405,1,1,2023-04-21 15:00:00,11735.62261439208,0.0442785564237493,19
SMV6|159997.SZ|2023-03-23,159997.SZ,2023-03-23,186668.912237184,189547.593057968,2,3,2023-04-24 15:00:00,2878.6808207840077,0.0154213188810268,21
SMV6|515000.SH|2023-03-24,515000.SH,2023-03-24,116595.2473866,117271.280132184,1,3,2023-04-24 15:00:00,676.0327455840161,0.0057981157957704,20
SMV6|515450.SH|2023-08-01,515450.SH,2023-08-01,7652.134083583256,7343.062764065919,1,2,2023-08-14 09:30:00,-309.07131951733754,-0.0403902122128797,9
SMV6|159980.SZ|2023-08-01,159980.SZ,2023-08-01,433539.57569702395,417105.54380368,1,3,2023-08-14 15:00:00,-16434.031893343956,-0.0379066475463563,9
SMV6|159980.SZ|2023-09-07,159980.SZ,2023-09-07,69930.87217775999,68997.544450656,1,2,2023-09-11 09:30:00,-933.3277271039842,-0.0133464333854084,2
SMV6|159997.SZ|2023-11-16,159997.SZ,2023-11-16,252552.6406680479,249330.75963284797,1,6,2023-11-22 09:30:00,-3221.881035199971,-0.0127572652840909,4
