year,signals,dates,t1_executable,t2_executable,t1_gap_A,t1_extension_A,t1_close_location,t1_amount_vs20,false_breakout,t2_reenter,mfe,mae,mfe_before_mae,return10,t1_extension_bin,t1_false_breakout_close,t1_reversal,t1_digest_to_quarter_A
2023,301,103,0.4883720930232558,0.3953488372093023,-0.039502418037364664,0.6684200099535245,0.5511609978545166,2.729665605103648,0.0,0.43853820598006643,0.06528547210689223,-0.047696499077208944,0.521594684385382,-0.0002217073911662041,,False,,
2023,109,67,0.7431192660550459,0.963302752293578,-0.04608523539741486,0.24230564867080073,0.253181074035378,1.5290180554362074,1.0,0.9541284403669725,0.03745776588133724,-0.0643551312088934,0.5412844036697247,-0.01761362712182256,,True,,
2020,167,66,0.5868263473053892,0.3712574850299401,0.1276336508402892,0.660103055886925,0.6664764139051014,2.009078840312101,0.08982035928143713,0.3712574850299401,0.14658142795330406,-0.03640491456793802,0.41317365269461076,0.061523263258119416,,,False,
2020,113,58,0.48672566371681414,0.6548672566371682,0.06281823842001168,0.6472191834712407,0.22561976944994863,2.1365269074932463,0.45132743362831856,0.672566371681416,0.09175597928901727,-0.0719295777105296,0.4690265486725664,0.007454894283248389,,,True,
2021,156,94,0.5833333333333334,0.46153846153846156,-0.013100559160064794,0.47031609060781787,0.6416744446759427,1.7147356946180339,0.14743589743589744,0.46153846153846156,0.09752820090185745,-0.056522574360121744,0.5128205128205128,0.020551281498794434,,,False,
2021,119,69,0.48739495798319327,0.6890756302521008,0.016346174330869746,0.7052502899268493,0.22401106702345217,2.0429663586420714,0.48739495798319327,0.6722689075630253,0.06762579998441216,-0.09080107336991321,0.5462184873949579,-0.013089881783591906,,,True,
2022,245,73,0.6979591836734694,0.4816326530612245,0.005440656741659871,0.4234932932690408,0.6128961823938667,2.1144886135664236,0.15918367346938775,0.4897959183673469,0.09899698317860249,-0.05417167580159353,0.49387755102040815,0.01595579157371163,,,False,
2022,240,85,0.49583333333333335,0.7458333333333333,0.08837820771263304,0.7330957805331455,0.1969459813559144,2.4003907839668397,0.5333333333333333,0.75,0.06695609058288171,-0.08522174389092743,0.575,-0.016853831985628013,,,True,
2023,238,93,0.6428571428571429,0.4411764705882353,-0.05330498525897001,0.43731166885395284,0.6581490966863707,2.3410265787566353,0.11764705882352941,0.48739495798319327,0.06700741528027038,-0.04173033220164718,0.5042016806722689,0.005434037303049415,,,False,
2023,172,86,0.436046511627907,0.6918604651162791,-0.024655433506696103,0.7168282161208592,0.21490523553221705,2.5042985488855725,0.47093023255813954,0.6976744186046512,0.04527779471924044,-0.06647424589035861,0.5581395348837209,-0.019036421014251344,,,True,
2020,183,71,0.39344262295081966,0.21311475409836064,0.18167934720275933,0.8860398557484063,0.5902967138630045,2.358813657453603,0.0,0.22404371584699453,0.14175619521500685,-0.042130572858265165,0.4371584699453552,0.05241134281099613,,,,False
2020,97,53,0.8350515463917526,1.0,-0.0498354629517046,0.21884210787018882,0.2942655395148454,1.4977402841736938,0.6804123711340206,1.0,0.09181588044860287,-0.06698730083580379,0.4329896907216495,0.015726930759801236,,,,True
2021,158,101,0.34810126582278483,0.23417721518987342,0.05499615688741329,0.8279056790992647,0.5824016162149138,2.2229601675358226,0.006329113924050633,0.22784810126582278,0.10310719417713678,-0.06377621934334626,0.5189873417721519,0.018227696649248514,,,,False
2021,117,69,0.8034188034188035,1.0,-0.07511013052827271,0.22636749861906688,0.296408565425816,1.3622569108389733,0.6837606837606838,0.9914529914529915,0.059580622725189734,-0.08159151004230729,0.5384615384615384,-0.0105271118719382,,,,True
2022,246,80,0.4105691056910569,0.2601626016260163,0.10719167693551511,0.8637960291331446,0.5543229560355318,3.013771941848633,0.0040650406504065045,0.27235772357723576,0.10026878067039097,-0.06220970902744097,0.540650406504065,0.008143061163172717,,,,False
2022,239,79,0.7907949790794979,0.9748953974895398,-0.016005948842669947,0.28119255653605174,0.25549436413044335,1.4759648568244828,0.694560669456067,0.9748953974895398,0.06551298148005459,-0.07707820370068,0.5271966527196653,-0.008949555594693983,,,,True
2023,236,98,0.3940677966101695,0.24152542372881355,-0.038963715348293904,0.7905669085593315,0.56931646553496,3.0857286331954277,0.00423728813559322,0.2923728813559322,0.06892537590902827,-0.049234833265361225,0.5508474576271186,-0.0019427704803840608,,,,False
2023,174,81,0.7758620689655172,0.9597701149425287,-0.04435369518780778,0.2365177883892627,0.3399750978476758,1.4966460963949164,0.6206896551724138,0.9597701149425287,0.042937211347768914,-0.05605444372167916,0.4942528735632184,-0.008792221326081989,,,,True
