scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,peak_date,trough_date,recovery_date,MaxDD,top_losing_securities,ATRDR_pnl,ATRDR_native_equivalent_pnl,ATRDR_incremental_scaled_pnl,MCB_pnl,MCB_native_equivalent_pnl,MCB_incremental_scaled_pnl,OGR_pnl,OGR_native_equivalent_pnl,OGR_incremental_scaled_pnl,SMV6_pnl,SMV6_native_equivalent_pnl,SMV6_incremental_scaled_pnl,single_security_weight,demand_family_gross,total_gross,cash,IFCGR_pnl,IFCGR_native_equivalent_pnl,IFCGR_incremental_scaled_pnl
SINGLE,OGR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-03-30,2022-04-26,2022-11-07,0.2616403574351282,"{""002727.SZ"": -169795.70445544634, ""002585.SZ"": -120669.43190418248}",0.0,0.0,0.0,0.0,0.0,0.0,-290465.1363596288,-3141.26018840936,-287323.87617121945,0.0,0.0,0.0,0.5077368818318699,0.0,0.999999999999998,1.6298145055770874e-09,,,
SINGLE,OGR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2022-03-30,2022-04-26,2022-11-07,0.2616403574351282,"{""002727.SZ"": -169795.70445544634, ""002585.SZ"": -120669.43190418248}",0.0,0.0,0.0,0.0,0.0,0.0,-290465.1363596288,-3141.26018840936,-287323.87617121945,0.0,0.0,0.0,0.5077368818318699,0.0,0.999999999999998,1.6298145055770874e-09,,,
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-09-17,2018-11-12,0.1810258320413749,"{""603579.SH"": -112606.88021142974, ""000002.SZ"": -26361.662743363624, ""002385.SZ"": -22570.25725568099, ""603817.SH"": -20260.34954304628, ""000839.SZ"": -16364.424197905819}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5410832952383675,0.0,0.9999999999999978,2.2118911147117615e-09,-218633.19883742844,-4694.31434200122,-213938.88449542722
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2018-07-26,2018-09-17,2018-11-12,0.1810258320413749,"{""603579.SH"": -112606.88021142974, ""000002.SZ"": -26361.662743363624, ""002385.SZ"": -22570.25725568099, ""603817.SH"": -20260.34954304628, ""000839.SZ"": -16364.424197905819}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5410832952383675,0.0,0.9999999999999978,2.2118911147117615e-09,-218633.19883742844,-4694.31434200122,-213938.88449542722
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2022-03-30,2022-04-26,2022-11-07,0.2616403574351282,"{""002727.SZ"": -169032.15955176367, ""002585.SZ"": -120126.80021596502}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5077368818318699,0.0,0.999999999999998,1.57160684466362e-09,-289158.9597677287,-3122.390050707152,-286036.56971702154
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2022-03-30,2022-04-26,2022-11-07,0.2616403574351282,"{""002727.SZ"": -169032.15955176367, ""002585.SZ"": -120126.80021596502}",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5077368818318699,0.0,0.999999999999998,1.57160684466362e-09,-289158.9597677287,-3122.390050707152,-286036.56971702154
SINGLE,SMV6,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2020-07-13,2020-12-22,2021-01-04,0.0941144284590829,"{""512980.SH"": -30597.97021392004, ""159997.SZ"": -20348.06391283199, ""159915.SZ"": -19983.37798321599, ""159928.SZ"": -18236.405594219992, ""510180.SH"": -14897.324778586768}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122699.91049836353,-124195.28012069478,1495.3696223312436,0.2493447626550534,0.0,0.9391752761066258,71835.8980515655,,,
SINGLE,SMV6,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2020-07-13,2020-12-22,2021-01-04,0.0941144284590829,"{""512980.SH"": -30597.97021392004, ""159997.SZ"": -20348.06391283199, ""159915.SZ"": -19983.37798321599, ""159928.SZ"": -18236.405594219992, ""510180.SH"": -14897.324778586768}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122699.91049836353,-124195.28012069478,1495.3696223312436,0.2493447626550534,0.0,0.9391752761066258,71835.8980515655,,,
SINGLE,SMV6,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2023-04-07,2023-11-22,,0.0924996452787586,"{""159997.SZ"": -24521.839664384017, ""512480.SH"": -18245.535110568017, ""512760.SH"": -17967.599418240046, ""515000.SH"": -17447.547160888018, ""159995.SZ"": -16606.44175548802}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111577.05644567982,-99547.81604083884,-12029.24040484098,0.0,0.0,0.0,1094666.017345894,,,
SINGLE,SMV6,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2023-04-07,2023-11-22,,0.0924996452787586,"{""159997.SZ"": -24521.839664384017, ""512480.SH"": -18245.535110568017, ""512760.SH"": -17967.599418240046, ""515000.SH"": -17447.547160888018, ""159995.SZ"": -16606.44175548802}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111577.05644567982,-99547.81604083884,-12029.24040484098,0.0,0.0,0.0,1094666.017345894,,,
