scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,target_gross,average_gross_exposure,median_exposure,p90_exposure,p95_exposure,max_exposure,observed_checkpoint_max_gross,share_checkpoints_90pct_target,share_days_90pct_target,zero_actual_exposure_days,pending_adjustments_at_end,normalization_weight_error_max,normalization_weight_error_p95,normalization_weight_error_median,normalization_max_gross_overshoot,observed_completed_timestamp_MaxDD
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.123273465254537,0.0637010175676184,0.335305123850335,0.4382599398732794,0.7028145228647411,0.7102681947025477,,,54,0,,,,,0.0256859374340211
COMBINED,COMBINED,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1372558244770529,0.0643041564480024,0.3930610563956439,0.5065565878933889,0.7601026066295427,0.7753978199866705,,,78,0,,,,,0.0425573799778182
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1407651634166607,0.0644990756277043,0.3991913131186996,0.5807201731593925,0.7830293872552284,0.7841473908008648,,,54,0,,,,,0.0306741327838299
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.122557914034739,0.056503378605953,0.344761586838698,0.4225561726121295,0.7090281554154497,0.7207576201227035,,,78,0,,,,,0.0425561722492698
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,,0.1233580409157048,0.0637462523042456,0.3354665711853979,0.4385632052002625,0.703320276580766,0.7107850244330449,,,54,0,,,,,0.0257052000510652
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.7994043199854474,0.9999999999999968,0.9999999999999992,0.9999999999999996,1.0,1.0,0.9649805447470816,0.7327852004110997,139,0,0.5332263891846436,0.0460604934845243,1.3877787807814457e-17,0.0,0.3821967721061002
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.7994043199854474,0.9999999999999968,0.9999999999999992,0.9999999999999996,1.0,1.0,0.9649805447470816,0.7327852004110997,139,0,0.5332263891846436,0.0460604934845243,1.3877787807814457e-17,0.0,0.3821967721061002
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.7592870505088583,0.9999999999999966,0.9999999999999992,0.9999999999999996,1.0,1.0,1.0,0.7334710743801653,109,0,0.0844191776228775,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.1798507756895051
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.7592870505088583,0.9999999999999966,0.9999999999999992,0.9999999999999996,1.0,1.0,1.0,0.7334710743801653,109,0,0.0844191776228775,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.1798507756895051
SINGLE,MCB,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.3435672650799444,0.0,0.9999999999999988,0.999999999999999,1.0,1.0,1.0,0.3278520041109969,631,0,0.0825969897281509,0.0008180123905494,6.938893903907228e-18,0.0,0.15843361204452
SINGLE,MCB,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.3435672650799444,0.0,0.9999999999999988,0.999999999999999,1.0,1.0,1.0,0.3278520041109969,631,0,0.0825969897281509,0.0008180123905494,6.938893903907228e-18,0.0,0.15843361204452
SINGLE,MCB,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.399999607817575,0.0,0.9999999999999988,0.9999999999999992,1.0,1.0,1.0,0.3822314049586777,286,0,1.6653345369377348e-16,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.1348079203455957
SINGLE,MCB,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.399999607817575,0.0,0.9999999999999988,0.9999999999999992,1.0,1.0,1.0,0.3822314049586777,286,0,1.6653345369377348e-16,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.1348079203455957
SINGLE,OGR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.3625051005215067,0.0,0.999999999999999,0.9999999999999998,1.0,1.0,0.9759036144578314,0.3103802672147996,568,0,0.502001787951263,0.4999510347667671,0.0214453436958071,0.0,0.178683707564795
SINGLE,OGR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.3625051005215067,0.0,0.999999999999999,0.9999999999999998,1.0,1.0,0.9759036144578314,0.3103802672147996,568,0,0.502001787951263,0.4999510347667671,0.0214453436958071,0.0,0.178683707564795
SINGLE,OGR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.3915204240192269,0.0,0.999999999999999,0.9999999999999992,1.0,1.0,1.0,0.3884297520661157,293,0,0.499975915276145,0.1010358921874986,5.551115123125783e-17,0.0,0.2632591877811699
SINGLE,OGR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.3915204240192269,0.0,0.999999999999999,0.9999999999999992,1.0,1.0,1.0,0.3884297520661157,293,0,0.499975915276145,0.1010358921874986,5.551115123125783e-17,0.0,0.2632591877811699
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.3558298959351653,0.0,0.999999999999999,0.9999999999999996,1.0,1.0,0.975,0.3001027749229188,570,0,0.5020017879512632,0.4999651086647229,0.0215835054512394,0.0,0.1810258320413749
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.3558298959351653,0.0,0.999999999999999,0.9999999999999996,1.0,1.0,0.975,0.3001027749229188,570,0,0.5020017879512632,0.4999651086647229,0.0215835054512394,0.0,0.1810258320413749
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.3915203654961233,0.0,0.9999999999999988,0.9999999999999992,1.0,1.0,1.0,0.3884297520661157,293,0,0.499975915276145,0.1011555220435595,2.7755575615628914e-17,0.0,0.2632591877811699
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.3915203654961233,0.0,0.9999999999999988,0.9999999999999992,1.0,1.0,1.0,0.3884297520661157,293,0,0.499975915276145,0.1011555220435595,2.7755575615628914e-17,0.0,0.2632591877811699
SINGLE,SMV6,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.1726055883631511,0.0,0.8487036790514207,0.9997110245452624,0.9999598510181112,0.9999598510181112,0.4018691588785046,0.0832476875642343,694,0,0.4415389856186092,0.3139080026178302,0.047664762318824,0.0,0.0941144284590829
SINGLE,SMV6,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.1726055883631511,0.0,0.8487036790514207,0.9997110245452624,0.9999598510181112,0.9999598510181112,0.4018691588785046,0.0832476875642343,694,0,0.4415389856186092,0.3139080026178302,0.047664762318824,0.0,0.0941144284590829
SINGLE,SMV6,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.1398755624190204,0.0,0.7682274747761632,0.9871939473352394,0.99999073669991,0.9999907562706738,0.2564102564102564,0.0888429752066115,383,0,0.4657868472347606,0.2216994157420504,0.0715549001022892,0.0,0.0946120696318314
SINGLE,SMV6,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.1398755624190204,0.0,0.7682274747761632,0.9871939473352394,0.99999073669991,0.9999907562706738,0.2564102564102564,0.0888429752066115,383,0,0.4657868472347606,0.2216994157420504,0.0715549001022892,0.0,0.0946120696318314
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8011507767580015,0.9775132469222894,0.9999999999999998,1.0,1.0,1.0,0.857397504456328,0.6618705035971223,59,0,0.9141427580508824,0.2394424029890918,0.0038227227226232,0.0,0.2920758863586911
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8011507767580015,0.9775132469222894,0.9999999999999998,1.0,1.0,1.0,0.857397504456328,0.6618705035971223,59,0,0.9141427580508824,0.2394424029890918,0.0038227227226232,0.0,0.2920758863586911
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8228171379328401,0.9952426090800212,0.999999999999999,0.9999999999999996,1.0,1.0,0.9002624671916011,0.7355371900826446,52,0,0.8950659888395028,0.2476259321054992,5.551115123125783e-17,0.0,0.1810027304622674
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8228171379328401,0.9952426090800212,0.999999999999999,0.9999999999999996,1.0,1.0,0.9002624671916011,0.7355371900826446,52,0,0.8950659888395028,0.2476259321054992,5.551115123125783e-17,0.0,0.1810027304622674
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.7973559736501662,0.9725451434250252,0.9999999999999992,1.0,1.0,1.0,0.8379096545615589,0.6423432682425488,57,1,0.913360423874052,0.2647227473941477,0.0055080770947524,0.0,0.2938122261738211
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.7973559736501662,0.9725451434250252,0.9999999999999992,1.0,1.0,1.0,0.8379096545615589,0.6423432682425488,57,1,0.913360423874052,0.2647227473941477,0.0055080770947524,0.0,0.2938122261738211
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8205712082333847,0.9952173847897706,0.999999999999999,0.9999999999999996,1.0,1.0,0.889763779527559,0.7252066115702479,52,0,0.8950590498966665,0.2652853757798695,5.551115123125783e-17,0.0,0.1810027304622675
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8205712082333847,0.9952173847897706,0.999999999999999,0.9999999999999996,1.0,1.0,0.889763779527559,0.7252066115702479,52,0,0.8950590498966665,0.2652853757798695,5.551115123125783e-17,0.0,0.1810027304622675
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8006267925601146,0.9776894121274484,0.9999999999999994,1.0,1.0,1.0,0.8572719060523939,0.6618705035971223,59,0,0.9138310432372692,0.2391679915711987,0.0037575243010496,0.0,0.2992462316451127
COMBINED,COMBINED,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8006267925601146,0.9776894121274484,0.9999999999999994,1.0,1.0,1.0,0.8572719060523939,0.6618705035971223,59,0,0.9138310432372692,0.2391679915711987,0.0037575243010496,0.0,0.2992462316451127
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8228255866421307,0.9952393666095514,0.9999999999999992,0.9999999999999998,1.0,1.0,0.9002624671916011,0.7355371900826446,52,0,0.895056781824173,0.2476265436707911,5.551115123125783e-17,0.0,0.1809813942452269
COMBINED,COMBINED,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8228255866421307,0.9952393666095514,0.9999999999999992,0.9999999999999998,1.0,1.0,0.9002624671916011,0.7355371900826446,52,0,0.895056781824173,0.2476265436707911,5.551115123125783e-17,0.0,0.1809813942452269
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.796916341209802,0.9725344176471508,0.9999999999999996,1.0,1.0,1.0,0.8369175627240143,0.6423432682425488,58,1,0.9130444786319936,0.2661924995107801,0.0051066325189079,0.0,0.3009643079834045
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.796916341209802,0.9725344176471508,0.9999999999999996,1.0,1.0,1.0,0.8369175627240143,0.6423432682425488,58,1,0.9130444786319936,0.2661924995107801,0.0051066325189079,0.0,0.3009643079834045
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1.0,0.8205802113747003,0.9952140389052055,0.9999999999999996,0.9999999999999998,1.0,1.0,0.889763779527559,0.7252066115702479,52,0,0.8950496004595576,0.2650822397931819,5.551115123125783e-17,0.0,0.1809813942452267
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1.0,0.8205802113747003,0.9952140389052055,0.9999999999999996,0.9999999999999998,1.0,1.0,0.889763779527559,0.7252066115702479,52,0,0.8950496004595576,0.2650822397931819,5.551115123125783e-17,0.0,0.1809813942452267
SINGLE,ATRDR,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.1993643079929951,0.2443837728968143,0.2529506007877699,0.2555084874420115,0.2755276668568164,0.2755276668568164,0.9669260700389104,0.7297019527235354,139,0,0.5250993166059711,0.0462555563105607,1.3877787807814457e-17,5.551115123125783e-17,0.1057405723819389
SINGLE,ATRDR,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.1895706755247475,0.2455762881015364,0.2526770846832314,0.2547227096999875,0.2729080835345929,0.2820872492635712,1.0,0.7293388429752066,109,0,0.084280022304025,8.326672684688674e-17,1.0408340855860844e-17,5.551115123125783e-17,0.0453030870094847
SINGLE,MCB,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0855595856929354,0.0,0.2497554376003143,0.25166401853191,0.2575055384054728,0.2593186082708268,1.0,0.329907502569373,631,0,0.0789377986649994,0.0003739100344422,1.3877787807814457e-17,0.0,0.0405612966598931
SINGLE,MCB,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.1001779792760399,0.0,0.2511797527237723,0.2523378200296997,0.2582930076734884,0.2614364823865596,1.0,0.384297520661157,286,0,2.775557561562891e-16,6.383782391594603e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0348283140903377
SINGLE,OGR,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0903255297959865,0.0,0.2506869244685738,0.2531803082243905,0.2707671790683753,0.2707671790683753,0.9738095238095238,0.3103802672147996,568,0,0.502001787951263,0.4999460230596321,0.020140388059968,0.0007324338179026,0.0467906425224927
SINGLE,OGR,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0968481935848873,0.0,0.2518727734782372,0.2536799455823217,0.2612257281553397,0.2612257281553397,1.0,0.3822314049586777,293,0,0.499975915276145,0.101425939049802,2.7755575615628914e-17,0.0003474766270178,0.069400063752987
SINGLE,IFCGR,IFCGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0886991243167475,0.0,0.2506027114995682,0.2535791730357784,0.2674719585849862,0.268723168413195,0.9752475247524752,0.3001027749229188,570,0,0.5020017879512632,0.4999620605224643,0.0196156256480867,0.0007333090506584,0.0477039327265192
SINGLE,IFCGR,IFCGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0968481547396859,0.0,0.2518727734782371,0.2536799455823214,0.2612257281553397,0.2612257281553397,1.0,0.3822314049586777,293,0,0.499975915276145,0.1015518669820868,1.1102230246251563e-16,0.0003476580457014,0.0694000637529873
SINGLE,SMV6,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0563745863927558,0.0,0.2502985064723579,0.2544778146233808,0.2672172952799789,0.2672172952799789,0.7009345794392523,0.171634121274409,704,0,0.2677574691958706,0.1602599744812092,0.0006748481910098,6.775871828240687e-05,0.0317974783925617
SINGLE,SMV6,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.0410392683239134,0.0,0.2449977469349674,0.2590453726710458,0.2694930734518949,0.2699094397344361,0.7435897435897436,0.1384297520661157,387,0,0.3945730248625306,0.1083487501311857,0.0002411747301355,0.0,0.0298479421903241
COMBINED,COMBINED,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.207563454319327,0.244260507759016,0.2530018022275361,0.2553896635893662,0.2936893203883494,0.2936893203883494,0.912442396313364,0.7122302158273381,78,0,0.8821257844869947,0.1829917633640832,0.000272895625736,0.0008464100600553,0.0781336535590853
COMBINED,COMBINED,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2107038960040825,0.2460320786549358,0.2528540768647635,0.2555024232724548,0.2750178954903364,0.2842402826855122,0.9378378378378378,0.7768595041322314,54,0,0.8433249359801493,0.1527702910821282,5.551115123125783e-17,0.0037414762998734,0.0463421011484113
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2074197987203693,0.2441801710642316,0.2530704136526532,0.2555710533912931,0.2936893203883494,0.2936893203883494,0.9068265682656826,0.7255909558067831,79,0,0.8821257844869947,0.1943422728462357,0.0003021463585206,0.000752636283352,0.0787557182387711
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2102153676505755,0.245955934617341,0.252758719957303,0.2557951123792423,0.2750178954903358,0.2842402826855117,0.935309973045822,0.7830578512396694,54,0,0.8432470964284731,0.161600337346746,5.551115123125783e-17,0.0037343086284769,0.0463805747450198
COMBINED,COMBINED,IFCGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2076018646402889,0.244168549575948,0.2530544373935595,0.2555563025956084,0.2936893203883487,0.2936893203883487,0.911297852474323,0.7132579650565262,79,0,0.8827906506565134,0.179578616015667,0.0002602261750849,0.0008476557915245,0.0802985128034642
COMBINED,COMBINED,IFCGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2107056816944049,0.2460234582189104,0.2528540768647635,0.2555050022851487,0.2750178954903364,0.2842402826855122,0.9378378378378378,0.7768595041322314,54,0,0.843279770821013,0.1527784773896026,5.2041704279304207e-17,0.0037489568463465,0.0463362907382848
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.207128211274915,0.2440022422537379,0.2530054926568581,0.2555710533912931,0.2936893203883486,0.2936893203883486,0.9056956115779644,0.7204522096608428,79,0,0.8827906506565135,0.1943958748631777,0.0003052608933925,0.0007519306812464,0.0809188930170194
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.25,0.2102171152220962,0.2459751229239847,0.2527586993922576,0.2557988757379434,0.2750178954903364,0.2842402826855123,0.935309973045822,0.7830578512396694,54,0,0.8432019916007447,0.1616355234847004,5.551115123125783e-17,0.0037480202128259,0.0463626203187601
SINGLE,ATRDR,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.3986419335448935,0.4897725350407608,0.5038793148816993,0.5072910991796017,0.532916513424052,0.532916513424052,0.9669260700389104,0.736896197327852,139,0,0.5301347693376104,0.0424350118529554,1.3877787807814457e-17,1.1102230246251563e-16,0.2046608840578951
SINGLE,ATRDR,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.3789929765451182,0.4936517667729725,0.5034696443846944,0.5062016217871794,0.5296388199614002,0.5410277105192355,1.0,0.737603305785124,109,0,0.0844191776228775,5.551115123125783e-17,6.938893903907228e-18,1.1102230246251563e-16,0.09186816763936
SINGLE,MCB,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.1713265380538673,0.0,0.4995832916985892,0.5022137796699568,0.5099082290820889,0.5122723296509849,1.0,0.329907502569373,631,0,0.080182513161266,0.0004337107686941,8.673617379884035e-18,0.0,0.08049897615335
SINGLE,MCB,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.2000892873112438,0.0,0.5015705330308391,0.5029980201480597,0.5109364158571528,0.5150196144407402,1.0,0.384297520661157,286,0,1.1102230246251563e-16,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.0688997778947188
SINGLE,OGR,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.1808299526748507,0.0,0.5009840367270437,0.5042225057914874,0.526946191053663,0.526946191053663,0.9738095238095238,0.3103802672147996,568,0,0.502001787951263,0.4999460230596321,0.0204535390246615,0.0010209535503308,0.0921511373679119
SINGLE,OGR,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.194342508977725,0.0,0.5024908031882276,0.5048826357907339,0.5147469111199675,0.5147469111199675,1.0,0.3884297520661157,293,0,0.499975915276145,0.101262207406977,5.551115123125783e-17,0.0005342771891859,0.1364048208018942
SINGLE,IFCGR,IFCGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.1775469627528694,0.0,0.5009160225773764,0.5047495646944853,0.521008403361344,0.5243561911264412,0.9752475247524752,0.3001027749229188,570,0,0.5020017879512632,0.4999620605224643,0.0198495018273291,0.001022151146538,0.0937447976203885
SINGLE,IFCGR,IFCGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.5,0.1943424618846871,0.0,0.5024908031882276,0.5048826357907346,0.5147469111199675,0.5147469111199675,1.0,0.3884297520661157,293,0,0.499975915276145,0.1013860024325797,2.7755575615628914e-17,0.000534648548775,0.1364048208018943
