case,artifact,expected_sha256,actual_sha256,actual_path,engine_identity,status
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,timeline.parquet,bb13d94c6943c034b53d55621872fa138adca2bc0187d4cc26ffe593427553a8,bb13d94c6943c034b53d55621872fa138adca2bc0187d4cc26ffe593427553a8,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,demand.parquet,a833e96f01ea15c0cb26621027a7441026e077093fd7fb4364da8b330d71de18,a833e96f01ea15c0cb26621027a7441026e077093fd7fb4364da8b330d71de18,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,checkpoints.parquet,2183f1bd52d70d3b27fc4fa362af5fcdc4ae75bbc9d90f168f8f0df0091e3ab8,2183f1bd52d70d3b27fc4fa362af5fcdc4ae75bbc9d90f168f8f0df0091e3ab8,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/checkpoints.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,scaling.json,63b227dd29368913a898dc9085459f3de5bf76a37d468c7f39184ab1ce354dfe,63b227dd29368913a898dc9085459f3de5bf76a37d468c7f39184ab1ce354dfe,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/scaling.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,account.json,91ee2833a0f57cc195de383eeedc237b9f748e6cd50608cad0b87569dfd2064b,91ee2833a0f57cc195de383eeedc237b9f748e6cd50608cad0b87569dfd2064b,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,daily.parquet,5296031f2fdb6e57b9b3fe92ac9775deacaf7d4f68d6ac116a92d945fab7b3cb,5296031f2fdb6e57b9b3fe92ac9775deacaf7d4f68d6ac116a92d945fab7b3cb,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,fills.parquet,6993398861c3efa7618eac33af0e708d6915cef939e6fc6941cc37a81a7ef899,6993398861c3efa7618eac33af0e708d6915cef939e6fc6941cc37a81a7ef899,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,timeline.parquet,67154ce23b637d0b376717acdb9cad2c6ab25788d8194425869515580339725e,67154ce23b637d0b376717acdb9cad2c6ab25788d8194425869515580339725e,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,demand.parquet,495c3a5eb4b4888333575fcbe4f2b4aa8c7634fb32487ccc25468ebf6b0db12b,495c3a5eb4b4888333575fcbe4f2b4aa8c7634fb32487ccc25468ebf6b0db12b,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,checkpoints.parquet,526c2bfcff7d1b045656fe3590b350bc9da3b98d7126bacb911be22e46ebfff1,526c2bfcff7d1b045656fe3590b350bc9da3b98d7126bacb911be22e46ebfff1,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/checkpoints.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,scaling.json,ea9ce5f8357fd4ed7338011b8aab21873596b61373d21263f0ca351a6326ded7,ea9ce5f8357fd4ed7338011b8aab21873596b61373d21263f0ca351a6326ded7,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/scaling.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,account.json,5984c7f95386a37869db283b43e052d6daac2bb053499709efb08d711e1b037e,5984c7f95386a37869db283b43e052d6daac2bb053499709efb08d711e1b037e,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,daily.parquet,cd6a47e666a61c5e6761e0df77260a0901f81a20fe312f314fa731ae356bc5c4,cd6a47e666a61c5e6761e0df77260a0901f81a20fe312f314fa731ae356bc5c4,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,fills.parquet,6567cefc1615b4eb2b10e30680f5ead94f1d109e4b47d9939c1684475edf8840,6567cefc1615b4eb2b10e30680f5ead94f1d109e4b47d9939c1684475edf8840,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,timeline.parquet,0264743d5d81c8609d84153f774664f077b4dd588321bd4caa4d4dc4cfe66cdb,0264743d5d81c8609d84153f774664f077b4dd588321bd4caa4d4dc4cfe66cdb,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,demand.parquet,57fe08fe9028f38461ff9b44ed7aff76cde5fb8c3b553a61108075d41a9f0bf3,57fe08fe9028f38461ff9b44ed7aff76cde5fb8c3b553a61108075d41a9f0bf3,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,checkpoints.parquet,bd403bf3ad90fed18ac7fe449d181e56519a59728135e96492cd979e71b71786,bd403bf3ad90fed18ac7fe449d181e56519a59728135e96492cd979e71b71786,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/checkpoints.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,scaling.json,1df107c39721c6984065a8eb2429d251aafc9e24bd4ed31ad17354a22a2b647c,1df107c39721c6984065a8eb2429d251aafc9e24bd4ed31ad17354a22a2b647c,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE/scaling.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,account.json,1e1ccf7e9be9ca79c319d15389aab33b0ce783e1445e857be32c65489eb4c7f0,1e1ccf7e9be9ca79c319d15389aab33b0ce783e1445e857be32c65489eb4c7f0,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,daily.parquet,decab27370c765d4b3988c0cdf42cf57b56ed970192394b5cba40827ed6534d9,decab27370c765d4b3988c0cdf42cf57b56ed970192394b5cba40827ed6534d9,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,fills.parquet,9087cd1f99b13c2ab108c6ddec1c60b01f0f4c918a23f9d7811ef51e5872beb7,9087cd1f99b13c2ab108c6ddec1c60b01f0f4c918a23f9d7811ef51e5872beb7,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,timeline.parquet,62019fa8267a9352865af3e2d98d0404a931b0c58d22d656828df244b8708103,62019fa8267a9352865af3e2d98d0404a931b0c58d22d656828df244b8708103,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,demand.parquet,0e29e406f4dfef01776de599bcc0c04d4a280a09e22feb27a14d7905298e29ea,0e29e406f4dfef01776de599bcc0c04d4a280a09e22feb27a14d7905298e29ea,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,checkpoints.parquet,ba0287825f0bce8c6905c799b958343f2933233c73aee68b96a11b87d07598ef,ba0287825f0bce8c6905c799b958343f2933233c73aee68b96a11b87d07598ef,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/checkpoints.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE,scaling.json,236cfee220e6c1a0c2489be42793c99a97bdcc14c2aaab4762cd60822b357040,236cfee220e6c1a0c2489be42793c99a97bdcc14c2aaab4762cd60822b357040,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__ENTRY_ONLY__NONE/scaling.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR,account.json,a2f48bb5deae11347d2405ab8a5bf8d630843fa1f34bff58cb6f0f6f62068af0,a2f48bb5deae11347d2405ab8a5bf8d630843fa1f34bff58cb6f0f6f62068af0,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR/account.json,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR,daily.parquet,e72ee642a86f7a6a83d1f85a61b64b3c091f29dead800af8ce819a6304b87a76,e72ee642a86f7a6a83d1f85a61b64b3c091f29dead800af8ce819a6304b87a76,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR/daily.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR,fills.parquet,7bf247f9a28ae3dd95271364353e0f580179f68bb731121a891a9d523bf55608,7bf247f9a28ae3dd95271364353e0f580179f68bb731121a891a9d523bf55608,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR/fills.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR,timeline.parquet,1780f2beb3405c3886093fc45d2ea3ee1aed0a5bec26c444b8fdec3619794123,1780f2beb3405c3886093fc45d2ea3ee1aed0a5bec26c444b8fdec3619794123,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR/timeline.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR,demand.parquet,4ae17c9cd44eaa596d5551655f6a32d558028f7ea9f7c461de78be18d5e3e0e5,4ae17c9cd44eaa596d5551655f6a32d558028f7ea9f7c461de78be18d5e3e0e5,/Volumes/quant/CY_quant_research/five_strategy_capital_scaling_v1/deterministic/ec3ca1bc3c61b7a2-cqm8ekm2/COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__ATRDR/demand.parquet,ec3ca1bc3c61b7a23bae252af91b5a23620b0efef66e38a3d5efd705d2c50925,PASS
