scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,incremental_CAGR,incremental_MaxDD,incremental_CVaR5,incremental_capital_days,incremental_net_pnl,incremental_average_gross_exposure,incremental_pnl_per_capital_day,capital_day_denominator_status
SINGLE,IFCGR,IFCGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.04821550870872571,0.032207102916217506,-0.0066678704432296,122939980.50546692,223012.5301357098,0.07425072866534739,0.0018139951642972062,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0218903021889807,0.0645462912024698,-0.0078632058446096,76084069.24626955,49272.50865159626,0.0901275597671975,0.0006476061170191961,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0345325906636309,-0.06755072803919311,0.0090349782712511,-159257016.64787692,-156439.18197589624,-0.09433585539445419,,NEGATIVE_DENOMINATOR
SINGLE,SMV6,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0369813346581485,-0.05364551662943659,0.008894196224599499,-68919718.28247909,-76290.31122376559,-0.0839562225498134,,NEGATIVE_DENOMINATOR
COMBINED,COMBINED,OGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0407726595011529,0.0358579079722628,-0.0013206975348876004,617981145.0249739,1090908.5681196675,0.0703254713131688,0.0017652780783070359,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.034869500307296096,0.013544231112538,-0.0029318299507856997,380162868.5393553,492451.8005083725,0.07003557647971861,0.0012953705931366961,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.06556644607864359,0.036295172252466895,-0.0018331191064593997,782577724.7240533,1741800.877656011,0.08487286089782121,0.0022257225354455263,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.034760370570281404,0.0185141165425424,-0.003996913189330101,463959243.3500514,489193.9591191858,0.0869419023960385,0.0010543899407778263,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.05148412997016559,0.038001440607356995,-0.0010054534975028999,634364671.7038007,1397091.362917128,0.070346040163236,0.0022023473645919893,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.034847459810043,0.013513463194801296,-0.0029270526398352007,379399535.90255415,491778.2747680533,0.0699405182777442,0.0012962015717762048,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.064467535845268,0.0384359652818058,-0.0018354498524277996,775275713.7589598,1709053.32870969,0.08457029724017599,0.0022044458485914213,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G25,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.034744578414639404,0.018475093202418,-0.0039928696166451,463197686.47291636,488612.02498164866,0.0868590743063914,0.0010548671533794855,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.03199500708784889,0.12620971786287088,-0.00920362217493,481057022.95631933,315427.1613061852,0.18077507713525573,0.0006556959908156801,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0653574827590247,0.0264733807148545,-0.006132117001788298,362589870.0997382,389827.8188166646,0.1571775588361155,0.0010751205451752805,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0017737167039907908,0.028737621961300606,-0.0029223001259442005,125907298.364577,11916.962084296916,0.0641219172208881,9.464869979014383e-05,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0533298182648511,0.046714459937233804,-0.0052169904886941,147065418.13280693,205846.4769251265,0.09710862106554072,0.0013996932762210456,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.14717539544329308,0.07701523971301519,-0.014344342919694,337833476.7425864,787197.3486499644,0.1661362344031026,0.002330134231338396,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0504807306902708,0.1311126031224261,-0.016286706372756598,161298523.66527805,115738.89529228583,0.1876204394775085,0.0007175446660160622,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.12422497298714631,0.07824796781008679,-0.014305669055870999,316391600.49366444,641041.7431759124,0.1630985671014693,0.0020261022801354328,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0504501482807908,0.1311132825655182,-0.0162879869186601,160566789.01487604,115146.43585586827,0.1876218669121987,0.0007171248585235164,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0180508534677219,-0.04711316089810061,0.0054334326570478,-91522999.83979857,-83712.04809337412,-0.05224480009676369,,NEGATIVE_DENOMINATOR
SINGLE,SMV6,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0220160912093586,-0.03129250139066479,0.005196733463320299,-40699111.26201489,-45746.68323231836,-0.0482278729679574,,NEGATIVE_DENOMINATOR
COMBINED,COMBINED,OGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1730004945785769,0.11009232569057448,-0.010471757331269501,2999765031.3867908,5535081.744235116,0.2700717477428116,0.0018451717672287981,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.11676169000995282,0.05689260287110409,-0.0127223208433975,1577206291.5902443,1712188.4971589586,0.27594906719922907,0.0010855831011380359,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1826276109213716,0.1110103500981303,-0.011358525591664,3106289367.6826687,5693139.422171138,0.2840463858049437,0.0018327781955543609,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.11769107429634101,0.06166645449643579,-0.013835804486578698,1653251578.6366775,1720812.8860578313,0.28900529767329,0.0010408657147491533,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.16995993263954778,0.11415151066348189,-0.010480822617121502,2963523444.5369883,5413051.831365436,0.26926011379103587,0.0018265594764718168,DEFINED
COMBINED,COMBINED,IFCGR,independent,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1167494171925969,0.0568542732594927,-0.0127177348552543,1575599828.01868,1710754.7728195954,0.275856816180198,0.0010857799946391673,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.17958742265806077,0.11506275596617309,-0.0113682997729907,3070638410.1581025,5572483.2855542,0.2832618398252658,0.0018147637530748148,DEFINED
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,G50,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.11768302782173691,0.0616316798478002,-0.0138319678087045,1651659262.623466,1719434.348489969,0.2889256810654827,0.0010410345447152644,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1196781040767021,0.21155125656882756,-0.020342469279741704,1197392982.0515618,1322180.88266493,0.38074107319518025,0.0011042163287106979,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1365009188896456,0.06892350274886011,-0.0149892611367035,846483095.983851,840290.4697900829,0.3470065150120165,0.00099268428841267,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.046036935122345704,0.0674303105909361,-0.008606228561001801,345112784.5176126,328753.1859243645,0.1501179099290213,0.0009525963704412892,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0985848323578426,0.079749545805605,-0.010801182435211202,307894491.70008445,388616.0044342543,0.19704484358127342,0.001262172643259885,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2403333549565819,0.1201349839257524,-0.022007400129878302,630362472.5973331,1465204.2004623546,0.25684970849892963,0.002324383611266001,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.07740136538057489,0.19536214060940288,-0.0247938071547114,248569923.3398195,179769.10328446468,0.28582495557083903,0.0007232134156420151,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.2025424889710645,0.1226652034358669,-0.0219518463296459,574296556.7253606,1167794.8046916088,0.2521283655112794,0.002033435149516437,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.0773522458841606,0.1953628200524948,-0.0247955916165499,247435838.08836403,178842.1890635332,0.2858263736250257,0.0007227820773467151,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.0021264676898867033,-0.024436173014171503,0.0019588633869190002,-22590274.668779224,-10086.841635202087,-0.012844290157981497,,NEGATIVE_DENOMINATOR
SINGLE,SMV6,OGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,-0.013157416521193406,-0.008681629580488598,0.0016339347645767995,-13786977.788919136,-27455.77744194468,-0.015176438695537503,,NEGATIVE_DENOMINATOR
COMBINED,COMBINED,OGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.3168354557332838,0.18111029895629138,-0.019558703728270198,6218334116.9564905,12243929.472246032,0.46781652328675893,0.0019690047594674307,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.20375737924425488,0.0995857211920832,-0.0223562388804033,2944935734.25725,3105037.9842125056,0.479749854306035,0.0010543652780238464,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.32286611678177424,0.18239665449415038,-0.0204760709980808,6256400415.30318,12125147.867280025,0.48164000090682035,0.001938038978071459,DEFINED
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.1954311712824514,0.10435957281741488,-0.0235887446339808,2978458894.2599964,2957892.734931662,0.4954474754515389,0.0009930950333516542,DEFINED
COMBINED,COMBINED,IFCGR,independent,2018_2021,G75,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,0.312370672259594,0.1868375305301408,-0.0195779282260313,6140775741.424467,11996345.644291358,0.4671587770679576,0.001953555405608833,DEFINED
