scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,initial_nav,max_position_notional,max_position_notional_over_NAV,max_single_order_notional,max_physical_fill_notional,order_aggregation_basis,max_order_notional_over_completed_timestamp_NAV,max_order_over_initial_NAV,max_daily_traded_notional,max_same_symbol_daily_traded_notional,max_same_symbol_checkpoint_traded_notional,capacity_limited_order_count,capacity_limited_requested_notional,capacity_status,volume_participation_status,account_size_extrapolation
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,2696150.1560180755,4355864.975159569,0.9999999999999992,4376840.247913146,4133975.056079797,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016031,1.6233666504603252,7251820.457164226,4376840.247913146,4376840.247913146,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1312977.2340191728,2215198.3848966365,1.0,2184643.924415304,1918007.0759690928,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160315,1.6638856088371463,3771128.1690438734,2184643.924415304,2184643.924415304,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1312977.2340191728,2215198.3848966365,1.0,2184643.924415304,1918007.0759690928,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160315,1.6638856088371463,3771128.1690438734,2184643.924415304,2184643.924415304,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1817422.2781189296,2313582.2073796503,0.9999999999999996,2280677.9270969173,1480944.753754111,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160315,1.2548970894411329,4180292.560176215,2280677.9270969173,2280677.9270969173,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1817422.2781189296,2313582.2073796503,0.9999999999999996,2280677.9270969173,1480944.753754111,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160315,1.2548970894411329,4180292.560176215,2280677.9270969173,2280677.9270969173,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,3610654.0173664824,1.0,3588281.61355797,3588281.61355797,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,3.58828161355797,5422853.8487662785,3588281.61355797,3588281.61355797,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1000000.0,3610654.0173664824,1.0,3588281.61355797,3588281.61355797,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,3.58828161355797,5422853.8487662785,3588281.61355797,3588281.61355797,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1110169.4677651073,1413040.5033163603,0.9999999999999994,1375416.277506629,1375416.277506629,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160313,1.2389246123616535,1699460.1141068798,1375416.277506629,1375416.277506629,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1110169.4677651073,1413040.5033163603,0.9999999999999994,1375416.277506629,1375416.277506629,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160313,1.2389246123616535,1699460.1141068798,1375416.277506629,1375416.277506629,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,3049550.844075924,1.0,3030655.158532499,3030655.158532499,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,3.030655158532499,4698972.2838072125,3030655.158532499,3030655.158532499,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1000000.0,3049550.844075924,1.0,3030655.158532499,3030655.158532499,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,3.030655158532499,4698972.2838072125,3030655.158532499,3030655.158532499,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1105177.2081431411,1406516.3177493855,0.9999999999999992,1369065.8077180912,1369065.8077180912,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160313,1.2387749201038278,1691631.351174966,1369065.8077180912,1369065.8077180912,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1105177.2081431411,1406516.3177493855,0.9999999999999992,1369065.8077180912,1369065.8077180912,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160313,1.2387749201038278,1691631.351174966,1369065.8077180912,1369065.8077180912,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,1059118.1513240857,0.9997805627314766,1196222.91336,1196222.91336,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0021753344139024,1.19622291336,2916244.1111566033,2092283.59088,2092283.59088,113,38579756.57416031,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1000000.0,1059118.1513240857,0.9997805627314766,1196222.91336,1196222.91336,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0021753344139024,1.19622291336,2916244.1111566033,2092283.59088,2092283.59088,113,38579756.57416031,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,1063390.6792778007,0.9998043842277018,1055339.7444918628,1055339.7444918628,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0006025767483806,1.0553397444918629,2047282.72488,1055339.7444918628,1055339.7444918628,42,13402841.080892324,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,1000000.0,1063390.6792778007,0.9998043842277018,1055339.7444918628,1055339.7444918628,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0006025767483806,1.0553397444918629,2047282.72488,1055339.7444918628,1055339.7444918628,42,13402841.080892324,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,24491162.480607346,1.0,22423528.895028725,22423528.895028725,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,4.57176859326132,37387406.80745574,24461169.669655837,22423528.895028725,399,726259052.3183832,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,4904782.129191859,24491162.480607346,1.0,22423528.895028725,22423528.895028725,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,4.57176859326132,37387406.80745574,24461169.669655837,22423528.895028725,399,726259052.3183832,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,6623741.901902112,11860741.38353259,0.9999999999999992,11917855.70801188,10972731.009783156,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160308,1.799263299282461,21169525.82465478,11917855.70801188,11917855.70801188,138,187447167.7864928,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,6623741.901902112,11860741.38353259,0.9999999999999992,11917855.70801188,10972731.009783156,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.0020040080160308,1.799263299282461,21169525.82465478,11917855.70801188,11917855.70801188,138,187447167.7864928,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,26271365.969993357,1.0,24053441.08947384,24053441.08947384,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,1.002004008016032,4.9040794179856935,40105007.170869686,26239193.054003775,24053441.08947384,408,858505796.8590639,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
