scope,strategy,gap,mcb_mode,period,from_target,to_target,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_average_gross_exposure,delta_capital_days,delta_net_pnl,incremental_pnl_per_added_capital_day,capital_day_denominator_status,incremental_CAGR_per_incremental_MaxDD,drawdown_denominator_status
COMBINED,COMBINED,OGR,independent,2018_2021,G75,G100,0.12852443647345396,0.0676553644574017,-0.009918012760562398,0.19609627046508438,4002577743.510047,8017500.07658341,0.002003084159847571,DEFINED,1.8996932099061807,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,NATIVE,G25,0.034869500307296096,0.013544231112538,-0.0029318299507856997,0.07003557647971861,380162868.5393553,492451.8005083725,0.0012953705931366961,DEFINED,2.574490941388111,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G25,G50,0.08189218970265671,0.043348371758566095,-0.009790490892611801,0.20591349071951048,1197043423.050889,1219736.696650586,0.0010189577697539652,DEFINED,1.8891641457438122,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G50,G75,0.08699568923430206,0.042693118320979107,-0.0096339180370058,0.20380078710680588,1367729442.6670055,1392849.487053547,0.001018366237943638,DEFINED,2.037698173748835,DEFINED
COMBINED,COMBINED,OGR,independent,2022_2023,G75,G100,0.08707812531469994,0.04203834279703281,-0.009543381497398199,0.20239896410244118,1498188312.5896115,1494335.1824562121,0.0009974281403071826,DEFINED,2.0713976698635745,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,G25,-0.055388058561861006,0.035153941658086496,0.0017885844766251987,-0.0185025484166427,-127033392.64827317,-486694.789281338,,NEGATIVE_DENOMINATOR,-1.575586006843134,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G25,G50,0.08738306564970989,0.0910557762047844,-0.010992206651555198,0.19927762555189843,608090415.6045926,802121.9505875232,0.0013190833632692849,DEFINED,0.9596652655311555,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G50,G75,0.08768309698885321,0.08534153870595668,-0.011138847104811705,0.1999659960599245,716335959.0952425,1006753.7213587449,0.0014054211694611983,DEFINED,1.0274374978281602,DEFINED
SINGLE,ATRDR,OGR,independent,2018_2021,G75,G100,0.08768621824283701,0.07965458307246431,-0.0112722888365051,0.20079639038062935,832273052.4558265,1240326.0846542437,0.0014902874495267583,DEFINED,1.1008307979349545,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,G25,-0.004272930483661896,-0.017669495552935004,0.002749189918521501,-0.032244742184255215,-69078872.2537961,-24685.66831558058,,NEGATIVE_DENOMINATOR,,NEGATIVE_DENOMINATOR
SINGLE,ATRDR,OGR,independent,2022_2023,G25,G50,0.0696304132426866,0.0441428762677895,-0.008881306920309799,0.18942230102037072,431668742.3535343,414513.4871322452,0.0009602582871121138,DEFINED,1.577387318857041,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G50,G75,0.07114343613062091,0.04245012203400561,-0.008857144134915201,0.189828956175901,483893225.88411283,450462.65097341826,0.0009309133231827865,DEFINED,1.6759300732664533,DEFINED
SINGLE,ATRDR,OGR,independent,2022_2023,G75,G100,0.062192507636789296,0.04109200638688898,-0.008869182134930903,0.19046511778783903,512728662.374007,416093.75243321015,0.0008115281687328276,DEFINED,1.5134940613810657,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,G25,0.04821550870872571,0.032207102916217506,-0.0066678704432296,0.07425072866534739,122939980.50546692,223012.5301357098,0.0018139951642972062,DEFINED,1.4970458173202335,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G25,G50,0.0760094642784206,0.04604086489386929,-0.0076377986126414,0.08884783843612191,193451619.98819754,418029.2130402026,0.002160897970591854,DEFINED,1.650913041134939,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G50,G75,0.0783175159839182,0.04441723562578011,-0.007646177273774901,0.08902979840981007,257904956.23169613,526753.0615156963,0.0020424309373972362,DEFINED,1.7632235523108986,DEFINED
SINGLE,IFCGR,IFCGR,independent,2018_2021,G75,G100,0.08037344604596397,0.0428637987952063,-0.0076563259458516005,0.08925313477248581,340147519.78607976,656165.4612694571,0.0019290614309994745,DEFINED,1.8750891965961867,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,G25,0.0218903021889807,0.0645462912024698,-0.0078632058446096,0.0901275597671975,76084069.24626955,49272.50865159626,0.0006476061170191961,DEFINED,0.3391411308252377,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G25,G50,0.028559846091810098,0.06656699136304842,-0.008424781074050501,0.0974943071450012,84482719.76860648,65873.92720427201,0.0007797325581455838,DEFINED,0.42903916050596475,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G50,G75,0.026902097603369805,0.0642495374869766,-0.0085076046978898,0.09820450671282702,86869049.073488,63695.75320766494,0.0007332387528932277,DEFINED,0.4187127044894739,DEFINED
SINGLE,IFCGR,IFCGR,independent,2022_2023,G75,G100,0.0250418164075204,0.061935729822932994,-0.0085982770552093,0.09897339689860918,88655331.3913545,60725.66006943653,0.0006849634321637468,DEFINED,0.4043193884872597,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,G25,-0.04180614025130171,-0.010820675261760199,0.0027488378160562994,-0.021645035140043803,-67433396.97888008,-264405.5676310959,,NEGATIVE_DENOMINATOR,,NEGATIVE_DENOMINATOR
SINGLE,MCB,OGR,independent,2018_2021,G25,G50,0.0435798569552925,0.039558297223060805,-0.0056711379420005,0.0857669523609319,193340695.34345707,276322.5297153928,0.0014292000410183895,DEFINED,1.1016615985656555,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G50,G75,0.04426321841835491,0.0386926886296355,-0.005683928435057601,0.08599599270813321,219205486.15303558,316836.22384006757,0.00144538455401099,DEFINED,1.1439685373647783,DEFINED
SINGLE,MCB,OGR,independent,2018_2021,G75,G100,0.04487623000257518,0.03784699113139199,-0.005698069188873299,0.08624473431794388,247898388.81494308,361539.2984406771,0.001458417298188119,DEFINED,1.1857278124641413,DEFINED
